read, delay
1, 5.28
2, 6.68
3, 3.66
4, 6.80
5, 5.44
6, 6.68
7, 3.51
8, 6.78
9, 5.91
10, 4.49
11, 5.21
12, 6.59
13, 3.84
14, 3.56
15, 6.82
16, 4.08
17, 3.41
18, 5.37
19, 6.82
20, 6.14
21, 5.04
22, 5.08
23, 6.40
24, 6.28
25, 4.82
26, 2.88
27, 6.42
28, 12.84
29, 12.32
30, 12.20
31, 14.40
32, 13.26
33, 11.62
34, 12.30
35, 13.53
36, 13.57
37, 11.76
38, 14.23
39, 12.76
40, 11.72
41, 11.45
42, 12.60
43, 13.80
44, 11.74
45, 10.99
46, 11.54
47, 10.40
48, 7.26
49, 5.86
50, 5.30
51, 4.27
52, 3.25
53, 3.81
54, 3.12
55, 2.98
56, 5.78
57, 3.84
58, 4.63
59, 4.25
60, 3.06
61, 5.60
62, 3.00
63, 4.80
64, 3.29
65, 2.67
66, 5.44
67, 5.35
68, 3.13
69, 5.34
70, 3.57
71, 5.00
72, 3.82
73, 4.93
74, 2.80
75, 2.67
76, 3.96
77, 3.49
78, 2.86
79, 4.87
80, 5.21
81, 4.10
82, 3.55
83, 2.71
84, 2.52
85, 4.01
86, 5.80
87, 4.04
88, 3.06
89, 4.58
90, 5.55
91, 4.37
92, 5.82
93, 4.26
94, 3.58
95, 4.88
96, 4.69
97, 1.82
98, 5.55
99, 4.76
100, 2.34
101, 2.89
102, 2.81
103, 3.42
104, 3.52
105, 2.50
106, 1.83
107, 5.56
108, 2.72
109, 2.19
110, 4.78
111, 3.70
112, 1.76
113, 1.61
114, 3.45
115, 1.80
116, 3.03
117, 3.32
118, 2.36
119, 1.95
120, 4.02
121, 5.26
122, 5.11
123, 3.58
124, 2.01
125, 5.02
126, 4.56
127, 4.87
128, 3.02
129, 3.66
130, 3.06
131, 3.47
132, 2.76
133, 1.79
134, 3.05
135, 2.97
136, 2.37
137, 2.34
138, 4.94
139, 4.43
140, 3.98
141, 4.88
142, 3.69
143, 1.51
144, 1.80
145, 3.71
146, 4.21
147, 1.28
148, 4.60
149, 2.87
150, 1.27
151, 2.17
152, 3.26
153, 1.28
154, 4.80
155, 4.45
156, 4.82
157, 4.22
158, 2.27
159, 1.35
160, 2.05
161, 4.47
162, 2.97
163, 2.09
164, 2.37
165, 2.04
166, 2.25
167, 1.91
168, 4.61
169, 2.60
170, 1.00
171, 1.80
172, 4.16
173, 2.39
174, 1.19
175, 1.14
176, 0.68
177, 1.81
178, 4.37
179, 0.71
180, 0.48
181, 2.37
182, 4.20
183, 2.69
184, 0.85
185, 3.78
186, 3.52
187, 3.63
188, 1.64
189, 2.05
190, 5.66
191, 8.16
192, 4.27
193, 4.44
194, 6.07
195, 4.44
196, 7.41
197, 8.06
198, 6.76
199, 5.32
200, 4.46
201, 7.16
202, 5.32
203, 4.08
204, 4.32
205, 7.92
206, 6.71
207, 4.98
208, 7.80
209, 7.89
210, 6.04
211, 4.10
212, 4.61
213, 4.13
214, 6.81
215, 5.78
216, 4.09
217, 5.25
218, 4.98
219, 6.47
220, 7.64
221, 6.91
222, 5.02
223, 3.84
224, 7.40
225, 6.90
226, 6.00
227, 6.56
228, 5.75
229, 4.40
230, 7.17
231, 7.38
232, 6.30
233, 5.10
234, 6.58
235, 6.24
236, 5.62
237, 4.35
238, 5.14
239, 7.00
240, 4.89
241, 4.51
242, 7.23
243, 6.46
244, 4.54
245, 6.36
246, 6.21
247, 5.27
248, 3.57
249, 6.82
250, 5.93
251, 4.22
252, 5.81
253, 5.47
254, 4.66
255, 3.64
