read, delay
1, 9.54
2, 6.50
3, 13.94
4, 11.09
5, 8.79
6, 6.37
7, 13.51
8, 11.07
9, 8.77
10, 6.41
11, 13.81
12, 11.64
13, 9.22
14, 6.66
15, 14.33
16, 11.96
17, 9.02
18, 15.95
19, 12.80
20, 10.28
21, 8.06
22, 15.26
23, 12.27
24, 9.27
25, 6.68
26, 14.20
27, 11.45
28, 9.26
29, 7.11
30, 14.62
31, 12.03
32, 9.67
33, 7.32
34, 14.37
35, 11.44
36, 9.04
37, 16.18
38, 13.33
39, 10.50
40, 8.02
41, 15.28
42, 12.50
43, 9.95
44, 7.29
45, 14.85
46, 12.07
47, 8.96
48, 16.04
49, 13.44
50, 10.53
51, 8.41
52, 15.97
53, 13.17
54, 10.46
55, 7.86
56, 15.58
57, 13.22
58, 10.96
59, 8.77
60, 15.68
61, 12.43
62, 9.89
63, 7.35
64, 14.70
65, 12.31
66, 9.92
67, 7.39
68, 14.74
69, 12.09
70, 9.30
71, 6.25
72, 13.47
73, 11.30
74, 8.31
75, 16.03
76, 12.98
77, 10.37
78, 7.56
79, 15.14
80, 12.34
81, 9.87
82, 7.56
83, 15.41
84, 12.64
85, 9.62
86, 7.17
87, 14.27
88, 11.77
89, 9.55
90, 6.82
91, 14.54
92, 11.77
93, 9.31
94, 6.58
95, 14.05
96, 11.46
97, 9.10
98, 16.01
99, 13.24
100, 10.54
101, 7.53
102, 15.01
103, 12.73
104, 9.84
105, 6.96
106, 14.25
107, 11.30
108, 9.03
109, 6.26
110, 13.38
111, 10.31
112, 7.90
113, 15.76
114, 13.00
115, 10.80
116, 8.57
117, 16.02
118, 13.06
119, 10.19
120, 7.31
121, 14.71
122, 11.62
123, 9.07
124, 6.30
125, 13.51
126, 11.24
127, 8.99
128, 6.52
129, 13.44
130, 10.55
131, 8.21
132, 15.19
133, 13.04
134, 10.32
135, 7.50
136, 15.19
137, 12.69
138, 9.63
139, 7.09
140, 14.04
141, 11.70
142, 9.35
143, 6.69
144, 14.46
145, 12.13
146, 9.42
147, 6.72
148, 11.07
149, 8.59
150, 16.20
151, 13.64
152, 10.92
153, 8.26
154, 16.08
155, 13.22
156, 10.90
157, 7.81
158, 14.81
159, 11.86
160, 9.56
161, 7.27
162, 14.88
163, 12.69
164, 10.31
165, 7.24
166, 14.32
167, 11.28
168, 9.06
169, 14.02
170, 11.27
171, 8.65
172, 6.45
173, 13.62
174, 10.89
175, 8.59
176, 16.19
177, 14.04
178, 11.76
179, 9.17
180, 16.10
181, 13.82
182, 10.71
183, 7.83
184, 14.94
185, 12.04
186, 9.56
187, 6.94
188, 14.85
189, 12.51
190, 10.00
191, 7.58
192, 15.44
193, 12.84
194, 9.91
195, 7.46
196, 14.56
197, 12.30
198, 10.16
199, 7.15
200, 14.82
201, 11.86
202, 9.10
203, 6.54
204, 14.23
205, 11.12
206, 8.82
207, 15.98
208, 12.89
209, 10.74
210, 8.12
211, 15.38
212, 13.01
213, 9.95
214, 7.18
215, 15.04
216, 12.30
217, 9.50
218, 6.44
219, 14.06
220, 10.96
221, 7.92
222, 15.17
223, 12.33
224, 9.41
225, 6.94
226, 13.97
227, 11.50
228, 8.68
229, 15.76
230, 13.28
231, 11.10
232, 8.71
233, 15.94
234, 13.20
235, 10.23
236, 7.70
237, 12.61
238, 10.02
239, 7.02
240, 13.92
241, 11.02
242, 8.66
243, 15.68
244, 12.76
245, 9.66
246, 6.58
247, 14.20
248, 11.98
249, 9.62
250, 7.44
251, 15.31
252, 12.63
253, 10.03
254, 7.66
255, 14.80
256, 12.38
257, 9.30
258, 6.24
259, 13.36
260, 10.24
261, 7.78
262, 15.44
263, 12.42
264, 10.13
265, 7.57
266, 14.94
267, 11.93
268, 9.20
269, 16.11
270, 13.83
271, 11.46
272, 8.46
273, 15.65
274, 13.12
275, 10.30
276, 7.75
277, 15.21
278, 12.99
279, 10.49
280, 7.79
281, 14.84
282, 12.58
283, 9.89
284, 6.83
285, 14.04
286, 11.27
287, 8.84
288, 6.54
289, 13.67
290, 11.34
291, 8.63
292, 15.93
293, 12.39
294, 9.67
295, 7.17
296, 14.86
297, 12.30
298, 9.52
299, 7.37
300, 14.88
301, 12.19
302, 9.82
303, 7.41
304, 14.64
305, 12.02
306, 9.28
307, 6.31
308, 13.61
309, 11.23
310, 8.46
311, 16.19
312, 13.20
313, 10.24
314, 7.46
315, 15.07
316, 12.13
317, 9.71
318, 7.36
319, 14.41
320, 11.42
321, 8.59
322, 6.40
323, 13.41
324, 10.84
325, 7.83
326, 14.81
327, 12.17
328, 9.86
329, 6.95
330, 14.46
331, 11.61
332, 8.61
333, 6.34
334, 13.86
335, 11.57
336, 9.12
337, 6.44
338, 14.10
339, 11.42
340, 9.30
341, 6.74
342, 14.58
343, 11.74
344, 8.82
345, 6.32
346, 14.17
347, 11.38
348, 9.17
349, 6.97
350, 14.14
351, 11.95
352, 9.40
353, 6.76
354, 14.07
355, 11.84
356, 8.92
357, 15.87
358, 12.62
359, 10.15
360, 7.39
361, 15.13
362, 12.58
363, 9.61
364, 6.90
365, 14.76
366, 12.31
367, 9.64
368, 6.96
369, 14.67
370, 12.39
371, 9.98
372, 7.68
373, 15.46
374, 12.71
375, 9.70
376, 7.27
377, 14.16
378, 11.25
379, 8.83
380, 6.46
381, 14.08
382, 11.42
383, 9.19
384, 7.07
385, 14.74
386, 12.62
387, 10.32
388, 7.75
389, 14.66
390, 11.55
391, 8.96
392, 6.34
