read, delay
1, 6.86
2, 4.57
3, 6.90
4, 3.99
5, 7.46
6, 4.35
7, 7.54
8, 4.15
9, 6.08
10, 4.16
11, 5.88
12, 8.51
13, 5.21
14, 6.90
15, 4.86
16, 7.42
17, 4.97
18, 7.32
19, 4.92
20, 6.99
21, 5.27
22, 7.46
23, 5.16
24, 7.40
25, 4.40
26, 6.97
27, 3.99
28, 7.51
29, 4.18
30, 5.98
31, 4.14
32, 6.28
33, 4.37
34, 6.29
35, 3.80
36, 5.68
37, 7.48
38, 5.04
39, 6.81
40, 5.14
41, 7.45
42, 5.04
43, 6.65
44, 4.10
45, 5.68
46, 7.91
47, 5.26
48, 7.56
49, 5.39
50, 7.29
51, 4.96
52, 6.56
53, 3.44
54, 6.92
55, 3.92
56, 7.44
57, 4.03
58, 6.54
59, 3.95
60, 5.88
61, 4.22
62, 5.86
63, 3.70
64, 5.78
65, 2.85
66, 5.94
67, 3.15
68, 6.48
69, 3.16
70, 6.67
71, 3.31
72, 5.77
73, 3.87
74, 5.43
75, 3.72
76, 5.55
77, 3.73
78, 6.11
79, 3.84
80, 5.91
81, 7.85
82, 6.06
83, 3.41
84, 6.04
85, 8.03
86, 5.84
87, 8.33
88, 4.90
89, 8.19
90, 5.00
91, 7.47
92, 5.42
93, 7.42
94, 5.41
95, 7.89
96, 5.69
97, 7.66
98, 5.72
99, 7.55
100, 4.56
101, 7.20
102, 4.38
103, 7.03
104, 3.64
105, 5.99
106, 4.25
107, 1.99
108, 6.72
109, 3.13
110, 4.78
111, 2.46
112, 4.04
113, 7.38
114, 4.68
115, 7.75
116, 4.24
117, 5.86
118, 3.24
119, 5.36
120, 3.11
121, 4.96
122, 6.68
123, 4.46
124, 6.06
125, 3.89
126, 5.65
127, 3.82
128, 5.86
129, 3.54
130, 5.85
131, 2.53
132, 6.07
133, 2.60
134, 5.40
135, 7.30
136, 4.53
137, 2.48
138, 4.21
139, 7.27
140, 4.44
141, 6.75
142, 4.96
143, 3.32
144, 5.71
145, 2.64
146, 5.47
147, 2.24
148, 4.61
149, 2.82
150, 4.79
151, 7.48
152, 4.01
153, 7.27
154, 4.07
155, 6.18
156, 3.90
157, 6.24
158, 4.24
159, 6.21
160, 4.52
161, 6.44
162, 3.87
163, 6.22
164, 2.58
165, 5.77
166, 2.68
167, 6.16
168, 2.94
169, 5.11
170, 3.48
171, 5.59
172, 3.69
173, 5.96
174, 3.70
175, 5.54
176, 3.25
177, 4.87
178, 6.60
179, 4.11
180, 6.36
181, 4.52
182, 6.74
183, 4.03
184, 7.58
185, 4.62
186, 7.37
187, 3.82
188, 5.44
189, 3.26
190, 4.86
191, 2.97
192, 4.98
193, 3.24
194, 5.37
195, 3.39
196, 4.97
197, 6.93
198, 2.39
199, 4.16
200, 7.06
201, 4.23
202, 7.28
203, 4.02
204, 5.90
205, 3.36
206, 5.02
207, 3.35
208, 5.16
209, 2.74
210, 4.36
211, 6.24
212, 4.17
213, 6.01
214, 3.79
215, 5.86
216, 4.08
217, 5.82
218, 2.26
219, 5.80
220, 3.01
221, 5.91
222, 2.42
223, 4.45
224, 7.18
225, 3.65
226, 6.55
227, 3.86
228, 7.13
229, 3.78
230, 5.55
231, 3.22
232, 5.54
233, 3.69
234, 5.29
235, 2.81
236, 4.87
237, 7.00
238, 4.84
239, 6.40
240, 4.14
241, 6.48
242, 3.14
243, 6.18
244, 2.86
245, 6.24
246, 2.87
247, 5.86
248, 2.99
249, 5.32
250, 2.76
251, 4.90
252, 2.90
253, 5.33
254, 3.57
255, 5.94
256, 2.40
257, 5.37
258, 6.98
259, 5.16
260, 6.82
261, 3.36
262, 5.98
263, 2.45
264, 5.80
265, 2.69
266, 5.24
267, 2.92
268, 4.90
269, 7.58
270, 4.42
271, 2.82
272, 4.74
273, 6.49
274, 3.92
275, 6.34
276, 4.08
277, 6.21
278, 4.46
279, 6.76
280, 5.02
281, 7.05
282, 3.68
283, 7.26
284, 4.18
285, 6.69
286, 4.79
287, 6.81
288, 4.46
289, 6.92
290, 4.31
291, 6.23
292, 4.57
293, 6.42
294, 3.32
295, 6.40
296, 3.62
297, 6.72
298, 3.20
299, 4.86
300, 2.28
301, 4.61
302, 7.24
303, 3.98
304, 6.49
305, 4.42
306, 6.33
307, 4.35
308, 6.32
309, 3.94
310, 6.39
311, 3.83
312, 5.50
313, 2.03
314, 5.46
315, 2.62
316, 5.92
317, 2.59
318, 4.69
319, 2.66
320, 5.16
321, 3.06
322, 5.06
323, 3.08
324, 5.03
325, 1.95
326, 4.80
327, 7.16
328, 5.52
329, 7.44
330, 4.72
331, 2.42
332, 4.57
333, 2.91
334, 5.35
335, 2.87
336, 4.97
337, 2.18
338, 5.54
339, 2.55
340, 5.28
341, 7.20
342, 3.72
343, 7.00
344, 4.20
345, 5.88
346, 3.38
347, 5.22
348, 3.47
349, 5.30
350, 3.68
351, 6.10
352, 3.82
353, 5.58
354, 2.83
355, 6.32
356, 3.28
357, 6.82
358, 3.76
359, 5.70
360, 3.54
361, 5.82
362, 3.70
363, 5.82
364, 3.67
365, 5.46
366, 3.03
367, 4.60
368, 6.37
369, 4.47
370, 6.95
371, 5.06
372, 6.60
373, 4.19
374, 6.54
375, 3.58
376, 6.80
377, 4.12
378, 7.28
379, 3.78
380, 5.65
381, 3.37
382, 4.99
383, 2.67
384, 4.21
385, 6.16
386, 4.49
387, 6.35
388, 4.34
389, 6.36
390, 3.87
391, 6.20
392, 3.96
393, 6.30
394, 3.44
395, 6.40
396, 2.77
397, 5.98
398, 2.32
399, 4.75
400, 7.42
401, 3.94
402, 7.28
403, 3.78
404, 5.70
405, 3.84
406, 6.04
407, 3.37
408, 5.14
409, 2.92
410, 4.64
411, 2.99
412, 4.75
413, 1.82
414, 4.98
415, 6.99
416, 4.91
417, 6.84
418, 4.61
419, 7.13
420, 3.52
421, 6.22
422, 3.54
423, 5.26
424, 2.81
425, 5.07
426, 2.48
427, 4.58
428, 2.60
429, 4.93
430, 2.68
431, 4.74
432, 2.95
433, 5.24
434, 7.02
435, 5.36
436, 2.35
437, 5.51
438, 7.43
439, 4.35
440, 2.51
441, 4.70
442, 7.60
443, 4.68
444, 6.23
445, 4.12
446, 5.93
447, 4.02
448, 5.81
449, 3.34
450, 5.74
451, 3.19
452, 5.53
453, 2.48
454, 5.34
455, 2.12
456, 5.70
457, 2.87
458, 6.26
459, 3.04
460, 5.19
461, 2.70
462, 4.84
463, 2.46
464, 4.32
465, 2.58
466, 4.26
467, 6.79
468, 5.01
469, 6.94
470, 5.09
471, 6.64
472, 4.96
473, 7.02
474, 3.78
475, 7.04
476, 4.00
477, 6.61
478, 3.81
479, 5.88
480, 3.70
481, 5.26
482, 3.20
483, 4.92
484, 6.55
485, 4.90
486, 6.77
487, 4.84
488, 6.81
489, 4.32
490, 6.71
491, 4.82
492, 7.27
493, 3.90
494, 6.65
495, 3.07
496, 5.23
497, 3.51
498, 5.28
499, 2.94
500, 4.51
501, 6.36
502, 4.29
503, 6.01
504, 3.80
505, 5.73
506, 3.70
507, 5.20
508, 3.36
509, 5.68
510, 2.94
511, 6.05
512, 2.71
513, 5.74
514, 2.68
515, 4.56
516, 2.83
517, 5.39
518, 2.90
519, 4.85
520, 6.80
521, 4.14
522, 5.82
523, 3.76
524, 5.47
525, 3.27
526, 5.30
527, 2.18
528, 5.43
529, 1.98
530, 4.84
531, 2.07
532, 3.91
533, 6.62
534, 3.42
535, 6.78
536, 3.97
537, 5.89
538, 4.05
539, 6.22
540, 3.74
541, 6.10
542, 3.71
543, 5.64
544, 3.61
545, 5.37
546, 3.61
547, 5.78
548, 2.19
549, 5.72
550, 2.53
551, 5.98
552, 2.64
553, 4.65
554, 2.58
555, 4.36
556, 8.06
557, 4.28
558, 6.54
559, 4.81
560, 2.78
561, 5.16
562, 2.04
563, 5.22
564, 2.46
565, 6.45
566, 2.29
567, 6.29
568, 3.60
569, 4.80
570, 3.66
571, 4.96
572, 3.32
573, 5.13
574, 4.41
575, 5.15
576, 7.91
577, 5.29
578, 7.08
579, 3.38
580, 6.80
581, 3.10
582, 6.03
583, 4.14
584, 5.63
585, 3.64
586, 7.62
587, 4.16
588, 4.83
589, 2.67
590, 4.75
591, 8.40
592, 4.38
593, 6.34
594, 4.45
595, 6.55
596, 4.49
597, 6.65
598, 5.77
599, 7.43
600, 5.80
601, 7.49
602, 3.18
603, 7.76
604, 4.89
605, 6.14
606, 5.36
607, 8.27
608, 4.83
609, 6.39
610, 4.06
611, 6.17
612, 2.82
613, 6.08
614, 3.86
615, 4.52
616, 7.70
617, 4.34
618, 6.34
619, 4.90
620, 6.45
621, 4.13
622, 6.17
623, 3.06
624, 6.18
625, 8.37
626, 5.76
627, 7.95
628, 4.12
629, 8.38
630, 5.40
631, 6.52
632, 5.53
633, 7.72
634, 5.27
635, 6.94
636, 4.84
637, 7.06
638, 2.52
639, 7.06
640, 4.08
641, 5.95
642, 4.02
643, 7.00
644, 3.49
645, 5.24
646, 8.72
647, 5.32
648, 7.34
649, 5.22
650, 7.46
651, 4.17
652, 7.57
653, 5.72
654, 7.03
655, 5.02
656, 7.82
657, 4.55
658, 7.22
659, 3.48
660, 5.91
661, 3.26
662, 6.72
663, 4.42
664, 5.34
665, 4.47
666, 6.06
667, 4.06
668, 6.12
669, 7.90
670, 5.47
671, 7.67
672, 5.54
673, 7.34
674, 3.01
675, 6.76
676, 3.19
677, 3.82
678, 8.34
679, 5.24
680, 5.90
681, 4.54
682, 7.42
683, 3.77
684, 7.00
685, 4.01
686, 5.97
687, 3.05
688, 5.62
689, 8.28
690, 3.78
691, 6.96
692, 5.21
693, 6.47
694, 5.46
695, 7.01
696, 5.36
697, 7.55
698, 4.32
699, 7.25
700, 3.01
701, 6.73
702, 3.62
