read, delay
1, 14.31
2, 14.82
3, 15.67
4, 5.18
5, 16.11
6, 16.93
7, 6.18
8, 6.82
9, 18.55
10, 7.60
11, 7.77
12, 8.40
13, 9.09
14, 9.06
15, 9.70
16, 10.28
17, 10.48
18, 11.26
19, 11.19
20, 11.42
21, 11.86
22, 11.98
23, 12.02
24, 12.40
25, 12.27
26, 13.15
27, 13.96
28, 14.72
29, 4.27
30, 15.67
31, 15.65
32, 5.13
33, 5.63
34, 16.65
35, 5.76
36, 5.78
37, 16.87
38, 6.21
39, 6.68
40, 17.56
41, 7.03
42, 7.35
43, 7.58
44, 8.33
45, 8.22
46, 8.58
47, 8.79
48, 9.33
49, 9.30
50, 9.41
51, 10.22
52, 10.22
53, 10.19
54, 10.55
55, 11.12
56, 11.92
57, 12.36
58, 12.72
59, 13.51
60, 13.36
61, 13.34
62, 14.02
63, 3.54
64, 14.67
65, 14.76
66, 3.88
67, 15.38
68, 15.76
69, 5.15
70, 5.45
71, 16.90
72, 6.69
73, 7.10
74, 18.54
75, 7.54
76, 8.21
77, 8.19
78, 8.94
79, 9.42
80, 9.64
81, 10.22
82, 11.06
83, 11.25
84, 11.50
85, 12.92
86, 13.02
87, 13.74
88, 3.61
89, 15.11
90, 15.14
91, 4.38
92, 5.23
93, 16.92
94, 6.34
95, 7.19
96, 7.10
97, 18.44
98, 7.38
99, 7.73
100, 19.01
101, 8.40
102, 8.78
103, 8.75
104, 8.81
105, 9.00
106, 9.27
107, 9.63
108, 9.68
109, 10.34
110, 10.53
111, 10.94
112, 11.47
113, 11.52
114, 11.80
115, 12.61
116, 13.14
117, 13.23
118, 2.48
119, 14.22
120, 15.10
121, 4.48
122, 5.17
123, 16.24
124, 6.04
125, 6.24
126, 17.94
127, 7.03
128, 7.08
129, 18.38
130, 8.02
131, 8.51
132, 8.70
133, 9.73
134, 10.53
135, 10.44
136, 10.55
137, 11.32
138, 12.08
139, 12.64
140, 13.00
141, 13.87
142, 14.11
143, 14.08
144, 13.98
145, 14.08
146, 14.81
147, 15.38
148, 4.83
149, 16.26
150, 16.76
151, 6.06
152, 6.28
153, 17.39
154, 6.59
155, 6.90
156, 7.30
157, 8.41
158, 8.72
159, 8.67
160, 9.18
161, 9.30
162, 9.85
163, 9.75
164, 10.16
165, 11.02
166, 11.79
167, 11.73
168, 12.18
169, 12.69
170, 13.60
171, 13.52
172, 14.16
173, 3.27
174, 14.75
175, 15.52
176, 5.07
177, 5.39
178, 17.24
179, 6.53
180, 7.16
181, 7.83
182, 7.94
183, 7.98
184, 18.89
185, 7.90
186, 8.70
187, 8.65
188, 8.78
189, 9.19
190, 9.80
191, 10.08
192, 10.38
193, 10.54
194, 11.24
195, 11.67
196, 12.46
197, 12.46
198, 12.32
199, 12.30
200, 12.56
