read, delay
1, 3.36
2, 2.70
3, 1.94
4, 10.97
5, 9.87
6, 9.20
7, 8.70
8, 8.54
9, 8.39
10, 7.84
11, 7.35
12, 6.46
13, 6.33
14, 5.97
15, 5.31
16, 4.30
17, 3.60
18, 3.01
19, 2.22
20, 1.90
21, 10.86
22, 10.64
23, 10.32
24, 9.33
25, 8.78
26, 8.45
27, 7.48
28, 6.51
29, 5.74
30, 5.22
31, 4.50
32, 3.99
33, 3.81
34, 3.18
35, 2.71
36, 2.07
37, 1.34
38, 10.68
39, 9.90
40, 9.07
41, 8.52
42, 7.47
43, 7.28
44, 6.85
45, 6.48
46, 6.27
47, 5.23
48, 4.99
49, 4.50
50, 4.02
51, 3.44
52, 3.32
53, 2.46
54, 1.77
55, 11.09
56, 10.18
57, 9.70
58, 9.44
59, 8.36
60, 7.46
61, 7.04
62, 6.56
63, 5.60
64, 5.02
65, 4.16
66, 3.95
67, 2.93
68, 2.50
69, 1.76
70, 11.31
71, 10.23
72, 9.26
73, 8.49
74, 7.56
75, 6.93
76, 6.07
77, 5.37
78, 4.64
79, 3.92
80, 2.90
81, 2.23
82, 1.70
83, 10.66
84, 10.51
85, 10.28
86, 9.90
87, 9.06
88, 8.65
89, 8.40
90, 8.03
91, 7.67
92, 6.86
93, 6.59
94, 6.36
95, 5.31
96, 4.32
97, 3.60
98, 3.21
99, 2.45
100, 1.78
101, 11.40
102, 11.06
103, 10.31
104, 9.33
105, 8.72
106, 8.14
107, 7.82
108, 7.60
109, 6.63
110, 6.22
111, 5.25
112, 4.85
113, 4.60
114, 3.78
115, 3.53
116, 3.24
117, 2.40
118, 2.28
119, 1.81
120, 11.30
121, 10.89
122, 10.23
123, 9.20
124, 8.78
125, 8.53
126, 8.23
127, 7.56
128, 6.66
129, 6.32
130, 5.35
131, 5.26
132, 4.92
133, 4.34
134, 3.70
135, 2.82
136, 2.16
137, 11.70
138, 10.78
139, 10.17
140, 9.20
141, 8.28
142, 6.92
143, 6.05
144, 5.13
145, 4.39
146, 3.74
147, 2.64
148, 2.24
149, 1.26
150, 10.38
151, 9.84
152, 9.55
153, 9.22
154, 8.94
155, 8.37
156, 7.36
157, 6.91
158, 6.03
159, 5.08
160, 4.22
161, 3.57
162, 2.46
163, 1.92
164, 1.20
165, 0.94
166, 10.47
167, 9.89
168, 8.97
169, 7.89
170, 7.62
171, 7.11
172, 6.42
173, 5.70
174, 5.33
175, 4.91
176, 4.05
177, 3.02
178, 2.59
179, 2.30
180, 1.90
181, 10.84
182, 10.64
183, 9.98
184, 9.19
185, 8.22
186, 7.62
187, 6.53
188, 5.51
189, 4.63
190, 3.82
191, 3.18
192, 2.59
193, 2.26
194, 1.50
195, 1.18
196, 10.12
197, 9.92
198, 9.37
199, 8.88
200, 8.31
201, 7.22
202, 6.93
203, 6.50
204, 5.63
205, 5.04
206, 4.58
207, 3.90
208, 2.81
209, 2.66
210, 2.42
211, 2.03
212, 11.06
213, 9.96
214, 9.24
215, 8.38
216, 7.45
217, 6.83
218, 5.79
219, 4.74
220, 3.67
221, 2.72
222, 2.42
223, 2.06
224, 11.12
225, 10.75
226, 10.15
227, 9.11
228, 8.20
229, 7.24
230, 6.95
231, 6.42
232, 6.01
233, 5.40
234, 4.62
235, 4.08
236, 3.87
237, 3.00
238, 1.93
239, 11.16
240, 11.04
241, 9.93
242, 8.87
243, 8.12
244, 7.51
245, 7.19
246, 7.00
247, 6.66
248, 6.03
249, 5.62
250, 4.55
251, 3.74
252, 3.52
253, 3.10
254, 2.33
255, 1.80
256, 10.73
257, 9.63
258, 8.67
259, 8.28
260, 7.88
261, 7.29
262, 6.99
263, 5.89
264, 5.78
265, 4.83
266, 4.19
267, 4.05
268, 3.47
269, 2.88
270, 2.16
271, 1.82
272, 11.43
273, 10.54
274, 10.18
275, 10.02
276, 9.64
277, 9.44
278, 9.00
279, 8.26
280, 7.74
281, 7.60
282, 6.72
283, 6.08
284, 5.88
285, 5.09
286, 4.80
287, 4.13
288, 3.86
289, 3.35
290, 2.57
291, 2.37
292, 11.36
293, 10.62
294, 9.56
295, 9.43
296, 9.13
297, 8.68
298, 7.79
299, 7.02
300, 6.02
301, 5.20
302, 4.29
303, 3.85
304, 3.13
305, 2.72
306, 2.03
307, 11.32
308, 10.41
309, 9.53
310, 8.44
311, 7.41
312, 6.90
313, 6.36
314, 6.16
315, 5.85
316, 5.16
317, 4.58
318, 4.00
319, 2.90
320, 2.58
321, 1.79
322, 11.58
323, 10.97
324, 10.66
325, 10.47
326, 9.90
327, 9.63
328, 8.60
329, 8.37
330, 7.43
331, 5.83
332, 5.16
333, 4.31
334, 3.40
335, 2.55
336, 1.86
337, 1.14
338, 10.69
339, 9.90
340, 9.05
341, 8.16
342, 7.53
343, 6.56
344, 5.74
345, 5.36
346, 4.62
347, 4.09
348, 3.18
349, 2.74
350, 1.97
351, 1.49
352, 1.12
353, 10.55
354, 10.34
355, 9.44
356, 8.61
357, 8.20
358, 8.07
359, 7.00
360, 6.36
361, 5.85
362, 5.34
363, 5.24
364, 4.80
365, 3.78
366, 2.67
367, 1.93
368, 1.28
369, 10.20
370, 9.54
371, 8.68
372, 7.74
373, 7.35
374, 6.71
375, 6.58
376, 5.80
377, 5.53
378, 4.90
379, 4.18
380, 3.06
381, 2.38
382, 1.42
383, 10.51
384, 9.47
385, 8.95
386, 8.28
387, 7.20
388, 7.01
389, 6.14
390, 5.26
391, 4.37
392, 3.84
393, 3.32
394, 2.58
395, 1.57
396, 11.11
397, 10.62
398, 9.67
399, 9.45
400, 8.39
401, 8.13
402, 7.14
403, 6.12
404, 5.99
405, 5.02
406, 4.37
407, 4.07
408, 3.53
409, 2.97
410, 2.82
411, 1.75
412, 1.24
413, 10.37
414, 9.31
415, 8.63
416, 8.36
417, 8.06
418, 7.85
419, 7.06
420, 6.42
421, 5.39
422, 4.92
423, 4.63
424, 4.52
425, 4.15
426, 3.82
427, 3.22
428, 2.58
429, 2.02
430, 1.70
431, 10.60
432, 10.46
433, 9.53
434, 9.31
435, 8.49
436, 8.25
437, 8.02
438, 6.97
439, 6.86
440, 6.04
441, 5.02
442, 4.52
443, 3.80
444, 2.76
445, 2.05
446, 1.52
447, 10.53
448, 10.30
449, 9.92
450, 8.80
451, 8.17
452, 7.55
453, 6.85
454, 5.82
455, 5.56
456, 4.46
457, 3.47
458, 2.47
459, 2.33
460, 1.91
461, 11.35
462, 10.25
463, 9.18
464, 8.48
465, 8.13
466, 7.52
467, 6.96
468, 6.02
469, 5.41
470, 4.41
471, 3.50
472, 2.91
473, 2.00
474, 10.89
475, 10.63
476, 9.85
477, 9.54
478, 8.90
479, 7.85
480, 7.07
481, 6.39
482, 5.42
483, 4.87
484, 4.43
485, 4.32
486, 3.75
487, 2.86
488, 1.97
489, 11.34
490, 11.07
491, 10.22
492, 9.16
493, 8.98
494, 8.48
495, 8.35
496, 7.91
497, 7.63
498, 7.20
499, 6.58
500, 5.59
501, 4.78
502, 3.77
503, 3.04
504, 2.04
505, 11.38
506, 10.65
507, 9.76
508, 8.80
509, 8.26
510, 8.05
511, 7.83
512, 6.77
513, 6.00
514, 5.79
515, 4.67
516, 4.39
517, 3.50
518, 2.77
519, 2.16
520, 11.67
521, 10.52
522, 10.17
523, 9.85
524, 9.42
525, 8.38
526, 7.48
527, 7.29
528, 6.30
529, 6.13
530, 5.43
531, 4.49
532, 4.38
533, 3.36
534, 3.23
535, 2.12
536, 1.46
537, 1.32
538, 0.93
539, 10.26
540, 10.14
541, 9.03
542, 8.83
543, 8.01
544, 7.69
545, 7.01
546, 5.95
547, 5.17
548, 4.56
549, 3.84
550, 2.76
551, 2.36
552, 1.32
553, 10.62
554, 9.68
555, 9.08
556, 8.48
557, 7.84
558, 7.41
559, 7.02
560, 6.54
561, 6.15
562, 5.70
563, 5.44
564, 4.81
565, 4.66
566, 3.80
567, 3.43
568, 2.36
569, 1.87
570, 1.34
571, 1.09
572, 10.19
573, 9.54
574, 8.54
575, 8.23
576, 7.22
577, 6.51
578, 5.69
579, 5.16
580, 4.21
581, 3.49
582, 3.20
583, 2.51
584, 1.55
585, 1.44
586, 10.83
587, 10.28
588, 9.59
589, 9.26
590, 8.78
591, 7.84
592, 6.99
593, 6.38
594, 5.46
595, 4.47
596, 4.22
597, 3.36
598, 2.69
599, 2.56
600, 2.06
601, 1.25
602, 10.20
603, 9.22
604, 9.00
605, 8.21
606, 7.55
607, 6.62
608, 6.08
609, 5.95
610, 5.18
611, 4.09
612, 3.43
613, 2.40
614, 1.50
615, 10.88
616, 10.22
617, 9.40
618, 8.68
619, 7.96
620, 7.66
621, 7.21
622, 6.94
623, 6.79
624, 6.67
625, 6.38
626, 5.53
627, 4.97
628, 4.38
629, 3.95
630, 2.91
631, 1.97
632, 1.80
633, 11.30
634, 10.27
635, 9.21
636, 8.85
637, 8.19
638, 7.75
639, 6.93
640, 6.55
641, 5.46
642, 4.88
643, 4.17
644, 3.94
645, 3.41
646, 2.67
647, 2.39
648, 1.81
649, 11.40
650, 11.09
651, 10.23
652, 9.25
653, 8.30
654, 7.25
655, 6.24
656, 5.53
657, 5.36
658, 4.91
659, 4.14
660, 3.78
661, 2.86
662, 2.64
663, 1.84
664, 11.28
665, 10.92
666, 10.56
667, 10.03
668, 9.57
669, 8.51
670, 8.13
671, 7.21
672, 6.72
673, 6.16
674, 5.12
675, 4.87
676, 4.35
677, 3.34
678, 2.46
679, 11.42
680, 10.32
681, 9.93
682, 8.97
683, 8.72
684, 8.35
685, 7.92
686, 7.54
687, 6.84
688, 6.65
689, 6.32
690, 6.19
691, 5.85
692, 5.07
693, 4.33
694, 3.57
695, 3.10
696, 2.34
697, 11.36
698, 10.96
699, 10.10
700, 9.87
701, 9.47
702, 8.51
703, 7.96
704, 7.18
705, 6.71
706, 5.61
707, 4.54
708, 3.60
709, 2.78
710, 2.50
711, 1.07
712, 10.04
713, 9.42
714, 8.70
715, 7.88
716, 7.45
717, 6.45
718, 5.87
719, 5.28
720, 5.15
721, 5.00
722, 4.01
723, 3.53
724, 2.43
725, 1.62
726, 1.01
727, 10.04
728, 9.35
729, 9.02
730, 8.54
731, 7.70
732, 6.99
733, 6.70
734, 6.39
735, 6.27
736, 5.48
737, 4.66
738, 4.12
739, 3.73
740, 2.69
741, 1.82
742, 1.71
743, 10.76
744, 10.15
745, 9.08
746, 8.88
747, 7.80
748, 6.82
749, 6.50
750, 5.68
751, 5.42
752, 4.99
753, 4.60
754, 4.39
755, 3.34
756, 2.80
757, 2.30
758, 1.59
759, 10.51
760, 10.09
761, 9.35
762, 8.58
763, 7.84
764, 6.81
765, 5.96
766, 5.20
767, 4.57
768, 4.45
769, 4.23
770, 3.83
771, 3.00
772, 2.78
773, 2.04
774, 1.90
775, 10.78
776, 9.69
777, 9.21
778, 8.84
779, 8.56
780, 7.82
781, 6.94
782, 6.22
783, 5.38
784, 4.74
785, 4.40
786, 3.69
787, 3.18
788, 2.18
789, 11.10
790, 10.69
791, 9.63
792, 9.50
793, 8.98
794, 8.37
795, 7.85
796, 7.12
797, 6.44
798, 5.96
799, 4.92
800, 4.19
801, 3.23
802, 2.44
803, 1.86
804, 11.09
805, 10.86
806, 10.32
807, 9.35
808, 8.32
809, 7.57
810, 7.25
811, 7.10
812, 6.35
813, 5.70
814, 4.69
815, 4.08
816, 3.56
817, 3.44
818, 2.34
819, 1.70
820, 1.38
821, 11.18
822, 10.49
823, 9.77
824, 8.70
825, 7.70
826, 7.44
827, 7.22
828, 6.35
829, 6.12
830, 5.32
831, 4.88
832, 4.25
833, 3.66
834, 3.12
835, 2.52
836, 2.00
837, 11.00
838, 10.83
839, 10.35
840, 9.62
841, 9.30
842, 8.60
843, 8.32
844, 7.35
845, 7.22
846, 6.92
847, 6.40
848, 5.76
849, 4.73
850, 4.00
851, 3.01
852, 2.91
853, 1.87
854, 10.83
855, 10.20
856, 9.77
857, 8.97
858, 8.64
859, 7.93
860, 7.37
861, 6.26
862, 5.66
863, 4.93
864, 4.22
865, 3.58
866, 3.27
867, 3.12
868, 2.74
869, 2.36
870, 1.82
871, 11.50
872, 10.96
873, 10.51
874, 9.70
875, 8.94
876, 8.25
877, 7.19
878, 6.88
879, 6.02
880, 5.17
881, 4.07
882, 3.68
883, 3.17
884, 3.00
885, 2.87
886, 2.38
887, 2.15
888, 11.53
889, 11.16
890, 11.00
891, 10.09
892, 9.81
893, 9.40
894, 9.13
895, 8.97
896, 7.87
897, 7.08
898, 6.58
899, 5.83
900, 4.27
901, 3.89
902, 3.06
903, 2.07
904, 1.98
905, 1.14
906, 10.60
907, 10.10
908, 9.16
909, 8.48
910, 8.03
911, 7.24
912, 6.64
913, 6.33
914, 5.99
915, 5.05
916, 4.12
917, 3.66
918, 3.00
919, 2.01
920, 1.44
921, 1.09
922, 10.55
923, 10.01
924, 9.62
925, 9.11
926, 8.51
927, 8.11
928, 7.40
929, 6.35
930, 5.52
931, 5.36
932, 4.68
933, 4.27
934, 4.05
935, 3.28
936, 3.12
937, 2.44
938, 1.64
939, 1.39
940, 1.04
941, 10.84
942, 10.72
943, 10.60
944, 10.27
945, 9.99
946, 9.18
947, 8.16
948, 7.37
949, 6.66
950, 6.43
951, 6.20
952, 5.39
953, 4.66
954, 3.78
955, 3.11
956, 2.42
957, 1.74
958, 10.72
959, 10.47
960, 10.21
961, 9.39
962, 8.69
963, 8.44
964, 7.34
965, 7.25
966, 6.69
967, 6.27
968, 6.00
969, 5.46
970, 5.17
971, 4.34
972, 3.60
973, 2.52
974, 2.09
975, 1.86
976, 10.97
977, 9.96
978, 9.62
979, 8.89
980, 7.96
981, 7.48
982, 6.52
983, 5.55
984, 4.99
985, 4.78
986, 4.11
987, 3.55
988, 3.22
989, 2.35
990, 2.02
991, 1.84
992, 10.95
993, 9.89
994, 8.81
995, 8.46
996, 8.00
997, 7.20
998, 6.34
999, 5.36
1000, 4.41
1001, 3.81
1002, 2.79
1003, 2.58
1004, 2.07
1005, 1.46
1006, 10.41
1007, 9.89
1008, 9.42
1009, 8.55
1010, 7.67
1011, 7.08
1012, 6.05
1013, 5.16
1014, 4.36
1015, 3.36
1016, 2.38
1017, 1.78
1018, 10.88
1019, 9.81
1020, 8.94
1021, 8.78
1022, 7.76
1023, 7.58
1024, 7.14
1025, 6.47
1026, 6.36
1027, 6.14
1028, 5.14
1029, 4.50
1030, 3.66
1031, 3.16
1032, 2.92
1033, 2.73
1034, 1.85
1035, 10.84
1036, 9.92
1037, 8.99
1038, 8.69
1039, 7.68
1040, 7.57
1041, 7.06
1042, 6.18
1043, 5.78
1044, 5.04
1045, 4.35
1046, 4.04
1047, 3.21
1048, 2.40
1049, 1.86
1050, 1.61
1051, 11.32
1052, 10.80
1053, 10.27
1054, 10.06
1055, 9.68
1056, 9.50
1057, 8.52
1058, 8.38
1059, 7.40
1060, 6.51
1061, 5.80
1062, 5.14
1063, 4.88
1064, 4.72
1065, 3.86
1066, 3.29
1067, 2.72
1068, 1.96
1069, 11.46
1070, 11.08
1071, 10.42
1072, 9.40
1073, 8.89
1074, 8.59
1075, 7.53
1076, 6.82
1077, 6.13
1078, 5.03
1079, 4.86
1080, 4.27
1081, 3.49
1082, 2.43
1083, 1.75
1084, 11.22
1085, 10.72
1086, 10.48
1087, 10.33
1088, 10.04
1089, 9.49
1090, 8.22
1091, 8.02
1092, 7.89
1093, 6.97
1094, 6.01
1095, 4.92
1096, 4.63
1097, 3.65
1098, 3.46
1099, 3.32
1100, 3.15
1101, 3.00
1102, 2.52
1103, 1.70
1104, 1.16
1105, 10.10
1106, 9.22
1107, 8.79
1108, 8.50
1109, 7.49
1110, 6.78
1111, 6.12
1112, 5.98
1113, 5.67
1114, 5.08
1115, 4.85
1116, 4.66
1117, 3.99
1118, 3.38
1119, 2.67
1120, 2.45
1121, 1.57
1122, 1.32
1123, 10.34
1124, 9.37
1125, 9.10
1126, 8.32
1127, 7.47
1128, 6.92
1129, 6.14
1130, 5.07
1131, 4.39
1132, 4.06
1133, 3.44
1134, 2.65
1135, 2.52
1136, 2.21
1137, 1.73
1138, 10.82
1139, 10.10
1140, 9.74
1141, 8.76
1142, 8.08
1143, 7.38
1144, 7.02
1145, 6.38
1146, 5.75
1147, 5.16
1148, 4.14
1149, 3.87
1150, 3.50
1151, 2.58
1152, 2.37
1153, 1.75
1154, 1.45
1155, 10.82
1156, 9.81
1157, 9.66
1158, 9.30
1159, 8.72
1160, 8.21
1161, 7.24
1162, 6.59
1163, 5.90
1164, 5.21
1165, 4.55
1166, 4.30
1167, 3.28
1168, 2.89
1169, 2.04
1170, 11.05
1171, 10.30
1172, 9.50
1173, 8.93
1174, 7.89
1175, 7.43
1176, 6.46
1177, 5.89
1178, 5.66
1179, 4.84
1180, 4.14
1181, 3.42
1182, 2.49
1183, 1.71
1184, 11.10
1185, 10.44
1186, 9.88
1187, 9.36
1188, 8.27
1189, 7.41
1190, 6.82
1191, 5.87
1192, 5.18
1193, 4.98
1194, 4.68
1195, 3.96
1196, 3.61
1197, 2.80
1198, 1.85
1199, 11.13
1200, 10.18
1201, 9.30
1202, 8.38
1203, 7.56
1204, 7.19
1205, 7.05
1206, 6.05
1207, 5.30
1208, 4.35
1209, 3.25
1210, 2.76
1211, 2.32
1212, 2.14
1213, 1.61
1214, 11.36
1215, 11.14
1216, 10.28
1217, 10.00
1218, 9.16
1219, 8.78
1220, 7.78
1221, 7.10
1222, 6.59
1223, 5.79
1224, 5.67
1225, 4.67
1226, 4.54
1227, 4.14
1228, 3.69
1229, 2.93
1230, 1.83
1231, 11.10
1232, 10.62
1233, 9.52
1234, 9.21
1235, 8.79
1236, 8.14
1237, 7.43
1238, 6.53
1239, 5.93
1240, 5.63
1241, 4.63
1242, 4.44
1243, 3.51
1244, 3.26
1245, 2.53
1246, 2.12
1247, 11.08
1248, 10.57
1249, 10.46
1250, 9.58
1251, 8.84
1252, 8.34
1253, 7.55
1254, 7.22
1255, 6.39
1256, 5.66
1257, 5.16
1258, 4.58
1259, 4.48
1260, 3.99
1261, 3.76
1262, 3.62
1263, 3.02
1264, 2.63
1265, 2.02
1266, 1.83
1267, 10.76
1268, 10.08
1269, 9.09
1270, 8.42
1271, 8.26
1272, 7.54
1273, 6.58
1274, 5.79
1275, 4.88
1276, 3.81
1277, 3.62
1278, 2.88
1279, 1.13
1280, 10.37
1281, 10.12
1282, 9.49
1283, 9.16
1284, 8.32
1285, 7.75
1286, 7.51
1287, 6.47
1288, 5.68
1289, 4.94
1290, 4.67
1291, 4.50
1292, 4.30
1293, 3.76
1294, 2.78
1295, 1.87
1296, 1.39
1297, 10.33
1298, 9.93
1299, 9.62
1300, 8.83
1301, 8.13
1302, 7.67
1303, 6.64
1304, 5.52
1305, 4.96
1306, 4.36
1307, 3.76
1308, 3.44
1309, 3.01
1310, 2.65
1311, 1.96
1312, 1.80
1313, 1.26
1314, 10.82
1315, 9.72
1316, 8.64
1317, 7.88
1318, 7.63
1319, 7.39
1320, 6.72
1321, 5.99
1322, 5.20
1323, 4.53
1324, 4.20
1325, 3.68
1326, 3.33
1327, 2.67
1328, 1.88
1329, 1.07
1330, 10.13
1331, 9.15
1332, 8.94
1333, 8.20
1334, 7.44
1335, 6.98
1336, 6.42
1337, 6.14
1338, 5.04
1339, 3.98
1340, 3.82
1341, 3.67
1342, 2.58
1343, 1.94
1344, 11.08
1345, 10.25
1346, 9.95
1347, 9.09
1348, 8.51
1349, 8.34
1350, 7.73
1351, 6.86
1352, 6.74
1353, 6.24
1354, 5.58
1355, 5.27
