read, delay
1, 19.46
2, 7.13
3, 2.56
4, 9.68
5, 9.55
6, 5.12
7, 4.80
8, 12.25
9, 8.08
10, 7.68
11, 3.30
12, 10.64
13, 9.51
14, 4.71
15, 4.14
16, 11.03
17, 6.47
18, 5.87
19, 13.20
20, 8.36
21, 8.09
22, 3.29
23, 10.48
24, 10.09
25, 5.60
26, 4.95
27, 11.96
28, 7.28
29, 6.30
30, 13.30
31, 8.49
32, 7.98
33, 3.26
34, 10.86
35, 9.83
36, 5.06
37, 4.31
38, 11.86
39, 7.63
40, 7.42
41, 2.66
42, 10.25
43, 9.37
44, 4.62
45, 3.92
46, 10.94
47, 5.95
48, 5.09
49, 12.16
50, 7.51
51, 7.10
52, 2.57
53, 9.66
54, 8.85
55, 4.72
56, 3.97
57, 11.39
58, 6.86
59, 6.44
60, 2.16
61, 9.79
62, 9.59
63, 4.75
64, 4.22
65, 11.65
66, 7.28
67, 6.36
68, 1.58
69, 8.96
70, 8.74
71, 3.68
72, 11.11
73, 10.88
74, 6.60
75, 6.24
76, 1.72
77, 8.87
78, 8.48
79, 4.31
80, 3.92
81, 11.66
82, 7.50
83, 6.95
84, 2.14
85, 9.22
86, 8.74
87, 4.54
88, 3.68
89, 10.66
90, 5.86
91, 4.94
92, 12.70
93, 7.58
94, 7.04
95, 2.70
96, 9.98
97, 9.71
98, 5.32
99, 4.49
100, 11.91
101, 7.36
102, 6.50
103, 2.06
104, 9.20
105, 8.96
106, 4.07
107, 3.72
108, 11.48
109, 6.90
110, 6.03
111, 13.26
112, 8.22
113, 7.35
114, 2.96
115, 10.58
116, 9.95
117, 5.15
118, 4.16
119, 11.80
120, 7.06
121, 6.72
122, 1.86
123, 9.55
124, 8.85
125, 3.90
126, 11.42
127, 11.14
128, 6.52
129, 6.16
130, 1.72
131, 8.67
132, 7.77
133, 3.64
134, 11.28
135, 10.74
136, 6.37
137, 5.54
138, 13.05
139, 8.03
140, 7.86
141, 2.86
142, 10.32
143, 10.20
144, 5.19
145, 5.08
146, 12.37
147, 7.46
148, 6.57
149, 2.02
150, 9.81
151, 9.47
152, 4.62
153, 4.08
154, 11.16
155, 6.64
156, 5.96
157, 1.71
158, 9.51
159, 8.70
160, 4.27
161, 4.12
162, 11.20
163, 6.10
164, 5.28
165, 12.46
166, 7.70
167, 6.69
168, 1.70
169, 9.08
170, 8.94
171, 4.18
172, 11.24
173, 10.56
174, 5.97
175, 5.18
176, 12.66
177, 7.90
178, 7.30
179, 2.74
180, 10.46
181, 9.36
182, 4.61
183, 11.62
184, 11.11
185, 6.20
186, 5.53
187, 12.61
188, 7.49
189, 7.08
190, 2.79
191, 9.72
192, 8.87
193, 4.49
194, 11.58
195, 10.65
196, 6.34
197, 6.01
198, 13.16
199, 8.62
200, 8.01
201, 3.52
202, 10.70
203, 9.74
204, 5.08
205, 4.18
206, 11.66
207, 6.86
208, 5.86
209, 12.96
210, 8.75
211, 8.16
212, 3.25
213, 11.12
214, 10.75
215, 6.39
216, 5.58
217, 13.37
218, 8.87
219, 8.45
220, 3.98
221, 11.36
222, 10.53
223, 5.84
224, 5.18
225, 12.80
226, 7.90
227, 6.96
