read, delay
1, 16.53
2, 5.43
3, 5.43
4, 11.96
5, 10.53
6, 6.14
7, 3.94
8, 10.40
9, 9.14
10, 8.11
11, 3.47
12, 13.03
13, 7.85
14, 6.21
15, 12.44
16, 11.30
17, 10.10
18, 5.43
19, 3.92
20, 10.00
21, 8.94
22, 7.21
23, 13.06
24, 1.07
25, 6.04
26, 4.42
27, 12.16
28, 11.06
29, 5.75
30, 5.41
31, 11.13
32, 9.81
33, 4.50
34, 17.91
35, 9.45
36, 7.73
37, 6.56
38, 12.69
39, 14.70
40, 6.16
41, 5.28
42, 11.26
43, 9.61
44, 21.90
45, 3.22
46, 12.65
47, 7.32
48, 6.16
49, 18.12
50, 10.53
51, 8.88
52, 4.38
53, 13.92
54, 9.21
55, 7.76
56, 6.82
57, 12.90
58, 11.83
59, 6.92
60, 5.22
61, 11.53
62, 9.60
63, 8.72
64, 3.46
65, 12.90
66, 9.36
67, 7.60
68, 4.22
69, 12.98
70, 8.22
71, 6.50
72, 12.60
73, 1.27
74, 10.02
75, 5.83
76, 12.22
77, 11.03
78, 32.08
79, 3.47
80, 12.97
81, 7.78
82, 6.21
83, 20.19
84, 12.93
85, 8.24
86, 6.88
87, 5.47
88, 15.29
89, 10.46
90, 5.44
91, 4.30
92, 10.38
93, 13.31
94, 8.28
95, 13.96
96, 12.67
97, 8.80
98, 21.05
99, 13.43
100, 12.58
101, 7.15
102, 5.90
103, 17.94
104, 10.84
105, 9.72
106, 4.16
107, 13.80
108, 9.02
109, 7.80
110, 3.64
111, 13.62
112, 9.45
113, 8.69
114, 3.45
115, 13.08
116, 7.60
117, 6.26
118, 5.22
119, 11.78
120, 10.31
121, 5.87
122, 4.33
123, 10.58
124, 8.82
125, 7.60
126, 2.79
127, 2.72
128, 7.69
129, 6.26
130, 5.28
131, 11.26
132, 32.11
133, 4.12
134, 13.88
135, 8.99
136, 7.67
137, 21.23
138, 12.36
139, 10.80
140, 5.37
141, 15.09
142, 17.80
143, 8.82
144, 5.30
145, 14.85
146, 9.85
147, 11.79
148, 6.90
149, 13.22
150, 11.37
151, 6.21
152, 18.82
153, 10.98
154, 11.07
155, 5.80
156, 4.10
157, 16.70
158, 9.03
159, 7.24
160, 13.08
161, 11.81
162, 6.47
163, 5.40
164, 11.34
165, 9.53
166, 7.88
167, 3.11
168, 13.10
169, 7.77
170, 6.04
171, 12.48
172, 11.37
173, 9.70
174, 4.72
175, 14.60
176, 9.94
177, 8.60
178, 7.19
179, 13.55
180, 9.64
181, 30.88
182, 7.38
183, 13.69
184, 8.13
185, 6.66
186, 20.62
187, 11.80
188, 10.79
189, 5.88
190, 4.16
191, 18.15
192, 9.19
193, 8.30
194, 2.69
195, 12.89
196, 14.97
197, 6.54
198, 5.08
199, 11.68
200, 10.12
201, 12.98
202, 3.63
203, 9.91
204, 8.73
205, 7.59
206, 9.01
207, 11.61
208, 10.10
209, 4.92
210, 3.96
211, 16.58
212, 9.22
213, 7.38
214, 2.41
215, 11.86
216, 6.45
217, 5.02
218, 11.36
219, 10.07
220, 8.87
221, 3.88
222, 13.71
223, 10.69
224, 5.50
225, 3.91
226, 10.20
227, 9.21
228, 7.72
229, 3.04
230, 2.58
231, 7.56
232, 5.83
233, 4.25
234, 10.08
235, 6.24
236, 3.73
237, 13.37
238, 8.72
239, 6.95
240, 20.96
241, 12.27
242, 11.02
243, 6.30
244, 5.32
245, 18.87
246, 10.25
247, 8.67
248, 3.56
249, 13.10
250, 15.92
251, 6.39
252, 4.74
253, 10.66
254, 8.81
255, 9.72
256, 12.12
257, 11.00
258, 6.01
259, 4.88
260, 17.40
261, 9.58
262, 8.60
263, 2.98
264, 12.74
265, 7.71
266, 5.90
267, 4.50
268, 10.62
269, 9.07
270, 4.10
271, 13.80
272, 9.08
273, 7.24
274, 6.26
275, 12.18
276, 10.85
277, 5.33
278, 4.15
279, 9.92
280, 6.82
281, 4.96
282, 10.70
283, 9.12
284, 30.53
285, 2.99
286, 12.87
287, 7.23
288, 5.39
289, 18.92
290, 10.77
291, 9.33
292, 5.30
293, 11.10
294, 16.86
295, 7.72
296, 3.70
297, 9.80
298, 8.17
299, 20.59
300, 1.59
301, 11.15
302, 6.02
303, 4.15
304, 9.96
305, 8.46
306, 6.70
307, 12.79
308, 11.36
309, 6.42
310, 5.51
311, 4.66
312, 11.14
313, 10.05
314, 4.48
315, 4.76
316, 11.19
317, 7.60
318, 5.93
319, 4.60
320, 10.63
321, 9.36
322, 3.73
323, 3.67
324, 8.68
325, 7.12
326, 6.14
327, 12.66
328, 0.60
329, 5.57
330, 3.01
331, 12.72
332, 7.33
333, 5.56
334, 13.74
335, 8.92
336, 9.10
337, 4.19
338, 3.10
339, 10.78
340, 8.80
341, 4.91
342, 11.33
343, 17.06
344, 8.45
345, 2.78
346, 12.75
347, 9.16
348, 11.63
349, 2.65
350, 12.96
351, 7.37
352, 6.37
353, 18.29
354, 10.81
355, 9.46
356, 4.42
357, 13.96
358, 9.12
359, 7.56
360, 6.50
361, 12.73
362, 11.09
363, 6.35
364, 6.23
365, 11.98
366, 10.93
367, 5.84
368, 3.44
369, 10.86
370, 9.10
371, 8.17
372, 2.70
373, 9.60
374, 8.39
375, 7.00
376, 12.92
377, 2.06
378, 7.00
379, 5.75
380, 4.68
381, 10.39
382, 31.06
383, 3.50
384, 13.08
385, 8.08
386, 6.78
387, 20.05
388, 10.78
389, 9.31
390, 4.16
391, 14.15
392, 16.89
393, 7.74
394, 5.93
395, 12.05
396, 11.17
397, 13.11
398, 4.12
399, 9.87
400, 8.64
401, 7.19
402, 8.66
403, 11.09
404, 10.00
405, 5.89
406, 3.52
407, 16.38
408, 8.41
409, 7.38
410, 2.71
411, 12.89
412, 8.12
413, 6.51
414, 5.10
415, 11.44
416, 10.23
417, 5.51
418, 4.60
419, 10.86
420, 9.14
421, 7.98
422, 3.08
423, 12.74
424, 7.27
425, 5.68
426, 11.42
427, 9.24
428, 7.48
429, 5.75
430, 11.66
431, 0.88
432, 5.84
433, 4.66
434, 10.88
435, 9.43
436, 30.28
437, 2.32
438, 12.72
439, 7.39
440, 5.56
441, 19.57
442, 10.38
443, 8.96
444, 3.63
445, 13.87
446, 16.73
447, 8.23
448, 6.69
449, 1.89
450, 12.15
451, 14.64
452, 5.26
453, 11.48
454, 9.68
455, 7.87
456, 8.96
457, 11.66
458, 10.56
459, 5.45
460, 3.62
461, 15.77
462, 8.07
463, 6.70
464, 12.34
465, 11.26
466, 6.10
467, 5.12
468, 11.07
469, 9.82
470, 8.22
471, 3.27
472, 13.20
473, 8.02
474, 6.68
475, 5.24
476, 11.60
477, 9.98
478, 4.84
479, 3.50
480, 11.01
481, 10.07
482, 4.69
483, 3.18
484, 9.21
485, 7.42
486, 3.01
487, 10.70
488, 9.01
489, 7.98
490, 2.60
491, 10.79
492, 9.45
493, 5.07
494, 11.36
495, 17.89
496, 9.37
497, 4.20
498, 2.99
499, 9.36
500, 15.62
501, 6.71
502, 12.37
503, 11.22
504, 5.64
505, 10.12
506, 9.53
507, 7.96
508, 7.03
509, 2.08
510, 9.69
511, 8.06
512, 6.57
513, 13.38
514, 13.28
515, 6.80
516, 5.64
517, 12.80
518, 10.97
519, 5.67
520, 2.55
521, 10.19
522, 8.88
523, 7.16
524, 2.14
525, 12.44
526, 6.87
527, 5.62
528, 11.40
529, 9.57
530, 8.65
531, 3.66
532, 13.78
533, 9.58
534, 30.39
535, 3.07
536, 13.14
537, 8.02
538, 6.62
539, 20.41
540, 11.30
541, 10.27
542, 5.51
543, 5.84
544, 19.62
545, 10.69
546, 5.44
547, 4.24
548, 10.24
549, 16.16
550, 7.70
551, 2.78
552, 13.02
553, 8.19
554, 13.88
555, 5.16
556, 10.85
557, 9.68
558, 4.97
559, 9.74
560, 9.20
561, 7.92
562, 6.05
563, 13.55
564, 8.43
565, 7.30
566, 6.35
567, 12.06
568, 11.05
569, 6.15
570, 5.14
571, 10.83
572, 9.88
573, 8.46
574, 2.85
575, 10.08
576, 8.36
577, 7.34
578, 2.35
579, 12.32
580, 7.36
581, 6.20
582, 4.58
583, 0.64
584, 9.40
585, 3.93
586, 14.05
587, 8.85
588, 7.45
589, 3.79
590, 14.03
591, 8.62
592, 7.36
593, 3.66
594, 11.94
595, 10.96
596, 5.49
597, 3.86
