read, delay
1, 16.52
2, 5.49
3, 4.24
4, 16.91
5, 26.86
6, 10.80
7, 8.99
8, 7.96
9, 2.95
10, 21.89
11, 13.52
12, 11.84
13, 7.92
14, 6.26
15, 2.50
16, 17.64
17, 12.68
18, 11.75
19, 10.23
20, 16.31
21, 4.00
22, 16.03
23, 14.38
24, 8.93
25, 14.88
26, 5.71
27, 18.48
28, 13.62
29, 12.17
30, 9.23
31, 7.42
32, 2.36
33, 14.58
34, 11.74
35, 9.50
36, 9.02
37, 4.16
38, 16.50
39, 14.74
40, 13.70
41, 9.12
42, 7.58
43, 5.91
44, 9.55
45, 13.26
46, 12.70
47, 7.38
48, 6.22
49, 29.42
50, 16.81
51, 11.42
52, 10.28
53, 8.95
54, 4.28
55, 16.57
56, 15.61
57, 14.10
58, 9.32
59, 8.13
60, 6.46
61, 18.61
62, 14.60
63, 13.68
64, 19.74
65, 6.65
66, 5.59
67, 17.56
68, 12.62
69, 20.46
70, 8.21
71, 6.48
72, 4.68
73, 17.37
74, 14.99
75, 10.82
76, 10.97
77, 6.03
78, 18.27
79, 16.39
80, 10.91
81, 9.44
82, 7.90
83, 3.16
84, 15.88
85, 14.18
86, 13.26
87, 8.09
88, 6.62
89, 5.56
90, 15.57
91, 14.40
92, 13.00
93, 8.35
94, 5.89
95, 5.27
96, 17.75
97, 12.62
98, 11.12
99, 9.74
100, 5.17
101, 3.49
102, 15.96
103, 5.45
104, 9.18
105, 9.32
106, 3.75
107, 15.95
108, 25.73
109, 13.22
110, 7.84
111, 7.79
112, 3.15
113, 22.86
114, 15.12
115, 9.77
116, 8.00
117, 6.64
118, 18.11
119, 17.18
120, 11.95
121, 12.21
122, 7.24
123, 17.21
124, 17.98
125, 16.72
126, 11.93
127, 10.91
128, 13.10
129, 4.17
130, 16.91
131, 15.35
132, 13.67
133, 11.20
134, 7.25
135, 6.10
136, 18.55
137, 13.39
138, 10.74
139, 10.43
140, 5.05
141, 3.50
142, 16.18
143, 14.70
144, 12.41
145, 7.00
146, 5.74
147, 17.68
148, 16.57
149, 11.66
150, 8.61
151, 7.10
152, 4.73
153, 16.83
154, 13.28
155, 11.74
156, 9.98
157, 5.16
158, 3.71
159, 15.68
160, 13.86
161, 8.81
162, 7.25
163, 6.16
164, 18.29
165, 12.71
166, 11.14
167, 21.44
168, 5.15
169, 3.55
170, 15.54
171, 14.45
172, 17.13
173, 7.97
174, 4.26
175, 16.66
176, 15.70
177, 12.94
178, 11.52
179, 6.66
180, 5.19
181, 17.70
182, 16.69
183, 11.85
184, 9.95
185, 8.48
186, 3.69
187, 16.15
188, 15.11
189, 13.93
190, 8.46
191, 7.44
192, 4.72
193, 17.60
194, 13.26
195, 12.19
196, 10.55
197, 5.85
198, 4.37
199, 17.20
200, 15.68
201, 10.92
202, 9.02
203, 7.85
204, 2.90
205, 15.53
206, 7.00
207, 10.74
208, 10.50
209, 6.53
210, 5.62
211, 26.97
212, 14.56
213, 12.76
214, 7.84
215, 6.00
216, 25.60
217, 16.64
218, 11.83
219, 10.46
220, 9.25
221, 4.29
222, 19.12
223, 14.82
224, 13.42
225, 8.09
226, 18.14
227, 5.88
228, 18.13
229, 13.46
230, 12.19
231, 14.23
232, 5.00
233, 17.66
234, 15.52
235, 14.16
236, 11.62
237, 7.54
238, 6.65
239, 18.62
240, 13.90
241, 11.46
242, 11.42
243, 9.24
244, 4.51
245, 16.79
246, 15.69
247, 13.92
248, 8.84
249, 7.13
250, 6.18
251, 18.28
252, 12.90
253, 11.34
254, 9.46
255, 4.13
256, 16.54
257, 15.42
258, 14.15
259, 9.31
260, 8.08
261, 6.49
262, 19.24
263, 13.68
264, 12.15
265, 1.55
266, 5.28
267, 5.16
268, 17.53
269, 12.22
270, 22.28
271, 9.46
272, 4.76
273, 16.64
274, 15.63
275, 17.74
276, 8.87
277, 8.39
278, 3.44
279, 15.49
280, 24.86
281, 9.27
282, 7.46
283, 5.86
284, 18.53
285, 13.47
286, 12.13
287, 10.27
288, 4.69
289, 16.97
290, 17.30
291, 12.34
292, 10.84
293, 9.15
294, 3.65
295, 15.74
296, 15.24
297, 10.13
298, 8.48
299, 7.16
300, 16.95
301, 16.45
302, 11.35
303, 9.48
304, 7.79
305, 2.50
306, 14.51
307, 13.09
308, 11.66
309, 6.74
310, 4.58
311, 3.70
312, 17.71
313, 12.82
314, 22.26
315, 10.03
316, 5.24
317, 4.13
318, 16.22
319, 18.60
320, 9.70
321, 8.42
322, 6.54
323, 19.25
324, 16.49
325, 12.46
326, 11.50
327, 6.72
328, 4.95
329, 15.94
330, 15.37
331, 10.11
332, 8.49
333, 6.70
334, 18.64
335, 13.85
336, 12.76
337, 11.66
338, 6.74
339, 16.74
340, 18.70
341, 16.11
342, 11.24
343, 10.71
344, 5.79
345, 5.19
