read, delay
1, 8.17
2, 5.07
3, 2.57
4, 3.14
5, 7.80
6, 5.26
7, 2.56
8, 3.19
9, 7.22
10, 4.40
11, 1.81
12, 2.37
13, 6.38
14, 4.14
15, 1.61
16, 2.18
17, 6.44
18, 3.97
19, 1.46
20, 2.13
21, 6.33
22, 3.24
23, 3.32
24, 7.50
25, 4.44
26, 1.40
27, 1.51
28, 5.74
29, 2.76
30, 3.36
31, 8.10
32, 4.98
33, 2.71
34, 2.63
35, 6.56
36, 3.91
37, 3.87
38, 1.69
39, 6.56
40, 4.20
41, 1.98
42, 1.90
43, 6.14
44, 3.12
45, 3.48
46, 7.94
47, 5.26
48, 2.82
49, 3.09
50, 7.52
51, 4.66
52, 1.93
53, 2.77
54, 7.44
55, 5.11
56, 2.94
57, 3.30
58, 7.50
59, 5.07
60, 2.11
61, 2.92
62, 7.14
63, 4.55
64, 2.12
65, 2.15
66, 6.04
67, 3.16
68, 3.61
69, 8.00
70, 5.06
71, 2.37
72, 2.68
73, 6.74
74, 4.42
75, 2.18
76, 2.84
77, 7.67
78, 4.98
79, 1.84
80, 2.42
81, 7.23
82, 4.42
83, 1.52
84, 1.85
85, 6.62
86, 4.42
87, 2.28
88, 2.17
89, 6.61
90, 3.56
91, 4.22
92, 1.90
93, 6.16
94, 3.32
95, 3.75
96, 1.58
97, 5.92
98, 3.28
99, 4.01
100, 8.12
101, 5.77
102, 3.22
103, 3.94
104, 1.45
105, 6.16
106, 3.47
107, 3.37
108, 7.40
109, 5.10
110, 2.55
111, 2.49
112, 7.12
113, 4.12
114, 4.15
115, 1.67
116, 5.71
117, 3.32
118, 3.34
119, 7.58
120, 5.30
121, 2.54
122, 3.07
123, 7.92
124, 5.78
125, 3.15
126, 3.81
127, 7.82
128, 5.09
129, 2.41
130, 2.38
131, 6.78
132, 4.50
133, 1.61
134, 1.71
135, 5.69
136, 3.34
137, 3.68
138, 8.26
139, 5.50
140, 2.74
141, 2.62
142, 7.43
143, 4.62
144, 1.92
145, 1.94
146, 6.60
147, 4.12
148, 1.46
149, 1.74
150, 6.53
151, 3.90
152, 1.38
153, 1.76
154, 6.59
155, 4.27
156, 2.08
157, 2.17
158, 6.22
159, 3.97
160, 4.01
161, 1.60
162, 5.81
163, 3.47
164, 4.19
165, 1.60
166, 6.01
167, 3.23
168, 3.76
169, 8.22
170, 5.25
171, 2.66
172, 3.23
173, 7.88
174, 4.93
175, 2.62
176, 2.74
177, 7.44
178, 4.71
179, 2.56
180, 2.75
181, 7.03
182, 4.21
183, 1.93
184, 2.21
185, 6.27
186, 3.37
187, 4.16
188, 8.23
189, 5.54
190, 3.31
191, 3.98
192, 7.88
193, 5.26
194, 2.58
195, 2.55
196, 7.30
197, 5.04
198, 2.77
199, 3.29
200, 7.75
201, 5.43
202, 2.42
203, 3.07
204, 7.62
205, 5.15
206, 2.24
207, 2.43
208, 6.45
209, 3.88
210, 4.36
211, 8.27
212, 5.78
213, 3.54
214, 3.72
215, 7.98
216, 5.15
217, 2.26
218, 2.51
219, 7.03
220, 4.76
221, 1.96
222, 2.81
223, 7.22
224, 4.64
225, 2.38
226, 2.73
227, 7.32
228, 4.51
229, 1.39
230, 8.32
231, 5.61
232, 3.21
233, 3.60
234, 8.13
235, 5.04
236, 2.05
237, 2.78
238, 7.18
239, 4.86
240, 2.27
241, 2.50
242, 6.56
243, 3.62
244, 1.46
245, 2.06
246, 6.70
247, 4.54
248, 2.19
249, 2.57
250, 6.64
251, 3.71
252, 4.15
253, 1.58
254, 6.06
255, 3.12
256, 3.88
257, 8.21
258, 5.83
259, 3.59
260, 4.30
261, 1.49
262, 6.04
263, 3.00
264, 3.12
265, 7.68
266, 4.92
267, 2.68
268, 2.68
269, 6.60
270, 4.10
271, 4.34
272, 1.90
273, 6.44
274, 3.98
275, 4.80
276, 1.80
277, 6.19
278, 3.79
279, 1.60
280, 2.33
281, 6.84
282, 4.36
283, 1.90
284, 2.50
285, 6.63
286, 4.20
287, 1.51
288, 1.69
289, 5.94
290, 3.24
291, 3.50
292, 8.00
293, 5.73
294, 3.33
295, 4.19
296, 8.20
297, 6.06
298, 3.71
299, 3.66
300, 1.50
301, 6.13
302, 3.76
303, 3.84
304, 8.17
305, 5.34
306, 3.06
307, 3.66
308, 8.21
309, 5.40
310, 2.36
311, 3.04
312, 7.70
313, 5.30
314, 2.82
315, 2.98
316, 7.31
317, 4.87
318, 1.80
319, 2.46
320, 6.38
321, 4.06
322, 4.42
323, 1.62
324, 6.10
325, 3.78
326, 3.78
327, 7.68
328, 5.04
329, 2.33
330, 3.03
331, 7.29
332, 4.22
333, 1.92
334, 1.93
335, 6.18
336, 3.10
337, 3.22
338, 7.96
339, 5.17
340, 2.08
341, 2.08
342, 6.13
343, 3.25
344, 3.34
345, 7.80
346, 5.67
347, 2.96
348, 3.47
349, 8.28
350, 5.50
351, 3.29
352, 3.78
353, 7.79
354, 4.92
355, 2.18
356, 2.46
357, 6.80
358, 4.20
359, 4.38
360, 8.39
361, 5.48
362, 3.27
363, 3.35
364, 8.00
365, 5.80
366, 3.61
367, 3.67
368, 8.40
369, 5.95
370, 2.99
371, 3.12
372, 7.94
373, 5.19
374, 2.50
375, 3.05
376, 7.08
377, 4.95
378, 2.45
379, 2.62
380, 7.22
381, 4.79
382, 2.43
383, 2.61
384, 6.83
385, 4.42
386, 1.44
387, 1.56
388, 6.18
389, 3.74
390, 3.70
391, 7.82
392, 4.99
393, 2.01
394, 1.98
395, 6.11
396, 3.39
397, 3.78
398, 7.88
399, 5.20
400, 2.56
401, 2.82
402, 7.58
403, 4.54
404, 2.23
405, 2.73
406, 7.33
407, 4.41
408, 2.01
409, 2.46
410, 6.46
411, 4.11
412, 4.07
413, 1.67
414, 5.81
415, 3.36
416, 3.90
417, 8.10
418, 5.36
419, 3.17
420, 3.08
421, 7.43
422, 4.78
423, 1.94
424, 2.61
425, 6.96
426, 3.92
427, 4.35
428, 1.91
429, 6.22
430, 3.37
431, 3.58
432, 8.01
433, 5.01
434, 2.17
435, 2.32
436, 6.58
437, 4.31
438, 4.42
439, 2.18
440, 6.99
441, 4.06
442, 1.76
443, 2.62
444, 6.83
445, 4.28
446, 1.52
447, 1.77
448, 5.83
449, 3.66
450, 4.39
451, 1.95
452, 6.46
453, 3.40
454, 3.53
455, 8.32
456, 5.96
457, 3.72
458, 3.81
459, 8.32
460, 5.38
461, 2.30
462, 2.24
463, 7.06
464, 4.35
465, 4.48
466, 8.42
467, 5.47
468, 2.69
469, 3.42
470, 7.71
471, 4.75
472, 1.70
473, 2.52
474, 7.36
475, 4.43
476, 2.02
477, 2.76
478, 7.61
479, 5.46
480, 2.53
481, 3.26
482, 7.50
483, 5.11
484, 2.01
485, 2.82
486, 7.09
487, 4.27
488, 1.53
489, 8.46
490, 5.66
491, 2.78
492, 2.84
493, 7.37
494, 4.69
495, 1.59
496, 1.59
497, 5.90
498, 3.12
499, 3.87
500, 8.07
501, 5.24
502, 2.54
503, 3.37
504, 7.56
505, 5.42
