read, delay
1, 4.24
2, 8.44
3, 5.96
4, 3.61
5, 4.04
6, 1.79
7, 5.70
8, 3.44
9, 3.91
10, 8.64
11, 6.51
12, 3.51
13, 3.90
14, 8.02
15, 5.48
16, 3.11
17, 3.67
18, 8.50
19, 5.72
20, 3.06
21, 3.78
22, 7.79
23, 4.89
24, 1.95
25, 2.10
26, 6.22
27, 3.98
28, 4.62
29, 1.81
30, 5.98
31, 2.94
32, 3.37
33, 7.60
34, 4.76
35, 2.52
36, 2.56
37, 7.18
38, 4.51
39, 4.53
40, 2.23
41, 7.11
42, 4.35
43, 4.47
44, 1.74
45, 6.32
46, 3.21
47, 3.40
48, 7.98
49, 4.95
50, 2.33
51, 2.46
52, 7.04
53, 4.51
54, 2.30
55, 2.57
56, 7.38
57, 4.70
58, 2.39
59, 2.98
60, 7.05
61, 4.22
62, 4.43
63, 2.29
64, 6.55
65, 3.47
66, 4.17
67, 8.15
68, 5.71
69, 3.56
70, 4.30
71, 8.33
72, 5.29
73, 2.94
74, 3.59
75, 7.64
76, 5.30
77, 2.88
78, 3.16
79, 7.02
80, 4.00
81, 4.31
82, 8.52
83, 6.23
84, 3.99
85, 4.36
86, 2.19
87, 6.51
88, 3.82
89, 4.51
90, 1.99
91, 6.60
92, 3.93
93, 4.80
94, 2.32
95, 6.24
96, 3.72
97, 4.08
98, 8.35
99, 5.76
100, 3.62
101, 3.72
102, 8.20
103, 5.24
104, 3.11
105, 3.77
106, 7.71
107, 4.85
108, 2.58
109, 3.13
110, 7.18
111, 4.64
112, 2.48
113, 2.73
114, 7.02
115, 4.14
116, 4.14
117, 8.54
118, 6.27
119, 4.09
120, 4.32
121, 2.10
122, 6.61
123, 4.13
124, 4.12
125, 8.64
126, 6.34
127, 4.08
128, 4.25
129, 8.57
130, 6.32
131, 3.50
132, 3.59
133, 8.12
134, 5.40
135, 3.01
136, 3.47
137, 7.78
138, 5.12
139, 2.32
140, 2.43
141, 6.63
142, 4.28
143, 4.59
144, 2.30
145, 6.38
146, 3.86
147, 3.84
148, 8.46
149, 6.03
150, 2.93
