read, delay
1, 10.30
2, 7.68
3, 5.19
4, 9.62
5, 7.38
6, 4.54
7, 8.92
8, 6.38
9, 3.97
10, 9.12
11, 6.36
12, 3.95
13, 8.56
14, 5.51
15, 10.03
16, 14.96
17, 12.53
18, 9.88
19, 14.55
20, 11.85
21, 9.20
22, 14.63
23, 11.72
24, 8.97
25, 14.14
26, 11.37
27, 9.02
28, 14.14
29, 11.56
30, 8.72
31, 14.04
32, 11.02
33, 8.11
34, 12.52
35, 9.57
36, 6.74
37, 11.29
38, 8.21
39, 13.16
40, 10.47
41, 7.80
42, 12.60
43, 9.63
44, 7.32
45, 5.00
46, 9.52
47, 7.03
48, 11.44
49, 8.44
50, 6.32
51, 10.85
52, 8.22
53, 5.48
54, 10.54
55, 8.27
56, 5.86
57, 3.01
58, 7.79
59, 5.37
60, 9.83
61, 6.91
62, 11.67
63, 16.95
64, 13.84
65, 11.20
66, 15.97
67, 12.45
68, 9.39
69, 13.83
70, 11.63
71, 9.32
72, 13.69
73, 11.42
74, 8.88
75, 13.41
76, 11.27
77, 8.40
78, 13.60
79, 11.27
80, 8.95
81, 13.52
82, 10.42
83, 8.30
84, 13.32
85, 10.63
86, 8.46
87, 6.16
88, 11.56
89, 8.88
90, 5.98
91, 11.19
92, 8.55
93, 5.70
94, 10.83
95, 8.47
96, 6.13
97, 11.31
98, 8.64
99, 6.06
100, 3.47
101, 8.03
102, 4.96
103, 10.29
104, 7.37
105, 4.55
106, 9.84
107, 7.30
108, 11.63
109, 16.19
110, 13.92
111, 11.41
112, 16.49
113, 13.59
114, 10.82
115, 15.76
116, 12.73
117, 9.76
118, 14.13
119, 11.18
120, 8.58
121, 13.84
122, 11.53
123, 8.52
124, 13.32
125, 10.80
126, 7.70
127, 12.95
128, 10.44
129, 7.78
130, 12.58
131, 10.46
132, 8.04
133, 5.91
134, 10.32
135, 7.67
136, 5.06
137, 10.35
138, 7.27
139, 4.60
140, 9.51
141, 7.25
142, 5.05
143, 10.34
144, 7.46
145, 5.08
146, 10.06
147, 7.55
148, 4.52
149, 9.29
150, 6.95
151, 3.91
152, 8.44
153, 12.96
154, 10.32
155, 9.01
156, 13.13
157, 10.21
158, 15.52
159, 12.58
160, 9.50
161, 14.54
162, 12.03
163, 9.76
164, 14.66
165, 12.31
166, 9.48
167, 21.67
168, 12.20
169, 8.87
170, 13.84
171, 11.18
172, 8.24
173, 13.15
174, 10.42
175, 7.90
176, 13.29
177, 10.26
178, 7.23
179, 12.32
180, 9.97
181, 6.87
182, 11.68
183, 9.08
184, 6.68
185, 12.04
186, 10.09
187, 7.13
188, 4.54
189, 10.05
190, 6.64
191, 4.24
192, 9.36
193, 7.05
194, 3.31
195, 15.72
196, 5.20
197, 9.62
198, 6.58
199, 3.86
200, 8.29
201, 20.19
202, 10.68
203, 15.89
204, 12.38
205, 9.30
206, 14.66
207, 12.14
208, 9.20
209, 13.88
210, 11.46
211, 9.01
212, 13.44
213, 10.96
214, 8.00
215, 12.76
216, 9.66
217, 14.28
218, 11.49
219, 9.14
220, 7.00
221, 12.26
222, 9.68
223, 7.12
224, 12.08
225, 9.63
226, 7.08
227, 11.52
228, 8.56
229, 12.83
230, 10.78
231, 7.69
232, 4.56
233, 9.81
234, 7.23
235, 4.89
236, 9.27
237, 6.46
238, 3.44
239, 15.47
240, 5.10
241, 10.04
242, 14.91
243, 4.99
244, 9.37
245, 14.36
246, 11.60
247, 16.80
248, 14.51
249, 11.87
250, 9.70
251, 15.00
252, 12.52
253, 9.63
254, 14.27
255, 11.44
256, 8.79
257, 13.22
258, 10.80
259, 8.46
260, 12.74
261, 9.61
262, 14.14
263, 11.81
264, 9.31
265, 7.03
266, 11.75
267, 8.91
268, 6.24
269, 10.84
270, 8.40
271, 5.95
272, 10.81
273, 8.60
