read, delay
1, 12.11
2, 9.34
3, 14.43
4, 12.13
5, 9.52
6, 7.26
7, 11.63
8, 9.33
9, 6.81
10, 12.06
11, 9.91
12, 6.93
13, 12.39
14, 16.28
15, 6.34
16, 11.63
17, 9.08
18, 7.02
19, 11.61
20, 8.93
21, 6.66
22, 11.20
23, 8.30
24, 5.34
25, 9.99
26, 7.12
27, 4.88
28, 10.06
29, 7.24
30, 4.40
31, 8.84
32, 6.25
33, 3.46
34, 8.12
35, 7.17
36, 3.02
37, 8.05
38, 5.41
39, 9.94
40, 15.25
41, 12.99
42, 10.26
43, 14.87
44, 12.17
45, 9.76
46, 14.13
47, 11.31
48, 8.90
49, 13.44
50, 10.82
51, 15.37
52, 12.98
53, 10.40
54, 8.22
55, 13.00
56, 10.81
57, 8.15
58, 13.32
59, 10.89
60, 7.98
61, 12.70
62, 9.89
63, 7.80
64, 12.46
65, 9.39
66, 7.09
67, 11.62
68, 9.15
69, 6.97
70, 12.20
71, 9.27
72, 6.21
73, 11.44
74, 9.09
75, 6.15
76, 11.23
77, 8.77
78, 6.06
79, 10.44
80, 7.42
81, 4.77
82, 9.46
83, 7.15
84, 4.88
85, 17.15
86, 7.68
87, 4.97
88, 9.70
89, 7.40
90, 4.87
91, 10.02
92, 7.35
93, 5.23
94, 10.22
95, 7.13
96, 4.59
97, 9.55
98, 6.80
99, 11.63
100, 17.03
101, 14.12
102, 11.60
103, 16.10
104, 14.00
105, 11.61
106, 16.12
107, 13.27
108, 11.03
109, 8.52
110, 13.09
111, 10.52
112, 8.36
113, 13.11
114, 10.37
115, 15.00
116, 11.99
117, 9.36
118, 14.68
119, 12.50
120, 9.74
121, 7.49
122, 12.45
123, 9.95
124, 6.99
125, 11.98
126, 9.68
127, 7.46
128, 12.14
129, 9.46
130, 7.15
131, 11.90
132, 9.00
133, 6.55
134, 11.25
135, 8.84
136, 6.32
137, 11.13
138, 8.48
139, 5.71
140, 10.28
141, 7.51
142, 5.17
143, 10.17
144, 7.76
145, 5.38
146, 9.74
147, 6.70
148, 4.36
149, 9.40
150, 6.30
151, 3.63
152, 8.75
153, 5.84
154, 3.49
155, 8.39
156, 5.32
157, 2.96
158, 15.23
159, 12.22
160, 16.77
161, 14.24
162, 11.45
163, 9.10
164, 13.71
165, 10.71
166, 15.32
167, 13.08
168, 10.54
169, 15.23
170, 12.24
171, 9.93
172, 7.61
173, 12.14
174, 9.69
175, 14.64
176, 12.52
177, 9.90
178, 7.26
179, 12.26
180, 9.56
181, 7.09
182, 12.35
183, 9.92
184, 6.86
185, 11.61
186, 9.34
187, 6.75
188, 12.13
189, 9.66
190, 6.68
191, 11.86
192, 9.15
193, 7.00
194, 11.58
195, 9.20
196, 6.23
197, 11.56
198, 8.80
199, 6.62
200, 3.86
201, 9.28
202, 6.20
203, 3.74
204, 8.73
205, 6.33
206, 3.99
207, 9.12
208, 6.35
209, 3.64
210, 8.98
211, 6.58
212, 4.16
213, 16.14
214, 13.69
215, 10.58
216, 15.20
217, 12.51
218, 10.14
219, 15.04
220, 12.59
221, 10.14
222, 15.05
223, 11.91
224, 9.24
225, 13.88
226, 11.44
227, 9.19
228, 13.98
229, 11.80
230, 9.29
231, 13.80
232, 10.80
233, 8.02
234, 12.59
235, 10.01
236, 7.44
237, 12.09
238, 9.96
239, 14.30
240, 12.20
241, 9.77
242, 7.24
243, 12.53
244, 10.34
245, 7.59
246, 12.74
247, 9.89
248, 7.30
249, 11.82
250, 9.64
251, 6.76
