read, delay
1, 10.77
2, 7.97
3, 5.08
4, 2.33
5, 9.75
6, 7.13
7, 4.20
8, 1.63
9, 8.71
10, 5.70
11, 2.68
12, 10.22
13, 7.77
14, 5.33
15, 2.97
16, 10.63
17, 8.23
18, 5.97
19, 3.41
20, 10.94
21, 7.95
22, 5.21
23, 2.12
24, 9.44
25, 6.94
26, 4.38
27, 1.79
28, 9.44
29, 6.55
30, 4.18
31, 1.76
32, 9.18
33, 6.26
34, 4.00
35, 1.67
36, 9.14
37, 6.65
38, 4.10
39, 1.22
40, 8.34
41, 5.67
42, 3.11
43, 10.08
44, 7.57
45, 5.10
46, 2.82
47, 10.32
48, 7.28
49, 4.89
50, 2.58
51, 10.06
52, 7.83
53, 5.18
54, 2.83
55, 10.25
56, 7.43
57, 4.83
58, 1.78
59, 9.20
60, 6.94
61, 4.44
62, 1.63
63, 9.17
64, 6.13
65, 3.22
66, 10.38
67, 7.33
68, 4.34
69, 2.07
70, 9.08
71, 6.90
72, 4.35
73, 1.58
74, 9.17
75, 6.66
76, 3.95
77, 10.84
78, 8.39
79, 5.40
80, 2.54
81, 9.90
82, 7.50
83, 4.57
84, 2.18
85, 9.51
86, 6.70
87, 3.95
88, 1.35
89, 8.94
90, 6.66
91, 4.05
92, 1.41
93, 8.36
94, 5.82
95, 3.42
96, 10.41
97, 7.32
98, 5.05
99, 2.13
100, 9.03
101, 6.15
102, 3.27
103, 10.75
104, 8.01
105, 5.90
106, 3.23
107, 10.81
108, 7.93
109, 4.78
110, 2.22
111, 9.19
112, 6.15
113, 3.35
114, 10.43
115, 7.41
116, 4.46
117, 1.81
118, 9.67
119, 7.27
120, 4.92
121, 1.79
122, 8.71
123, 6.19
124, 3.36
125, 10.72
126, 8.06
127, 5.33
128, 2.71
129, 10.46
130, 8.25
131, 5.64
132, 3.28
133, 10.56
134, 7.83
135, 4.94
136, 1.92
137, 8.90
138, 6.34
139, 3.30
140, 10.98
141, 8.61
142, 6.36
143, 4.21
144, 1.58
145, 9.05
146, 6.65
147, 4.02
148, 1.28
149, 8.60
150, 5.97
151, 3.42
