read, delay
2, 8.32
3, 5.20
4, 3.06
5, 10.13
6, 7.20
7, 4.97
8, 2.16
9, 9.72
10, 7.19
11, 4.46
12, 2.18
13, 9.89
14, 6.91
15, 4.71
16, 2.03
17, 9.77
18, 6.72
19, 3.70
20, 10.70
21, 8.59
22, 6.17
23, 3.55
24, 1.41
25, 8.38
26, 5.40
27, 3.27
28, 10.39
29, 7.40
30, 4.54
31, 2.30
32, 9.22
33, 6.47
34, 3.98
35, 1.85
36, 9.04
37, 6.38
38, 3.60
39, 1.44
40, 9.11
41, 6.56
42, 3.53
43, 1.04
44, 8.08
45, 5.66
46, 3.34
47, 10.32
48, 7.54
49, 5.05
50, 2.90
51, 10.49
52, 8.01
53, 5.68
54, 3.18
55, 10.32
56, 8.19
57, 5.04
58, 2.39
59, 9.94
60, 6.96
61, 3.88
62, 1.48
63, 8.62
64, 5.58
65, 2.75
66, 10.33
67, 7.39
68, 4.76
69, 2.00
70, 9.10
71, 6.07
72, 3.46
73, 0.89
74, 7.86
75, 5.64
76, 3.01
77, 10.41
78, 7.43
79, 4.73
80, 1.72
81, 9.58
82, 6.91
83, 4.11
84, 1.45
85, 8.72
86, 6.52
87, 4.06
88, 1.34
89, 8.78
90, 6.08
91, 3.74
92, 0.84
93, 8.30
94, 5.73
95, 2.90
96, 10.01
97, 7.31
98, 5.00
99, 2.48
100, 9.38
101, 6.52
102, 4.35
103, 1.54
104, 9.00
105, 6.69
106, 4.03
107, 1.17
108, 8.10
109, 5.72
110, 2.67
111, 9.74
112, 7.35
113, 4.83
114, 2.01
115, 9.42
116, 6.37
117, 4.26
118, 1.62
119, 9.40
120, 7.15
121, 4.41
122, 1.52
123, 9.27
124, 6.70
125, 4.30
126, 1.34
127, 8.69
128, 6.44
129, 3.70
130, 0.93
131, 8.73
132, 5.98
133, 3.09
134, 10.22
135, 7.12
136, 4.27
137, 1.18
138, 8.47
139, 5.69
140, 3.02
141, 10.40
142, 7.59
143, 5.39
144, 2.62
145, 10.44
146, 7.50
147, 4.55
148, 2.30
149, 9.58
150, 7.00
151, 4.63
152, 1.67
153, 9.37
154, 6.80
155, 4.52
156, 2.39
157, 9.67
158, 7.32
159, 4.58
160, 2.38
161, 10.16
162, 7.68
163, 4.81
164, 2.09
165, 9.52
166, 7.32
167, 4.26
168, 2.02
169, 9.69
170, 6.74
171, 4.22
172, 1.80
173, 9.42
174, 6.67
175, 3.87
176, 1.02
177, 8.12
178, 5.27
179, 2.74
180, 9.92
181, 7.78
182, 5.04
183, 2.44
184, 9.68
185, 7.01
186, 4.05
187, 1.81
188, 9.22
189, 6.44
190, 3.62
191, 1.12
192, 8.42
193, 5.41
194, 2.28
195, 9.31
196, 7.03
197, 4.56
198, 1.42
199, 9.06
200, 6.66
201, 4.40
202, 2.08
203, 9.32
204, 6.60
205, 3.89
206, 1.46
207, 8.56
208, 5.53
209, 2.44
210, 9.59
211, 6.84
212, 3.84
213, 1.68
214, 9.28
215, 6.28
216, 3.80
217, 1.45
218, 8.89
219, 6.78
220, 3.97
221, 1.38
222, 8.63
223, 6.47
224, 3.54
225, 1.02
226, 8.34
227, 6.21
228, 3.98
229, 1.32
230, 8.61
231, 6.25
232, 3.32
233, 10.38
234, 7.39
235, 5.04
236, 2.91
237, 9.97
238, 6.93
239, 4.43
240, 2.00
241, 8.88
242, 5.88
243, 3.33
244, 10.48
245, 8.23
246, 5.18
247, 2.72
248, 9.91
249, 7.02
250, 4.35
251, 1.32
252, 9.04
253, 6.86
254, 4.06
255, 1.34
256, 8.68
257, 6.46
258, 4.09
259, 1.62
260, 8.60
261, 6.03
262, 3.48
263, 10.62
264, 8.34
265, 5.82
266, 2.76
267, 9.82
268, 6.79
269, 3.71
270, 10.70
271, 8.53
272, 6.31
273, 3.84
274, 1.57
275, 8.72
276, 6.40
277, 4.02
278, 1.34
279, 8.37
280, 5.54
281, 2.78
282, 10.55
283, 8.01
284, 5.65
285, 2.67
286, 9.76
287, 7.62
288, 5.22
289, 2.85
290, 9.85
291, 7.23
292, 5.06
293, 2.48
294, 10.18
295, 7.29
296, 4.98
297, 2.31
298, 9.94
299, 7.10
300, 4.41
301, 2.09
302, 9.02
303, 6.83
304, 4.48
305, 1.58
306, 8.81
307, 5.87
308, 2.89
309, 10.58
310, 7.57
311, 5.33
312, 2.59
313, 10.22
314, 7.49
315, 4.64
316, 1.80
317, 9.39
318, 6.72
319, 4.00
320, 1.89
321, 8.88
322, 6.55
323, 3.59
324, 10.50
325, 8.06
326, 5.88
327, 3.08
328, 10.69
329, 7.67
330, 5.20
331, 2.52
332, 9.74
333, 7.04
334, 4.81
335, 2.61
336, 10.36
337, 7.54
338, 4.81
339, 1.90
340, 8.96
341, 6.18
342, 3.46
343, 1.07
344, 8.33
345, 5.61
346, 2.85
347, 10.26
348, 7.18
349, 4.29
350, 1.47
351, 9.01
352, 6.63
353, 4.41
354, 2.24
355, 9.66
356, 6.68
357, 4.06
358, 0.97
359, 8.56
360, 6.15
361, 3.52
362, 10.83
363, 8.15
364, 5.32
365, 2.30
366, 9.96
367, 7.46
368, 4.70
369, 2.12
370, 9.49
371, 7.19
372, 4.23
373, 1.52
374, 8.83
375, 6.01
376, 3.16
377, 10.20
378, 7.66
379, 5.22
380, 2.98
381, 10.20
382, 8.03
383, 5.12
384, 2.44
385, 9.95
386, 7.41
387, 4.82
388, 2.13
