read, delay
1, 4.28
2, 4.82
3, 4.87
4, 2.64
5, 3.41
6, 3.63
7, 3.80
8, 4.45
9, 4.36
10, 2.14
11, 2.16
12, 2.64
13, 2.85
14, 2.81
15, 2.80
16, 3.19
17, 3.93
18, 4.39
19, 4.53
20, 4.84
21, 4.84
22, 4.88
23, 2.40
24, 2.87
25, 3.06
26, 3.22
27, 3.45
28, 3.90
29, 4.74
30, 4.76
31, 4.70
32, 2.51
33, 2.88
34, 2.95
35, 2.96
36, 3.68
37, 3.78
38, 3.71
39, 3.57
40, 3.47
41, 3.42
42, 3.68
43, 4.14
44, 4.25
45, 1.98
46, 2.71
47, 3.19
48, 3.39
49, 3.59
50, 4.41
51, 4.95
52, 2.15
53, 2.21
54, 2.68
55, 3.32
56, 4.04
57, 4.52
58, 4.57
59, 4.64
60, 4.59
61, 2.46
62, 2.64
63, 3.04
64, 3.56
65, 3.62
66, 4.13
67, 4.75
68, 2.42
69, 2.34
70, 2.53
71, 3.30
72, 4.04
73, 4.83
74, 4.94
75, 4.98
76, 2.30
77, 2.76
78, 3.36
79, 4.03
80, 4.50
81, 4.81
82, 4.88
83, 4.80
84, 4.81
85, 4.72
86, 4.87
87, 2.55
88, 2.88
89, 3.21
90, 3.68
91, 3.89
92, 4.18
93, 2.05
94, 2.85
95, 3.52
96, 3.46
97, 4.30
98, 1.99
99, 2.24
100, 2.66
101, 2.68
102, 3.03
103, 3.58
104, 4.39
105, 4.80
106, 2.38
107, 2.75
108, 3.19
109, 3.30
110, 4.11
111, 4.97
112, 2.37
113, 2.82
114, 3.15
115, 3.52
116, 4.34
117, 4.93
118, 2.36
119, 2.25
120, 2.90
121, 2.98
122, 3.18
123, 3.67
124, 3.65
125, 4.51
126, 4.65
127, 4.96
128, 2.02
129, 2.69
130, 2.83
131, 3.18
132, 3.80
133, 3.76
134, 3.90
135, 3.93
136, 4.30
137, 4.27
138, 4.55
139, 4.91
140, 2.70
141, 3.22
142, 3.52
143, 3.80
144, 4.06
145, 4.55
146, 2.04
147, 2.12
148, 2.26
149, 2.59
150, 3.10
151, 3.22
152, 3.15
153, 3.96
154, 4.33
155, 4.68
156, 4.84
157, 4.92
158, 2.45
159, 2.83
160, 2.91
161, 3.40
162, 3.79
163, 4.02
164, 4.73
165, 2.44
166, 2.36
167, 2.37
168, 3.06
169, 3.76
170, 3.72
171, 4.22
172, 4.78
173, 2.24
174, 2.79
175, 2.67
176, 3.29
177, 3.44
178, 4.07
179, 4.38
180, 4.58
181, 2.32
182, 3.17
183, 3.27
184, 3.99
185, 4.38
186, 4.77
187, 4.88
188, 2.38
189, 2.45
190, 2.32
191, 2.40
192, 2.55
193, 3.08
194, 3.50
195, 4.19
196, 4.74
197, 2.28
198, 2.75
199, 3.36
200, 3.46
201, 3.98
202, 4.68
203, 2.40
204, 2.33
205, 3.20
206, 3.90
207, 4.07
208, 4.20
209, 4.18
210, 4.20
211, 4.58
212, 2.00
213, 2.30
214, 3.09
215, 3.31
216, 3.24
217, 3.85
218, 3.97
219, 3.96
220, 4.71
221, 4.79
222, 2.22
223, 2.40
224, 2.27
225, 2.76
226, 3.53
227, 4.32
228, 4.68
229, 2.10
230, 2.04
231, 2.43
232, 2.81
233, 3.68
234, 3.84
235, 4.38
236, 4.50
237, 4.65
238, 2.40
239, 2.44
240, 2.54
241, 3.27
242, 3.41
243, 4.01
244, 4.32
245, 4.75
246, 4.72
247, 4.77
248, 2.02
249, 2.14
250, 2.30
251, 2.91
252, 2.84
253, 2.94
254, 3.64
255, 3.70
256, 3.99
257, 4.00
258, 4.23
259, 2.06
260, 2.42
261, 2.66
262, 3.25
263, 3.88
264, 3.97
265, 4.62
266, 2.03
267, 2.59
268, 2.86
269, 2.93
270, 2.90
271, 3.25
272, 3.57
273, 4.02
274, 4.86
275, 2.15
276, 2.26
277, 2.33
278, 2.64
279, 3.23
280, 3.94
281, 4.55
282, 4.92
283, 4.92
284, 2.29
285, 2.34
286, 3.11
287, 3.81
288, 4.12
289, 4.20
290, 4.67
291, 4.73
292, 4.93
293, 2.81
294, 3.03
295, 3.30
296, 3.34
297, 3.71
298, 4.10
299, 4.61
300, 4.47
301, 2.34
302, 2.60
303, 2.48
304, 2.37
305, 2.52
306, 3.11
307, 3.11
308, 3.18
309, 3.40
310, 4.30
311, 4.61
312, 4.56
313, 2.08
314, 2.31
315, 2.29
316, 2.53
317, 3.25
318, 4.02
319, 4.02
320, 4.31
321, 4.36
322, 4.76
323, 4.79
324, 2.24
325, 3.07
326, 3.69
327, 4.36
328, 4.44
329, 2.16
330, 2.41
331, 2.42
332, 3.10
333, 3.23
334, 4.07
335, 4.13
336, 4.26
337, 4.61
338, 2.32
339, 2.71
340, 3.45
341, 3.90
342, 4.56
343, 4.48
344, 4.92
345, 2.14
346, 2.90
347, 3.34
348, 3.36
349, 4.20
350, 4.32
351, 2.17
352, 2.51
353, 2.89
354, 3.05
355, 3.83
356, 4.40
357, 4.95
358, 2.76
359, 2.82
360, 3.50
361, 4.32
362, 4.90
363, 4.98
364, 2.44
365, 3.14
366, 3.27
367, 3.42
368, 3.78
369, 4.14
370, 4.76
371, 2.39
372, 2.86
373, 2.92
374, 3.51
375, 4.26
376, 4.43
377, 4.66
378, 2.41
379, 2.55
380, 3.20
381, 3.96
382, 4.80
383, 4.86
384, 2.57
385, 2.80
386, 3.64
387, 4.49
388, 2.35
