read, delay
1, 4.01
2, 3.71
3, 2.82
4, 5.86
5, 5.26
6, 5.12
7, 5.00
8, 3.96
9, 3.22
10, 2.88
11, 5.92
12, 5.57
13, 4.72
14, 3.88
15, 3.20
16, 6.54
17, 5.65
18, 4.69
19, 4.06
20, 3.04
21, 6.03
22, 5.14
23, 4.04
24, 3.36
25, 2.82
26, 6.35
27, 6.08
28, 5.79
29, 5.35
30, 4.56
31, 4.34
32, 4.17
33, 3.82
34, 2.73
35, 5.98
36, 5.86
37, 5.32
38, 4.77
39, 3.76
40, 2.76
41, 6.02
42, 5.36
43, 5.16
44, 4.31
45, 3.32
46, 3.10
47, 2.48
48, 5.91
49, 5.06
50, 4.69
51, 3.70
52, 2.97
53, 6.21
54, 5.66
55, 4.66
56, 4.52
57, 3.52
58, 2.52
59, 5.92
60, 4.90
61, 3.88
62, 3.14
63, 2.83
64, 2.55
65, 5.88
66, 5.50
67, 4.41
68, 3.56
69, 2.68
70, 6.00
71, 5.32
72, 4.71
73, 4.13
74, 3.49
75, 2.48
76, 5.84
77, 5.15
78, 4.06
79, 3.30
80, 2.52
81, 5.83
82, 4.85
83, 4.42
84, 4.28
85, 3.84
86, 2.85
87, 2.64
88, 5.93
89, 4.92
90, 4.41
91, 4.14
92, 3.82
93, 3.35
94, 2.79
95, 2.59
96, 5.49
97, 4.42
98, 4.14
99, 3.77
100, 3.00
101, 2.83
102, 2.24
103, 5.34
104, 4.97
105, 3.87
106, 3.44
107, 2.39
108, 1.80
109, 4.97
110, 4.07
111, 3.80
112, 3.10
113, 2.91
114, 2.16
115, 5.34
116, 4.47
117, 3.88
118, 3.69
119, 2.90
120, 2.56
121, 2.04
122, 5.45
123, 5.23
124, 4.59
125, 4.46
126, 3.38
127, 2.50
128, 5.39
129, 4.74
130, 4.29
131, 3.71
132, 2.65
133, 5.58
134, 4.64
135, 4.51
136, 3.58
137, 3.28
138, 2.17
139, 1.63
140, 4.72
141, 4.62
142, 3.88
143, 3.32
144, 3.00
145, 2.36
146, 1.78
147, 4.92
148, 4.33
149, 4.08
150, 3.52
151, 3.14
152, 2.75
153, 1.76
154, 4.92
155, 4.32
156, 3.23
157, 2.96
158, 2.41
159, 5.32
160, 4.23
161, 3.61
162, 2.88
163, 2.23
164, 1.77
165, 1.40
166, 4.40
167, 3.90
168, 2.91
169, 2.23
170, 2.05
171, 1.82
172, 4.98
173, 4.63
174, 3.70
175, 2.84
176, 2.14
177, 1.19
178, 4.46
179, 4.30
180, 3.74
181, 2.80
182, 2.50
183, 1.82
184, 5.08
185, 4.30
186, 3.83
187, 2.98
188, 1.89
189, 4.81
190, 3.73
191, 3.56
192, 2.54
193, 2.02
194, 4.92
195, 4.52
196, 3.71
197, 3.19
198, 2.90
199, 2.69
200, 2.16
201, 1.70
202, 1.24
203, 4.45
204, 3.97
205, 3.29
206, 2.22
207, 1.82
208, 1.20
209, 4.67
210, 3.57
211, 2.56
212, 1.79
213, 1.54
214, 0.98
215, 3.91
216, 3.20
217, 2.15
218, 1.86
219, 1.09
220, 4.13
221, 3.41
222, 2.51
223, 1.73
224, 1.04
225, 4.55
226, 4.31
227, 3.34
228, 2.58
229, 1.88
230, 1.40
231, 0.75
232, 3.96
233, 3.42
234, 6.92
235, 6.78
236, 6.08
237, 5.91
238, 4.91
239, 8.23
240, 7.74
241, 7.00
242, 6.17
243, 5.67
244, 5.32
245, 4.96
246, 8.06
247, 6.97
248, 6.15
249, 5.30
250, 4.71
251, 8.34
252, 7.68
253, 7.00
254, 6.48
255, 6.22
256, 5.39
257, 4.52
258, 7.99
259, 7.14
260, 6.65
261, 5.66
262, 5.54
263, 4.74
264, 4.59
265, 7.87
266, 7.26
267, 6.24
268, 5.85
269, 5.34
270, 5.10
271, 8.32
272, 7.98
273, 6.94
274, 6.75
275, 6.49
276, 5.67
277, 5.36
278, 4.54
279, 7.94
280, 7.65
281, 6.72
282, 5.80
283, 4.80
284, 7.72
285, 7.40
286, 7.23
287, 6.60
288, 6.13
289, 5.84
290, 5.12
291, 4.56
292, 7.93
293, 7.54
294, 7.00
295, 6.63
296, 6.41
297, 5.70
298, 5.60
299, 5.17
300, 4.81
301, 7.83
302, 6.88
303, 6.75
304, 6.00
305, 5.72
306, 4.79
307, 4.28
308, 4.06
309, 6.97
310, 6.32
311, 5.23
312, 4.75
313, 7.78
314, 6.92
315, 6.18
316, 5.79
317, 5.49
318, 5.19
319, 4.81
320, 4.27
321, 7.30
322, 6.98
323, 6.43
324, 5.79
325, 5.03
326, 4.87
327, 3.95
328, 7.16
329, 6.14
330, 5.59
331, 5.04
332, 4.28
333, 3.92
334, 7.36
335, 6.82
336, 6.36
337, 5.79
338, 5.00
339, 3.99
340, 7.64
341, 7.49
342, 6.90
343, 5.95
344, 5.13
345, 4.28
346, 3.78
347, 7.22
348, 6.12
349, 5.86
350, 5.20
351, 4.90
352, 4.69
353, 3.76
354, 6.98
355, 6.10
356, 5.32
357, 5.00
358, 4.39
359, 3.74
360, 6.62
361, 6.10
362, 5.52
363, 5.40
364, 4.40
365, 4.28
366, 4.12
367, 7.40
368, 7.07
369, 6.24
370, 5.36
371, 4.33
372, 7.38
373, 6.46
374, 5.78
375, 5.38
376, 4.96
377, 4.33
378, 3.49
379, 7.01
380, 6.17
381, 5.84
382, 5.39
383, 5.26
384, 5.02
385, 4.62
386, 3.91
387, 7.24
388, 6.38
389, 6.16
390, 5.75
391, 4.78
392, 4.47
393, 3.81
394, 3.66
395, 7.08
396, 6.24
397, 5.76
398, 4.92
399, 3.96
400, 3.74
401, 3.24
402, 6.50
403, 5.88
404, 4.79
405, 4.13
406, 3.63
407, 6.96
408, 6.76
409, 6.06
410, 5.08
411, 4.42
412, 3.97
413, 6.87
414, 5.78
415, 5.23
416, 4.22
417, 3.18
418, 6.87
419, 6.38
420, 6.20
421, 5.33
422, 4.66
423, 3.91
424, 6.87
425, 6.36
426, 5.84
427, 5.24
428, 4.47
429, 3.78
430, 2.93
431, 6.54
432, 6.08
433, 5.27
434, 4.92
435, 4.08
436, 3.82
437, 3.56
438, 6.46
439, 5.80
440, 4.84
441, 4.11
442, 3.86
443, 2.92
444, 5.97
445, 5.80
446, 4.71
447, 4.13
448, 3.84
449, 3.65
450, 2.90
451, 2.57
452, 5.94
453, 5.14
454, 4.56
455, 3.54
456, 2.94
457, 2.71
458, 6.16
459, 5.72
460, 5.30
461, 4.19
462, 3.24
463, 6.16
464, 5.21
465, 4.20
466, 3.25
467, 2.89
468, 5.87
469, 4.89
470, 4.17
471, 3.86
472, 2.82
473, 2.58
474, 6.04
475, 5.90
476, 5.57
477, 4.71
478, 4.04
479, 3.07
480, 2.51
481, 5.64
482, 5.38
483, 4.98
484, 3.94
485, 3.00
486, 2.37
487, 5.91
488, 5.00
489, 3.99
490, 3.54
491, 2.73
492, 6.07
493, 5.00
494, 3.90
495, 3.63
496, 2.84
497, 5.88
498, 5.51
499, 4.63
500, 4.02
501, 2.92
502, 2.74
503, 5.97
504, 5.56
505, 5.29
506, 4.34
507, 3.73
508, 3.24
509, 2.56
510, 5.70
511, 4.88
512, 3.89
513, 3.17
514, 2.64
515, 5.91
516, 4.82
517, 3.74
518, 3.12
519, 2.41
520, 5.82
521, 5.40
522, 5.04
523, 4.69
524, 4.42
525, 3.96
526, 3.01
527, 2.54
528, 1.93
529, 5.48
530, 5.02
531, 4.80
532, 4.54
533, 3.60
534, 3.28
535, 3.14
536, 2.60
537, 2.41
538, 2.24
539, 5.72
540, 4.70
541, 3.93
542, 3.58
543, 2.92
544, 2.52
545, 2.02
546, 5.68
547, 5.06
548, 4.53
549, 3.98
550, 3.20
551, 2.71
552, 2.24
553, 2.00
554, 5.04
555, 4.58
556, 4.38
557, 3.84
558, 2.80
559, 2.37
560, 5.63
561, 5.18
562, 4.36
563, 3.56
564, 3.28
565, 2.84
566, 2.56
567, 2.43
568, 1.85
569, 5.06
570, 4.19
571, 3.96
572, 3.12
573, 2.54
574, 5.56
575, 5.17
576, 4.34
577, 3.47
578, 3.33
579, 2.87
580, 2.29
581, 1.75
582, 4.76
583, 3.64
584, 2.56
585, 2.13
586, 5.50
587, 4.78
588, 4.20
589, 3.56
590, 2.71
591, 1.59
592, 4.61
593, 3.72
594, 3.35
595, 3.16
596, 2.28
597, 5.44
598, 4.69
599, 4.40
600, 3.63
601, 3.32
602, 2.67
603, 1.68
604, 5.29
605, 5.00
606, 4.30
607, 3.75
608, 3.27
609, 2.89
610, 2.75
611, 1.78
612, 5.08
613, 4.94
614, 4.58
615, 4.30
616, 3.94
617, 3.60
618, 3.08
619, 2.69
620, 1.77
621, 4.96
622, 4.80
623, 4.06
624, 3.46
625, 2.86
626, 2.34
627, 1.42
628, 1.16
629, 4.84
630, 4.04
631, 3.17
632, 2.11
633, 5.01
634, 4.01
635, 3.86
636, 3.02
637, 2.01
638, 1.34
639, 1.08
640, 4.82
641, 3.91
642, 3.27
643, 2.96
644, 2.72
645, 2.16
646, 1.10
647, 4.70
648, 4.49
649, 4.24
650, 3.89
651, 3.14
652, 2.49
653, 2.31
654, 1.65
655, 4.59
656, 4.28
657, 4.08
658, 3.36
659, 2.84
660, 1.74
661, 4.85
662, 4.50
663, 3.64
664, 2.71
665, 2.58
666, 2.27
667, 1.95
668, 1.36
669, 4.69
670, 3.96
671, 3.63
672, 2.89
673, 2.30
674, 1.87
675, 0.87
676, 4.49
677, 3.94
678, 2.94
679, 2.70
680, 1.75
681, 0.96
682, 4.34
683, 3.70
684, 2.73
685, 1.95
686, 1.48
687, 4.33
688, 3.27
689, 2.81
690, 1.91
691, 0.97
692, 4.62
693, 3.75
694, 6.68
695, 6.50
696, 5.59
697, 8.53
698, 7.49
699, 6.89
700, 5.95
701, 5.10
702, 8.04
703, 7.30
704, 6.46
705, 5.74
706, 5.55
707, 4.92
708, 4.64
709, 8.11
710, 7.65
711, 7.29
712, 6.68
713, 6.23
714, 6.08
715, 5.81
716, 5.16
717, 4.50
718, 7.85
719, 7.40
720, 6.43
721, 6.23
722, 5.58
723, 4.67
724, 7.64
725, 7.36
726, 6.39
727, 5.59
728, 5.17
729, 4.76
730, 8.08
731, 7.22
732, 6.65
733, 5.63
734, 4.66
735, 4.30
736, 7.31
737, 6.72
738, 6.36
739, 5.41
740, 5.11
741, 4.52
742, 4.35
743, 7.46
744, 6.91
745, 6.24
746, 5.72
747, 5.04
748, 4.72
749, 4.43
750, 7.39
751, 6.96
752, 6.34
753, 6.10
754, 5.07
755, 4.40
756, 7.84
757, 7.00
758, 6.88
759, 6.17
760, 5.24
761, 4.80
762, 7.85
763, 6.94
764, 5.84
765, 5.27
766, 4.34
767, 7.62
768, 7.28
769, 6.83
770, 5.98
771, 5.07
772, 4.57
773, 7.74
774, 7.54
775, 6.73
776, 5.80
777, 4.87
778, 4.71
779, 4.25
780, 7.35
781, 6.48
782, 5.86
783, 4.74
784, 7.68
785, 7.10
786, 6.11
787, 5.81
788, 5.58
789, 4.52
790, 4.16
791, 7.06
792, 6.94
793, 6.66
794, 6.23
795, 5.76
796, 5.06
797, 4.60
798, 4.24
799, 7.40
800, 6.98
801, 6.21
802, 5.72
803, 4.72
804, 4.17
805, 7.65
806, 6.74
807, 5.89
808, 5.73
809, 5.08
810, 4.83
811, 4.62
812, 4.28
813, 3.94
814, 7.53
815, 7.34
816, 6.74
817, 6.03
818, 5.65
819, 5.24
820, 4.51
821, 3.86
822, 7.34
823, 6.71
824, 6.11
825, 5.70
826, 5.38
827, 4.87
828, 4.15
829, 3.46
830, 6.72
831, 6.29
832, 5.67
833, 4.74
834, 4.44
835, 4.18
836, 3.93
837, 7.34
838, 7.00
839, 6.32
840, 6.18
841, 5.83
842, 5.48
843, 5.16
844, 4.75
845, 4.06
846, 3.54
847, 6.78
848, 6.28
849, 5.28
850, 4.25
851, 3.79
852, 7.05
853, 5.91
854, 5.56
855, 5.02
856, 4.32
857, 3.83
858, 3.53
859, 7.02
860, 6.19
861, 5.24
862, 4.86
863, 4.00
864, 3.77
865, 7.10
866, 6.93
867, 6.24
868, 5.61
869, 4.84
870, 4.28
871, 3.35
872, 3.17
873, 6.45
874, 5.98
875, 5.82
876, 5.31
877, 4.24
878, 3.22
879, 6.29
880, 5.61
881, 5.16
882, 4.67
883, 3.83
884, 3.32
885, 6.67
886, 5.69
887, 5.46
888, 4.84
889, 4.68
890, 4.10
891, 3.06
892, 6.51
893, 6.10
894, 5.85
895, 5.54
896, 4.98
897, 4.60
898, 4.38
899, 3.57
900, 3.16
901, 6.35
902, 5.42
903, 5.06
904, 4.20
905, 3.47
906, 6.78
907, 6.54
908, 5.92
909, 5.52
910, 4.84
911, 4.40
912, 4.13
913, 3.64
914, 6.79
915, 5.70
916, 4.80
917, 4.26
918, 3.71
919, 3.42
920, 3.28
921, 6.45
922, 5.53
923, 4.40
924, 3.38
925, 6.51
926, 5.57
927, 4.77
928, 4.29
929, 3.31
930, 6.48
931, 5.61
932, 4.75
933, 4.45
934, 3.98
935, 3.69
936, 3.05
937, 2.75
938, 6.58
939, 5.69
940, 4.74
941, 4.02
942, 3.84
943, 2.92
944, 6.58
945, 5.74
946, 5.46
947, 5.08
948, 3.96
949, 3.64
950, 2.92
951, 6.21
952, 5.47
953, 5.19
954, 4.53
955, 3.81
956, 3.29
957, 3.14
958, 2.72
959, 5.91
960, 5.16
961, 4.84
962, 4.66
963, 4.21
964, 3.47
965, 2.89
966, 2.66
967, 5.68
968, 4.70
969, 4.22
970, 3.39
971, 3.22
972, 6.36
973, 6.04
974, 5.02
975, 4.68
976, 3.61
977, 2.73
978, 5.79
979, 4.95
980, 3.97
981, 3.61
982, 2.88
983, 5.87
984, 5.01
985, 4.70
986, 3.62
987, 3.16
988, 6.24
989, 5.76
990, 5.46
991, 4.86
992, 3.79
993, 3.06
994, 6.24
995, 5.98
996, 5.41
997, 4.96
998, 3.90
999, 2.77
1000, 5.76
1001, 5.20
1002, 4.52
1003, 4.23
1004, 3.66
1005, 2.96
1006, 2.77
1007, 2.55
1008, 5.55
1009, 5.06
1010, 4.14
1011, 3.91
1012, 2.84
1013, 2.31
1014, 5.58
1015, 4.54
1016, 3.66
1017, 3.26
1018, 2.20
1019, 5.91
1020, 5.04
1021, 4.20
1022, 3.12
1023, 2.64
1024, 2.44
1025, 5.33
1026, 4.90
1027, 3.79
1028, 3.08
1029, 2.39
1030, 5.70
1031, 5.34
1032, 4.76
1033, 4.30
1034, 3.37
1035, 2.54
1036, 2.38
1037, 5.40
1038, 4.94
1039, 4.13
1040, 3.15
1041, 2.61
1042, 5.54
1043, 5.18
1044, 4.98
1045, 4.49
1046, 3.86
1047, 3.27
1048, 2.99
1049, 2.30
1050, 5.53
1051, 4.49
1052, 4.28
1053, 3.64
1054, 3.07
1055, 2.91
1056, 2.62
1057, 1.82
1058, 4.84
1059, 4.32
1060, 3.92
1061, 3.57
1062, 3.06
1063, 1.96
1064, 1.78
1065, 4.88
1066, 3.86
1067, 3.38
1068, 3.10
1069, 2.88
1070, 2.02
1071, 5.25
1072, 4.23
1073, 3.72
1074, 2.80
1075, 2.22
1076, 1.94
1077, 5.17
1078, 5.02
1079, 4.68
1080, 4.48
1081, 3.96
1082, 2.96
1083, 2.80
1084, 2.04
1085, 5.22
1086, 4.23
1087, 3.89
1088, 2.77
1089, 2.28
1090, 5.29
1091, 4.30
1092, 3.38
1093, 2.70
1094, 2.44
1095, 1.51
1096, 4.59
1097, 4.41
1098, 3.66
1099, 3.39
1100, 2.80
1101, 2.46
1102, 5.35
1103, 4.64
1104, 4.16
1105, 3.54
1106, 2.68
1107, 2.50
1108, 1.89
1109, 5.22
1110, 4.54
1111, 3.52
1112, 3.10
1113, 2.46
1114, 1.81
1115, 1.48
1116, 4.81
1117, 4.60
1118, 4.02
1119, 3.07
1120, 2.22
1121, 2.04
1122, 1.61
1123, 4.82
1124, 4.42
1125, 3.56
1126, 3.16
1127, 2.50
1128, 1.91
1129, 5.07
1130, 4.68
1131, 4.52
1132, 4.34
1133, 3.70
1134, 2.56
1135, 1.55
1136, 1.29
1137, 4.89
1138, 4.53
1139, 4.01
1140, 3.79
1141, 3.53
1142, 3.35
1143, 2.28
1144, 1.46
1145, 4.44
1146, 4.01
1147, 3.10
1148, 2.52
1149, 1.58
1150, 4.66
1151, 4.51
1152, 3.76
1153, 2.87
1154, 1.83
1155, 1.12
1156, 4.11
1157, 3.39
1158, 3.04
1159, 2.08
1160, 1.47
1161, 4.65
1162, 4.20
1163, 3.69
1164, 3.14
1165, 2.88
1166, 2.20
1167, 1.64
1168, 1.46
1169, 4.49
1170, 3.80
1171, 3.42
1172, 2.88
1173, 2.49
1174, 1.72
1175, 1.55
1176, 1.33
1177, 4.36
1178, 3.93
1179, 3.50
1180, 2.35
1181, 2.16
1182, 1.58
1183, 4.47
1184, 3.63
1185, 2.77
1186, 2.00
1187, 1.64
1188, 1.40
1189, 0.94
1190, 4.06
1191, 3.02
1192, 1.92
1193, 1.28
1194, 4.44
1195, 3.63
1196, 2.68
1197, 1.80
1198, 0.98
1199, 4.70
1200, 7.91
1201, 7.68
1202, 7.52
1203, 3.33
1204, 2.32
1205, 5.96
1206, 4.96
1207, 8.09
1208, 7.32
1209, 7.09
1210, 6.90
1211, 6.05
1212, 5.00
1213, 4.84
1214, 8.42
1215, 7.62
1216, 6.52
1217, 5.47
1218, 5.33
1219, 8.57
1220, 8.15
1221, 7.82
1222, 7.25
1223, 7.11
1224, 6.60
1225, 5.52
1226, 4.69
1227, 7.80
1228, 7.43
1229, 6.34
1230, 5.26
1231, 4.77
1232, 7.84
1233, 7.01
1234, 6.85
1235, 6.29
1236, 5.48
1237, 4.83
1238, 4.66
1239, 7.95
1240, 7.65
1241, 7.36
1242, 7.17
1243, 6.23
1244, 5.48
1245, 8.49
1246, 7.82
1247, 6.70
1248, 5.96
1249, 5.00
1250, 7.88
1251, 7.45
1252, 7.17
1253, 6.98
1254, 6.26
1255, 5.35
1256, 4.45
1257, 8.22
1258, 8.02
1259, 7.50
1260, 6.57
1261, 6.09
1262, 5.38
1263, 5.11
1264, 8.10
1265, 7.47
1266, 6.72
1267, 6.32
1268, 5.78
1269, 4.67
1270, 4.35
