read, delay
1, 7.55
2, 11.08
3, 8.13
4, 11.88
5, 9.66
6, 12.88
7, 10.06
8, 7.72
9, 10.64
10, 8.44
11, 11.44
12, 8.94
13, 12.12
14, 9.07
15, 12.06
16, 9.47
17, 7.21
18, 10.66
19, 7.78
20, 11.12
21, 8.13
22, 11.16
23, 8.68
24, 12.13
25, 9.34
26, 12.49
27, 9.72
28, 7.16
29, 11.02
30, 7.96
31, 10.97
32, 8.76
33, 12.12
34, 9.19
35, 12.23
36, 9.93
37, 7.01
38, 9.93
39, 12.84
40, 9.74
41, 12.68
42, 9.92
43, 7.36
44, 10.48
45, 8.23
46, 11.94
47, 9.43
48, 12.62
49, 9.80
50, 7.65
51, 11.16
52, 8.36
53, 11.43
54, 8.89
55, 12.51
56, 10.25
57, 7.74
58, 10.78
59, 7.84
60, 10.79
61, 8.62
62, 11.84
63, 9.21
64, 12.76
65, 9.85
66, 7.30
67, 10.94
68, 8.60
69, 11.54
70, 8.72
71, 12.50
72, 10.26
73, 8.03
74, 11.15
75, 8.17
76, 11.52
77, 9.00
78, 12.60
79, 10.24
80, 7.72
81, 11.06
82, 8.12
83, 11.06
84, 8.05
85, 10.97
86, 8.11
87, 11.79
88, 9.12
89, 12.46
90, 9.92
91, 7.14
92, 10.46
93, 8.33
94, 12.12
95, 9.78
96, 12.74
97, 10.59
98, 8.24
99, 11.50
100, 8.90
101, 11.94
102, 9.26
103, 6.81
104, 10.64
105, 8.06
106, 11.60
107, 8.98
108, 12.45
109, 9.55
110, 7.37
111, 11.22
112, 8.62
113, 12.07
114, 9.41
115, 6.78
116, 10.61
117, 8.15
118, 11.61
119, 8.50
120, 12.17
121, 9.23
122, 12.43
123, 9.92
124, 6.89
125, 10.79
126, 7.92
127, 11.21
128, 8.26
129, 11.91
130, 9.06
131, 12.40
132, 10.04
133, 6.98
134, 10.16
135, 7.19
136, 10.54
137, 7.53
138, 10.79
139, 8.14
140, 11.95
141, 9.46
142, 6.73
143, 10.02
144, 7.28
145, 10.80
146, 8.35
147, 11.36
148, 8.49
