read, delay
1, 13.64
2, 17.30
3, 15.00
4, 18.02
5, 15.06
6, 12.56
7, 15.60
8, 13.17
9, 16.50
10, 13.41
11, 10.60
12, 13.57
13, 16.44
14, 13.63
15, 16.52
16, 14.40
17, 11.29
18, 14.90
19, 12.10
20, 15.54
21, 13.18
22, 10.18
23, 14.01
24, 16.90
25, 13.90
26, 17.60
27, 14.74
28, 11.84
29, 14.79
30, 12.10
31, 15.67
32, 12.89
33, 9.89
34, 18.89
35, 16.46
36, 13.61
37, 16.59
38, 14.36
39, 11.98
40, 15.12
41, 12.82
42, 16.70
43, 14.45
44, 11.67
45, 15.45
46, 13.27
47, 10.37
48, 8.13
49, 11.49
50, 15.17
51, 18.60
52, 15.49
53, 12.86
54, 16.07
55, 13.44
56, 16.50
57, 13.80
58, 11.49
59, 9.37
60, 12.96
61, 10.27
62, 7.53
63, 11.43
64, 14.95
65, 18.32
66, 15.71
67, 19.31
68, 16.16
69, 13.84
70, 17.48
71, 15.04
72, 12.06
73, 9.23
74, 12.91
75, 9.89
76, 19.01
77, 16.12
78, 19.54
79, 17.08
80, 13.97
81, 17.04
82, 14.42
83, 12.24
84, 9.37
85, 13.25
86, 10.38
87, 7.55
88, 11.37
89, 20.40
90, 17.28
91, 14.90
92, 18.57
93, 15.58
94, 12.54
95, 9.86
96, 12.93
97, 9.82
98, 18.85
99, 16.53
100, 19.50
101, 17.01
102, 14.80
103, 18.10
104, 15.78
105, 12.85
106, 10.24
107, 14.08
108, 11.17
109, 8.97
110, 11.94
111, 9.47
112, 18.58
113, 15.72
114, 19.14
115, 16.32
116, 13.68
117, 10.72
118, 14.55
119, 12.22
120, 9.63
121, 13.34
122, 10.52
123, 8.28
124, 11.71
125, 9.16
126, 18.57
127, 15.86
128, 12.85
129, 16.07
130, 13.61
131, 10.52
132, 13.50
133, 10.84
134, 8.36
135, 11.34
136, 20.52
137, 18.35
138, 15.78
139, 13.14
140, 16.50
141, 13.90
142, 11.31
143, 14.93
144, 12.11
145, 9.10
146, 12.98
147, 10.19
148, 13.10
149, 16.35
150, 14.10
151, 17.87
152, 14.85
153, 11.88
154, 14.96
155, 12.33
156, 9.76
157, 12.98
158, 10.36
159, 7.74
160, 10.98
161, 19.85
162, 16.82
163, 14.44
164, 11.83
165, 15.70
166, 13.39
167, 10.56
168, 13.86
169, 10.76
170, 8.22
171, 11.92
172, 9.58
173, 18.52
174, 15.62
175, 13.03
176, 16.50
177, 13.66
178, 11.39
179, 15.10
180, 12.37
181, 9.44
182, 12.42
183, 9.97
184, 13.32
185, 16.57
186, 14.13
187, 17.48
188, 14.69
189, 12.53
190, 16.06
191, 12.98
192, 10.54
193, 14.30
194, 11.39
195, 14.97
196, 12.20
197, 9.26
198, 18.73
199, 15.96
200, 12.82
201, 16.45
202, 13.65
203, 10.84
204, 14.65
205, 11.95
206, 15.37
207, 12.73
208, 10.02
209, 13.50
210, 11.32
211, 9.08
212, 18.30
213, 15.42
214, 13.18
215, 16.40
216, 13.88
217, 17.41
218, 14.78
219, 11.78
220, 15.04
221, 12.04
222, 9.57
223, 7.25
224, 16.66
225, 14.51
226, 18.12
227, 15.18
228, 18.32
229, 16.20
230, 13.73
231, 16.70
232, 14.25
233, 11.63
234, 8.66
235, 12.30
236, 10.16
237, 8.04
238, 11.36
239, 20.44
240, 17.92
241, 14.90
242, 18.50
243, 16.25
244, 13.15
245, 10.73
246, 14.44
247, 12.03
248, 8.99
249, 12.16
250, 9.39
251, 6.84
252, 16.60
253, 20.26
254, 17.39
255, 14.84
256, 18.57
257, 15.68
258, 13.20
259, 10.26
260, 13.78
261, 11.59
262, 9.41
263, 12.36
264, 10.13
265, 7.85
266, 10.87
267, 19.94
268, 16.85
269, 14.64
270, 11.91
271, 15.30
272, 12.96
273, 10.59
274, 13.49
275, 11.32
276, 8.33
277, 11.23
278, 20.44
279, 18.26
280, 15.57
281, 12.54
282, 16.26
283, 13.52
284, 10.73
285, 14.58
286, 12.41
287, 9.62
288, 13.52
289, 10.44
290, 14.22
291, 12.10
292, 9.45
293, 18.55
294, 15.94
295, 12.53
296, 16.39
297, 13.53
298, 10.80
299, 14.48
300, 11.44
301, 14.50
302, 12.00
303, 9.21
304, 18.27
305, 15.52
306, 13.03
307, 16.10
308, 13.96
309, 11.13
310, 14.48
311, 11.71
312, 15.44
313, 12.47
314, 10.22
315, 13.82
316, 11.70
317, 9.44
318, 18.60
319, 16.34
320, 13.64
321, 17.13
322, 14.24
323, 17.20
324, 14.28
325, 11.19
326, 15.04
327, 12.04
328, 9.77
329, 7.55
330, 10.70
331, 14.42
332, 23.95
333, 15.20
334, 12.29
335, 9.20
336, 18.60
337, 16.02
338, 12.99
339, 16.87
340, 14.27
341, 11.24
342, 15.04
343, 12.64
344, 10.25
345, 13.84
346, 11.19
347, 14.36
348, 11.82
349, 8.95
350, 17.97
351, 15.46
352, 12.80
353, 16.12
