read, delay
1, 6.03
2, 2.62
3, 5.45
4, 3.63
5, 5.60
6, 3.20
7, 5.51
8, 7.54
9, 3.45
10, 7.65
11, 4.06
12, 2.79
13, 6.14
14, 7.98
15, 5.89
16, 2.26
17, 4.84
18, 6.94
19, 5.02
20, 6.26
21, 4.82
22, 7.57
23, 3.72
24, 6.46
25, 4.73
26, 5.66
27, 3.45
28, 7.06
29, 4.10
30, 4.70
31, 3.45
32, 5.51
33, 2.84
34, 5.50
35, 3.52
36, 6.77
37, 2.69
38, 5.39
39, 7.71
40, 3.72
41, 7.65
42, 4.86
43, 2.32
44, 5.89
45, 7.26
46, 5.37
47, 2.05
48, 4.81
49, 2.52
50, 6.01
51, 2.93
52, 6.66
53, 2.80
54, 4.70
55, 5.91
56, 4.31
57, 8.08
58, 4.73
59, 3.11
60, 4.08
61, 5.23
62, 3.41
63, 6.72
64, 3.62
65, 6.69
66, 3.71
67, 6.60
68, 3.04
69, 6.69
70, 7.63
71, 5.17
72, 2.08
73, 5.31
74, 3.16
75, 6.17
76, 7.24
77, 6.08
78, 2.40
79, 5.86
80, 4.06
81, 6.82
82, 4.62
83, 6.84
84, 4.20
85, 7.59
86, 5.27
87, 4.05
88, 5.54
89, 2.96
90, 5.54
91, 3.21
92, 6.97
93, 5.36
94, 7.33
95, 4.45
96, 6.78
97, 3.92
98, 6.45
99, 4.90
100, 1.62
101, 3.98
102, 5.96
103, 3.96
104, 6.02
105, 2.72
106, 7.27
107, 2.98
108, 7.42
109, 4.04
110, 5.99
111, 2.26
112, 5.91
113, 3.03
114, 7.74
115, 3.98
116, 6.54
117, 3.32
118, 7.76
119, 4.66
120, 2.13
121, 5.75
122, 7.04
123, 5.34
124, 2.22
125, 4.68
126, 6.60
127, 5.35
128, 6.67
129, 5.58
130, 7.46
131, 3.40
132, 5.90
133, 4.74
134, 5.75
135, 2.86
136, 5.92
137, 3.11
138, 4.28
139, 2.44
140, 4.43
141, 6.69
142, 2.76
143, 6.88
144, 4.70
145, 6.94
146, 4.04
147, 4.30
148, 7.52
149, 5.04
150, 2.92
151, 4.80
152, 3.60
153, 5.38
154, 3.90
155, 6.38
156, 2.99
157, 5.61
158, 2.72
159, 4.68
160, 3.46
161, 6.19
162, 2.57
163, 4.60
164, 2.72
165, 3.34
166, 7.13
167, 3.82
168, 5.80
169, 3.32
170, 6.66
171, 4.30
172, 6.78
173, 3.32
174, 6.44
175, 2.47
176, 5.73
177, 2.16
178, 3.82
179, 6.06
180, 3.99
181, 6.49
182, 4.15
183, 6.75
184, 3.07
185, 6.72
186, 4.21
187, 6.60
188, 4.56
189, 7.84
190, 4.26
191, 8.01
192, 3.94
193, 7.06
194, 4.02
195, 2.24
196, 5.58
197, 2.43
198, 5.28
199, 7.48
200, 6.20
201, 3.83
202, 6.42
203, 2.46
204, 5.97
205, 2.17
206, 5.20
207, 7.10
208, 4.93
209, 7.14
210, 4.63
211, 1.94
212, 4.27
213, 6.30
214, 3.98
215, 8.21
216, 5.86
217, 2.95
218, 4.43
219, 7.55
220, 3.78
221, 7.34
222, 4.34
223, 7.20
224, 2.30
225, 5.39
226, 2.85
227, 4.87
228, 7.38
229, 5.71
230, 2.30
231, 5.29
232, 2.63
233, 5.38
234, 8.29
235, 4.40
236, 5.50
237, 3.93
238, 1.81
239, 3.50
240, 6.60
241, 2.80
242, 6.22
243, 2.20
244, 5.59
245, 7.52
246, 5.87
247, 3.08
248, 5.86
249, 2.48
250, 6.06
251, 2.06
252, 5.29
253, 2.36
254, 5.22
255, 6.47
256, 3.48
257, 6.18
258, 3.31
259, 5.62
260, 4.54
261, 8.00
262, 4.04
263, 2.95
264, 4.66
265, 7.60
266, 4.24
267, 7.06
268, 4.70
269, 7.82
270, 3.15
271, 6.72
272, 3.04
273, 6.74
274, 3.36
275, 6.66
276, 2.97
277, 7.18
278, 5.38
279, 6.71
280, 3.41
281, 6.31
282, 3.76
283, 7.08
284, 5.16
285, 6.53
286, 4.01
287, 6.13
288, 4.94
289, 7.46
290, 5.59
291, 2.29
292, 5.04
293, 2.32
294, 5.74
295, 3.15
296, 6.42
297, 3.52
298, 6.11
299, 4.66
300, 6.36
301, 4.18
302, 2.88
303, 5.08
304, 2.60
305, 5.10
306, 2.52
307, 4.04
308, 2.58
309, 5.45
310, 2.45
311, 5.18
312, 2.92
313, 4.26
314, 2.52
315, 5.23
316, 2.87
317, 6.36
318, 3.53
319, 5.51
320, 2.77
321, 4.84
322, 2.93
323, 6.70
324, 3.98
325, 7.12
326, 2.26
327, 5.51
328, 2.15
329, 6.00
330, 3.31
331, 6.65
332, 1.57
333, 4.59
334, 2.14
335, 4.70
336, 7.34
337, 4.96
338, 5.89
339, 3.85
340, 7.75
341, 3.14
342, 6.28
343, 2.21
344, 4.54
345, 2.31
346, 5.97
347, 2.85
348, 5.77
349, 2.65
350, 5.67
351, 2.40
352, 6.18
353, 7.44
354, 4.97
355, 2.49
356, 4.96
357, 2.49
358, 5.78
359, 6.88
360, 5.77
361, 2.11
362, 4.87
363, 1.80
364, 5.05
365, 2.48
366, 4.42
367, 7.54
368, 4.12
369, 5.63
370, 4.20
371, 6.61
372, 4.38
373, 7.53
374, 3.98
375, 6.23
376, 3.66
377, 7.12
378, 3.04
