read, delay
1, 13.75
2, 11.36
3, 16.50
4, 13.84
5, 10.82
6, 15.76
7, 13.05
8, 10.04
9, 14.32
10, 11.68
11, 16.66
12, 14.23
13, 11.76
14, 9.58
15, 14.49
16, 18.67
17, 16.34
18, 14.06
19, 17.87
20, 15.26
21, 13.43
22, 17.95
23, 15.27
24, 13.52
25, 17.60
26, 14.67
27, 13.07
28, 17.44
29, 14.68
30, 12.76
31, 17.33
32, 14.46
33, 12.43
34, 16.85
35, 14.03
36, 11.86
37, 15.50
38, 13.35
39, 11.25
40, 15.14
41, 12.17
42, 9.93
43, 14.14
44, 11.81
45, 9.81
46, 14.47
47, 11.51
48, 9.88
49, 14.32
50, 12.02
51, 10.47
52, 15.00
53, 12.28
54, 9.82
55, 13.74
56, 18.72
57, 9.60
58, 14.08
59, 11.59
60, 16.02
61, 13.31
62, 17.32
63, 14.75
64, 13.18
65, 17.02
66, 14.18
67, 11.66
68, 15.92
69, 13.33
70, 10.84
71, 15.20
72, 12.22
73, 10.06
74, 14.79
75, 11.89
76, 9.52
77, 14.05
78, 11.60
79, 9.59
80, 13.58
81, 11.45
82, 9.88
83, 13.83
84, 11.33
85, 9.33
86, 13.85
87, 11.72
88, 9.76
89, 13.93
90, 11.65
91, 9.94
92, 14.50
93, 12.01
94, 9.58
95, 13.41
96, 10.84
97, 15.56
98, 13.65
99, 17.83
100, 15.70
101, 13.47
102, 17.25
103, 14.39
104, 12.01
105, 16.50
106, 14.14
107, 12.47
108, 16.73
109, 14.44
110, 12.01
111, 16.02
112, 13.30
113, 11.06
114, 15.66
115, 12.76
116, 10.90
117, 15.40
118, 13.01
119, 10.52
120, 14.79
121, 12.58
122, 10.42
123, 14.48
124, 12.45
125, 10.55
126, 14.27
127, 12.16
128, 10.05
129, 14.69
130, 11.75
131, 9.29
132, 13.57
133, 11.49
134, 9.10
135, 12.96
136, 10.13
137, 14.88
138, 12.63
139, 16.73
140, 13.64
141, 11.56
142, 15.50
143, 12.62
144, 11.06
145, 15.19
146, 12.29
147, 10.14
148, 14.21
149, 11.74
150, 10.25
151, 14.02
152, 11.79
153, 10.17
154, 14.54
155, 12.12
156, 10.32
157, 14.82
158, 11.95
159, 9.52
160, 14.16
161, 11.92
162, 9.90
163, 13.85
164, 10.92
165, 9.22
166, 13.74
167, 11.53
168, 9.17
169, 13.41
170, 10.88
171, 9.18
172, 13.41
173, 11.08
174, 8.82
175, 12.56
176, 9.99
177, 14.82
178, 12.47
179, 17.27
180, 14.19
181, 12.31
182, 16.90
183, 14.51
184, 12.42
185, 16.94
186, 14.42
187, 12.44
188, 16.35
189, 13.58
190, 11.62
191, 16.25
192, 13.12
193, 10.92
194, 14.92
195, 12.00
196, 9.91
197, 14.64
198, 12.54
199, 10.35
200, 15.00
201, 12.62
202, 10.78
203, 14.71
204, 12.19
205, 10.02
206, 13.94
207, 10.85
208, 9.30
209, 13.37
210, 10.88
211, 8.80
212, 13.00
213, 10.03
214, 8.31
215, 12.40
216, 10.08
217, 7.75
218, 19.51
219, 16.76
220, 14.02
221, 18.96
222, 16.07
223, 12.92
224, 17.38
225, 14.63
226, 12.07
227, 16.46
228, 14.16
229, 11.48
230, 16.50
231, 13.50
232, 10.83
233, 15.97
234, 12.52
235, 9.70
236, 14.07
237, 19.10
238, 9.57
239, 14.68
240, 11.89
241, 16.57
242, 13.96
243, 18.40
244, 15.91
245, 12.43
246, 17.09
247, 14.44
248, 12.21
249, 17.26
250, 14.89
251, 11.94
252, 16.52
253, 13.72
254, 10.58
255, 15.22
256, 12.38
257, 10.10
258, 14.52
259, 12.02
260, 9.89
261, 14.72
262, 11.98
263, 9.84
264, 15.08
265, 11.94
266, 9.59
267, 8.10
268, 12.61
269, 9.72
270, 14.41
271, 12.08
272, 9.43
273, 14.53
274, 12.32
275, 9.60
276, 14.98
277, 18.96
278, 16.25
279, 14.14
280, 18.65
281, 15.65
282, 12.97
283, 17.70
284, 14.89
285, 12.27
286, 17.10
287, 14.33
288, 12.79
289, 17.07
290, 14.38
291, 12.04
292, 17.12
293, 14.58
294, 11.96
295, 16.81
296, 14.20
297, 11.28
298, 16.21
299, 13.90
300, 12.22
301, 16.84
302, 14.61
303, 11.84
304, 16.74
305, 14.32
306, 11.75
307, 16.67
308, 14.43
309, 12.84
310, 16.58
311, 14.44
312, 12.16
313, 16.89
314, 14.30
315, 12.00
316, 16.98
317, 14.61
318, 12.40
319, 16.16
320, 13.54
321, 11.17
322, 15.07
323, 12.96
324, 10.90
325, 14.79
326, 12.02
327, 9.90
328, 14.28
329, 12.27
330, 10.21
331, 14.29
332, 18.77
333, 15.84
334, 13.69
335, 18.04
336, 15.78
337, 13.76
338, 17.41
339, 14.50
340, 12.07
341, 16.22
342, 13.48
343, 10.96
344, 15.06
345, 12.96
346, 11.24
347, 15.88
348, 12.57
349, 10.99
350, 14.78
351, 12.70
352, 11.04
353, 15.11
354, 12.76
355, 10.86
356, 15.08
357, 12.74
358, 10.68
359, 14.58
360, 12.56
361, 10.48
362, 15.00
363, 12.08
364, 9.91
365, 14.25
366, 11.17
367, 15.79
368, 13.73
369, 17.98
370, 15.72
371, 13.46
372, 18.04
373, 15.29
374, 13.41
375, 17.35
376, 14.90
377, 12.98
378, 16.66
379, 13.86
380, 12.22
381, 15.89
382, 12.91
383, 10.48
384, 14.18
385, 11.22
386, 9.50
387, 13.66
388, 11.47
389, 9.01
390, 13.18
391, 10.60
392, 8.88
393, 13.50
394, 10.81
395, 15.21
396, 12.77
397, 16.63
398, 13.80
399, 11.39
400, 15.44
401, 12.90
402, 10.90
403, 15.28
404, 12.49
