read, delay
1, 3.91
2, 3.84
3, 4.26
4, 4.90
5, 2.55
6, 2.84
7, 2.76
8, 2.81
9, 3.18
10, 3.30
11, 4.11
12, 2.01
13, 2.70
14, 3.49
15, 3.84
16, 4.18
17, 4.85
18, 2.17
19, 2.61
20, 3.37
21, 4.10
22, 4.64
23, 2.34
24, 2.83
25, 3.60
26, 3.55
27, 3.84
28, 4.69
29, 2.00
30, 2.66
31, 3.46
32, 3.62
33, 4.12
34, 4.80
35, 2.67
36, 3.24
37, 4.02
38, 4.05
39, 4.10
40, 4.57
41, 2.21
42, 2.48
43, 2.49
44, 3.24
45, 3.54
46, 3.93
47, 4.69
48, 4.61
49, 2.02
50, 4.94
51, 2.40
52, 2.68
53, 2.93
54, 3.36
55, 3.92
56, 4.18
57, 4.68
58, 4.62
59, 2.31
60, 2.90
61, 2.99
62, 3.38
63, 3.53
64, 4.10
65, 4.07
66, 4.59
67, 2.26
68, 3.10
69, 3.01
70, 3.74
71, 3.80
72, 3.90
73, 4.76
74, 2.38
75, 3.01
76, 3.24
77, 4.06
78, 4.73
79, 4.65
80, 4.69
81, 4.72
82, 2.31
83, 2.76
84, 2.98
85, 2.94
86, 3.52
87, 4.30
88, 2.11
89, 2.59
90, 2.84
91, 2.84
92, 3.24
93, 3.28
94, 3.74
95, 4.58
96, 2.47
97, 2.57
98, 2.66
99, 2.58
100, 2.78
101, 3.35
102, 3.50
103, 4.37
104, 4.57
105, 4.53
106, 1.97
107, 2.29
108, 2.43
109, 3.29
110, 3.52
111, 3.91
112, 4.32
113, 4.60
114, 2.23
115, 2.82
116, 3.68
117, 4.31
118, 4.41
119, 1.99
120, 2.62
121, 2.59
122, 2.93
123, 3.26
124, 3.49
125, 4.37
126, 4.48
127, 4.72
128, 2.56
129, 2.58
130, 2.71
131, 3.34
132, 3.27
133, 4.10
134, 4.18
135, 4.42
136, 4.32
137, 4.38
138, 4.81
139, 2.33
140, 2.66
141, 2.90
142, 3.57
143, 3.80
144, 4.62
145, 1.98
146, 2.75
147, 3.20
148, 3.54
149, 4.15
150, 4.09
151, 4.07
152, 4.57
153, 2.05
154, 2.14
155, 2.55
156, 2.81
157, 3.02
158, 2.89
159, 3.39
160, 4.21
161, 4.26
162, 4.55
163, 2.04
164, 2.19
165, 2.66
166, 3.43
167, 3.37
168, 3.33
169, 3.50
170, 3.58
171, 3.46
172, 3.38
173, 3.79
174, 4.03
175, 4.20
176, 4.52
177, 4.50
178, 4.44
179, 2.20
180, 2.89
181, 3.63
182, 4.26
183, 4.44
184, 2.16
185, 2.48
186, 3.35
187, 3.75
188, 3.81
189, 4.18
190, 1.97
191, 2.06
192, 2.94
193, 3.15
194, 3.39
195, 3.61
196, 4.37
197, 2.10
198, 2.75
199, 3.49
200, 3.88
201, 4.40
202, 4.93
203, 4.82
204, 2.23
205, 3.06
206, 3.08
207, 3.73
208, 3.90
209, 4.54
210, 2.42
211, 2.59
212, 2.56
213, 3.36
214, 3.60
215, 4.04
216, 4.42
217, 2.08
218, 2.80
219, 3.38
220, 4.03
221, 4.85
222, 4.78
223, 2.18
224, 2.11
225, 2.64
226, 2.94
227, 2.82
228, 3.25
229, 3.58
230, 4.04
231, 4.77
232, 2.12
233, 2.50
234, 2.70
235, 3.43
236, 3.87
237, 4.06
238, 4.74
239, 2.16
240, 2.68
241, 2.98
242, 3.18
243, 3.08
244, 3.14
245, 3.68
246, 4.17
247, 4.91
248, 2.76
249, 3.09
250, 3.31
251, 3.58
252, 4.07
253, 4.12
254, 4.65
255, 4.64
256, 2.37
257, 3.17
258, 3.48
259, 3.52
260, 3.80
261, 3.67
262, 3.89
263, 3.92
264, 3.96
265, 4.07
266, 4.09
267, 4.01
268, 4.68
269, 4.72
270, 2.29
271, 2.24
272, 3.04
273, 3.06
274, 3.09
275, 3.10
276, 3.03
277, 3.54
278, 4.34
279, 4.84
280, 2.62
281, 2.79
282, 3.43
283, 4.01
284, 4.17
285, 4.89
286, 2.54
287, 2.61
288, 2.83
289, 3.67
290, 4.29
291, 2.01
292, 2.64
293, 3.38
294, 3.83
295, 4.57
296, 2.37
297, 2.47
298, 3.04
299, 3.65
300, 4.31
301, 4.61
302, 4.94
303, 4.86
304, 2.18
305, 2.09
306, 2.54
307, 2.52
308, 2.64
309, 3.03
310, 2.99
311, 3.73
312, 4.42
313, 4.52
314, 2.02
315, 2.59
316, 2.91
317, 3.22
318, 3.90
319, 4.48
320, 1.93
321, 2.35
322, 2.75
323, 3.42
324, 3.51
325, 3.46
326, 3.68
327, 4.31
328, 2.09
329, 2.32
330, 3.01
331, 3.49
332, 4.14
333, 4.81
334, 2.11
335, 2.32
336, 2.36
337, 3.04
338, 3.20
339, 3.51
340, 4.38
341, 4.65
342, 4.92
343, 2.57
344, 2.77
345, 3.22
346, 3.52
347, 3.59
348, 3.48
349, 3.80
350, 3.95
351, 4.78
352, 4.78
353, 2.22
354, 2.68
355, 2.99
356, 3.10
357, 3.95
358, 3.97
359, 4.59
360, 4.83
361, 4.90
362, 2.69
363, 3.52
364, 3.45
365, 3.49
366, 3.42
367, 4.14
368, 4.91
369, 4.85
370, 2.09
371, 2.59
372, 2.90
373, 3.56
374, 4.07
375, 4.73
376, 2.06
377, 2.28
378, 2.51
379, 2.98
380, 3.48
381, 3.82
382, 3.92
383, 4.54
384, 2.34
385, 2.62
386, 2.93
387, 3.36
388, 3.81
389, 3.94
390, 3.90
391, 4.18
392, 4.50
393, 1.96
394, 2.80
395, 3.68
396, 4.08
397, 4.29
398, 4.64
399, 2.46
400, 2.51
401, 2.89
402, 2.95
403, 3.22
404, 3.95
405, 4.16
406, 4.51
407, 4.39
408, 2.17
409, 2.70
410, 2.91
411, 3.62
412, 4.11
413, 4.12
414, 4.54
415, 4.66
416, 2.22
417, 2.89
418, 3.44
419, 3.34
420, 3.57
421, 3.94
422, 4.73
423, 2.29
424, 2.48
425, 2.63
426, 3.18
427, 3.08
428, 3.82
429, 3.93
430, 4.76
431, 2.42
432, 2.40
433, 2.75
434, 3.57
435, 4.12
436, 4.83
437, 2.00
438, 2.76
439, 3.23
440, 3.38
441, 4.01
442, 4.66
443, 4.77
444, 4.76
445, 2.62
446, 2.86
447, 3.06
448, 3.02
449, 3.58
450, 4.25
451, 2.10
452, 2.82
453, 2.94
454, 3.18
455, 3.62
456, 4.43
457, 4.54
458, 2.13
459, 2.09
460, 2.53
461, 2.53
462, 2.76
463, 3.44
464, 3.78
465, 3.86
466, 4.64
467, 4.74
468, 4.66
469, 4.79
470, 1.98
471, 2.29
472, 2.20
473, 2.54
474, 2.69
475, 3.04
476, 3.70
477, 4.41
478, 4.89
479, 1.99
480, 2.12
481, 2.73
482, 2.74
483, 3.40
484, 3.66
485, 3.59
486, 3.62
487, 3.75
488, 4.38
489, 2.02
490, 2.84
491, 3.05
492, 3.71
493, 4.13
494, 4.01
495, 3.94
496, 4.26
497, 4.19
498, 4.06
499, 4.86
500, 4.92
501, 2.38
502, 3.22
503, 3.80
504, 4.51
505, 4.41
506, 4.64
507, 2.26
508, 2.62
509, 3.09
510, 3.01
511, 3.54
512, 4.24
513, 4.46
514, 1.94
515, 4.91
516, 4.89
517, 4.91
518, 2.74
519, 3.00
520, 3.83
521, 4.68
522, 4.89
523, 2.76
524, 2.81
525, 2.94
526, 3.78
527, 4.61
528, 2.26
529, 3.11
530, 3.16
531, 3.84
532, 3.79
533, 4.42
534, 4.82
535, 2.67
536, 2.63
537, 2.70
538, 3.10
539, 3.80
540, 3.98
541, 4.10
542, 4.62
543, 2.49
544, 2.90
545, 3.57
546, 3.69
547, 3.77
548, 4.29
549, 4.90
550, 2.43
551, 2.82
552, 2.74
553, 3.49
554, 4.12
555, 4.34
556, 4.35
557, 4.68
558, 2.21
559, 2.33
560, 2.98
561, 3.20
562, 4.00
563, 4.19
564, 4.13
565, 4.86
566, 2.61
567, 2.66
568, 2.56
569, 3.29
570, 4.08
571, 4.45
572, 4.64
573, 2.18
574, 2.56
575, 2.98
576, 3.16
577, 3.98
578, 4.18
579, 4.90
580, 4.87
581, 2.20
582, 2.77
583, 2.69
584, 3.56
585, 3.77
586, 3.87
587, 4.15
588, 4.56
589, 4.52
590, 4.82
591, 2.30
592, 2.50
593, 2.61
594, 2.74
595, 2.80
596, 2.84
597, 3.47
598, 3.80
599, 4.30
600, 4.34
601, 2.17
602, 2.32
603, 2.99
604, 3.71
605, 4.04
606, 4.84
607, 2.16
608, 2.36
609, 2.78
610, 3.20
611, 4.00
612, 4.50
613, 4.48
614, 4.82
615, 2.19
616, 2.80
617, 3.20
618, 4.04
619, 4.14
620, 4.53
621, 4.87
622, 2.17
623, 2.16
624, 2.29
625, 2.31
626, 2.44
627, 2.42
628, 2.31
629, 2.71
630, 3.42
631, 4.06
632, 4.61
633, 4.62
634, 2.34
635, 3.09
636, 3.84
637, 4.52
638, 4.86
639, 4.74
640, 4.83
641, 2.04
642, 2.78
643, 3.58
644, 3.81
645, 4.46
646, 1.93
647, 2.37
648, 2.32
649, 3.10
650, 3.59
651, 4.36
652, 4.63
653, 2.00
654, 2.55
655, 2.62
656, 3.40
657, 3.88
658, 4.01
659, 4.65
660, 4.74
661, 2.51
662, 3.35
663, 4.12
664, 4.09
665, 4.30
666, 4.90
667, 2.28
668, 2.65
669, 3.28
670, 3.73
671, 4.14
672, 4.91
673, 2.40
674, 3.11
675, 3.96
676, 4.08
677, 4.71
678, 4.65
679, 2.52
680, 2.64
681, 2.78
682, 3.42
683, 3.45
684, 4.09
685, 4.22
686, 4.14
687, 4.89
688, 2.76
689, 3.47
690, 3.36
691, 3.34
692, 3.46
693, 3.77
694, 4.50
695, 4.76
696, 4.88
697, 1.96
698, 2.53
699, 2.61
700, 3.20
701, 3.29
702, 4.13
703, 4.10
704, 4.41
705, 4.56
706, 4.46
707, 2.00
708, 2.03
709, 2.11
710, 2.47
711, 2.76
712, 3.06
713, 3.78
714, 3.75
715, 4.02
716, 4.90
717, 2.76
718, 2.85
719, 3.60
720, 3.57
721, 3.60
722, 3.87
723, 4.21
724, 4.88
725, 2.46
726, 3.11
727, 3.84
728, 3.97
729, 4.42
730, 4.36
731, 4.46
732, 4.46
733, 2.03
734, 2.61
735, 2.89
736, 3.24
737, 3.90
738, 4.29
739, 4.18
740, 4.12
741, 4.49
742, 4.80
743, 2.25
744, 2.64
745, 2.92
746, 3.29
747, 3.26
748, 3.95
749, 4.35
750, 4.75
751, 2.49
752, 2.84
753, 3.32
754, 3.89
755, 4.68
756, 2.16
757, 2.10
758, 2.97
759, 3.76
760, 4.22
761, 4.49
762, 2.11
763, 2.94
764, 3.52
765, 3.97
766, 3.98
767, 3.90
768, 4.60
769, 4.90
770, 2.39
771, 2.81
772, 3.62
773, 3.71
774, 3.95
775, 4.40
776, 4.60
777, 4.92
778, 4.86
779, 2.48
780, 2.56
781, 3.40
782, 3.88
783, 4.72
784, 2.51
785, 2.81
786, 3.03
787, 3.74
788, 3.97
789, 4.58
790, 2.24
791, 2.11
792, 2.13
793, 2.54
794, 2.54
795, 3.26
796, 3.52
797, 3.98
798, 4.46
799, 2.09
800, 2.02
801, 2.64
802, 2.85
803, 3.68
804, 4.12
805, 4.67
806, 4.87
807, 2.30
808, 2.89
809, 2.93
810, 3.54
811, 4.03
812, 4.07
813, 4.50
814, 4.53
815, 4.58
816, 2.21
817, 2.28
818, 2.19
819, 2.71
820, 3.06
821, 3.24
822, 3.70
823, 3.68
824, 3.66
825, 3.87
826, 4.12
827, 4.93
828, 2.20
829, 2.25
830, 3.10
831, 3.30
832, 4.17
833, 4.34
834, 1.95
835, 2.12
836, 2.98
837, 3.10
838, 3.58
839, 3.85
840, 4.60
841, 2.43
842, 2.42
843, 2.82
844, 2.69
845, 3.04
846, 3.31
847, 3.91
848, 4.05
849, 4.87
850, 2.68
851, 3.39
852, 3.95
853, 4.58
854, 4.50
855, 4.40
856, 2.19
857, 2.48
858, 3.20
859, 3.82
860, 3.90
861, 4.76
862, 2.11
863, 2.79
864, 3.38
865, 3.56
866, 3.99
867, 4.65
868, 4.84
869, 2.20
870, 2.80
871, 3.67
872, 4.01
873, 4.27
874, 4.83
875, 2.70
876, 3.49
877, 3.95
878, 3.99
879, 4.63
880, 4.54
881, 1.98
882, 1.98
883, 2.08
884, 2.71
885, 3.32
886, 3.83
887, 3.92
888, 4.36
889, 4.50
890, 2.28
891, 2.55
892, 3.04
893, 3.06
894, 3.58
895, 3.84
896, 3.77
897, 3.76
898, 4.36
899, 4.90
900, 2.78
901, 2.71
902, 3.51
903, 4.36
904, 4.40
905, 4.61
906, 2.40
907, 2.44
908, 3.24
909, 3.79
910, 4.34
911, 4.92
912, 2.31
913, 3.07
914, 3.07
915, 2.95
916, 3.37
917, 3.86
918, 3.85
919, 3.88
920, 4.22
921, 4.22
922, 4.83
923, 4.71
924, 2.52
925, 2.89
926, 3.31
927, 3.98
928, 4.16
929, 4.32
930, 4.45
931, 2.26
932, 2.88
933, 2.96
934, 3.30
935, 3.92
936, 4.64
937, 4.83
938, 2.24
939, 2.14
940, 2.86
941, 3.26
942, 4.11
943, 4.50
944, 2.18
945, 2.77
946, 2.74
947, 3.53
948, 3.84
949, 4.24
950, 4.86
951, 2.11
952, 2.74
953, 3.39
954, 3.40
955, 3.48
956, 3.61
957, 3.62
958, 3.48
959, 3.78
960, 4.23
961, 4.49
962, 4.37
963, 4.79
964, 2.06
965, 2.85
966, 2.91
967, 2.90
968, 3.78
969, 4.04
970, 3.98
971, 4.56
972, 2.44
973, 3.00
974, 3.10
975, 3.29
976, 4.08
977, 4.50
978, 4.66
979, 2.38
980, 3.02
981, 3.12
982, 3.90
983, 4.68
984, 2.41
985, 3.12
986, 3.74
987, 4.19
988, 4.53
989, 2.24
990, 2.78
991, 3.37
992, 3.80
993, 4.19
994, 4.25
995, 4.75
996, 2.57
997, 2.93
998, 3.21
999, 4.04
1000, 4.54
1001, 4.73
1002, 4.85
1003, 2.24
1004, 2.40
1005, 2.48
1006, 2.54
1007, 2.76
1008, 3.65
1009, 3.67
1010, 3.96
1011, 4.06
1012, 4.08
1013, 3.97
1014, 4.49
1015, 4.48
1016, 2.20
1017, 2.32
1018, 2.26
1019, 2.50
1020, 2.95
1021, 3.55
1022, 3.69
1023, 4.56
1024, 4.83
1025, 4.76
1026, 4.68
1027, 2.20
1028, 2.67
1029, 3.09
1030, 3.19
1031, 3.94
1032, 4.46
1033, 4.63
1034, 2.30
1035, 2.95
1036, 3.46
1037, 3.82
1038, 3.74
1039, 4.19
1040, 4.50
1041, 2.29
1042, 2.41
1043, 2.38
1044, 2.60
1045, 3.28
1046, 3.34
1047, 4.06
1048, 4.00
1049, 3.94
1050, 4.12
1051, 4.36
1052, 4.86
1053, 2.62
1054, 2.95
1055, 3.36
1056, 4.10
1057, 4.76
1058, 2.42
1059, 2.42
1060, 2.33
1061, 2.48
1062, 2.57
1063, 2.73
1064, 3.50
1065, 3.77
1066, 4.48
1067, 2.09
1068, 2.92
1069, 3.27
1070, 3.35
1071, 3.95
1072, 4.19
1073, 4.86
1074, 2.32
1075, 2.80
1076, 2.90
1077, 2.90
1078, 2.96
1079, 3.59
1080, 4.14
1081, 4.36
1082, 2.00
1083, 2.66
1084, 2.90
1085, 3.30
1086, 4.02
1087, 4.86
1088, 2.30
1089, 2.54
1090, 3.15
1091, 3.42
1092, 3.46
1093, 4.17
1094, 4.34
1095, 1.96
1096, 2.11
