read, delay
1, 3.69
2, 2.81
3, 6.21
4, 5.93
5, 5.63
6, 4.78
7, 4.28
8, 4.12
9, 3.92
10, 3.13
11, 2.86
12, 2.68
13, 2.47
14, 6.00
15, 5.08
16, 4.84
17, 3.98
18, 3.71
19, 3.16
20, 2.82
21, 2.44
22, 5.99
23, 5.48
24, 5.36
25, 4.33
26, 3.49
27, 2.52
28, 5.87
29, 4.86
30, 3.96
31, 3.24
32, 2.72
33, 5.90
34, 5.50
35, 5.11
36, 4.28
37, 3.27
38, 2.76
39, 6.11
40, 5.26
41, 4.56
42, 4.13
43, 3.29
44, 2.56
45, 2.37
46, 2.18
47, 6.02
48, 5.17
49, 4.44
50, 3.80
51, 3.34
52, 2.68
53, 2.06
54, 5.42
55, 4.70
56, 3.59
57, 2.70
58, 2.24
59, 5.50
60, 5.15
61, 4.48
62, 3.96
63, 3.39
64, 3.20
65, 2.74
66, 5.89
67, 5.50
68, 4.60
69, 3.57
70, 2.64
71, 5.55
72, 4.66
73, 3.85
74, 3.38
75, 3.22
76, 2.51
77, 2.32
78, 5.68
79, 5.07
80, 3.96
81, 3.35
82, 3.18
83, 2.26
84, 5.19
85, 4.60
86, 3.52
87, 2.94
88, 2.14
89, 5.66
90, 5.32
91, 4.89
92, 4.63
93, 3.85
94, 3.27
95, 2.41
96, 5.33
97, 4.30
98, 3.79
99, 3.14
100, 2.38
101, 5.30
102, 4.63
103, 3.78
104, 3.28
105, 2.61
106, 5.62
107, 5.20
108, 4.81
109, 4.34
110, 4.12
111, 3.32
112, 2.62
113, 1.88
114, 5.23
115, 4.78
116, 4.31
117, 3.73
118, 3.62
119, 2.77
120, 1.62
121, 5.17
122, 4.82
123, 4.43
124, 3.30
125, 2.95
126, 1.97
127, 1.74
128, 5.38
129, 4.68
130, 4.48
131, 3.48
132, 2.83
133, 2.14
134, 1.91
135, 1.51
136, 4.65
137, 3.93
138, 3.71
139, 3.25
140, 3.11
141, 2.75
142, 2.33
143, 2.02
144, 1.48
145, 5.16
146, 4.90
147, 4.16
148, 3.88
149, 3.18
150, 2.83
151, 2.09
152, 1.69
153, 4.78
154, 3.71
155, 3.19
156, 2.25
157, 1.47
158, 4.87
159, 4.61
160, 3.84
161, 3.16
162, 2.09
163, 1.51
164, 4.58
165, 4.14
166, 3.70
167, 3.26
168, 2.43
169, 1.87
170, 1.53
171, 5.03
172, 4.26
173, 3.95
174, 3.43
175, 3.20
176, 2.08
177, 5.04
178, 4.03
179, 2.98
180, 2.17
181, 1.66
182, 4.86
183, 4.28
184, 3.86
185, 3.24
186, 2.86
187, 2.22
188, 1.73
189, 1.54
190, 4.55
191, 3.82
192, 3.16
193, 2.27
194, 1.75
195, 1.23
196, 4.76
197, 3.78
198, 3.23
199, 3.00
200, 6.71
201, 6.07
202, 5.32
203, 8.54
204, 7.75
205, 6.92
206, 6.74
207, 6.00
208, 5.06
209, 8.58
210, 8.48
211, 7.57
212, 6.68
213, 6.31
214, 6.00
215, 5.32
216, 8.46
217, 8.05
218, 7.71
219, 6.82
220, 5.90
221, 5.17
222, 4.82
223, 7.73
224, 7.30
225, 6.70
226, 5.99
227, 5.29
228, 8.41
229, 8.25
230, 7.31
231, 6.32
232, 5.68
233, 5.50
234, 4.86
235, 7.92
236, 7.70
237, 6.79
238, 6.57
239, 6.16
240, 5.52
241, 4.50
242, 8.21
243, 7.81
244, 7.54
245, 6.63
246, 6.11
247, 5.98
248, 5.08
249, 4.51
250, 7.66
251, 6.72
252, 6.50
253, 5.89
254, 4.99
255, 4.59
256, 7.62
257, 6.49
258, 5.46
259, 5.13
260, 4.66
261, 4.38
262, 7.95
263, 7.60
264, 6.88
265, 5.89
266, 5.51
267, 4.45
268, 4.33
269, 8.09
270, 7.61
271, 6.64
272, 6.19
273, 5.73
274, 5.51
275, 5.07
276, 4.54
277, 4.28
278, 7.15
279, 6.46
280, 5.56
281, 4.47
282, 4.22
283, 7.42
284, 6.71
285, 5.69
286, 5.42
287, 4.55
288, 4.29
289, 7.68
290, 7.55
291, 6.43
292, 5.88
293, 5.26
294, 4.22
295, 8.00
296, 7.33
297, 6.28
298, 5.54
299, 4.62
300, 4.15
301, 4.01
302, 7.04
303, 6.58
304, 5.88
305, 5.30
306, 4.37
307, 4.18
308, 7.84
309, 7.08
310, 6.84
311, 6.01
312, 5.39
313, 4.63
314, 7.70
315, 7.55
316, 6.79
317, 6.24
318, 5.87
319, 5.29
320, 4.24
321, 7.12
322, 6.02
323, 5.53
324, 5.10
325, 4.81
326, 4.14
327, 7.47
328, 6.96
329, 6.62
330, 6.38
331, 5.68
332, 4.58
333, 4.14
334, 7.39
335, 6.54
336, 6.15
337, 5.67
338, 5.44
339, 4.56
340, 3.66
341, 7.53
342, 7.24
343, 6.69
344, 6.34
345, 6.21
346, 5.71
347, 5.17
348, 4.32
349, 3.75
350, 6.81
351, 5.89
352, 5.33
353, 4.78
354, 3.89
355, 7.15
356, 6.21
357, 5.69
358, 5.26
359, 4.76
360, 4.62
361, 4.03
362, 7.02
363, 6.74
364, 6.29
365, 5.58
366, 4.78
367, 4.28
368, 3.49
369, 6.38
370, 5.70
371, 5.21
372, 4.58
373, 4.23
374, 3.70
375, 6.59
376, 6.21
377, 5.53
378, 4.75
379, 3.93
380, 3.69
381, 3.44
382, 3.19
383, 6.40
384, 5.34
385, 4.40
386, 3.63
387, 3.20
388, 6.46
389, 6.11
390, 5.50
391, 4.58
392, 4.36
393, 3.82
394, 6.88
395, 6.76
396, 6.37
397, 6.04
398, 5.83
399, 5.58
400, 5.35
401, 4.97
402, 4.89
403, 4.34
404, 3.82
405, 3.54
406, 3.36
407, 2.88
408, 5.88
409, 5.63
410, 4.68
411, 3.66
412, 3.05
413, 6.28
414, 5.74
415, 5.35
416, 5.04
417, 4.52
418, 3.80
419, 2.78
420, 6.10
421, 5.94
422, 5.18
423, 4.37
424, 3.84
425, 2.96
426, 6.69
427, 5.57
428, 5.04
429, 3.99
430, 3.49
431, 6.40
432, 5.47
433, 5.07
434, 4.27
435, 3.28
436, 6.53
437, 6.14
438, 5.61
439, 5.39
440, 4.83
441, 4.62
442, 3.55
443, 2.60
444, 6.30
445, 6.05
446, 5.55
447, 5.36
448, 5.15
449, 4.90
450, 4.80
451, 4.45
452, 3.84
453, 2.84
454, 2.68
455, 6.32
456, 5.32
457, 5.00
458, 4.73
459, 3.78
460, 3.26
461, 2.48
462, 5.71
463, 5.56
464, 4.50
465, 3.46
466, 3.29
467, 6.28
468, 5.97
469, 5.69
470, 4.90
471, 4.65
472, 4.01
473, 2.95
474, 2.80
475, 5.85
476, 5.60
477, 5.44
478, 4.84
479, 4.00
480, 3.32
481, 2.64
482, 6.20
483, 5.55
484, 4.46
485, 4.22
486, 3.52
487, 3.30
488, 2.75
489, 2.24
490, 5.58
491, 5.27
492, 4.31
493, 4.16
494, 3.94
495, 3.34
496, 2.73
497, 2.26
498, 5.99
499, 5.33
500, 4.82
501, 3.86
502, 3.67
503, 2.81
504, 2.35
505, 5.50
506, 5.36
507, 4.82
508, 4.58
509, 3.71
510, 3.08
511, 6.06
512, 5.10
513, 4.94
514, 4.80
515, 3.82
516, 3.08
517, 2.29
518, 5.99
519, 5.26
520, 4.91
521, 4.56
522, 3.96
523, 3.72
524, 2.92
525, 2.67
526, 2.39
527, 5.78
528, 5.10
529, 4.79
530, 3.69
531, 3.30
532, 2.99
533, 2.70
534, 2.00
535, 5.38
536, 4.30
537, 4.02
538, 3.02
539, 2.15
540, 5.57
541, 5.00
542, 4.79
543, 4.45
544, 3.84
545, 3.67
546, 3.54
547, 3.12
548, 2.51
549, 1.87
550, 4.88
551, 3.84
552, 3.07
553, 2.10
554, 5.20
555, 4.55
556, 4.34
557, 3.26
558, 2.38
559, 2.05
560, 5.07
561, 4.24
562, 3.79
563, 3.45
564, 2.87
565, 1.73
566, 4.92
567, 3.85
568, 3.72
569, 3.32
570, 2.83
571, 2.06
572, 1.76
573, 5.31
574, 4.99
575, 4.00
576, 3.41
577, 3.23
578, 2.56
579, 5.48
580, 4.48
581, 4.34
582, 3.66
583, 3.13
584, 3.00
585, 2.17
586, 5.30
587, 4.67
588, 4.16
589, 3.26
590, 2.80
591, 2.50
592, 2.18
593, 5.16
594, 4.13
595, 3.54
596, 2.53
597, 1.42
598, 4.76
599, 4.14
600, 3.74
601, 3.15
602, 2.60
603, 1.98
604, 1.79
605, 1.54
606, 4.43
607, 3.32
608, 2.74
609, 2.22
610, 1.65
611, 1.40
612, 5.27
613, 4.67
614, 4.51
615, 4.08
616, 3.70
617, 2.68
618, 1.75
619, 4.82
620, 4.31
621, 4.09
622, 3.80
623, 2.72
624, 1.81
625, 1.38
626, 5.00
627, 3.92
628, 3.72
629, 2.68
630, 1.64
631, 1.19
632, 5.00
633, 4.62
634, 3.94
635, 2.94
636, 2.59
637, 1.70
638, 4.84
639, 3.96
640, 3.78
641, 3.32
642, 2.53
643, 2.03
644, 1.52
645, 4.75
646, 4.40
647, 4.11
648, 3.43
649, 2.86
650, 2.66
651, 1.70
652, 4.96
653, 4.63
654, 4.02
655, 3.68
656, 3.50
657, 2.38
658, 2.04
659, 1.22
660, 4.72
661, 4.04
662, 3.55
663, 2.52
664, 1.86
665, 1.53
666, 1.03
667, 4.10
668, 3.24
669, 2.14
670, 5.10
671, 8.07
672, 7.49
673, 7.15
674, 6.02
675, 5.41
676, 8.39
677, 7.31
678, 6.49
679, 6.37
680, 6.17
681, 5.53
682, 8.57
683, 8.20
684, 7.34
685, 7.01
686, 6.01
687, 5.20
688, 5.05
689, 8.38
690, 7.85
691, 6.80
692, 5.74
693, 5.58
694, 5.13
695, 8.09
696, 7.71
697, 6.71
698, 5.78
699, 4.97
700, 8.08
701, 7.28
702, 6.54
703, 5.84
704, 5.00
705, 8.18
706, 7.87
707, 7.56
708, 7.12
709, 6.50
710, 5.55
711, 5.11
712, 4.82
713, 7.76
714, 7.19
715, 6.62
716, 5.63
717, 5.03
718, 7.97
719, 7.45
720, 6.90
721, 6.68
722, 5.88
723, 5.14
724, 8.32
725, 7.44
726, 6.78
727, 6.10
728, 5.05
729, 8.41
730, 7.42
731, 6.98
732, 6.58
733, 6.26
734, 5.56
735, 4.74
736, 7.83
737, 7.10
738, 6.20
739, 5.37
740, 4.84
741, 8.09
742, 7.56
743, 7.19
744, 7.03
745, 6.61
746, 5.68
747, 5.12
748, 4.54
749, 7.79
750, 7.52
751, 6.60
752, 6.29
753, 5.23
754, 4.64
755, 7.83
756, 7.15
757, 6.98
758, 6.64
759, 5.96
760, 5.67
761, 5.07
762, 4.52
763, 7.86
764, 7.56
765, 6.58
766, 6.13
767, 5.18
768, 4.26
769, 7.60
770, 7.44
771, 6.59
772, 5.74
773, 5.31
774, 4.96
775, 4.82
776, 4.36
777, 4.04
778, 7.20
