read, delay
1, 5.90
2, 7.58
3, 4.58
4, 7.17
5, 4.76
6, 7.09
7, 9.22
8, 6.30
9, 8.49
10, 5.50
11, 9.12
12, 5.65
13, 6.91
14, 9.22
15, 6.41
16, 8.78
17, 5.80
18, 8.08
19, 5.78
20, 7.82
21, 10.44
22, 8.96
23, 8.23
24, 6.08
25, 8.68
26, 6.29
27, 8.81
28, 5.82
29, 8.16
30, 5.80
31, 8.22
32, 5.43
33, 10.05
34, 4.48
35, 6.46
36, 9.05
37, 6.43
38, 8.33
39, 6.18
40, 8.92
41, 5.88
42, 8.44
43, 5.87
44, 8.33
45, 10.33
46, 6.50
47, 8.80
48, 6.44
49, 8.73
50, 6.41
51, 8.84
52, 6.46
53, 8.89
54, 6.10
55, 8.70
56, 5.18
57, 7.36
58, 9.76
59, 8.99
60, 9.62
61, 7.28
62, 9.34
63, 6.51
64, 8.95
65, 4.40
66, 6.75
67, 15.68
68, 6.30
69, 9.09
70, 6.07
71, 8.44
72, 5.59
73, 8.00
74, 7.32
75, 6.49
76, 8.98
77, 6.12
78, 9.51
79, 6.38
80, 8.36
81, 5.57
82, 8.01
83, 9.88
84, 7.61
85, 10.40
86, 7.14
87, 9.53
88, 6.80
89, 10.33
90, 6.84
91, 9.68
92, 7.14
93, 10.11
94, 6.75
95, 7.64
96, 5.11
97, 8.00
98, 5.33
99, 7.92
100, 9.90
101, 6.90
102, 9.52
103, 6.52
104, 13.92
105, 5.92
106, 6.26
107, 9.04
108, 6.21
109, 9.10
110, 6.92
111, 4.71
112, 7.32
113, 4.94
114, 6.94
115, 9.50
116, 6.25
117, 9.01
118, 6.94
119, 8.60
120, 5.84
121, 8.33
122, 6.06
123, 8.02
124, 5.45
125, 8.19
126, 4.46
127, 6.86
128, 9.00
129, 7.23
130, 8.87
131, 6.63
132, 8.98
133, 6.57
134, 8.84
135, 6.61
136, 8.96
137, 5.70
138, 8.21
139, 6.04
140, 9.55
141, 5.59
142, 7.68
143, 9.81
144, 7.14
145, 9.70
146, 7.47
147, 10.32
148, 5.47
149, 7.65
150, 4.77
151, 10.02
152, 9.05
153, 6.50
154, 8.90
155, 6.44
156, 9.13
157, 5.37
158, 8.46
159, 5.19
160, 7.40
161, 9.58
162, 10.46
163, 4.91
164, 7.34
165, 10.08
166, 7.11
167, 9.46
168, 6.16
169, 8.13
170, 5.40
171, 7.60
172, 5.40
173, 8.54
174, 5.21
175, 7.12
176, 9.21
177, 6.64
178, 8.12
179, 5.22
180, 7.82
181, 9.70
182, 6.68
183, 9.00
184, 7.76
185, 8.81
186, 6.52
187, 9.19
188, 8.18
189, 6.15
190, 8.09
191, 5.24
192, 10.06
193, 5.46
194, 7.84
195, 5.44
196, 8.26
197, 5.60
198, 7.97
199, 5.73
200, 6.90
201, 9.36
202, 6.72
203, 9.82
204, 6.51
205, 9.28
206, 6.20
207, 8.21
208, 10.13
209, 7.16
210, 8.61
211, 6.24
212, 8.96
213, 6.54
214, 10.02
215, 6.07
216, 8.40
217, 5.84
218, 7.74
