read, delay
1, 32.88
2, 31.80
3, 31.38
4, 6.35
5, 1.62
6, 12.91
7, 12.29
8, 11.13
9, 13.65
10, 15.82
11, 13.76
12, 16.52
13, 16.37
14, 14.71
15, 18.78
16, 20.38
17, 20.25
18, 20.01
19, 25.25
20, 25.28
21, 24.02
22, 25.97
23, 26.78
24, 26.12
25, 26.38
26, 29.56
27, 29.29
28, 29.25
29, 28.33
30, 1.14
31, 32.40
32, 30.73
33, 31.82
34, 11.81
35, 10.87
36, 10.51
37, 3.36
38, 13.41
39, 12.20
40, 10.92
41, 12.76
42, 15.54
43, 15.82
44, 17.96
45, 16.18
46, 15.06
47, 18.26
48, 18.10
49, 16.41
50, 16.55
51, 21.07
52, 20.50
53, 20.08
54, 20.44
55, 25.36
56, 25.64
57, 24.36
58, 24.13
59, 27.28
60, 26.79
61, 27.05
62, 28.59
63, 31.05
64, 30.78
65, 5.76
66, 31.60
67, 1.85
68, 6.90
69, 1.80
70, 0.48
71, 10.48
72, 9.89
73, 12.60
74, 11.34
75, 15.07
76, 12.36
77, 14.24
78, 12.47
79, 10.64
80, 16.52
81, 16.17
82, 16.04
83, 20.02
84, 19.99
85, 23.44
86, 21.82
87, 24.72
88, 24.86
89, 27.42
90, 26.53
91, 27.52
92, 25.84
93, 2.70
94, 9.00
95, 14.79
96, 13.50
97, 11.68
98, 16.20
99, 14.49
100, 13.14
101, 12.02
102, 17.99
103, 17.70
104, 17.64
105, 18.45
106, 16.86
107, 20.37
108, 19.01
109, 19.04
110, 19.22
111, 22.56
112, 24.16
113, 23.53
114, 22.96
115, 25.20
116, 27.60
117, 25.77
118, 25.49
119, 30.27
120, 30.41
121, 30.75
122, 5.40
123, 2.64
124, 10.18
125, 8.39
126, 8.63
127, 13.97
128, 13.96
129, 12.96
130, 14.94
131, 17.17
132, 17.33
133, 17.66
134, 18.96
135, 17.37
136, 20.58
137, 20.13
138, 21.07
139, 20.90
140, 24.54
141, 24.78
142, 23.27
143, 25.44
144, 28.34
145, 26.88
146, 26.53
147, 30.20
148, 29.90
149, 29.56
150, 27.71
151, 32.13
152, 31.68
153, 6.04
154, 4.64
155, 10.92
156, 10.51
157, 14.19
158, 16.50
159, 15.31
160, 13.76
161, 18.38
162, 16.66
163, 16.51
164, 16.86
165, 20.66
166, 20.86
167, 20.64
168, 19.74
169, 24.99
170, 24.52
171, 23.12
172, 23.36
173, 29.82
174, 29.44
175, 29.21
176, 1.46
177, 1.74
178, 13.02
179, 10.19
180, 3.60
181, 9.90
182, 8.21
183, 13.91
184, 12.03
185, 12.28
186, 10.56
187, 16.21
188, 15.27
189, 13.94
190, 20.20
191, 20.57
192, 20.48
193, 19.85
194, 19.42
195, 23.25
196, 21.40
197, 21.06
198, 21.16
199, 24.72
200, 23.70
201, 25.68
202, 25.38
203, 27.93
204, 27.76
205, 29.26
206, 29.34
207, 0.82
208, 5.86
209, 0.26
210, 31.53
211, 8.98
212, 3.18
213, 10.72
214, 9.86
215, 13.70
216, 13.22
217, 12.62
218, 11.00
219, 15.65
220, 15.50
221, 14.64
222, 14.43
223, 21.00
224, 20.88
225, 21.26
226, 20.02
227, 19.84
228, 23.91
229, 22.62
230, 21.33
231, 22.46
232, 26.04
233, 25.61
234, 27.66
235, 25.92
236, 28.18
237, 27.15
238, 28.10
239, 26.61
240, 30.66
241, 4.39
242, 32.20
243, 31.90
244, 8.44
245, 3.12
246, 10.64
247, 9.67
248, 12.94
249, 12.42
250, 12.80
251, 11.78
252, 16.33
253, 15.98
254, 14.09
255, 14.17
256, 20.54
257, 17.60
258, 17.44
259, 18.17
260, 16.75
261, 19.90
262, 19.67
263, 20.73
264, 20.28
265, 23.94
266, 23.70
267, 21.99
268, 26.48
269, 26.56
270, 25.41
271, 25.30
272, 30.41
273, 30.34
274, 30.17
275, 28.86
276, 1.90
277, 0.62
278, 31.90
279, 5.39
280, 12.63
281, 11.67
282, 12.05
283, 10.40
284, 15.62
285, 20.24
286, 23.33
287, 26.16
288, 25.99
289, 27.33
290, 27.04
291, 28.39
292, 27.16
293, 29.16
294, 28.22
295, 0.57
296, 31.82
297, 29.94
298, 30.65
299, 10.26
300, 9.39
301, 9.44
302, 3.28
303, 13.34
304, 12.40
305, 11.15
306, 13.20
307, 15.58
308, 14.07
309, 16.17
310, 15.59
311, 13.76
312, 17.52
313, 19.05
314, 18.98
315, 18.98
316, 22.37
317, 22.64
318, 22.96
319, 21.30
320, 26.23
321, 25.72
322, 24.24
323, 24.31
324, 28.24
325, 28.18
326, 28.31
327, 27.38
328, 31.75
329, 31.10
330, 6.36
331, 0.04
332, 9.12
333, 8.99
334, 3.31
335, 13.36
336, 13.37
337, 12.45
338, 13.92
339, 17.35
340, 17.30
341, 16.80
342, 17.41
343, 16.43
344, 20.48
345, 19.18
346, 18.65
347, 18.18
348, 22.02
349, 22.74
350, 22.82
351, 22.42
352, 25.12
353, 26.76
354, 25.61
355, 23.94
356, 29.98
357, 28.84
358, 29.78
359, 28.84
360, 0.56
361, 0.89
362, 8.46
363, 7.52
364, 10.66
365, 10.07
366, 3.92
367, 13.94
368, 13.86
369, 12.35
370, 15.19
371, 18.40
372, 16.29
373, 16.61
374, 17.29
375, 16.32
376, 20.12
377, 20.31
378, 20.98
379, 21.30
380, 24.89
381, 26.92
382, 26.41
383, 28.32
384, 27.32
385, 32.36
386, 31.86
387, 30.51
388, 31.18
389, 11.32
390, 9.75
391, 10.10
392, 3.14
393, 13.18
394, 11.62
395, 10.53
396, 12.98
397, 15.54
398, 15.15
399, 17.66
400, 16.40
401, 15.33
402, 18.48
403, 19.50
404, 19.86
405, 19.42
406, 23.25
407, 23.42
408, 22.10
409, 24.70
410, 26.94
411, 25.88
412, 25.74
413, 29.64
414, 29.56
415, 29.08
416, 27.54
417, 32.74
418, 31.68
419, 6.27
420, 0.62
421, 9.23
422, 8.62
423, 2.07
424, 13.35
425, 12.37
426, 14.35
427, 12.49
428, 16.29
429, 14.14
430, 16.58
431, 15.72
432, 15.56
433, 20.20
434, 19.74
435, 19.46
436, 19.01
437, 22.21
438, 23.53
439, 23.68
440, 25.25
441, 25.70
442, 26.34
443, 24.74
444, 26.95
445, 28.16
446, 9.34
447, 9.54
448, 9.78
449, 12.31
450, 13.70
451, 12.72
452, 11.54
453, 13.03
454, 16.62
455, 16.01
456, 18.22
457, 16.63
458, 18.68
459, 19.63
460, 23.58
461, 23.94
462, 22.93
463, 23.92
464, 27.93
465, 26.89
466, 26.52
467, 28.59
468, 31.13
469, 32.05
470, 32.27
471, 2.80
472, 9.10
473, 9.07
474, 14.83
