read, delay
1, 5.38
2, 6.51
3, 3.38
4, 5.39
5, 7.71
6, 5.54
7, 3.18
8, 5.67
9, 6.87
10, 3.75
11, 6.54
12, 3.85
13, 5.92
14, 2.90
15, 5.30
16, 6.91
17, 4.56
18, 6.67
19, 3.82
20, 6.48
21, 3.48
22, 5.45
23, 3.16
24, 5.42
25, 6.64
26, 4.30
27, 6.73
28, 3.68
29, 5.86
30, 7.88
31, 4.76
32, 7.27
33, 3.92
34, 6.39
35, 3.30
36, 5.32
37, 7.62
38, 5.26
39, 7.62
40, 5.17
41, 6.34
42, 3.93
43, 6.47
44, 3.45
45, 6.05
46, 3.35
47, 5.26
48, 6.38
49, 3.54
50, 5.80
51, 2.89
52, 4.81
53, 7.11
54, 4.21
55, 6.32
56, 3.80
57, 4.75
58, 2.43
59, 4.58
60, 7.06
61, 4.15
62, 6.37
63, 3.26
64, 6.04
65, 7.08
66, 4.74
67, 7.24
68, 4.31
69, 6.44
70, 4.08
71, 6.38
72, 4.06
73, 5.19
74, 7.38
75, 4.32
76, 6.26
77, 3.90
78, 6.68
79, 3.70
80, 6.36
81, 2.40
82, 4.74
83, 6.88
84, 4.48
85, 6.70
86, 4.11
87, 6.52
88, 4.14
89, 5.98
90, 3.03
91, 4.95
92, 6.86
93, 4.02
94, 6.78
95, 4.29
96, 5.73
97, 2.85
98, 5.34
99, 3.10
100, 5.88
101, 3.30
102, 5.63
103, 7.10
104, 4.69
105, 7.26
106, 4.28
107, 6.62
108, 4.26
109, 6.78
110, 4.30
111, 5.78
112, 3.60
113, 6.20
114, 3.27
115, 5.57
116, 2.88
117, 5.61
118, 7.48
119, 3.97
120, 6.15
121, 3.18
122, 5.73
123, 3.16
124, 5.68
125, 2.93
126, 5.02
127, 6.64
128, 4.16
129, 6.67
130, 3.96
131, 6.05
132, 3.25
133, 5.80
134, 3.43
135, 4.52
136, 6.72
137, 3.61
138, 5.53
139, 3.15
140, 5.69
141, 7.84
142, 4.90
143, 5.78
144, 3.01
145, 5.86
146, 3.41
147, 5.94
148, 3.42
149, 6.07
150, 3.90
151, 5.23
152, 7.18
153, 5.00
154, 2.72
155, 4.90
156, 6.78
157, 4.56
158, 6.94
159, 4.56
160, 5.64
161, 3.02
162, 5.83
163, 3.66
164, 5.88
165, 7.82
166, 5.49
167, 6.67
168, 4.22
169, 6.47
170, 3.66
171, 5.64
172, 3.20
173, 5.59
174, 7.75
175, 4.22
176, 6.60
177, 4.36
178, 6.94
179, 4.16
180, 6.64
181, 4.06
182, 6.37
183, 3.77
184, 5.13
185, 7.35
186, 4.73
187, 7.46
188, 5.17
189, 7.12
190, 4.84
191, 6.67
192, 4.12
193, 6.11
194, 3.18
195, 5.37
196, 7.57
197, 4.56
198, 7.02
199, 3.89
200, 5.62
201, 2.55
202, 5.16
203, 7.14
204, 4.58
205, 7.34
206, 4.26
207, 5.37
208, 2.44
209, 4.64
210, 6.59
211, 4.16
212, 6.10
213, 3.33
214, 5.31
215, 6.72
216, 4.03
217, 6.78
218, 4.50
219, 6.61
220, 3.59
221, 5.77
222, 7.68
223, 5.48
224, 7.05
225, 4.58
226, 6.50
227, 4.18
228, 7.03
229, 4.08
230, 6.36
231, 4.16
232, 5.04
233, 2.76
234, 5.33
235, 2.96
236, 5.80
237, 3.34
238, 6.00
239, 7.04
240, 4.02
241, 6.90
242, 4.67
243, 7.39
244, 4.45
245, 7.17
246, 4.55
247, 6.16
248, 4.02
249, 6.21
250, 3.88
251, 6.43
252, 4.04
253, 6.37
254, 4.17
255, 6.64
256, 2.78
257, 5.08
258, 2.74
259, 5.28
260, 3.14
261, 5.89
262, 3.23
263, 6.08
264, 2.68
265, 5.32
266, 7.44
267, 4.79
268, 7.05
269, 4.38
270, 6.55
271, 3.98
272, 5.11
273, 7.05
274, 4.00
275, 6.43
276, 3.92
277, 5.84
278, 7.98
279, 5.61
280, 7.18
281, 4.26
282, 7.12
283, 4.00
284, 6.36
285, 4.14
286, 6.26
287, 3.09
288, 5.77
289, 2.70
290, 5.32
291, 3.07
292, 5.10
293, 7.09
294, 4.35
295, 7.02
296, 3.49
297, 6.20
298, 3.98
299, 6.57
300, 3.72
301, 6.18
302, 3.30
303, 4.56
304, 6.59
305, 4.04
306, 5.95
307, 3.74
308, 5.88
309, 7.84
310, 5.24
311, 6.69
312, 4.30
313, 7.08
314, 4.58
315, 7.32
316, 4.92
317, 7.17
318, 4.43
319, 5.92
320, 2.98
321, 4.91
322, 2.52
323, 4.83
324, 7.37
325, 4.85
326, 7.43
327, 4.16
328, 6.50
329, 3.66
330, 5.57
331, 3.11
332, 5.79
333, 3.12
334, 5.90
335, 2.59
336, 4.56
337, 6.47
338, 4.35
339, 6.97
340, 4.35
341, 7.20
342, 4.93
343, 7.11
344, 3.75
345, 6.65
346, 4.04
347, 6.82
348, 3.72
349, 5.62
350, 7.70
351, 3.68
352, 6.20
353, 3.39
354, 5.71
355, 3.52
356, 5.66
357, 3.10
358, 5.08
359, 7.44
360, 3.98
361, 6.83
362, 3.88
363, 6.48
364, 4.09
365, 6.10
366, 8.06
367, 4.96
368, 6.56
369, 3.54
370, 6.31
371, 4.06
372, 6.19
373, 3.96
374, 5.88
375, 3.73
376, 5.50
377, 2.89
378, 5.01
379, 7.60
380, 4.68
381, 6.69
382, 4.32
383, 6.30
384, 2.32
385, 4.88
386, 7.21
387, 4.32
388, 7.15
389, 4.36
390, 6.82
391, 4.70
392, 5.78
393, 3.26
394, 5.41
395, 7.60
396, 5.38
397, 7.51
398, 4.47
399, 5.66
400, 2.56
401, 5.15
402, 7.38
403, 4.87
404, 6.86
405, 4.40
406, 6.30
407, 2.36
408, 5.08
409, 7.50
410, 4.82
411, 6.98
412, 4.81
413, 7.31
414, 4.42
415, 5.64
416, 2.75
417, 4.63
418, 6.99
419, 4.04
420, 6.01
421, 3.51
422, 5.92
423, 7.09
424, 4.37
425, 6.84
426, 4.45
427, 7.04
428, 4.46
429, 6.76
430, 3.98
431, 5.32
432, 7.49
433, 4.70
434, 6.78
435, 4.32
436, 6.30
437, 3.61
438, 4.91
439, 7.41
440, 4.40
441, 6.39
442, 3.66
443, 5.87
444, 3.04
445, 5.84
446, 7.30
447, 4.63
448, 7.10
449, 4.22
450, 6.74
451, 4.19
452, 6.30
453, 3.51
454, 4.98
455, 2.46
456, 4.81
457, 6.79
458, 3.71
459, 6.39
460, 3.79
461, 5.46
462, 2.92
463, 5.02
464, 7.34
465, 4.47
466, 7.21
467, 4.38
468, 6.80
469, 3.25
470, 5.20
471, 7.32
472, 4.67
473, 7.18
474, 4.58
475, 7.38
476, 5.24
477, 7.03
478, 4.56
479, 7.15
480, 4.34
481, 7.14
482, 4.26
483, 6.93
484, 4.26
485, 5.13
486, 2.59
487, 4.88
488, 2.75
489, 4.71
490, 7.50
491, 5.05
492, 7.20
493, 3.72
494, 5.62
495, 3.35
496, 5.77
497, 3.26
498, 5.28
499, 3.02
500, 5.04
501, 7.09
502, 3.82
503, 6.24
504, 3.20
505, 5.47
506, 3.25
507, 5.60
508, 3.40
509, 5.92
510, 6.88
511, 4.77
512, 6.79
513, 4.61
514, 6.59
515, 3.64
516, 6.02
517, 3.52
518, 5.38
519, 3.16
520, 5.51
521, 2.74
522, 5.22
523, 7.94
524, 4.86
525, 6.97
526, 5.47
527, 5.59
528, 3.15
529, 5.68
530, 7.61
531, 4.72
532, 6.84
533, 4.69
534, 5.66
535, 3.29
536, 6.15
537, 3.61
538, 6.06
539, 3.17
540, 5.27
541, 6.55
542, 3.88
543, 6.48
544, 3.58
545, 6.16
546, 3.66
547, 6.33
548, 3.56
549, 6.12
550, 2.40
551, 4.66
552, 6.83
553, 4.10
554, 6.12
555, 3.20
556, 6.00
557, 7.13
558, 4.27
559, 6.92
560, 4.55
561, 7.20
562, 4.66
563, 6.93
564, 3.81
565, 5.83
566, 2.36
567, 4.70
568, 6.66
569, 4.09
570, 6.06
571, 3.64
572, 6.03
573, 2.30
574, 5.05
575, 2.52
576, 5.37
577, 2.99
578, 4.97
579, 7.47
580, 5.07
581, 6.28
582, 3.52
583, 5.52
584, 3.15
585, 6.03
586, 3.10
587, 5.15
588, 7.83
589, 5.40
590, 6.32
591, 3.99
592, 6.82
593, 4.20
594, 6.24
595, 3.92
596, 6.24
597, 3.64
598, 5.63
599, 6.70
600, 4.46
601, 7.10
602, 4.15
603, 7.03
604, 3.99
605, 6.78
606, 3.42
607, 6.00
608, 3.08
609, 5.70
610, 3.16
611, 5.30
612, 7.52
613, 5.23
614, 6.81
615, 4.40
616, 6.92
617, 4.03
618, 6.46
619, 3.44
620, 5.35
621, 7.70
622, 5.02
623, 5.95
624, 3.53
625, 5.92
626, 2.78
627, 5.13
628, 7.39
629, 4.60
630, 6.22
631, 3.46
632, 5.35
633, 3.04
634, 5.74
635, 3.42
636, 6.02
637, 3.04
638, 5.79
639, 2.58
640, 5.26
641, 7.28
642, 4.89
643, 7.43
644, 4.49
645, 7.08
646, 4.72
647, 7.00
648, 3.46
649, 5.67
650, 7.66
651, 4.86
652, 7.30
653, 4.83
654, 7.12
655, 4.66
656, 6.02
657, 3.34
658, 5.34
659, 7.29
660, 5.12
661, 7.91
662, 5.23
663, 7.75
664, 3.79
665, 6.33
666, 3.44
667, 6.21
668, 3.57
669, 6.13
670, 8.02
671, 5.40
672, 6.30
673, 3.89
674, 5.79
675, 2.65
676, 5.22
677, 2.89
678, 5.41
679, 7.47
680, 4.28
681, 6.87
682, 4.08
683, 6.00
684, 3.40
685, 6.14
686, 3.89
687, 5.79
688, 2.30
689, 4.49
690, 6.89
691, 4.64
692, 7.16
693, 4.17
694, 6.73
695, 4.36
696, 5.73
697, 2.84
698, 5.62
699, 3.06
700, 5.31
701, 7.73
702, 5.50
703, 6.55
704, 4.12
705, 7.03
706, 4.84
707, 7.20
708, 4.85
709, 7.66
710, 5.43
711, 6.90
712, 4.00
713, 6.58
714, 3.46
715, 5.46
716, 7.52
717, 5.36
718, 7.85
719, 5.10
720, 6.17
721, 3.60
722, 6.02
723, 3.08
724, 5.12
725, 7.90
726, 5.24
727, 6.46
728, 3.87
729, 6.72
730, 4.54
731, 7.12
732, 4.00
733, 6.15
734, 3.75
735, 5.70
736, 2.52
737, 4.74
738, 6.96
739, 3.92
740, 6.53
741, 4.14
742, 6.29
743, 3.48
744, 4.74
745, 7.10
746, 4.54
747, 6.80
748, 4.38
749, 6.88
750, 4.58
751, 5.98
752, 3.29
753, 5.49
754, 7.61
755, 4.50
756, 7.25
757, 4.23
758, 5.38
759, 2.35
760, 4.75
761, 7.30
762, 5.12
763, 7.05
764, 4.84
765, 6.92
766, 4.76
767, 6.08
768, 3.62
769, 6.24
770, 3.55
771, 5.62
772, 7.69
773, 5.08
774, 6.88
775, 4.28
776, 6.28
777, 3.80
778, 5.88
779, 3.26
780, 6.15
781, 3.55
782, 5.25
783, 3.10
784, 5.96
785, 3.32
786, 6.02
787, 3.57
788, 5.89
789, 3.71
790, 5.51
791, 2.67
792, 5.51
793, 7.39
794, 5.13
795, 7.15
796, 4.25
797, 6.41
798, 2.38
799, 4.77
800, 6.94
801, 4.68
802, 6.92
803, 3.81
804, 6.13
805, 3.80
806, 6.68
807, 3.21
808, 5.85
809, 3.72
810, 6.51
811, 4.33
812, 6.44
813, 3.76
814, 6.48
815, 2.78
816, 5.14
817, 2.85
818, 5.02
819, 7.57
820, 4.70
821, 6.32
822, 3.89
823, 6.04
824, 3.77
825, 5.96
826, 3.24
827, 5.68
828, 7.69
829, 4.70
830, 6.16
831, 3.99
832, 6.00
833, 3.10
834, 5.49
835, 3.18
836, 5.89
837, 6.84
838, 4.10
839, 6.22
840, 3.88
841, 5.78
842, 3.08
843, 5.61
844, 3.23
845, 4.68
846, 2.44
847, 4.66
848, 7.33
849, 4.79
850, 7.54
851, 4.74
852, 6.55
853, 4.45
854, 7.17
855, 4.50
856, 6.66
857, 4.52
858, 7.38
859, 4.33
860, 5.26
861, 7.26
862, 4.19
863, 6.66
864, 3.91
865, 6.52
866, 3.73
867, 6.01
868, 2.32
869, 4.64
870, 7.44
871, 5.07
872, 2.75
873, 5.55
874, 7.57
875, 5.02
876, 6.82
877, 3.88
878, 6.34
879, 4.23
880, 6.08
881, 3.92
882, 6.56
883, 4.36
884, 5.36
885, 3.18
886, 5.57
887, 3.34
888, 5.34
889, 7.31
890, 5.06
891, 7.33
892, 4.31
893, 5.95
894, 2.85
895, 5.61
896, 2.66
897, 4.80
898, 7.53
899, 5.24
900, 7.06
901, 4.20
902, 6.94
903, 3.95
904, 6.14
905, 3.56
906, 5.68
907, 7.71
908, 4.76
909, 5.91
910, 3.46
911, 6.18
912, 3.10
913, 5.49
914, 7.70
915, 4.81
916, 7.33
917, 4.65
918, 6.02
919, 3.13
920, 5.84
921, 7.77
922, 5.42
923, 7.84
924, 4.90
925, 6.26
926, 3.90
927, 6.32
928, 3.56
929, 5.74
930, 3.18
931, 5.78
932, 7.00
933, 4.21
934, 6.95
935, 3.99
936, 6.41
937, 3.98
938, 6.10
939, 3.82
940, 5.42
941, 3.09
942, 5.28
943, 2.66
944, 5.08
945, 6.99
946, 4.49
947, 7.25
948, 3.83
949, 5.72
950, 3.42
951, 6.13
952, 3.96
953, 6.49
954, 4.13
955, 6.50
956, 4.18
957, 5.24
958, 7.41
959, 4.74
960, 6.66
961, 3.78
962, 6.21
963, 3.25
964, 5.71
965, 2.33
966, 4.28
967, 6.92
968, 4.18
969, 6.55
970, 4.30
971, 6.52
972, 3.87
973, 4.94
974, 7.07
975, 4.30
976, 6.28
977, 4.06
978, 6.26
979, 3.93
980, 6.24
981, 3.04
982, 5.88
983, 3.34
984, 5.88
985, 3.24
986, 5.76
987, 3.18
988, 5.40
989, 7.15
990, 4.60
991, 7.05
992, 4.76
993, 7.41
994, 4.98
995, 7.67
996, 5.16
997, 6.99
998, 4.06
999, 6.71
1000, 3.77
1001, 6.48
1002, 4.11
1003, 6.82
1004, 4.22
1005, 5.59
1006, 2.49
1007, 4.83
1008, 7.60
1009, 4.85
1010, 6.90
1011, 4.18
1012, 6.15
1013, 2.97
1014, 5.49
1015, 3.19
1016, 6.14
1017, 2.90
1018, 5.05
1019, 7.90
1020, 4.97
1021, 6.79
1022, 4.64
1023, 6.99
1024, 4.15
1025, 7.01
1026, 4.32
1027, 6.76
1028, 4.16
1029, 5.06
1030, 2.92
1031, 5.78
1032, 3.61
1033, 5.66
1034, 7.99
1035, 5.45
1036, 6.36
1037, 3.90
1038, 6.02
1039, 3.83
1040, 5.82
1041, 3.59
1042, 5.59
1043, 3.20
1044, 5.58
1045, 6.76
1046, 4.35
1047, 6.34
1048, 3.53
1049, 6.18
1050, 3.89
1051, 6.48
1052, 3.60
1053, 4.91
1054, 7.42
1055, 4.75
1056, 6.72
1057, 3.96
1058, 6.74
1059, 3.76
1060, 5.53
1061, 3.04
1062, 5.22
1063, 7.42
1064, 4.34
1065, 6.82
1066, 4.38
1067, 6.00
1068, 3.30
1069, 6.00
1070, 3.14
1071, 5.98
