read, delay
2, 11.04
3, 18.00
4, 17.35
5, 16.62
6, 15.68
7, 15.33
8, 14.53
9, 14.40
10, 13.40
11, 13.00
12, 12.44
13, 10.80
14, 10.93
15, 17.95
16, 17.78
17, 16.69
18, 15.67
19, 15.09
20, 14.76
21, 14.10
22, 13.32
23, 11.20
24, 11.35
25, 17.32
26, 17.31
27, 16.66
28, 15.14
29, 15.01
30, 14.50
31, 14.16
32, 13.64
33, 12.98
34, 12.64
35, 11.70
36, 11.56
37, 17.74
38, 16.82
39, 16.36
40, 17.21
41, 16.37
42, 14.61
43, 15.03
44, 24.02
45, 13.57
46, 12.95
47, 20.90
48, 11.16
49, 11.22
50, 17.10
51, 16.55
52, 15.74
53, 14.77
54, 15.33
55, 13.91
56, 12.83
57, 12.61
58, 11.78
59, 12.49
60, 11.82
61, 19.12
62, 18.88
63, 17.37
64, 17.34
65, 16.13
66, 15.73
67, 14.82
68, 14.37
69, 15.02
70, 13.21
71, 12.76
72, 12.83
73, 11.33
74, 18.36
75, 17.58
76, 26.57
77, 16.88
78, 25.90
79, 24.27
80, 15.80
81, 14.94
82, 14.16
83, 13.82
84, 12.80
85, 12.63
86, 11.48
87, 11.62
88, 11.22
89, 17.10
90, 17.70
91, 16.82
92, 15.38
93, 16.05
94, 15.87
95, 15.30
96, 14.57
97, 13.84
98, 13.20
99, 12.37
100, 10.68
101, 17.87
102, 17.83
103, 16.42
104, 16.14
105, 15.87
106, 25.86
107, 14.51
108, 14.17
109, 14.54
110, 12.92
111, 13.03
112, 11.78
113, 12.44
114, 10.99
115, 10.22
116, 17.55
117, 17.84
118, 16.71
119, 16.45
120, 15.27
121, 14.95
122, 14.99
123, 12.99
124, 12.52
125, 11.96
126, 10.87
127, 10.74
128, 18.62
129, 10.41
130, 17.58
131, 26.56
132, 17.00
133, 16.42
134, 15.50
135, 14.37
136, 13.84
137, 12.74
138, 12.57
139, 11.91
140, 11.41
141, 10.74
142, 18.46
143, 17.43
144, 16.80
145, 15.10
146, 15.14
147, 14.52
148, 12.89
149, 12.11
150, 12.89
151, 12.70
152, 11.69
153, 18.63
154, 17.46
155, 18.32
156, 16.90
157, 15.92
158, 14.82
159, 14.34
160, 14.03
161, 14.01
162, 13.00
163, 11.06
164, 10.87
165, 11.61
166, 17.56
167, 16.77
168, 15.68
169, 15.38
170, 15.04
171, 13.94
172, 13.20
173, 13.31
174, 11.76
175, 11.03
176, 11.74
177, 10.38
178, 18.08
179, 17.23
180, 17.10
181, 16.92
182, 16.26
183, 15.49
184, 15.03
185, 14.59
186, 13.87
187, 13.29
188, 12.18
189, 11.12
190, 10.97
191, 17.92
192, 17.25
193, 16.75
194, 15.34
195, 15.74
196, 15.13
197, 14.73
198, 14.40
199, 13.41
200, 11.79
201, 11.66
202, 11.27
203, 17.50
204, 18.37
205, 17.53
206, 16.10
207, 15.88
208, 16.05
209, 15.21
210, 14.38
211, 13.48
212, 11.94
213, 11.02
214, 10.14
215, 18.39
216, 17.69
217, 16.58
218, 15.56
219, 15.09
220, 15.24
221, 14.27
222, 13.00
223, 13.62
224, 13.04
225, 11.24
226, 10.78
227, 11.66
228, 10.52
229, 11.31
230, 17.45
231, 16.40
232, 16.52
233, 16.38
234, 15.07
235, 14.77
236, 14.13
237, 13.70
238, 14.43
239, 12.43
240, 12.00
241, 12.50
242, 12.06
243, 18.22
244, 17.14
245, 16.84
246, 16.12
247, 15.85
248, 15.01
249, 14.28
250, 13.27
251, 12.96
252, 12.49
253, 11.86
254, 11.46
255, 10.64
256, 18.38
257, 17.29
258, 16.73
259, 16.04
260, 15.04
261, 14.41
262, 14.20
263, 13.03
264, 13.23
265, 12.98
266, 11.77
267, 11.40
268, 21.40
269, 12.13
270, 10.01
271, 18.21
272, 18.07
273, 17.00
274, 16.86
275, 15.84
276, 15.20
277, 14.17
278, 13.71
279, 22.72
280, 12.42
281, 12.42
282, 11.76
283, 10.46
284, 18.38
285, 17.80
286, 17.50
287, 15.91
288, 15.73
289, 14.36
290, 15.07
291, 13.77
292, 13.05
293, 13.60
294, 12.59
295, 11.14
296, 11.62
297, 17.56
298, 17.16
299, 16.14
300, 15.46
301, 15.05
302, 15.00
303, 14.25
304, 13.28
305, 12.66
306, 11.72
307, 10.96
308, 18.19
309, 17.12
310, 16.52
311, 23.40
312, 15.27
313, 14.76
314, 13.76
315, 12.89
316, 12.75
317, 12.21
318, 11.80
319, 11.52
320, 11.00
321, 16.90
322, 25.55
323, 17.08
324, 16.56
325, 15.46
326, 14.46
327, 12.85
328, 13.50
329, 21.06
330, 12.09
331, 10.65
332, 11.14
333, 10.88
334, 17.66
335, 16.84
336, 15.07
337, 14.42
338, 15.04
339, 14.32
340, 13.57
341, 13.40
342, 12.50
343, 11.79
344, 10.90
345, 17.58
346, 17.96
347, 17.70
348, 15.94
349, 15.43
350, 14.36
351, 13.64
352, 11.89
353, 12.34
354, 11.74
355, 10.60
356, 10.11
357, 17.25
358, 18.06
359, 17.01
360, 15.20
361, 16.06
362, 15.41
363, 13.96
364, 14.70
365, 13.38
366, 12.62
367, 11.62
368, 11.51
369, 12.07
370, 18.12
371, 18.31
372, 16.78
373, 15.95
374, 14.76
375, 14.25
376, 23.24
377, 13.12
378, 12.61
379, 11.68
380, 11.49
381, 11.28
382, 18.32
383, 18.18
384, 17.78
385, 17.62
386, 16.19
387, 17.05
388, 16.41
389, 14.60
390, 15.03
391, 14.17
392, 23.17
393, 13.94
394, 13.26
395, 12.82
396, 12.23
397, 10.21
398, 17.43
399, 17.73
400, 16.22
401, 16.71
402, 15.86
403, 22.47
404, 14.10
405, 12.98
406, 10.84
407, 10.37
408, 17.84
409, 17.18
410, 16.06
411, 15.94
412, 14.58
413, 23.31
414, 13.90
415, 13.69
416, 13.47
417, 12.61
418, 11.94
419, 11.49
420, 11.09
421, 18.30
422, 17.34
423, 16.74
424, 16.20
425, 15.33
426, 14.54
427, 13.77
428, 21.06
429, 12.86
430, 11.01
431, 10.09
432, 18.78
433, 17.25
434, 16.94
435, 17.15
436, 16.10
437, 14.56
438, 14.44
439, 12.54
440, 12.27
441, 13.06
442, 11.70
443, 11.50
444, 11.89
445, 17.80
446, 16.81
447, 25.80
448, 16.60
449, 15.46
450, 14.74
451, 14.13
452, 24.13
453, 13.21
454, 12.89
455, 12.74
456, 12.01
457, 10.90
458, 18.38
459, 17.36
460, 17.58
461, 16.23
462, 16.00
463, 15.04
464, 15.69
465, 13.58
466, 12.83
467, 11.81
468, 11.31
469, 10.74
470, 18.12
471, 17.75
472, 16.78
473, 16.14
474, 15.74
475, 15.06
476, 14.91
477, 14.58
478, 13.50
479, 13.11
480, 12.95
481, 12.67
482, 12.40
483, 12.13
484, 11.05
485, 18.66
486, 18.28
487, 18.06
488, 27.06
489, 16.68
490, 17.14
491, 16.73
492, 15.30
493, 15.13
494, 15.90
495, 14.08
496, 13.35
497, 13.79
498, 13.25
499, 12.23
500, 10.84
501, 18.13
502, 18.14
503, 16.77
504, 16.56
505, 26.54
506, 15.68
507, 15.22
508, 15.28
509, 13.64
510, 12.94
511, 12.79
512, 11.86
513, 11.39
514, 10.26
515, 18.09
516, 17.23
517, 17.74
518, 16.29
519, 15.79
520, 15.63
521, 13.77
522, 12.80
523, 12.50
524, 11.64
525, 10.87
526, 17.83
527, 17.04
528, 16.49
529, 15.88
530, 14.40
531, 13.53
532, 13.26
533, 12.68
534, 12.68
535, 11.74
536, 18.29
537, 17.68
538, 17.49
539, 16.44
540, 15.63
541, 15.11
542, 14.04
543, 13.35
544, 12.61
545, 12.42
546, 19.95
547, 11.49
548, 11.19
549, 10.76
550, 18.34
551, 17.58
552, 26.60
553, 16.50
554, 15.79
555, 15.33
556, 14.68
557, 13.62
558, 12.38
559, 12.88
560, 12.47
561, 11.79
562, 10.10
563, 18.70
564, 17.49
565, 17.04
566, 17.06
567, 16.59
568, 14.52
569, 13.82
570, 13.10
571, 12.87
572, 12.38
573, 11.79
574, 11.63
575, 11.24
576, 10.91
577, 10.62
578, 17.87
579, 16.92
580, 16.09
581, 25.09
582, 15.56
583, 14.72
584, 13.86
585, 13.21
586, 12.62
587, 10.62
588, 11.09
589, 18.45
590, 17.03
591, 16.93
592, 16.68
593, 16.21
594, 15.33
595, 14.52
596, 13.43
597, 12.54
598, 11.92
599, 9.88
600, 17.82
601, 17.50
602, 17.25
603, 16.56
604, 15.14
605, 14.57
606, 15.24
607, 13.60
608, 14.41
609, 13.24
610, 13.07
611, 13.04
612, 11.65
613, 19.36
614, 18.54
615, 17.41
616, 16.72
617, 15.96
618, 15.22
619, 14.54
620, 13.78
621, 12.96
622, 12.75
623, 11.09
624, 9.76
625, 18.31
626, 17.75
627, 16.55
628, 16.88
629, 15.84
630, 13.94
631, 23.94
632, 14.67
633, 12.59
634, 12.23
635, 11.55
636, 10.56
637, 11.22
638, 18.17
639, 16.99
640, 17.36
641, 17.11
642, 14.96
643, 14.41
644, 14.01
645, 13.07
646, 12.97
647, 11.74
648, 11.55
649, 10.70
650, 10.55
651, 18.25
652, 17.42
653, 17.02
654, 16.17
655, 17.02
656, 15.36
657, 14.74
658, 14.60
659, 13.85
660, 13.08
661, 12.20
662, 11.80
663, 11.58
664, 11.10
665, 10.90
666, 18.72
667, 18.36
668, 18.02
669, 16.91
670, 16.44
671, 16.06
672, 15.70
