read, delay
1, 9.68
2, 1.32
3, 5.68
4, 2.07
5, 1.44
6, 1.82
7, 1.52
8, 1.42
9, 1.42
10, 2.06
11, 1.62
12, 1.39
13, 1.63
14, 1.52
15, 1.25
16, 1.30
17, 2.09
18, 1.88
19, 1.37
20, 1.92
21, 2.03
22, 1.54
23, 1.26
24, 1.62
25, 1.71
26, 1.50
27, 1.60
28, 1.84
29, 1.32
30, 2.14
31, 1.88
32, 1.36
33, 2.10
34, 1.58
35, 2.03
36, 2.04
37, 1.96
38, 2.16
39, 1.90
40, 1.74
41, 2.04
42, 2.09
43, 1.30
44, 1.29
45, 2.00
46, 1.97
47, 1.36
48, 1.80
49, 1.54
50, 1.18
51, 2.14
52, 1.58
53, 2.08
54, 1.73
55, 1.20
56, 1.84
57, 1.62
58, 2.04
59, 5.13
60, 1.48
61, 1.20
62, 1.72
63, 1.28
64, 1.64
65, 1.92
66, 2.05
67, 1.31
68, 1.60
69, 1.61
70, 2.04
71, 1.62
72, 1.78
73, 1.83
74, 1.33
75, 1.25
76, 1.93
77, 1.64
78, 1.40
79, 2.10
80, 1.74
81, 2.04
82, 1.24
83, 1.50
84, 1.94
85, 1.91
86, 2.06
87, 1.26
88, 1.44
89, 1.97
90, 1.77
91, 2.05
92, 1.33
93, 1.18
94, 1.94
95, 1.36
96, 1.60
97, 1.28
98, 1.78
99, 1.60
100, 1.24
101, 1.81
102, 1.32
103, 1.19
104, 1.33
105, 1.51
106, 1.65
107, 1.43
108, 1.76
109, 1.27
110, 1.90
111, 1.60
112, 1.64
113, 1.60
114, 1.42
115, 3.52
116, 1.34
117, 1.28
118, 1.83
119, 1.90
120, 1.96
121, 2.01
122, 1.89
123, 1.36
124, 1.56
125, 1.70
126, 1.51
127, 1.49
128, 1.98
129, 1.94
130, 2.12
131, 1.43
132, 1.96
133, 1.72
134, 1.18
135, 1.93
136, 1.52
137, 2.14
138, 2.00
139, 1.24
140, 1.41
141, 1.32
142, 1.24
143, 1.60
144, 1.34
145, 1.95
146, 1.76
147, 1.32
148, 1.50
149, 1.53
150, 1.25
151, 1.28
152, 1.74
153, 1.94
154, 1.20
155, 1.45
156, 1.98
157, 1.69
158, 2.01
159, 1.93
160, 1.52
161, 1.33
162, 1.66
163, 1.41
164, 2.05
165, 1.24
166, 1.53
167, 1.19
168, 1.48
169, 1.17
170, 1.91
171, 2.26
172, 1.51
173, 1.61
174, 2.00
175, 2.06
176, 1.23
177, 2.02
178, 1.17
179, 1.45
180, 2.13
181, 1.96
182, 1.86
183, 1.40
184, 2.09
185, 2.09
186, 1.32
187, 1.44
188, 1.89
189, 1.58
190, 1.19
191, 1.42
192, 1.42
193, 1.36
194, 1.31
195, 1.91
196, 1.24
197, 1.62
198, 1.58
199, 1.75
200, 1.86
201, 1.57
202, 1.33
203, 1.94
204, 2.11
205, 1.35
206, 1.54
207, 1.37
208, 1.44
209, 1.44
210, 1.34
211, 1.39
212, 2.08
213, 1.18
214, 1.56
215, 1.28
216, 1.93
217, 2.08
218, 1.90
219, 1.66
220, 1.54
221, 1.46
222, 2.09
223, 2.01
224, 1.56
225, 1.28
226, 1.19
227, 1.26
228, 1.87
229, 1.33
230, 2.13
231, 2.12
232, 1.62
233, 1.77
234, 1.80
235, 1.72
236, 1.48
237, 1.27
238, 1.50
