=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.11.15 10:52:00 =~=~=~=~=~=~=~=~=~=~=~=
read, delay
1, 19.99
2, 23.78
3, 27.44
4, 31.12
5, 19.81
6, 23.48
7, 26.59
8, 29.81
9, 0.47
10, 21.73
11, 24.83
12, 28.40
13, 31.58
14, 19.78
15, 22.76
16, 26.01
17, 29.24
18, 0.04
19, 21.35
20, 24.92
21, 28.48
22, 31.85
23, 20.49
24, 23.98
25, 27.24
26, 30.76
27, 19.56
28, 22.52
29, 26.24
30, 29.66
31, 0.68
32, 21.63
33, 24.80
34, 28.48
35, 0.05
36, 21.69
37, 25.36
38, 28.28
39, 31.84
40, 20.61
41, 23.98
42, 27.17
43, 30.91
44, 19.99
45, 23.32
46, 26.68
47, 30.26
48, 19.00
49, 22.02
50, 25.48
51, 29.04
52, 32.77
53, 20.74
54, 23.66
55, 26.72
56, 30.02
57, 19.53
58, 23.34
59, 26.29
60, 30.13
61, 19.06
62, 22.64
63, 25.88
64, 29.27
65, 32.16
66, 20.14
67, 23.42
68, 27.08
69, 30.47
70, 18.92
71, 22.30
72, 25.63
73, 29.04
74, 0.33
75, 21.20
76, 24.80
77, 28.44
78, 31.36
79, 20.27
80, 23.60
81, 26.91
82, 30.29
83, 18.44
84, 21.87
85, 24.77
86, 28.00
87, 31.04
88, 19.71
89, 23.18
90, 26.73
91, 30.15
92, 19.74
93, 22.99
94, 26.07
95, 29.20
96, 18.19
97, 21.09
98, 25.40
99, 28.90
100, 31.90
101, 19.84
102, 23.68
103, 26.79
104, 29.85
105, 0.02
106, 21.74
107, 24.84
108, 28.11
109, 31.13
110, 20.70
111, 24.34
112, 27.60
113, 30.53
114, 20.20
115, 23.39
116, 26.49
117, 30.25
118, 19.77
119, 23.01
120, 26.73
121, 29.72
122, 0.50
123, 21.70
124, 25.16
125, 28.45
126, 32.18
127, 20.07
128, 23.91
129, 27.38
130, 30.58
131, 0.60
132, 22.20
133, 25.42
134, 28.28
135, 31.61
136, 20.42
137, 23.76
138, 27.54
139, 31.32
140, 20.03
141, 23.11
142, 26.23
143, 29.62
144, 0.09
145, 21.38
146, 25.18
