read, delay
1, 10.12
2, 0.69
3, 11.69
4, 1.16
5, 16.33
6, 1.14
7, 0.38
8, 0.42
9, 1.28
10, 0.45
11, 1.14
12, 0.75
13, 0.38
14, 0.87
15, 0.74
16, 1.02
17, 0.61
18, 0.51
19, 0.96
20, 0.58
21, 1.14
22, 0.72
23, 0.75
24, 0.63
25, 0.80
26, 1.25
27, 1.03
28, 0.24
29, 0.56
30, 0.58
31, 0.63
32, 0.72
33, 0.88
34, 0.60
35, 1.14
36, 0.47
37, 0.40
38, 1.21
39, 0.63
40, 0.31
41, 0.98
42, 0.81
43, 1.00
44, 0.31
45, 0.74
46, 1.00
47, 0.56
48, 0.64
49, 1.14
50, 0.72
51, 0.74
52, 0.80
53, 0.99
54, 0.51
55, 1.02
56, 0.34
57, 0.99
58, 0.71
59, 0.36
60, 0.28
61, 0.37
62, 1.13
63, 0.96
64, 0.29
65, 0.43
66, 0.65
67, 0.48
68, 0.72
69, 0.92
70, 1.16
71, 0.45
72, 0.88
73, 1.02
74, 0.48
75, 0.55
76, 1.19
77, 0.95
78, 0.30
79, 1.20
80, 0.34
81, 1.01
82, 1.02
83, 0.84
84, 0.73
85, 0.46
86, 0.32
87, 0.34
88, 0.31
89, 1.10
90, 0.84
91, 0.88
92, 0.84
93, 0.79
94, 0.93
95, 0.78
96, 0.58
97, 0.42
98, 0.80
99, 1.12
100, 0.49
101, 0.69
102, 0.98
103, 0.88
104, 1.24
105, 1.12
106, 1.04
107, 0.52
108, 1.24
109, 0.35
110, 0.54
111, 0.77
112, 0.33
113, 1.10
114, 0.97
115, 0.82
116, 0.50
117, 0.53
118, 1.21
119, 0.70
120, 0.89
121, 0.76
122, 1.15
123, 0.98
124, 1.01
125, 0.94
126, 1.10
127, 0.62
128, 0.58
129, 1.12
130, 0.52
131, 1.04
132, 1.00
133, 0.64
134, 0.34
135, 0.72
136, 1.24
137, 1.15
138, 1.11
139, 1.00
140, 0.61
141, 0.82
142, 0.74
143, 0.97
144, 1.07
145, 1.13
146, 0.36
147, 0.65
148, 0.47
149, 0.53
150, 0.71
151, 1.12
152, 0.52
153, 0.95
154, 0.31
155, 0.78
156, 0.56
157, 1.04
158, 1.01
159, 0.74
160, 1.18
161, 0.26
162, 0.56
163, 0.39
164, 0.55
165, 1.25
166, 0.94
167, 0.29
168, 0.62
169, 0.38
170, 0.91
171, 0.69
172, 0.86
173, 0.91
174, 0.96
175, 0.62
176, 0.55
177, 0.26
178, 0.90
179, 0.63
180, 0.50
181, 0.78
182, 1.14
183, 1.24
184, 1.22
185, 1.00
186, 0.75
187, 0.74
188, 0.62
189, 0.84
190, 0.60
191, 1.12
192, 0.58
193, 1.15
194, 1.15
195, 1.00
196, 0.44
197, 1.05
198, 1.17
199, 1.03
200, 1.01
201, 0.56
202, 0.37
203, 0.79
204, 0.48
205, 1.19
206, 0.79
207, 0.96
208, 0.90
209, 0.60
210, 1.12
211, 0.97
212, 1.14
213, 0.30
214, 1.14
215, 0.46
216, 0.54
217, 0.67
218, 0.49
219, 0.84
220, 0.92
221, 0.90
222, 0.92
223, 0.62
224, 0.49
225, 0.72
226, 0.76
227, 0.69
228, 1.15
229, 0.31
230, 0.47
231, 1.17
232, 1.11
233, 0.79
234, 0.38
235, 0.33
236, 0.70
237, 1.19
238, 0.69
239, 0.72
240, 0.86
241, 0.61
242, 1.00
243, 1.11
244, 0.48
245, 1.04
246, 1.17
247, 0.81
248, 0.39
249, 0.36
250, 0.85
251, 1.14
252, 1.06
253, 0.48
254, 0.36
255, 1.22
256, 0.66
257, 0.69
258, 0.80
259, 1.10
260, 0.57
261, 0.51
262, 0.70
263, 0.56
264, 0.34
265, 0.67
266, 1.26
267, 0.53
268, 0.68
269, 0.56
270, 0.72
271, 0.79
272, 0.66
273, 0.34
274, 0.77
275, 0.44
276, 1.19
277, 0.39
278, 1.31
279, 1.06
280, 0.79
281, 0.84
282, 0.60
283, 0.67
284, 0.96
285, 1.05
286, 0.39
287, 0.74
288, 1.19
289, 0.66
290, 0.74
291, 0.71
292, 0.42
293, 1.02
294, 0.86
295, 0.62
296, 0.55
297, 0.30
298, 0.50
299, 0.96
300, 1.18
301, 0.76
302, 0.86
303, 0.96
304, 0.73
305, 0.68
306, 1.01
307, 0.36
308, 0.34
309, 1.14
310, 1.00
311, 0.45
312, 0.66
313, 1.04
314, 0.80
315, 0.48
316, 0.32
317, 0.74
318, 0.47
319, 0.66
320, 1.20
321, 0.28
322, 0.93
323, 1.16
324, 0.72
325, 0.81
326, 0.48
327, 0.39
328, 0.36
329, 0.78
330, 0.70
331, 0.51
332, 0.86
333, 0.84
334, 0.96
335, 1.06
336, 0.50
337, 0.40
338, 1.26
339, 1.09
340, 0.29
341, 0.26
342, 0.81
343, 1.12
344, 0.96
345, 0.72
346, 0.53
347, 1.10
348, 0.68
349, 0.65
350, 0.38
351, 0.83
352, 0.74
353, 0.67
354, 0.56
355, 0.43
356, 0.85
357, 0.78
358, 0.89
359, 1.18
360, 0.67
361, 0.60
362, 1.23
363, 1.04
364, 0.64
365, 1.24
366, 0.41
367, 1.28
368, 0.26
369, 0.92
370, 0.28
371, 0.35
372, 0.37
373, 1.01
374, 0.34
375, 0.55
376, 0.62
377, 1.19
378, 0.30
379, 0.97
380, 1.20
381, 0.33
382, 0.48
383, 0.92
384, 0.40
385, 1.00
386, 0.50
387, 1.07
388, 1.15
389, 1.00
390, 1.24
391, 0.76
392, 0.99
393, 0.58
394, 0.96
395, 0.55
396, 0.88
397, 0.69
398, 0.65
399, 1.26
400, 0.35
401, 1.25
402, 0.79
403, 0.78
404, 1.13
405, 0.68
406, 1.22
407, 0.76
408, 0.52
409, 0.76
410, 1.12
411, 1.12
412, 0.84
413, 0.28
414, 0.41
415, 0.82
416, 1.11
417, 0.41
418, 0.60
419, 0.93
420, 0.78
421, 1.00
422, 1.16
423, 0.80
424, 0.54
425, 0.66
426, 0.96
