read, delay
1, 8.27
2, 9.03
3, 5.03
4, 15.69
5, 12.73
6, 10.04
7, 7.50
8, 5.77
9, 2.13
10, 13.28
11, 11.93
12, 8.60
13, 6.00
14, 5.76
15, 16.64
16, 12.86
17, 8.76
18, 6.04
19, 4.96
20, 15.31
21, 12.20
22, 12.78
23, 7.48
24, 4.63
25, 1.26
26, 15.70
27, 11.80
28, 8.06
29, 5.25
30, 2.53
31, 14.74
32, 12.70
33, 8.13
34, 5.74
35, 4.23
36, 16.01
37, 12.58
38, 9.64
39, 8.12
40, 4.78
41, 1.49
42, 13.54
43, 11.30
44, 8.68
45, 8.01
46, 3.78
47, 15.11
48, 14.15
49, 9.59
50, 8.06
51, 4.90
52, 2.31
53, 14.46
54, 13.78
55, 9.36
56, 5.88
57, 5.71
58, 17.67
59, 13.59
60, 10.26
61, 9.70
62, 6.56
63, 3.18
64, 14.88
65, 12.71
66, 10.08
67, 8.52
68, 4.43
69, 2.73
70, 15.60
71, 11.94
72, 8.35
73, 7.15
74, 3.65
75, 16.94
76, 12.82
77, 12.42
78, 8.92
79, 5.14
80, 2.92
81, 13.81
82, 10.79
83, 8.08
84, 7.30
85, 2.42
86, 14.85
87, 13.87
88, 9.34
89, 6.46
90, 2.63
91, 15.06
92, 13.87
93, 11.93
94, 7.11
95, 5.22
96, 1.94
97, 14.34
98, 12.01
99, 8.56
100, 5.65
101, 2.82
102, 17.29
103, 12.46
104, 10.06
105, 6.98
106, 3.55
107, 15.53
108, 13.28
109, 11.13
110, 8.10
111, 7.86
112, 3.57
113, 15.24
114, 14.44
115, 11.64
116, 6.72
117, 4.34
118, 2.61
119, 14.40
120, 12.16
121, 8.55
122, 6.04
123, 6.85
124, 17.10
125, 13.26
126, 10.24
127, 7.48
128, 4.80
129, 1.77
130, 15.18
131, 10.72
132, 9.54
133, 5.70
134, 3.94
135, 15.79
136, 13.68
137, 10.42
138, 6.80
139, 5.34
140, 1.39
141, 14.19
142, 12.71
143, 8.66
144, 7.75
145, 3.02
146, 16.84
147, 11.88
148, 8.94
149, 6.51
150, 3.86
151, 17.92
152, 13.92
153, 10.79
154, 8.70
155, 4.11
156, 1.88
157, 14.68
158, 11.66
159, 9.28
160, 7.02
161, 5.84
162, 2.72
163, 13.29
164, 11.56
165, 7.54
166, 4.88
167, 2.09
168, 16.52
169, 12.20
170, 8.23
171, 5.76
172, 3.06
173, 14.94
174, 12.21
175, 10.74
176, 7.30
177, 4.27
178, 15.32
179, 12.94
180, 10.28
181, 7.55
182, 7.19
183, 2.20
184, 14.26
185, 11.20
186, 7.07
187, 4.42
188, 1.43
189, 16.10
190, 11.20
191, 8.26
192, 6.26
193, 3.83
194, 14.39
195, 11.44
196, 8.80
197, 6.76
198, 3.13
199, 15.68
200, 12.87
201, 11.96
202, 7.18
203, 3.52
204, 1.93
205, 12.80
206, 9.84
207, 9.08
208, 4.75
209, 2.61
210, 14.75
211, 10.86
212, 8.02
213, 8.51
214, 2.45
215, 14.80
216, 11.89
217, 9.74
218, 7.90
219, 3.01
220, 15.07
221, 13.43
222, 10.16
223, 10.03
224, 5.18
225, 2.46
226, 14.42
227, 11.22
228, 10.42
229, 5.91
230, 3.00
231, 15.25
232, 12.69
233, 10.37
234, 9.27
235, 4.64
236, 2.77
237, 13.72
238, 11.87
239, 8.00
240, 5.14
241, 3.84
242, 15.63
243, 12.20
244, 10.18
245, 6.34
246, 5.38
247, 16.48
248, 12.72
249, 11.25
250, 7.89
251, 4.95
252, 3.59
253, 14.84
254, 10.88
255, 7.96
256, 5.58
257, 3.91
258, 15.09
259, 11.76
260, 11.58
261, 7.14
262, 4.64
263, 4.32
264, 14.72
265, 12.58
266, 9.52
267, 6.18
268, 4.61
269, 1.00
270, 15.18
271, 10.25
272, 8.40
273, 4.68
274, 1.66
275, 14.59
276, 9.75
277, 7.46
278, 6.29
279, 3.62
280, 15.15
281, 14.14
282, 10.74
283, 6.73
284, 3.44
285, 15.55
286, 13.10
287, 12.46
288, 8.26
289, 5.19
290, 2.61
291, 15.05
292, 12.83
293, 9.44
294, 6.82
295, 4.71
296, 2.09
297, 14.06
298, 13.60
299, 8.98
300, 6.26
301, 2.65
302, 16.48
303, 12.63
304, 9.90
305, 7.02
306, 5.32
307, 16.51
308, 12.46
309, 9.81
310, 8.81
311, 4.41
312, 1.87
313, 15.93
314, 11.29
315, 8.58
316, 5.02
317, 4.45
318, 15.68
319, 12.82
320, 8.84
321, 6.04
322, 3.76
323, 16.26
324, 12.34
325, 11.42
326, 9.22
327, 4.96
328, 2.08
329, 16.11
330, 13.89
331, 9.24
332, 5.89
333, 3.07
334, 15.08
335, 12.47
336, 10.14
337, 7.50
338, 6.66
339, 3.21
340, 13.63
341, 10.78
342, 7.99
343, 5.00
344, 1.88
345, 14.32
346, 11.39
347, 10.03
348, 5.40
349, 3.57
350, 14.69
351, 12.36
352, 9.50
353, 7.30
354, 4.52
355, 0.82
356, 14.66
357, 11.13
358, 9.60
359, 5.64
360, 5.04
361, 18.37
362, 15.17
363, 10.86
364, 7.20
365, 4.37
366, 1.94
367, 13.91
368, 13.17
369, 8.77
370, 5.65
371, 3.50
372, 16.14
373, 12.65
374, 10.09
375, 8.73
376, 5.15
377, 3.41
378, 15.58
379, 11.68
380, 8.10
381, 6.82
382, 2.90
383, 17.13
384, 12.52
385, 9.43
386, 8.26
387, 5.50
388, 2.30
389, 15.28
390, 10.72
391, 7.82
392, 6.35
393, 2.44
394, 14.36
395, 11.87
396, 8.23
397, 6.78
398, 2.84
399, 15.42
400, 12.83
401, 11.47
402, 7.73
403, 4.94
404, 1.55
405, 13.78
406, 10.95
407, 10.08
408, 5.33
409, 2.72
410, 14.67
411, 11.62
412, 10.12
413, 6.51
414, 3.34
415, 15.66
416, 12.54
417, 11.72
418, 6.72
419, 3.71
420, 15.19
421, 12.43
422, 10.97
423, 8.14
424, 5.01
425, 2.44
426, 14.43
427, 10.84
428, 8.15
429, 6.86
430, 3.03
431, 17.74
432, 13.52
433, 10.94
434, 8.40
435, 6.30
436, 2.30
437, 14.83
438, 12.05
439, 9.21
440, 8.17
441, 3.80
442, 15.86
443, 11.62
444, 8.68
445, 5.74
446, 3.10
447, 15.84
448, 13.21
449, 11.24
450, 7.18
451, 4.43
452, 1.04
453, 13.11
454, 10.98
455, 7.96
456, 4.51
457, 1.88
458, 14.33
459, 10.92
460, 8.12
461, 5.42
462, 3.09
463, 15.79
464, 13.04
465, 12.62
466, 7.56
467, 4.60
468, 1.24
469, 13.57
470, 10.83
471, 10.24
472, 5.66
473, 5.77
474, 15.32
475, 11.47
476, 8.45
477, 6.15
478, 3.25
479, 16.09
480, 14.18
481, 10.80
482, 7.78
483, 4.66
484, 3.87
485, 15.97
486, 11.10
487, 8.04
488, 6.28
489, 4.07
490, 14.32
491, 11.58
492, 9.05
493, 8.28
494, 6.11
495, 1.76
496, 14.56
497, 11.94
498, 9.50
499, 6.63
500, 3.13
501, 15.88
502, 13.63
503, 10.60
504, 7.35
505, 4.68
506, 4.21
507, 13.26
508, 12.72
509, 10.40
510, 7.78
511, 3.47
512, 16.88
513, 12.90
514, 10.33
515, 6.54
516, 6.17
517, 3.71
518, 15.20
519, 11.64
520, 9.01
521, 7.41
522, 3.53
523, 14.48
524, 12.34
525, 10.18
526, 7.23
527, 4.44
528, 4.04
529, 14.71
530, 12.53
531, 8.46
532, 5.37
533, 2.50
534, 14.62
535, 12.57
536, 8.82
537, 6.07
538, 2.52
539, 14.75
540, 14.12
541, 11.67
542, 7.57
543, 3.68
544, 16.71
545, 12.71
546, 8.92
547, 6.68
548, 4.84
549, 1.32
550, 14.15
551, 11.03
552, 9.62
553, 6.03
554, 4.16
555, 15.52
556, 11.54
557, 9.42
558, 6.70
559, 6.32
560, 2.08
561, 14.78
562, 10.92
563, 9.29
564, 6.04
565, 3.69
566, 16.69
567, 13.44
568, 10.39
569, 9.57
570, 4.78
571, 3.55
572, 17.12
573, 12.56
574, 9.03
575, 6.16
576, 4.03
577, 2.88
578, 15.23
579, 10.58
580, 10.36
581, 7.12
582, 4.00
583, 16.14
584, 15.80
585, 13.24
586, 8.75
587, 4.69
588, 2.20
589, 14.34
590, 11.59
591, 8.83
592, 6.32
593, 3.24
594, 16.88
595, 13.18
596, 9.09
597, 6.76
598, 5.47
599, 1.95
600, 14.26
601, 13.46
602, 7.66
603, 4.87
604, 3.66
605, 15.43
606, 14.35
607, 10.35
608, 8.54
609, 5.26
610, 4.75
611, 17.02
612, 12.40
613, 8.71
614, 5.84
615, 3.96
616, 17.22
617, 13.00
618, 10.85
619, 7.32
620, 6.90
621, 2.06
622, 16.48
623, 11.56
624, 9.31
625, 6.88
626, 5.92
627, 15.51
628, 14.06
629, 11.08
630, 7.08
631, 4.61
632, 1.71
633, 13.70
634, 11.85
635, 6.82
636, 3.79
637, 16.76
638, 13.61
639, 12.46
640, 8.48
641, 7.04
642, 3.76
643, 16.54
644, 15.85
645, 10.19
646, 7.18
647, 6.26
648, 1.74
649, 14.75
650, 12.54
651, 8.92
652, 5.67
653, 3.36
654, 3.14
655, 13.70
656, 12.14
657, 8.73
658, 6.27
659, 5.93
660, 17.40
661, 15.11
662, 11.41
663, 7.82
664, 4.88
665, 5.48
666, 15.36
667, 12.36
668, 8.50
669, 9.32
670, 6.21
671, 2.06
672, 14.47
673, 12.37
674, 9.15
675, 6.32
676, 4.31
677, 14.58
678, 13.42
679, 9.41
680, 9.30
681, 4.49
682, 2.18
683, 13.43
684, 10.69
685, 7.92
686, 7.37
687, 3.81
688, 15.86
689, 11.75
690, 11.76
691, 8.28
692, 3.45
693, 15.32
694, 12.33
695, 10.72
696, 9.55
697, 5.73
698, 1.67
699, 13.93
700, 9.85
701, 7.40
702, 4.76
703, 2.20
704, 14.63
705, 12.24
706, 10.14
707, 6.87
708, 3.39
709, 15.50
710, 12.65
711, 10.22
712, 10.78
713, 4.69
714, 2.06
715, 13.59
716, 11.84
717, 8.92
718, 5.51
719, 3.29
720, 15.74
721, 13.94
