read, delay
1, 31.94
2, 23.21
3, 23.06
4, 2.66
5, 3.28
6, 27.42
7, 27.39
8, 19.43
9, 5.53
10, 0.15
11, 3.07
12, 24.58
13, 16.16
14, 28.47
15, 32.54
16, 32.17
17, 12.11
18, 4.16
19, 5.14
20, 29.16
21, 18.24
22, 30.16
23, 0.65
24, 1.37
25, 25.43
26, 4.76
27, 5.87
28, 29.85
29, 29.98
30, 0.20
31, 0.30
32, 0.56
33, 24.60
34, 4.18
35, 28.11
36, 28.11
37, 19.51
38, 32.13
39, 0.40
40, 3.28
41, 24.66
42, 4.73
43, 28.68
44, 28.66
45, 32.52
46, 32.04
47, 2.81
48, 23.81
49, 3.07
50, 27.08
51, 28.29
52, 31.31
53, 0.14
54, 0.77
55, 24.70
56, 28.97
57, 29.32
58, 21.20
59, 1.10
60, 1.95
61, 25.93
62, 26.64
63, 6.72
64, 30.97
65, 31.86
66, 2.52
67, 2.94
68, 26.96
69, 27.50
70, 27.50
71, 31.78
72, 31.69
73, 3.32
74, 3.17
75, 27.35
76, 7.38
77, 28.94
78, 32.56
79, 32.25
80, 31.76
81, 23.92
82, 3.97
83, 27.97
84, 28.59
85, 31.71
86, 0.17
87, 0.89
88, 4.37
89, 25.40
90, 17.48
91, 30.25
92, 0.94
93, 1.39
94, 26.27
95, 7.02
96, 28.01
97, 31.70
98, 31.45
99, 23.11
100, 3.50
101, 28.32
102, 30.04
103, 30.48
104, 22.55
105, 2.13
106, 5.85
107, 26.87
108, 31.45
109, 0.46
110, 0.92
111, 4.63
112, 25.64
113, 29.94
114, 29.92
115, 0.99
116, 1.18
117, 2.21
118, 26.23
119, 5.92
120, 29.93
121, 30.42
122, 21.36
123, 1.24
124, 2.00
125, 25.98
126, 17.62
127, 29.58
128, 30.54
129, 30.91
130, 22.36
131, 2.33
132, 6.40
133, 27.42
134, 31.20
135, 31.42
136, 32.45
137, 2.25
138, 23.50
139, 2.89
140, 27.66
141, 7.27
142, 31.76
143, 0.30
144, 24.29
145, 5.23
146, 29.22
147, 30.64
148, 7.24
149, 2.25
150, 2.75
151, 26.72
152, 26.92
153, 7.00
154, 10.89
155, 31.88
156, 3.12
157, 24.13
158, 27.82
159, 27.76
160, 30.98
161, 31.36
162, 32.34
163, 2.56
164, 23.64
165, 3.12
166, 27.30
167, 27.36
168, 31.92
169, 32.08
170, 23.80
171, 4.72
172, 28.73
173, 8.92
174, 29.80
175, 20.87
176, 0.16
177, 4.77
178, 25.76
179, 30.40
180, 18.91
181, 31.32
182, 2.15
183, 23.14
184, 5.40
185, 26.39
186, 30.00
187, 10.56
188, 31.46
189, 11.39
190, 3.17
191, 27.19
192, 27.19
193, 7.08
194, 31.53
195, 0.26
196, 24.26
197, 5.27
198, 2.31
199, 29.44
200, 30.13
201, 1.32
202, 1.84
203, 26.16
204, 26.56
205, 30.32
206, 28.15
207, 31.84
208, 1.71
209, 22.72
210, 5.60
211, 26.61
212, 30.18
213, 30.87
214, 21.83
215, 0.89
216, 1.58
217, 25.56
218, 4.72
219, 25.69
220, 30.11
221, 30.58
222, 0.88
223, 0.94
224, 1.56
225, 25.56
226, 5.81
227, 29.80
228, 30.26
229, 30.94
230, 1.92
231, 14.75
232, 6.62
233, 28.05
234, 31.67
235, 31.61
236, 8.29
237, 3.02
238, 24.03
239, 6.72
240, 27.71
241, 31.08
242, 31.54
243, 32.16
244, 2.24
245, 3.06
246, 27.06
247, 27.78
248, 7.43
249, 11.49
250, 32.47
251, 3.53
252, 4.16
253, 28.72
254, 17.55
255, 29.85
256, 1.14
257, 1.20
258, 5.30
259, 26.29
260, 30.60
261, 30.73
262, 30.82
263, 2.18
264, 2.88
265, 7.18
266, 28.17
267, 0.59
268, 1.27
269, 25.28
270, 5.55
271, 26.54
272, 24.34
273, 30.72
274, 1.62
275, 1.64
276, 26.49
277, 6.12
278, 27.35
279, 30.45
280, 30.55
281, 31.42
282, 3.02
283, 3.36
284, 27.40
285, 19.17
286, 31.74
287, 5.49
288, 32.50
289, 23.43
290, 2.76
291, 26.82
292, 27.26
293, 18.94
294, 31.33
