read, delay
1, 30.28
2, 1.54
3, 2.30
4, 26.50
5, 6.34
6, 30.26
7, 10.05
8, 31.55
9, 1.68
10, 22.76
11, 26.10
12, 27.27
13, 30.72
14, 30.74
15, 10.27
16, 1.94
17, 2.33
18, 26.34
19, 6.58
20, 27.61
21, 31.36
22, 31.73
23, 2.39
24, 2.45
25, 2.30
26, 26.29
27, 26.18
28, 29.36
29, 8.94
30, 30.68
31, 2.12
32, 2.28
33, 6.65
34, 27.65
35, 18.91
36, 31.38
37, 0.25
38, 3.26
39, 24.36
40, 4.10
41, 28.34
42, 8.25
43, 32.31
44, 32.36
45, 3.11
46, 3.28
47, 28.07
48, 17.57
49, 29.70
50, 0.59
51, 1.14
52, 25.80
53, 5.61
54, 29.71
55, 8.60
56, 8.69
57, 0.33
58, 1.00
59, 1.46
60, 25.69
61, 5.83
62, 30.69
63, 31.28
64, 2.79
65, 24.03
66, 3.53
67, 7.38
68, 28.36
69, 0.17
70, 1.02
71, 25.01
72, 5.80
73, 29.99
74, 18.65
75, 30.97
76, 23.16
77, 23.70
78, 27.05
79, 18.77
80, 30.94
81, 10.43
82, 2.44
83, 2.80
84, 23.79
85, 27.58
86, 27.94
87, 19.52
88, 31.69
89, 31.95
90, 1.80
91, 14.17
92, 3.49
93, 27.73
94, 28.04
95, 19.79
96, 32.28
97, 2.38
98, 23.38
99, 2.93
100, 26.90
101, 28.09
102, 31.46
103, 31.69
104, 32.07
105, 2.52
106, 23.52
107, 6.88
108, 27.89
109, 31.50
110, 31.49
111, 32.92
112, 2.86
113, 3.88
114, 27.87
115, 28.30
116, 28.91
117, 32.68
118, 32.48
119, 3.79
120, 3.90
121, 28.63
122, 29.39
123, 29.48
124, 33.06
125, 32.45
126, 11.24
127, 3.13
128, 24.12
129, 28.37
130, 28.91
131, 0.11
132, 1.30
133, 2.00
134, 5.83
135, 26.81
136, 30.68
137, 30.81
138, 1.23
139, 1.62
140, 25.91
141, 5.93
142, 26.87
143, 30.46
144, 30.59
145, 31.34
146, 2.21
147, 1.90
148, 26.39
149, 27.98
150, 7.74
151, 11.10
152, 32.09
153, 2.99
154, 24.01
155, 6.80
156, 27.78
157, 31.58
158, 31.62
159, 23.40
160, 3.29
161, 24.74
162, 27.69
163, 7.13
164, 28.13
165, 31.89
166, 31.48
167, 23.29
168, 2.59
169, 2.83
170, 26.83
171, 19.08
172, 31.28
173, 32.49
174, 32.29
175, 23.67
176, 3.46
177, 27.52
178, 27.54
179, 31.16
180, 31.64
181, 32.64
182, 2.32
183, 23.64
184, 3.95
185, 28.54
186, 31.93
187, 31.89
188, 11.36
189, 3.34
190, 3.90
191, 27.87
192, 16.16
193, 29.00
194, 32.52
195, 32.06
196, 11.32
197, 2.70
198, 3.54
199, 27.80
200, 6.63
201, 30.70
202, 31.34
203, 31.39
204, 2.50
205, 23.84
206, 26.77
207, 27.58
208, 6.75
209, 31.48
210, 32.26
211, 2.04
212, 14.51
213, 2.98
214, 26.99
215, 28.43
216, 20.18
217, 0.17
218, 3.84
219, 24.85
220, 4.88
221, 28.89
222, 29.37
223, 0.46
224, 1.67
225, 26.36
226, 5.69
227, 29.90
228, 30.66
229, 22.13
