read, delay
1, 0.34
2, 0.25
3, 0.39
4, 1.06
5, 0.62
6, 0.84
7, 0.63
8, 0.98
9, 1.01
10, 0.75
11, 0.99
12, 0.24
13, 0.82
14, 1.04
15, 1.18
16, 0.59
17, 0.76
18, 0.41
19, 1.19
20, 0.72
21, 1.01
22, 0.54
23, 0.61
24, 1.01
25, 1.18
26, 0.98
27, 0.61
28, 1.22
29, 1.17
30, 0.78
31, 1.02
32, 0.88
33, 0.49
34, 0.90
35, 0.98
36, 1.23
37, 0.48
38, 1.19
39, 0.70
40, 0.55
41, 0.59
42, 0.51
43, 0.70
44, 0.25
45, 0.86
46, 0.50
47, 1.13
48, 0.80
49, 0.30
50, 0.90
51, 0.65
52, 0.32
53, 0.30
54, 0.84
55, 0.73
56, 0.78
57, 0.94
58, 1.10
59, 1.02
60, 0.48
61, 0.40
62, 0.25
63, 0.79
64, 1.14
65, 0.78
66, 1.04
67, 1.03
68, 1.06
69, 0.70
70, 0.70
71, 1.12
72, 0.80
73, 0.76
74, 1.08
75, 1.02
76, 1.18
77, 0.88
78, 1.12
79, 0.50
80, 0.39
81, 1.23
82, 1.10
83, 0.92
84, 0.66
85, 0.83
86, 1.02
87, 0.54
88, 0.72
89, 0.34
90, 0.89
91, 0.55
92, 0.85
93, 0.43
94, 1.10
95, 0.85
96, 1.11
97, 1.10
98, 0.52
99, 1.04
100, 1.20
101, 0.55
102, 0.74
103, 0.96
104, 0.95
105, 0.27
106, 0.25
107, 0.71
108, 0.53
109, 1.19
110, 0.70
111, 0.75
112, 1.16
113, 0.68
114, 1.09
115, 0.84
116, 0.50
117, 1.04
118, 0.50
119, 0.93
120, 0.98
121, 0.95
122, 0.45
123, 0.40
124, 1.00
125, 1.14
126, 0.54
127, 0.31
128, 1.12
129, 1.08
130, 0.48
131, 0.36
132, 0.55
133, 0.60
134, 0.37
135, 0.73
136, 1.14
137, 0.67
138, 0.37
139, 0.99
140, 0.86
141, 0.79
142, 0.47
143, 0.36
144, 0.82
145, 1.18
146, 0.44
147, 0.47
148, 0.93
149, 0.61
150, 0.59
151, 0.87
152, 0.56
153, 0.72
154, 0.88
155, 0.58
156, 0.86
157, 0.84
158, 0.34
159, 1.06
160, 0.96
161, 0.84
162, 0.30
163, 0.38
164, 1.09
165, 0.77
166, 0.88
167, 0.98
168, 1.12
169, 0.93
170, 0.28
171, 0.52
172, 0.66
173, 0.76
174, 0.91
175, 1.12
176, 0.81
177, 0.88
178, 0.51
179, 0.36
180, 0.84
181, 1.21
182, 0.96
183, 1.08
184, 0.79
185, 0.77
186, 0.36
187, 0.85
188, 0.90
189, 0.82
190, 0.62
191, 1.20
192, 0.74
193, 0.64
194, 0.80
195, 0.45
196, 0.75
197, 1.20
198, 0.36
199, 1.06
200, 0.89
201, 1.07
202, 1.08
203, 1.03
204, 1.15
205, 1.14
206, 1.00
207, 0.71
208, 0.86
209, 1.00
210, 0.52
211, 1.18
212, 0.84
213, 0.40
214, 0.84
215, 1.09
216, 0.30
217, 0.65
218, 0.82
219, 0.55
220, 0.44
221, 0.57
222, 0.29
223, 1.07
224, 0.84
225, 0.78
226, 0.93
227, 1.08
228, 1.14
229, 1.20
230, 0.79
231, 0.70
232, 0.81
233, 1.02
234, 1.08
235, 0.73
236, 0.65
237, 0.92
238, 0.37
239, 0.82
240, 0.38
241, 0.93
242, 0.80
243, 1.14
244, 0.56
245, 1.14
246, 0.38
247, 0.51
248, 1.07
249, 0.45
250, 0.95
251, 1.22
252, 0.80
253, 0.86
254, 0.51
255, 0.97
256, 0.41
257, 0.24
258, 0.68
259, 0.80
260, 1.03
261, 0.51
262, 1.07
263, 1.17
264, 0.34
265, 0.30
266, 0.87
267, 0.70
268, 1.21
269, 0.30
270, 0.32
271, 1.20
272, 0.39
273, 0.81
274, 1.16
275, 0.25
276, 1.08
277, 0.88
278, 0.92
279, 1.09
280, 0.72
281, 0.90
282, 0.99
283, 0.50
284, 1.02
285, 0.72
286, 1.19
287, 0.80
288, 0.56
289, 1.18
290, 0.43
291, 0.64
292, 0.32
293, 0.58
294, 1.04
295, 1.21
296, 1.11
297, 0.99
298, 0.34
299, 0.42
300, 1.08
301, 0.38
302, 0.43
