read, delay
1, 3.31
2, 1.14
3, 0.81
4, 0.46
5, 0.52
6, 1.10
7, 0.27
8, 1.11
9, 0.78
10, 0.34
11, 0.40
12, 0.77
13, 0.32
14, 1.23
15, 0.96
16, 0.69
17, 0.36
18, 1.11
19, 0.93
20, 0.37
21, 0.41
22, 1.00
23, 0.54
24, 0.74
25, 1.14
26, 1.00
27, 0.65
28, 0.68
29, 0.42
30, 0.62
31, 0.42
32, 0.47
33, 0.78
34, 1.07
35, 0.75
36, 0.49
37, 0.69
38, 0.81
39, 0.50
40, 1.22
41, 0.81
42, 0.50
43, 1.10
44, 0.96
45, 1.07
46, 0.68
47, 0.62
48, 0.34
49, 0.90
50, 0.32
51, 0.97
52, 0.58
53, 1.13
54, 0.74
55, 1.18
56, 1.06
57, 0.85
58, 0.82
59, 0.50
60, 0.90
61, 0.55
62, 0.78
63, 0.94
64, 0.30
65, 0.58
66, 0.33
67, 0.45
68, 0.49
69, 0.83
70, 1.22
71, 0.42
72, 0.50
73, 1.15
74, 0.24
75, 0.34
76, 1.22
77, 0.35
78, 0.28
79, 0.91
80, 1.17
81, 0.92
82, 0.58
83, 0.87
84, 0.43
85, 0.58
86, 0.98
87, 0.84
88, 0.96
89, 1.16
90, 0.61
91, 0.84
92, 0.77
93, 0.76
94, 0.33
95, 1.23
96, 0.72
97, 0.93
98, 0.69
99, 0.44
100, 0.72
101, 1.04
102, 0.58
103, 0.37
104, 0.82
105, 0.70
106, 1.16
107, 0.72
108, 0.51
109, 1.20
110, 1.00
111, 0.34
112, 0.45
113, 0.35
114, 0.51
115, 0.31
116, 0.70
117, 1.16
118, 1.07
119, 0.70
120, 0.63
121, 0.52
122, 0.80
123, 0.74
124, 0.40
125, 0.84
126, 0.46
127, 0.58
128, 1.18
129, 0.64
130, 0.50
131, 1.03
132, 1.22
133, 0.98
134, 0.29
135, 0.58
136, 0.25
137, 0.92
138, 0.35
139, 1.03
140, 0.25
141, 0.56
142, 0.60
143, 0.51
144, 0.46
145, 0.42
146, 0.90
147, 0.54
148, 0.35
149, 1.00
150, 1.12
151, 0.94
152, 1.10
153, 0.78
154, 1.17
155, 1.14
156, 0.54
157, 1.18
158, 1.12
159, 0.95
160, 0.35
161, 0.48
162, 0.56
163, 1.06
164, 0.87
165, 0.26
166, 0.90
167, 0.56
168, 1.04
169, 0.74
170, 0.40
171, 1.08
172, 0.51
173, 0.55
174, 0.89
175, 0.66
176, 0.74
177, 0.60
178, 0.43
179, 0.37
180, 1.12
181, 0.43
182, 0.56
183, 1.06
184, 0.50
185, 1.02
186, 0.51
187, 0.60
188, 1.14
189, 0.34
190, 0.45
191, 1.23
192, 0.58
193, 0.29
194, 0.95
