read, delay
1, 28.74
2, 0.32
3, 5.63
4, 0.09
5, 5.22
6, 25.13
7, 4.52
8, 24.18
9, 4.39
10, 8.96
11, 29.18
12, 16.40
13, 28.80
14, 9.22
15, 29.60
16, 1.55
17, 6.93
18, 1.50
19, 6.33
20, 26.57
21, 30.92
22, 10.88
23, 30.33
24, 3.02
25, 22.67
26, 2.94
27, 23.38
28, 3.86
29, 24.25
30, 4.74
31, 24.80
32, 4.80
33, 9.28
34, 28.74
35, 8.22
36, 2.77
37, 7.46
38, 27.60
39, 0.50
40, 28.06
41, 0.36
42, 4.86
43, 31.86
44, 4.74
45, 24.37
46, 4.18
47, 9.11
48, 29.01
49, 8.94
50, 28.90
51, 1.68
52, 6.16
53, 0.76
54, 5.33
55, 25.67
56, 30.42
57, 10.74
58, 30.92
59, 2.50
60, 30.17
61, 2.39
62, 7.05
63, 1.53
64, 6.89
65, 27.24
66, 31.93
67, 3.55
68, 31.24
69, 3.36
70, 23.58
71, 11.00
72, 30.45
73, 2.29
74, 7.32
75, 2.07
76, 7.45
77, 27.08
78, 6.58
79, 26.49
80, 6.35
81, 26.60
82, 31.66
83, 11.50
84, 31.68
85, 11.79
86, 31.94
87, 3.64
88, 23.21
89, 2.30
90, 29.50
91, 1.58
92, 6.22
93, 1.49
94, 6.01
95, 25.94
96, 30.51
97, 9.94
98, 29.66
99, 1.91
100, 29.22
101, 0.94
102, 28.53
103, 0.96
104, 6.31
105, 1.44
106, 6.06
107, 0.42
108, 5.08
109, 24.96
110, 5.16
111, 25.11
112, 4.17
113, 9.42
114, 29.63
115, 9.18
116, 28.76
117, 8.88
118, 28.58
119, 0.98
120, 28.80
121, 0.83
122, 5.95
123, 0.80
124, 5.93
125, 0.78
126, 5.85
127, 25.54
128, 5.31
129, 0.44
130, 5.32
131, 24.95
132, 30.14
133, 9.20
134, 29.00
135, 8.84
136, 29.20
137, 2.07
138, 6.65
139, 1.68
140, 6.34
141, 26.14
142, 31.29
143, 10.99
144, 31.18
145, 3.26
146, 22.85
147, 3.30
148, 30.42
149, 2.70
150, 29.85
151, 2.53
152, 7.55
153, 2.63
154, 7.71
155, 26.89
156, 31.91
157, 12.02
158, 32.12
159, 3.76
160, 23.83
161, 3.41
162, 8.19
163, 27.90
164, 7.92
165, 28.30
166, 0.99
167, 5.84
168, 0.56
169, 5.86
170, 0.83
171, 5.74
172, 26.03
173, 6.12
174, 26.44
175, 6.44
176, 26.46
177, 31.05
178, 10.18
179, 29.56
180, 1.39
181, 28.61
182, 1.46
183, 28.72
184, 0.81
185, 6.10
186, 0.08
187, 5.54
188, 0.30
189, 5.15
190, 24.93
191, 4.02
192, 8.49
193, 3.04
194, 7.82
195, 27.16
196, 6.91
197, 27.21
198, 7.20
199, 27.54
200, 32.64
201, 11.84
202, 31.98
203, 3.19
204, 22.97
205, 9.77
206, 17.36
207, 12.14
208, 16.97
209, 26.10
210, 5.86
211, 26.08
212, 31.48
213, 11.08
214, 30.44
215, 9.71
216, 29.42
217, 1.33
218, 28.45
219, 0.65
220, 12.77
221, 32.39
222, 3.71
223, 23.84
224, 3.49
225, 8.60
226, 28.16
227, 7.83
228, 27.32
229, 32.04
230, 26.74
231, 31.12
232, 10.82
233, 31.04
234, 2.62
235, 29.76
236, 2.17
237, 29.79
238, 1.60
239, 6.80
240, 26.31
241, 6.57
242, 26.69
243, 31.93
244, 26.83
245, 31.30
246, 10.54
247, 30.21
248, 2.07
249, 29.96
250, 1.17
251, 28.50
252, 1.16
253, 5.98
254, 0.68
255, 5.32
256, 25.34
257, 30.32
258, 11.11
259, 30.56
260, 2.06
261, 29.11
262, 1.63
263, 29.02
264, 0.73
265, 6.11
266, 1.14
267, 6.52
268, 1.11
269, 5.65
270, 25.78
271, 30.23
272, 9.84
273, 29.84
274, 2.07
275, 29.46
276, 2.34
277, 30.01
278, 2.20
279, 22.15
280, 1.68
281, 7.12
282, 1.92
283, 7.20
284, 27.28
285, 7.37
286, 26.96
287, 7.15
288, 26.66
289, 31.03
290, 11.24
291, 30.70
292, 3.07
293, 29.93
294, 1.70
295, 29.42
296, 0.85
297, 5.39
298, 0.80
299, 5.30
300, 0.04
301, 4.77
302, 24.38
303, 3.82
304, 24.18
305, 4.25
306, 9.63
307, 29.39
308, 9.91
309, 29.16
310, 8.99
311, 28.90
312, 1.68
313, 29.28
314, 2.25
315, 22.72
316, 2.28
317, 7.30
318, 26.80
319, 6.63
320, 26.85
321, 31.71
322, 10.62
323, 30.40
324, 2.63
325, 22.78
326, 1.84
327, 7.11
328, 2.04
329, 6.47
330, 26.01
331, 6.16
332, 26.10
333, 31.36
334, 26.74
335, 31.76
336, 11.37
337, 30.68
338, 2.39
339, 22.27
340, 2.38
341, 29.72
342, 1.97
343, 6.58
344, 1.72
345, 7.08
346, 1.02
347, 6.64
348, 25.46
349, 4.24
350, 24.57
351, 3.76
352, 8.56
353, 28.57
354, 8.18
355, 27.94
356, 0.13
357, 27.04
358, 31.93
359, 11.63
360, 31.94
361, 4.07
362, 31.64
363, 2.89
364, 22.95
365, 2.75
366, 22.70
367, 1.65
368, 6.60
369, 1.38
370, 6.56
371, 26.83
372, 31.93
373, 11.42
374, 9.04
375, 22.32
376, 9.58
377, 20.94
378, 22.83
379, 3.25
380, 23.51
381, 2.57
382, 7.97
383, 2.58
384, 7.52
385, 27.75
386, 7.44
387, 27.35
388, 32.69
389, 26.24
390, 30.90
391, 11.05
392, 31.20
393, 3.44
394, 30.52
395, 2.97
396, 23.07
397, 2.83
398, 23.15
399, 3.24
400, 8.64
401, 28.63
402, 0.32
403, 27.60
404, 0.19
405, 12.70
406, 0.53
407, 4.62
408, 31.52
409, 3.86
410, 23.59
411, 3.19
412, 22.99
413, 1.86
414, 7.17
415, 2.00
416, 6.68
417, 27.01
418, 31.62
419, 3.84
420, 31.02
421, 2.30
422, 22.77
423, 2.02
424, 29.56
425, 1.95
426, 6.66
427, 1.85
428, 6.78
429, 26.32
430, 5.94
431, 25.44
432, 5.11
433, 10.62
434, 30.56
435, 2.86
436, 30.02
437, 2.02
438, 7.12
439, 27.28
440, 6.94
441, 26.91
442, 32.06
443, 27.18
444, 31.97
445, 11.88
446, 31.53
447, 3.62
448, 23.24
449, 2.44
450, 22.58
451, 2.22
452, 7.42
453, 27.20
454, 6.69
455, 26.73
456, 31.78
457, 10.72
458, 30.65
459, 3.02
460, 8.38
461, 21.54
462, 22.61
463, 2.24
464, 29.68
465, 1.41
466, 6.32
467, 0.96
468, 6.18
469, 25.95
470, 30.50
471, 11.07
472, 31.03
473, 3.18
474, 23.26
475, 2.29
476, 6.85
477, 26.56
478, 6.24
479, 26.22
480, 6.44
481, 26.73
482, 31.88
483, 11.36
484, 30.97
485, 10.34
486, 29.85
487, 9.77
488, 29.17
489, 1.59
490, 28.69
491, 1.24
492, 5.86
493, 0.35
494, 5.57
495, 0.83
496, 15.93
497, 21.21
498, 9.07
499, 22.42
500, 9.38
501, 21.76
502, 23.10
503, 2.80
504, 29.90
505, 1.60
506, 6.82
507, 1.68
508, 6.50
509, 26.56
510, 6.27
511, 25.94
512, 5.55
513, 25.57
514, 30.35
515, 9.83
516, 29.88
517, 9.50
518, 31.52
519, 2.38
520, 7.72
521, 2.69
522, 7.75
523, 27.59
524, 7.69
525, 27.84
526, 0.50
527, 5.62
528, 0.25
529, 5.10
530, 24.67
531, 3.74
532, 23.72
533, 3.03
534, 7.95
535, 2.65
536, 7.94
537, 27.78
538, 7.96
539, 27.46
540, 0.08
541, 27.20
542, 6.68
543, 12.10
544, 31.44
545, 3.14
546, 23.38
547, 3.72
548, 8.53
549, 28.71
550, 9.00
551, 28.57
552, 8.27
553, 27.76
554, 32.48
555, 11.98
556, 32.03
557, 2.98
558, 23.23
559, 3.26
560, 8.35
561, 2.32
562, 7.00
563, 26.98
564, 7.10
565, 27.25
566, 6.84
567, 26.54
568, 31.05
569, 10.66
570, 30.05
571, 1.92
572, 28.80
573, 1.30
574, 28.90
575, 1.99
576, 29.84
577, 2.02
578, 7.30
579, 2.12
580, 7.50
581, 27.60
582, 7.16
583, 26.56
584, 7.33
585, 26.96
586, 31.94
587, 26.96
588, 31.34
589, 10.93
590, 30.80
591, 3.21
592, 23.27
593, 3.10
594, 23.08
595, 3.42
596, 22.90
597, 1.98
598, 7.26
599, 2.08
600, 6.85
601, 26.73
602, 6.11
603, 25.75
604, 31.18
605, 10.78
606, 30.68
607, 9.83
608, 29.14
609, 1.76
610, 29.32
611, 2.05
612, 29.60
613, 1.53
614, 6.65
615, 1.14
616, 6.15
617, 1.75
618, 6.68
619, 26.34
620, 6.16
621, 26.52
622, 6.84
623, 26.82
624, 31.20
625, 11.29
626, 30.65
627, 2.98
628, 7.76
629, 20.50
630, 22.84
631, 3.12
632, 30.02
633, 2.56
634, 7.89
635, 2.66
636, 8.02
637, 27.67
638, 7.34
639, 27.54
640, 0.07
641, 5.33
642, 0.57
643, 5.48
644, 0.21
645, 5.50
646, 25.08
647, 4.97
648, 24.86
649, 4.70
650, 9.67
651, 29.60
652, 10.16
653, 30.10
654, 10.39
655, 29.77
656, 1.50
657, 29.02
658, 1.55
659, 28.85
660, 1.44
661, 6.86
662, 1.62
663, 7.00
664, 1.16
665, 6.35
666, 26.52
667, 6.42
668, 25.87
669, 31.34
670, 26.31
671, 31.54
672, 10.75
673, 30.23
674, 3.04
675, 23.18
676, 2.00
677, 6.73
678, 26.73
679, 6.85
680, 26.89
681, 6.61
682, 26.22
683, 31.49
684, 10.82
685, 31.04
686, 11.52
687, 31.16
688, 3.72
689, 23.56
690, 3.80
691, 9.09
692, 28.82
693, 8.58
694, 28.42
695, 8.35
696, 28.29
697, 32.85
698, 11.80
699, 31.66
700, 4.20
701, 31.39
702, 3.78
703, 24.06
704, 3.69
705, 8.43
706, 28.33
707, 7.75
708, 27.30
709, 0.40
710, 28.18
711, 0.52
712, 27.43
713, 32.17
714, 3.64
715, 30.47
716, 3.14
717, 23.54
718, 3.06
719, 22.58
720, 2.55
721, 7.13
722, 2.73
723, 7.88
724, 27.36
725, 7.42
726, 27.63
727, 6.90
728, 26.62
729, 31.30
730, 10.74
731, 30.43
732, 2.97
733, 30.37
734, 2.08
735, 29.36
736, 1.45
737, 6.73
738, 11.39
739, 16.69
740, 25.74
741, 30.33
742, 10.30
743, 30.04
744, 9.75
745, 29.11
746, 0.80
747, 28.12
748, 0.37
749, 12.56
750, 32.55
751, 4.60
752, 32.34
753, 3.64
754, 23.52
755, 2.87
756, 22.88
757, 3.14
758, 8.46
759, 3.82
760, 8.54
761, 28.44
762, 9.02
763, 28.76
764, 0.33
765, 28.06
766, 32.68
767, 11.49
768, 31.43
769, 3.92
770, 30.82
771, 3.07
772, 23.32
773, 2.66
774, 29.64
775, 1.88
776, 6.54
777, 1.00
778, 5.43
779, 25.72
780, 5.70
781, 25.45
782, 5.32
783, 10.74
784, 30.42
785, 2.10
786, 22.48
787, 2.60
788, 7.65
789, 27.11
790, 6.25
791, 26.00
792, 30.55
793, 11.02
794, 30.80
795, 3.06
796, 30.38
797, 2.80
798, 23.86
799, 1.79
800, 6.37
801, 0.98
802, 6.16
803, 0.11
804, 4.96
805, 24.49
806, 3.86
807, 23.61
808, 3.85
809, 9.14
810, 28.90
811, 7.92
812, 27.65
813, 7.94
814, 27.52
815, 32.38
816, 11.82
817, 32.09
818, 3.53
819, 31.24
820, 2.84
821, 22.47
822, 1.69
823, 7.16
824, 27.13
825, 6.17
826, 25.70
827, 30.52
828, 10.94
829, 31.04
830, 11.38
831, 30.88
832, 3.57
833, 30.45
834, 3.04
835, 30.06
836, 2.56
837, 29.69
838, 2.19
839, 7.26
840, 2.05
841, 6.62
842, 26.63
843, 31.04
844, 11.00
845, 31.25
846, 4.16
847, 31.72
848, 3.48
849, 23.24
850, 2.85
851, 8.02
852, 27.48
853, 7.60
854, 27.80
855, 0.17
856, 27.54
857, 0.06
858, 4.88
859, 32.27
860, 4.69
861, 31.92
862, 3.60
863, 23.39
864, 2.76
865, 8.06
866, 28.09
867, 32.73
868, 26.72
869, 31.56
870, 11.16
871, 31.03
872, 3.14
873, 23.27
874, 2.58
875, 7.55
876, 27.17
877, 6.20
878, 25.73
879, 4.74
880, 10.18
881, 30.37
882, 2.60
883, 29.66
884, 1.80
885, 6.87
886, 1.83
887, 6.47
888, 0.95
889, 6.26
890, 25.74
891, 5.34
892, 25.60
893, 5.16
894, 9.66
895, 29.61
896, 10.06
897, 29.90
898, 2.42
899, 29.48
900, 0.92
901, 28.54
902, 0.86
