read, delay
1, 5.76
2, 8.86
3, 2.96
4, 10.22
5, 1.26
6, 8.96
7, 3.65
8, 11.54
9, 2.23
10, 9.98
11, 1.14
12, 8.76
13, 16.04
14, 7.85
15, 15.46
16, 6.24
17, 13.38
18, 4.46
19, 12.05
20, 3.22
21, 10.43
22, 1.79
23, 9.29
24, 0.73
25, 8.35
26, 15.81
27, 6.48
28, 14.23
29, 5.58
30, 13.08
31, 4.35
32, 11.87
33, 1.84
34, 9.48
35, 0.31
36, 7.49
37, 14.65
38, 5.79
39, 13.08
40, 4.14
41, 11.68
42, 2.34
43, 10.19
44, 1.31
45, 8.64
46, 3.72
47, 10.91
48, 1.56
49, 9.47
50, 3.66
51, 11.50
52, 1.72
53, 9.70
54, 4.13
55, 11.74
56, 2.94
57, 10.84
58, 1.57
59, 8.78
60, 15.88
61, 5.82
62, 13.08
63, 4.18
64, 11.98
65, 2.86
66, 10.08
67, 0.67
68, 8.28
69, 15.69
70, 5.59
71, 13.25
72, 3.11
73, 10.81
74, 0.84
75, 8.66
76, 15.77
77, 6.22
78, 13.45
79, 4.22
80, 11.14
81, 2.48
82, 9.80
83, 0.69
84, 7.64
85, 14.87
86, 5.62
87, 13.14
88, 3.64
89, 11.31
90, 2.26
91, 9.63
92, 0.98
93, 8.86
94, 15.93
95, 5.82
96, 13.38
97, 4.26
98, 12.08
99, 2.99
100, 10.56
101, 1.72
102, 9.04
103, 4.02
104, 11.38
105, 1.31
106, 9.19
107, 3.80
108, 10.84
109, 1.07
110, 8.12
111, 15.92
112, 6.24
113, 13.13
114, 3.67
115, 10.84
116, 1.46
117, 9.03
118, 16.00
119, 6.88
120, 14.43
121, 4.73
122, 12.18
123, 3.05
124, 10.66
125, 1.92
126, 9.59
127, 0.56
128, 8.10
129, 15.14
130, 5.44
131, 12.77
132, 3.63
133, 11.28
134, 2.39
135, 9.58
136, 0.55
137, 7.54
138, 15.26
139, 5.80
140, 13.15
141, 4.40
142, 11.92
143, 2.74
144, 9.75
145, 0.87
146, 8.00
147, 15.22
148, 5.55
149, 12.77
150, 3.63
151, 10.98
152, 1.62
153, 9.20
154, 3.68
155, 10.61
156, 1.43
157, 9.20
158, 3.90
159, 11.48
160, 2.31
161, 10.17
162, 0.98
163, 8.22
164, 15.65
165, 6.07
166, 13.34
167, 4.39
168, 11.89
169, 1.90
170, 9.43
171, 0.73
172, 8.18
173, 15.26
174, 6.36
175, 14.14
176, 4.77
177, 12.08
178, 1.88
179, 9.29
180, 3.95
181, 11.09
182, 2.74
183, 9.78
184, 0.64
185, 7.71
186, 14.88
187, 5.15
188, 13.03
189, 3.69
190, 10.87
191, 1.85
192, 8.80
193, 4.04
194, 11.74
195, 2.64
196, 9.80
197, 0.86
198, 7.82
199, 15.21
200, 6.40
201, 13.90
202, 4.62
203, 11.72
204, 2.43
205, 10.08
206, 1.33
207, 9.05
208, 3.95
209, 11.25
210, 1.92
211, 9.22
212, 0.67
213, 7.79
214, 15.40
215, 5.56
216, 13.24
217, 4.02
218, 11.08
219, 1.79
220, 8.84
221, 16.22
222, 6.14
223, 13.85
224, 4.90
225, 11.83
226, 2.23
227, 9.29
228, 0.42
229, 7.56
230, 14.67
231, 5.92
232, 12.83
233, 4.06
234, 11.08
235, 1.12
236, 8.00
237, 15.78
238, 5.78
239, 13.32
240, 4.04
241, 10.95
242, 1.71
243, 9.43
244, 0.88
245, 8.38
246, 15.74
247, 6.60
248, 13.97
249, 4.17
250, 11.18
251, 2.63
252, 10.38
253, 1.18
254, 9.00
255, 16.15
256, 7.25
257, 14.71
258, 5.39
259, 12.70
260, 3.68
261, 11.37
262, 2.40
263, 9.71
264, 0.49
265, 7.91
266, 15.12
267, 5.54
268, 13.08
269, 3.24
270, 10.38
271, 1.32
272, 8.49
273, 15.86
274, 6.38
275, 14.06
276, 4.78
277, 11.90
278, 2.96
279, 10.78
280, 1.06
281, 8.95
282, 3.58
283, 11.36
284, 15.05
285, 9.10
286, 11.12
287, 2.54
288, 9.58
289, 0.59
290, 8.23
291, 15.67
292, 6.56
293, 14.19
294, 4.94
295, 12.55
296, 3.31
297, 10.50
298, 1.46
299, 8.40
300, 15.85
301, 5.70
302, 13.16
303, 4.59
304, 12.04
305, 3.20
306, 10.78
307, 0.72
308, 8.18
309, 15.77
310, 6.35
311, 14.24
312, 5.48
313, 12.74
314, 3.42
315, 10.65
316, 1.19
317, 8.21
318, 15.24
319, 5.54
320, 12.70
321, 3.85
322, 11.47
323, 2.75
324, 10.05
325, 0.89
326, 8.74
327, 3.98
328, 11.10
329, 1.96
330, 9.83
331, 1.37
332, 9.17
333, 4.12
334, 11.57
335, 1.78
336, 9.14
337, 4.01
338, 11.59
339, 2.04
340, 9.88
341, 3.85
342, 11.58
343, 2.40
344, 9.88
345, 0.77
346, 8.53
347, 3.79
348, 11.15
349, 1.38
350, 8.98
351, 3.70
352, 11.43
353, 1.73
354, 8.72
355, 16.06
356, 7.01
357, 14.40
358, 5.90
359, 13.25
360, 4.30
361, 11.79
362, 2.49
363, 9.92
364, 0.75
365, 7.81
366, 15.01
367, 4.81
368, 12.26
369, 2.66
370, 9.92
371, 0.43
372, 8.00
373, 15.68
374, 5.97
375, 13.02
376, 4.10
377, 11.38
378, 1.76
379, 9.57
380, 1.04
381, 8.02
382, 15.47
383, 6.91
384, 14.10
385, 4.13
386, 12.01
387, 2.33
388, 9.45
389, 4.21
390, 11.50
391, 1.31
392, 8.54
393, 15.86
394, 7.03
395, 13.87
396, 4.71
397, 12.72
398, 3.39
399, 10.84
400, 1.92
401, 9.32
402, 3.42
403, 11.18
404, 1.35
405, 8.81
406, 16.07
407, 7.05
408, 14.43
409, 5.77
410, 13.02
411, 4.46
412, 11.39
413, 2.56
414, 9.74
415, 0.92
416, 8.73
417, 16.02
418, 6.75
419, 14.46
420, 5.66
421, 13.14
422, 4.02
423, 11.41
424, 3.00
425, 10.25
426, 0.96
427, 8.32
428, 15.84
429, 6.73
430, 14.18
431, 5.07
432, 12.11
433, 2.51
434, 9.52
435, 3.68
436, 11.60
437, 2.51
438, 9.79
439, 0.78
440, 8.03
441, 15.14
442, 5.43
443, 12.54
444, 3.27
445, 10.56
446, 0.41
447, 7.95
448, 15.41
449, 7.14
450, 14.18
451, 5.04
452, 12.26
453, 2.47
454, 10.00
455, 1.07
456, 8.05
457, 15.05
458, 5.63
459, 12.76
460, 3.46
461, 10.74
462, 1.74
463, 8.89
464, 16.12
465, 6.30
466, 14.00
467, 4.90
468, 11.98
469, 2.43
470, 9.78
471, 0.71
472, 8.45
473, 15.86
474, 5.86
475, 13.00
476, 3.76
477, 11.14
478, 1.65
479, 8.54
480, 16.06
481, 7.20
482, 14.16
483, 4.64
484, 11.64
485, 2.40
486, 9.86
487, 4.14
488, 11.85
489, 2.10
490, 9.29
491, 3.61
492, 10.70
493, 1.01
494, 8.62
495, 3.36
496, 10.26
497, 4.23
498, 11.76
499, 2.60
500, 10.20
501, 0.47
502, 8.00
503, 15.46
504, 6.02
505, 13.28
506, 4.86
507, 12.02
508, 2.62
509, 10.38
510, 1.15
511, 8.62
512, 15.76
513, 5.97
514, 13.24
515, 3.57
516, 10.48
517, 1.17
518, 8.92
519, 16.00
520, 5.52
521, 12.98
522, 4.63
523, 11.89
524, 2.70
525, 9.75
526, 1.22
527, 8.31
528, 15.10
529, 6.06
530, 13.60
531, 4.55
532, 12.21
533, 3.18
534, 10.37
535, 1.53
536, 8.81
537, 15.90
538, 7.07
539, 14.11
540, 5.09
541, 12.42
542, 2.83
543, 10.11
544, 0.82
545, 8.05
546, 15.30
547, 6.92
548, 13.95
549, 4.66
550, 11.99
551, 2.34
552, 10.08
553, 1.05
554, 8.24
555, 15.14
556, 6.12
557, 13.95
558, 4.85
559, 12.64
560, 2.80
561, 10.13
562, 0.78
563, 8.37
564, 15.98
565, 5.48
566, 13.09
567, 4.13
568, 2.09
569, 9.50
570, 7.92
571, 11.18
572, 2.11
573, 9.08
574, 16.13
575, 7.41
576, 15.21
577, 6.23
578, 13.25
579, 3.32
580, 10.26
581, 1.11
582, 8.91
583, 3.73
584, 10.91
585, 1.83
586, 9.04
587, 16.12
588, 7.25
589, 15.24
590, 6.25
591, 13.56
592, 4.42
593, 11.67
594, 3.39
595, 11.09
596, 2.16
597, 9.75
598, 0.74
599, 8.19
600, 15.88
601, 6.57
602, 14.08
603, 5.30
604, 12.97
605, 4.28
606, 11.47
607, 2.60
608, 10.24
609, 1.08
610, 8.57
611, 3.76
612, 10.82
613, 1.69
614, 9.24
615, 0.62
616, 8.45
617, 15.35
618, 5.51
619, 12.74
620, 4.02
621, 10.96
622, 1.99
623, 9.39
624, 0.35
625, 7.51
626, 14.47
627, 4.90
628, 12.20
629, 2.60
630, 10.32
631, 1.67
632, 9.54
633, 0.64
634, 7.87
635, 15.14
636, 5.30
637, 12.36
638, 3.65
639, 11.28
640, 2.54
641, 9.95
642, 1.10
643, 8.66
644, 15.88
645, 5.89
646, 13.08
647, 3.92
648, 11.28
649, 2.64
650, 10.10
651, 0.91
652, 8.68
653, 16.06
654, 6.49
655, 14.17
656, 5.68
657, 13.16
658, 4.25
659, 11.76
660, 2.39
661, 9.85
662, 1.41
663, 9.16
664, 4.11
665, 12.07
666, 3.43
667, 10.49
668, 1.17
669, 8.85
670, 16.19
671, 7.34
672, 14.29
673, 5.14
674, 12.65
675, 2.88
676, 10.49
677, 0.43
678, 7.63
679, 15.25
680, 5.41
681, 12.64
682, 3.24
683, 10.63
684, 1.28
685, 8.99
686, 15.89
687, 6.37
688, 13.48
689, 3.99
690, 11.40
691, 2.06
692, 9.50
693, 4.05
694, 11.62
695, 1.82
696, 9.57
697, 0.65
698, 8.00
699, 15.80
700, 6.83
701, 14.52
702, 5.31
703, 12.68
704, 3.73
705, 11.07
706, 2.14
707, 9.96
708, 1.07
709, 8.82
710, 16.10
711, 7.44
712, 14.86
713, 5.68
714, 12.78
715, 3.46
716, 10.47
717, 0.47
718, 7.53
719, 15.05
720, 5.75
721, 12.98
722, 3.38
723, 11.16
724, 2.83
725, 10.44
726, 1.86
727, 8.78
728, 0.27
729, 7.27
730, 15.09
731, 5.15
732, 12.30
733, 3.70
734, 10.71
735, 1.04
736, 8.05
737, 15.27
738, 6.54
739, 14.21
740, 4.49
741, 11.65
742, 1.96
743, 9.39
744, 0.33
745, 7.26
746, 14.50
747, 5.31
748, 12.60
749, 3.20
750, 10.71
751, 1.63
752, 8.66
