read, delay
1, 3.01
2, 5.01
3, 7.43
4, 10.32
5, 12.53
6, 14.87
7, 17.37
8, 18.80
9, 21.22
10, 3.70
11, 5.96
12, 8.43
13, 10.92
14, 13.61
15, 16.47
16, 18.06
17, 20.31
18, 2.40
19, 4.58
20, 6.54
21, 8.47
22, 11.27
23, 13.49
24, 15.61
25, 17.01
26, 19.18
27, 1.98
28, 4.74
29, 6.76
30, 9.64
31, 11.76
32, 13.65
33, 16.38
34, 17.49
35, 20.28
36, 3.09
37, 5.46
38, 8.06
39, 9.98
40, 12.80
41, 15.50
42, 16.41
43, 18.80
44, 20.82
45, 3.40
46, 5.34
47, 7.42
48, 10.08
49, 12.61
50, 15.48
51, 16.76
52, 19.32
53, 2.20
54, 4.78
55, 7.11
56, 9.11
57, 11.85
58, 14.03
59, 15.44
60, 17.80
61, 20.68
62, 2.75
63, 4.93
64, 6.93
65, 9.10
66, 11.20
67, 13.58
68, 14.56
69, 16.58
70, 18.56
71, 20.56
72, 2.88
73, 4.81
74, 7.50
75, 9.42
76, 10.95
77, 13.40
78, 16.11
79, 18.27
80, 20.57
81, 2.76
82, 4.87
83, 7.08
84, 9.92
85, 11.56
86, 14.00
87, 16.57
88, 18.99
89, 21.89
90, 4.35
91, 6.66
92, 9.03
93, 10.15
94, 12.06
95, 14.29
96, 16.58
97, 18.48
98, 21.30
99, 3.72
100, 6.01
101, 7.39
102, 10.11
103, 12.40
104, 14.87
105, 17.56
106, 19.84
107, 2.71
108, 5.06
109, 7.31
110, 8.24
111, 11.06
112, 13.89
113, 16.49
114, 19.30
115, 21.75
116, 4.58
117, 7.38
118, 8.83
119, 11.19
120, 13.50
121, 16.34
122, 19.04
123, 21.82
124, 3.80
125, 6.62
126, 8.88
127, 10.37
128, 12.58
129, 14.99
130, 17.09
131, 19.49
132, 2.08
133, 4.24
134, 6.96
135, 8.32
136, 10.22
137, 12.28
138, 15.04
139, 17.80
140, 20.53
141, 2.47
142, 4.98
143, 6.18
144, 8.66
145, 11.03
146, 13.50
147, 15.67
148, 17.71
149, 19.99
150, 2.30
151, 4.89
152, 6.65
153, 9.18
154, 11.80
155, 13.96
156, 16.19
157, 18.49
158, 21.23
159, 3.34
160, 4.99
161, 7.53
162, 10.26
163, 12.17
164, 14.32
165, 17.08
166, 19.44
167, 22.09
168, 3.33
169, 6.21
170, 8.33
171, 10.45
172, 12.72
173, 14.95
174, 17.25
175, 19.21
176, 22.04
177, 3.52
178, 5.78
179, 8.22
180, 10.31
181, 12.48
182, 14.69
183, 16.68
184, 18.90
185, 20.91
186, 2.26
187, 4.82
188, 7.06
189, 9.73
190, 12.04
191, 14.54
192, 16.86
193, 18.95
194, 21.00
195, 1.92
196, 4.37
197, 7.00
198, 9.41
199, 12.14
200, 14.04
201, 16.88
202, 19.02
203, 21.84
204, 3.03
205, 5.05
206, 7.32
207, 10.09
208, 12.05
209, 14.36
210, 17.16
211, 19.68
212, 21.56
213, 3.42
214, 5.54
215, 7.81
216, 9.78
217, 11.92
218, 14.12
219, 16.49
220, 19.05
221, 20.56
222, 2.84
223, 5.65
224, 8.25
225, 11.13
226, 13.43
227, 15.50
228, 17.98
229, 19.11
230, 21.59
231, 3.72
232, 6.41
233, 8.95
234, 11.44
235, 13.80
236, 16.65
237, 19.54
238, 20.81
239, 3.40
240, 6.20
241, 8.86
242, 11.18
243, 13.65
244, 16.54
245, 18.57
246, 19.90
247, 1.90
248, 4.15
249, 6.16
250, 8.63
251, 10.55
252, 12.68
253, 14.62
254, 15.57
255, 18.02
256, 20.82
257, 3.21
258, 5.74
259, 8.48
260, 10.75
261, 12.80
262, 13.89
263, 15.97
264, 18.29
265, 20.66
266, 3.43
267, 6.29
268, 8.58
269, 11.14
270, 12.39
271, 15.19
272, 17.76
273, 19.68
274, 21.65
275, 4.50
276, 7.14
277, 9.62
278, 12.17
279, 13.25
280, 15.39
281, 17.32
282, 19.35
283, 21.30
284, 3.96
285, 6.82
286, 9.58
287, 11.04
288, 13.52
289, 15.64
290, 17.86
291, 20.08
292, 2.91
293, 5.55
294, 7.62
295, 8.52
296, 10.71
297, 13.37
298, 16.06
299, 18.31
300, 21.04
301, 3.76
302, 6.20
303, 7.12
304, 9.31
305, 12.09
306, 14.44
307, 16.86
308, 19.70
309, 22.02
310, 4.48
311, 5.60
312, 7.61
313, 9.78
314, 11.70
315, 13.72
316, 15.71
317, 17.63
318, 20.28
319, 1.61
320, 3.87
321, 6.60
322, 8.58
323, 11.22
324, 14.01
325, 16.72
326, 19.27
327, 21.37
328, 2.73
329, 5.01
330, 7.11
331, 9.86
332, 12.08
333, 14.68
334, 17.45
335, 20.20
336, 22.17
337, 3.14
338, 5.31
339, 7.88
340, 10.24
341, 12.95
342, 15.76
343, 18.08
344, 20.53
345, 2.37
346, 4.50
347, 6.66
348, 8.91
349, 11.18
350, 13.14
351, 15.84
352, 18.63
353, 20.74
354, 2.12
355, 4.92
356, 7.75
357, 10.35
358, 12.28
359, 14.43
360, 17.00
361, 19.10
362, 21.06
363, 2.55
364, 4.74
365, 7.00
366, 9.22
367, 11.92
368, 13.98
369, 16.16
370, 18.88
371, 20.54
372, 2.92
373, 5.06
374, 7.51
375, 10.22
376, 13.03
377, 15.74
378, 18.12
379, 19.19
380, 21.56
381, 4.10
382, 6.46
383, 8.93
384, 11.60
385, 14.21
386, 16.47
387, 18.00
388, 20.88
389, 3.06
390, 5.79
391, 8.42
392, 10.90
393, 13.78
394, 16.34
395, 17.26
396, 20.14
397, 2.44
398, 4.70
399, 7.20
400, 9.25
401, 11.91
402, 13.98
403, 15.65
404, 18.29
405, 20.25
406, 2.48
407, 5.18
408, 7.48
409, 9.83
410, 12.63
411, 14.40
412, 16.95
413, 19.72
414, 2.23
415, 5.02
416, 7.36
417, 9.38
418, 11.79
419, 14.52
420, 15.69
421, 18.43
422, 20.68
423, 2.96
424, 5.78
425, 8.33
426, 11.16
427, 13.32
428, 14.56
429, 16.59
430, 19.14
431, 21.70
432, 3.65
433, 6.07
434, 8.06
435, 9.96
436, 10.90
437, 13.62
438, 16.34
439, 19.19
440, 21.22
441, 3.74
442, 6.02
443, 8.76
444, 10.50
445, 12.45
446, 14.45
447, 16.57
448, 19.29
449, 21.96
450, 4.36
451, 6.98
452, 8.46
453, 10.59
454, 13.22
455, 16.13
456, 18.45
457, 20.81
458, 2.71
459, 4.89
460, 6.17
461, 8.40
462, 10.39
463, 13.21
464, 15.12
465, 17.30
466, 19.57
467, 2.37
468, 4.11
469, 6.03
470, 8.15
471, 10.22
472, 13.04
473, 15.77
474, 17.74
475, 20.16
476, 22.22
477, 3.39
478, 5.54
479, 7.98
480, 10.88
481, 13.53
482, 15.62
483, 18.52
484, 21.32
485, 2.24
486, 4.72
487, 7.42
488, 10.07
489, 12.00
490, 13.92
491, 16.44
492, 19.22
493, 21.98
494, 3.18
495, 5.69
496, 8.47
497, 11.14
498, 13.20
499, 15.54
500, 17.46
501, 19.73
502, 21.73
503, 3.08
504, 5.04
505, 7.59
506, 9.91
507, 12.44
508, 15.21
509, 17.42
510, 20.27
511, 1.81
512, 3.71
513, 5.97
514, 8.38
515, 11.16
516, 14.02
517, 16.80
518, 19.00
519, 20.40
520, 3.12
521, 5.95
522, 8.57
523, 10.62
524, 13.00
525, 14.88
526, 17.07
527, 18.68
528, 20.65
529, 2.82
530, 4.82
531, 7.29
532, 9.38
533, 11.38
534, 13.68
535, 14.80
536, 16.81
537, 19.29
538, 21.48
539, 3.94
540, 6.25
541, 8.28
542, 10.36
543, 11.89
544, 14.07
545, 16.40
546, 18.91
547, 21.22
548, 3.42
549, 5.35
550, 7.44
551, 8.84
552, 10.82
553, 13.53
554, 16.01
555, 18.10
556, 20.12
557, 2.54
558, 5.19
559, 6.90
560, 9.10
561, 11.65
562, 13.83
563, 16.04
564, 18.28
565, 20.26
566, 2.66
567, 4.30
568, 6.50
569, 8.63
570, 11.38
571, 14.00
572, 16.05
573, 18.56
574, 21.05
575, 2.26
576, 4.82
577, 7.28
578, 9.73
579, 11.83
580, 14.51
581, 16.49
582, 19.02
583, 21.18
584, 2.66
585, 5.24
586, 7.51
587, 9.60
588, 12.22
589, 14.46
590, 17.08
591, 19.78
592, 22.04
593, 3.67
594, 6.00
595, 8.62
596, 11.23
597, 13.32
598, 15.52
599, 17.85
600, 20.34
601, 22.44
602, 3.38
603, 5.43
604, 7.40
605, 9.84
606, 11.86
607, 14.53
608, 16.52
609, 18.52
610, 19.72
611, 21.64
612, 3.78
613, 6.32
614, 8.29
615, 10.33
616, 12.32
617, 14.85
618, 16.44
619, 18.81
620, 21.17
621, 4.05
622, 5.92
623, 8.24
624, 11.03
