read, delay
1, 4.85
2, 5.04
3, 4.92
4, 4.99
5, 5.58
6, 5.58
7, 5.70
8, 5.78
9, 5.67
10, 5.58
11, 5.72
12, 6.39
13, 7.18
14, 7.33
15, 7.36
16, 7.24
17, 7.34
18, 4.82
19, 5.28
20, 6.05
21, 6.31
22, 6.62
23, 7.13
24, 7.05
25, 4.71
26, 5.52
27, 5.50
28, 6.05
29, 6.59
30, 6.99
31, 7.13
32, 7.16
33, 5.02
34, 5.27
35, 5.40
36, 5.85
37, 6.35
38, 6.90
39, 7.23
40, 7.40
41, 7.50
42, 4.82
43, 4.92
44, 5.08
45, 5.86
46, 6.10
47, 6.21
48, 6.86
49, 7.30
50, 7.37
51, 7.34
52, 5.09
53, 5.39
54, 5.67
55, 5.65
56, 5.76
57, 6.30
58, 6.55
59, 7.16
60, 7.34
61, 4.84
62, 5.17
63, 5.09
64, 5.42
65, 6.11
66, 6.11
67, 6.10
68, 5.98
69, 6.52
70, 6.44
71, 6.94
72, 7.16
73, 5.00
74, 5.42
75, 6.21
76, 6.62
77, 6.72
78, 6.78
79, 4.67
80, 4.68
81, 4.69
82, 4.92
83, 5.02
84, 5.39
85, 5.90
86, 6.21
87, 6.37
88, 6.27
89, 6.72
90, 7.26
91, 7.52
92, 5.25
93, 5.41
94, 5.80
95, 6.62
96, 6.78
97, 6.91
98, 7.23
99, 7.26
100, 7.45
101, 4.58
102, 4.86
103, 5.74
104, 6.55
105, 6.58
106, 7.06
107, 4.51
108, 4.60
109, 4.74
110, 5.34
111, 5.53
112, 6.30
113, 6.31
114, 6.40
115, 7.08
116, 7.35
117, 7.32
118, 5.13
119, 5.69
120, 5.74
121, 5.84
122, 6.38
123, 6.58
124, 6.85
125, 4.53
126, 7.50
127, 5.31
128, 6.10
129, 6.89
130, 4.50
131, 4.96
132, 5.43
133, 6.30
134, 7.14
135, 4.94
136, 5.62
137, 6.32
138, 6.74
139, 6.86
140, 7.30
141, 5.01
142, 4.93
143, 5.58
144, 5.62
145, 6.08
146, 6.94
147, 7.00
148, 4.70
149, 5.03
150, 5.78
151, 6.35
152, 7.23
153, 4.66
154, 4.87
155, 5.72
156, 5.84
157, 6.71
158, 6.98
159, 6.91
160, 6.88
161, 4.66
162, 4.71
163, 5.17
164, 5.43
165, 6.08
166, 6.36
167, 6.97
168, 7.31
169, 4.84
170, 5.24
171, 6.02
172, 6.51
173, 6.55
174, 6.94
175, 7.13
176, 7.01
177, 7.35
178, 7.24
179, 4.72
180, 5.33
181, 5.79
182, 6.41
183, 6.63
184, 7.36
185, 5.12
186, 5.25
187, 5.21
188, 5.38
189, 6.06
190, 5.97
191, 6.36
192, 7.26
193, 5.01
194, 4.94
195, 5.06
196, 5.25
197, 5.36
198, 6.11
199, 6.44
200, 6.37
201, 6.52
202, 7.24
203, 4.82
204, 5.39
205, 5.92
206, 6.28
207, 7.04
208, 4.58
209, 4.88
210, 5.01
211, 5.06
212, 5.02
213, 5.57
214, 5.67
215, 6.33
216, 6.54
217, 6.42
218, 7.24
219, 4.92
220, 5.24
221, 5.30
222, 5.56
223, 5.65
224, 6.22
225, 6.55
226, 7.24
227, 4.87
228, 4.93
229, 4.93
230, 5.60
231, 5.91
232, 6.78
233, 6.98
234, 4.67
235, 5.38
236, 5.61
237, 5.93
238, 6.47
239, 7.11
240, 7.45
241, 5.10
242, 5.81
243, 6.60
244, 6.86
