read, delay
1, 9.37
2, 1.56
3, 1.11
4, 4.28
5, 3.90
6, 3.36
7, 2.71
8, 1.88
9, 0.78
10, 3.99
11, 3.13
12, 2.72
13, 2.48
14, 2.11
15, 1.17
16, 4.27
17, 3.58
18, 3.36
19, 2.56
20, 1.87
21, 1.68
22, 1.46
23, 4.41
24, 4.27
25, 3.34
26, 2.68
27, 1.70
28, 1.02
29, 4.17
30, 3.13
31, 2.34
32, 1.76
33, 1.19
34, 4.60
35, 4.22
36, 3.88
37, 3.00
38, 2.18
39, 2.03
40, 0.98
41, 4.55
42, 4.00
43, 3.61
44, 3.36
45, 3.00
46, 2.83
47, 2.18
48, 1.61
49, 1.39
50, 1.24
51, 0.74
52, 4.47
53, 3.38
54, 2.79
55, 1.94
56, 1.76
57, 1.52
58, 4.55
59, 4.11
60, 3.31
61, 3.05
62, 2.44
63, 1.59
64, 1.36
65, 4.57
66, 3.49
67, 3.08
68, 2.44
69, 1.78
70, 1.10
71, 4.04
72, 3.78
73, 3.36
74, 2.89
75, 2.52
76, 1.65
77, 0.87
78, 4.61
79, 3.89
80, 3.67
81, 2.72
82, 2.40
83, 1.43
84, 4.70
85, 3.85
86, 3.13
87, 2.41
88, 1.29
89, 1.10
90, 4.03
91, 3.38
92, 2.62
93, 2.35
94, 1.28
95, 4.25
96, 3.72
97, 3.02
98, 2.06
99, 1.23
100, 0.66
101, 3.97
102, 3.51
103, 3.07
104, 2.67
105, 2.15
106, 1.38
107, 4.44
108, 4.27
109, 3.87
110, 3.20
111, 2.10
112, 1.72
113, 0.71
114, 4.54
115, 3.72
116, 2.60
117, 2.12
118, 1.34
119, 4.63
120, 3.52
121, 2.73
122, 1.95
123, 1.37
124, 4.76
125, 4.10
126, 3.69
127, 2.57
128, 2.46
129, 2.07
130, 1.59
131, 0.90
132, 4.40
133, 3.79
134, 2.99
135, 2.61
136, 2.12
137, 1.10
138, 0.94
139, 4.04
140, 3.64
141, 3.15
142, 2.77
143, 2.58
144, 1.92
145, 0.93
146, 4.63
147, 4.31
148, 3.22
149, 2.79
150, 1.88
151, 1.74
152, 1.22
153, 0.97
154, 3.96
155, 3.70
156, 3.60
157, 2.52
158, 1.81
159, 0.80
160, 4.56
161, 4.42
162, 3.45
163, 2.86
164, 2.15
165, 1.93
166, 1.01
167, 4.55
168, 4.30
169, 3.81
170, 3.64
171, 2.59
172, 2.19
173, 1.09
174, 4.34
175, 3.24
176, 2.87
177, 2.55
178, 1.53
179, 0.87
180, 0.74
181, 4.06
182, 3.07
183, 2.24
184, 1.36
185, 0.84
186, 4.25
187, 3.45
188, 2.40
189, 1.89
190, 1.29
191, 4.78
192, 4.44
193, 3.39
194, 2.72
195, 2.40
196, 2.02
197, 1.87
198, 0.79
199, 4.37
200, 4.27
201, 3.91
202, 2.86
203, 2.52
204, 1.92
205, 1.13
206, 4.41
207, 4.10
208, 3.92
209, 3.34
210, 3.14
211, 2.12
212, 1.70
213, 1.29
214, 1.06
215, 3.96
216, 3.71
217, 3.28
218, 2.48
219, 2.03
220, 1.36
221, 4.52
222, 3.66
223, 2.55
224, 2.14
225, 1.78
226, 1.10
227, 4.50
228, 4.27
229, 3.68
230, 3.54
231, 2.77
232, 1.78
233, 1.56
234, 1.36
235, 4.65
236, 4.38
237, 4.01
238, 3.36
239, 2.66
240, 1.68
241, 1.34
242, 4.68
243, 4.08
244, 3.50
245, 3.16
246, 2.67
247, 2.00
248, 1.59
249, 1.32
250, 4.61
251, 4.10
252, 3.30
253, 2.30
254, 1.67
255, 1.39
256, 4.51
257, 3.43
258, 2.68
259, 2.51
260, 1.90
261, 0.87
262, 0.76
263, 3.85
264, 2.75
265, 2.60
266, 2.16
267, 1.03
268, 4.19
269, 3.22
270, 2.89
271, 1.88
272, 0.80
273, 4.16
274, 3.47
275, 3.28
276, 2.66
277, 2.48
278, 1.89
279, 0.88
280, 3.97
281, 3.61
282, 2.73
283, 1.80
284, 0.98
285, 0.76
286, 3.69
287, 3.58
288, 3.17
289, 2.84
290, 2.35
291, 1.63
292, 0.98
293, 3.96
294, 3.40
295, 2.43
296, 1.90
297, 1.78
298, 4.70
299, 3.73
300, 2.78
301, 2.59
302, 2.13
303, 1.92
304, 1.70
305, 1.41
306, 4.54
307, 3.90
308, 3.17
