read, delay
8, 46.46
9, 25.35
10, 14.88
11, 44.44
12, 24.14
13, 13.61
14, 22.88
15, 42.54
16, 21.58
17, 30.76
18, 40.20
19, 20.77
20, 78.80
21, 48.56
22, 18.06
23, 17.63
24, 66.89
25, 36.44
26, 14.93
27, 34.63
28, 33.82
29, 72.76
30, 41.82
31, 81.01
32, 29.97
33, 28.95
34, 78.08
35, 37.33
36, 26.34
37, 25.92
38, 55.69
39, 24.59
40, 24.35
41, 13.27
42, 32.24
43, 21.58
44, 20.58
45, 20.40
46, 20.28
47, 19.92
48, 19.71
49, 19.66
50, 17.87
51, 16.88
52, 46.27
53, 15.74
54, 85.08
55, 44.66
56, 13.94
57, 13.37
58, 62.53
59, 41.82
60, 61.34
61, 41.04
62, 80.89
63, 40.23
64, 39.44
65, 29.04
66, 38.10
67, 37.92
68, 17.12
69, 26.53
70, 86.13
71, 35.18
72, 24.06
73, 83.23
74, 32.69
75, 52.10
76, 21.16
77, 20.47
78, 29.82
79, 18.90
80, 18.55
81, 28.33
82, 18.02
83, 17.87
84, 27.18
85, 26.07
86, 15.64
87, 25.48
88, 24.65
89, 13.76
90, 23.11
91, 22.89
92, 12.70
93, 23.58
94, 41.49
95, 20.94
96, 79.91
97, 39.58
98, 19.28
99, 47.68
100, 17.15
101, 16.99
102, 36.32
103, 85.70
104, 15.45
105, 34.58
106, 34.20
107, 73.67
108, 33.40
109, 42.94
110, 12.68
111, 61.97
112, 20.89
113, 29.91
114, 29.66
115, 79.14
116, 28.04
117, 27.73
118, 76.74
119, 15.81
120, 25.30
121, 24.40
122, 14.00
123, 53.01
124, 22.28
125, 22.01
126, 21.24
127, 20.82
128, 20.66
129, 20.55
130, 19.93
131, 19.61
132, 18.64
133, 17.88
134, 17.22
135, 45.61
136, 15.37
137, 84.48
138, 43.61
139, 22.57
140, 12.27
141, 41.61
142, 80.47
143, 39.68
144, 38.60
145, 78.43
146, 37.64
147, 56.93
148, 35.99
149, 25.65
150, 85.19
151, 34.54
152, 23.82
153, 83.66
154, 32.99
155, 32.51
156, 21.88
157, 51.72
158, 31.43
159, 21.26
160, 20.37
161, 29.43
162, 19.17
163, 18.24
164, 27.84
165, 28.04
166, 16.72
167, 26.48
168, 25.86
169, 15.31
170, 24.52
171, 24.11
172, 13.58
173, 42.63
174, 42.03
175, 21.64
176, 11.27
177, 60.35
178, 20.04
179, 79.16
180, 38.90
181, 18.15
182, 8.02
183, 67.23
184, 56.53
185, 85.72
186, 35.44
187, 34.74
188, 13.80
189, 42.91
190, 62.71
191, 31.79
192, 31.09
193, 80.90
194, 30.59
195, 30.50
196, 78.90
197, 38.24
198, 27.20
199, 27.00
200, 56.74
201, 26.47
202, 26.00
203, 15.45
204, 25.17
205, 24.15
206, 13.85
207, 23.42
208, 22.91
209, 22.03
210, 41.23
211, 20.26
212, 19.70
213, 19.21
214, 28.16
215, 17.67
216, 17.46
217, 45.63
218, 14.90
219, 84.08
220, 43.20
221, 82.47
222, 31.97
223, 61.73
224, 40.92
225, 30.23
226, 39.68
227, 79.41
228, 38.77
229, 7.55
230, 86.46
231, 85.40
232, 34.73
233, 24.33
234, 83.74
235, 33.28
236, 32.18
237, 21.20
238, 50.92
239, 30.36
240, 20.05
241, 19.50
242, 28.74
243, 17.80
244, 16.86
245, 46.73
246, 26.34
247, 15.97
248, 25.83
249, 25.48
250, 14.85
251, 23.96
252, 23.02
253, 12.48
254, 21.94
255, 41.39
256, 20.50
257, 30.21
258, 39.62
259, 19.29
260, 29.03
261, 38.75
262, 77.96
263, 7.51
264, 66.50
265, 35.62
266, 75.18
267, 34.47
268, 35.24
269, 73.22
270, 42.14
271, 91.67
272, 30.90
273, 30.50
274, 80.05
275, 29.62
276, 29.44
277, 78.42
278, 37.86
279, 27.44
280, 27.29
281, 57.03
282, 26.53
283, 26.09
284, 15.64
285, 25.22
286, 24.36
287, 13.95
288, 23.25
289, 22.46
290, 21.74
291, 21.06
292, 20.32
293, 19.82
294, 19.56
295, 19.19
296, 19.04
297, 38.07
298, 17.95
299, 17.58
300, 46.56
301, 46.42
302, 16.06
303, 15.70
304, 44.80
305, 14.13
306, 13.30
307, 43.09
308, 22.68
309, 12.20
310, 41.45
311, 40.41
312, 80.10
313, 40.78
314, 39.36
315, 78.92
316, 38.08
317, 77.42
318, 37.00
319, 25.92
320, 85.61
321, 34.55
322, 24.24
323, 83.58
324, 52.84
325, 32.34
326, 22.04
327, 21.03
328, 40.94
329, 19.32
330, 18.63
331, 28.32
332, 27.60
333, 16.52
334, 26.23
335, 25.26
336, 14.54
337, 23.47
338, 42.62
339, 22.33
340, 40.50
341, 19.51
342, 28.60
343, 67.70
344, 86.82
345, 86.30
346, 36.19
347, 35.47
348, 74.96
349, 34.80
350, 34.06
351, 73.87
352, 33.34
353, 62.35
354, 31.51
355, 30.76
356, 80.09
357, 29.44
358, 28.82
359, 78.06
360, 57.07
361, 26.16
362, 25.97
363, 15.07
364, 24.74
365, 24.54
366, 14.37
367, 23.46
368, 23.16
369, 22.72
370, 21.80
371, 20.91
372, 20.76
373, 40.03
374, 19.35
375, 18.91
376, 17.97
377, 67.85
378, 17.33
379, 46.12
380, 15.75
381, 15.40
382, 44.58
383, 13.82
384, 13.40
385, 62.46
386, 42.57
387, 31.22
388, 40.78
389, 39.77
390, 8.91
391, 58.06
392, 27.08
393, 36.08
394, 25.24
395, 84.54
396, 33.96
397, 33.03
398, 22.36
399, 21.78
400, 31.06
401, 20.85
402, 19.78
403, 29.49
404, 19.01
405, 18.61
406, 47.73
407, 27.34
408, 15.78
409, 24.78
410, 24.48
411, 13.45
412, 23.06
413, 42.17
414, 21.74
415, 42.56
416, 19.78
417, 9.62
418, 58.55
419, 17.90
420, 77.27
421, 66.45
422, 36.12
423, 24.47
424, 33.92
425, 73.52
426, 32.82
427, 81.99
428, 31.22
429, 30.66
430, 79.68
431, 28.84
432, 28.02
433, 77.29
434, 57.02
435, 26.15
436, 25.93
437, 15.78
438, 24.82
439, 24.54
440, 14.42
441, 43.62
442, 23.09
443, 22.33
444, 21.61
445, 20.68
446, 20.50
447, 20.25
448, 19.81
449, 19.32
450, 18.28
451, 47.45
452, 17.24
453, 66.89
454, 46.67
455, 15.75
456, 15.26
