read, delay
1, 42.12
2, 17.42
3, 16.74
4, 16.24
5, 39.66
6, 38.74
7, 14.63
8, 14.32
9, 37.40
10, 12.78
11, 76.17
12, 59.11
13, 18.73
14, 10.19
15, 33.10
16, 88.45
17, 8.27
18, 39.54
19, 38.44
20, 13.91
21, 29.45
22, 76.67
23, 27.94
24, 43.68
25, 82.80
26, 34.42
27, 25.57
28, 80.57
29, 47.91
30, 22.34
31, 21.26
32, 12.32
33, 27.82
34, 19.30
35, 10.74
36, 18.22
37, 17.73
38, 16.88
39, 16.55
40, 16.24
41, 15.95
42, 39.09
43, 38.00
44, 13.86
45, 13.50
46, 61.03
47, 12.69
48, 75.90
49, 43.38
50, 18.52
51, 10.40
52, 57.41
53, 32.63
54, 23.62
55, 55.03
56, 38.26
57, 29.84
58, 29.38
59, 37.20
60, 12.40
61, 27.33
62, 82.46
63, 33.96
64, 25.18
65, 80.80
66, 31.76
67, 46.91
68, 22.30
69, 13.18
70, 28.08
71, 19.62
72, 19.34
73, 43.10
74, 18.18
75, 17.44
76, 16.36
77, 23.54
78, 6.82
79, 22.44
80, 21.97
81, 12.87
82, 43.78
83, 19.33
84, 82.56
85, 58.05
86, 17.22
87, 32.55
88, 64.24
89, 39.35
90, 78.95
91, 38.82
92, 37.82
93, 76.86
94, 35.93
95, 58.96
96, 34.75
97, 25.88
98, 81.30
99, 32.38
100, 23.76
101, 78.80
102, 54.63
103, 29.81
104, 21.24
105, 12.49
106, 27.84
107, 19.50
108, 18.92
109, 26.28
110, 17.63
111, 16.66
112, 22.76
113, 22.25
114, 14.01
115, 21.58
116, 21.29
117, 12.93
118, 20.30
119, 43.33
120, 18.99
121, 41.14
122, 16.44
123, 63.62
124, 15.36
125, 6.92
126, 38.49
127, 101.42
128, 36.97
129, 36.22
130, 75.94
131, 59.30
132, 58.66
133, 81.65
134, 25.36
135, 80.49
136, 31.75
137, 103.54
138, 22.52
139, 30.37
140, 21.52
141, 21.01
142, 11.98
143, 27.23
144, 18.78
145, 18.32
146, 25.28
147, 17.17
148, 16.93
149, 48.39
150, 23.90
151, 15.16
152, 22.64
153, 22.42
154, 13.56
155, 21.45
156, 20.40
157, 11.80
158, 42.81
159, 42.34
160, 17.48
161, 80.56
162, 40.21
163, 15.83
164, 79.04
165, 62.36
166, 78.02
167, 13.37
168, 36.72
169, 36.58
170, 75.54
171, 58.71
172, 58.08
173, 81.05
174, 23.98
175, 79.06
176, 30.28
177, 29.68
178, 76.63
179, 19.74
180, 43.55
181, 19.26
182, 19.11
183, 26.57
184, 18.17
185, 17.10
186, 24.42
187, 24.15
188, 15.79
189, 22.81
190, 22.44
191, 13.99
192, 20.23
193, 19.63
194, 18.85
195, 18.64
