read, delay
1, 1.31
2, 1.51
3, 1.40
4, 1.46
5, 2.03
6, 2.03
7, 2.16
8, 2.26
9, 2.14
10, 2.02
11, 2.19
12, 1.86
13, 1.67
14, 1.78
15, 1.82
16, 1.72
17, 1.83
18, 2.29
19, 1.74
20, 1.54
21, 1.77
22, 2.10
23, 1.60
24, 1.51
25, 2.18
26, 1.99
27, 1.97
28, 1.52
29, 2.07
30, 1.47
31, 1.60
32, 1.61
33, 1.48
34, 1.74
35, 1.89
36, 1.32
37, 1.82
38, 1.39
39, 1.70
40, 1.88
41, 1.96
42, 2.28
43, 1.39
44, 1.53
45, 2.30
46, 1.55
47, 1.64
48, 1.29
49, 1.74
50, 1.82
51, 1.78
52, 1.54
53, 1.83
54, 2.10
55, 2.10
56, 1.21
57, 1.73
58, 1.98
59, 1.58
60, 1.77
61, 2.28
62, 1.62
63, 1.54
64, 1.89
65, 1.56
66, 1.56
67, 1.54
68, 1.42
69, 1.97
70, 1.90
71, 2.39
72, 1.62
73, 1.46
74, 1.85
75, 1.66
76, 2.07
77, 2.17
78, 2.20
79, 2.02
80, 2.13
81, 2.16
82, 1.36
83, 1.50
84, 1.88
85, 1.38
86, 1.68
87, 1.81
88, 1.72
89, 1.20
90, 1.70
91, 1.99
92, 1.72
93, 1.91
94, 1.28
95, 2.10
96, 1.24
97, 1.39
98, 1.70
99, 1.72
100, 1.92
101, 2.05
102, 1.34
103, 2.20
104, 2.01
105, 2.04
106, 1.50
107, 2.00
108, 2.07
109, 2.20
110, 1.80
111, 2.02
112, 1.76
113, 1.74
114, 1.87
115, 1.52
116, 1.81
117, 1.77
118, 1.58
119, 2.14
120, 2.20
121, 1.31
122, 1.84
123, 2.03
124, 2.32
125, 2.04
126, 1.97
127, 1.78
128, 1.56
129, 1.36
130, 2.06
131, 1.45
132, 1.90
133, 1.76
134, 1.61
135, 1.43
136, 2.10
137, 1.78
138, 2.20
139, 2.32
140, 1.76
141, 1.50
142, 1.38
143, 2.06
144, 2.10
145, 1.57
146, 1.40
147, 1.48
148, 2.18
149, 1.49
150, 2.25
151, 1.80
152, 1.68
153, 2.13
154, 1.35
155, 2.21
156, 2.30
157, 2.20
158, 1.50
159, 2.40
160, 1.36
161, 2.18
162, 1.24
163, 1.67
164, 1.94
165, 1.59
166, 1.84
167, 1.50
168, 1.83
169, 2.35
170, 1.74
171, 1.55
172, 2.03
173, 2.06
174, 1.47
175, 1.64
176, 1.52
177, 1.86
178, 1.74
179, 2.24
180, 1.84
181, 1.30
182, 1.93
183, 2.14
184, 1.90
185, 1.62
186, 1.75
187, 1.70
188, 1.88
189, 1.57
