read, delay
1, 16.87
2, 29.44
3, 6.37
4, 25.86
5, 3.72
6, 23.37
7, 30.86
8, 13.74
9, 27.78
10, 25.13
11, 2.14
12, 21.92
13, 29.17
14, 23.84
15, 25.24
16, 32.84
17, 26.65
18, 3.64
19, 23.41
20, 30.69
21, 14.80
22, 28.46
23, 12.77
24, 26.76
25, 20.81
26, 28.46
27, 18.89
28, 25.38
29, 15.12
30, 22.37
31, 23.03
32, 29.84
33, 25.20
34, 2.92
35, 22.98
36, 29.75
37, 13.83
38, 27.04
39, 21.04
40, 28.73
41, 17.90
42, 25.43
43, 15.55
44, 22.43
45, 23.21
46, 30.01
47, 24.47
48, 1.98
49, 21.56
50, 29.84
51, 13.37
52, 27.05
53, 22.46
54, 23.78
55, 31.10
56, 2.16
57, 22.58
58, 25.35
59, 32.09
60, 24.70
61, 25.92
62, 26.45
63, 25.66
64, 32.48
65, 26.22
66, 26.47
67, 26.40
68, 13.22
69, 26.02
70, 20.06
71, 27.33
72, 27.14
73, 22.48
74, 29.88
75, 24.96
76, 24.91
77, 31.38
78, 22.43
79, 29.12
80, 5.45
81, 25.30
82, 26.78
83, 27.22
84, 27.06
85, 21.20
86, 4.52
87, 24.81
88, 2.01
89, 22.03
90, 23.34
91, 24.66
92, 7.46
93, 26.91
94, 4.70
95, 24.59
96, 24.66
97, 14.76
98, 28.72
99, 12.46
100, 26.04
101, 20.71
102, 27.84
103, 24.58
104, 13.96
105, 21.26
106, 4.70
107, 24.16
108, 25.00
109, 26.37
110, 27.74
111, 28.15
112, 22.12
113, 28.96
114, 18.70
115, 26.24
116, 16.06
117, 22.75
118, 12.52
119, 32.22
120, 27.08
121, 27.41
122, 27.75
123, 28.76
124, 23.00
125, 23.93
126, 32.25
127, 26.11
128, 26.30
129, 26.41
130, 26.70
131, 20.41
132, 3.53
133, 23.54
134, 23.66
135, 25.42
136, 28.80
137, 23.08
138, 23.89
139, 31.81
140, 26.37
141, 3.56
142, 23.90
143, 25.16
144, 14.28
145, 27.53
146, 11.08
147, 23.97
148, 27.55
149, 28.87
150, 23.86
151, 13.63
152, 20.47
153, 2.75
154, 23.12
155, 24.59
156, 24.76
157, 7.95
158, 27.56
159, 4.45
160, 24.13
161, 30.74
162, 14.32
163, 27.63
164, 22.25
165, 29.24
166, 18.57
167, 26.89
168, 16.11
169, 23.64
170, 13.07
171, 26.49
172, 3.22
173, 22.95
174, 22.49
175, 30.14
176, 8.26
177, 27.90
178, 4.75
179, 24.44
180, 24.74
181, 15.38
182, 29.30
183, 12.99
184, 26.42
185, 3.45
186, 23.79
187, 31.64
188, 25.47
189, 3.38
190, 23.57
191, 30.28
192, 23.94
193, 24.29
194, 31.46
195, 28.13
196, 23.11
197, 30.13
198, 13.93
199, 29.93
200, 25.50
201, 1.98
202, 21.81
203, 28.46
204, 21.30
205, 5.03
206, 24.49
207, 25.15
208, 14.92
209, 21.34
210, 11.25
211, 31.46
212, 24.73
213, 24.49
214, 14.57
215, 27.69
216, 21.88
217, 22.44
218, 18.69
219, 25.48
220, 26.44
221, 20.44
222, 28.08
223, 29.09
224, 24.11
225, 30.91
226, 24.21
227, 12.93
228, 20.99
229, 4.07
230, 24.50
231, 24.86
232, 25.87
233, 8.64
234, 28.90
235, 5.61
236, 25.25
237, 26.12
238, 26.63
239, 28.97
240, 22.53
241, 5.58
242, 25.93
243, 2.69
244, 22.84
245, 23.33
246, 24.54
247, 9.67
248, 30.98
249, 26.18
250, 26.13
251, 26.20
252, 26.76
253, 22.79
254, 24.29
255, 31.66
256, 26.37
257, 26.16
258, 21.51
259, 28.60
260, 22.47
261, 23.10
262, 18.97
263, 26.83
264, 16.19
265, 22.19
266, 12.18
267, 31.84
268, 25.96
269, 26.79
270, 22.32
271, 28.92
272, 24.13
273, 23.29
274, 30.84
275, 25.62
276, 27.62
277, 26.42
278, 27.54
279, 5.08
280, 25.22
281, 1.93
282, 21.95
283, 28.26
284, 12.36
285, 25.71
286, 25.72
287, 26.40
288, 15.94
289, 23.41
290, 24.12
291, 30.95
292, 23.42
293, 23.53
294, 24.69
295, 7.42
296, 27.47
297, 27.95
298, 22.75
299, 29.67
300, 24.28
301, 24.50
302, 31.18
303, 25.83
304, 26.55
305, 27.76
306, 28.79
307, 23.80
308, 24.87
309, 31.46
310, 25.77
311, 26.18
312, 27.16
313, 27.73
314, 21.92
315, 5.18
316, 25.59
317, 3.98
318, 24.07
319, 24.75
320, 14.98
321, 22.48
322, 11.54
323, 31.36
324, 25.90
325, 26.13
326, 26.85
327, 26.77
328, 20.57
329, 5.07
330, 25.30
331, 25.30
332, 14.97
333, 21.66
334, 12.18
335, 32.20
336, 2.45
337, 22.67
338, 14.66
339, 21.64
340, 4.58
341, 24.31
342, 1.88
343, 21.97
344, 22.95
345, 13.14
346, 32.57
347, 27.12
348, 27.77
349, 22.26
350, 29.77
351, 24.16
352, 25.37
353, 32.01
354, 2.21
355, 21.66
356, 22.05
357, 29.96
358, 6.56
359, 26.82
360, 4.45
361, 24.14
362, 25.53
363, 15.42
364, 29.63
365, 12.02
366, 24.89
367, 30.98
368, 25.83
369, 14.77
370, 22.75
371, 23.39
372, 30.79
373, 25.97
374, 26.24
375, 26.50
376, 28.23
377, 22.90
378, 23.91
379, 32.12
380, 27.33
381, 28.43
382, 28.28
383, 28.32
384, 25.62
385, 31.46
386, 25.29
387, 25.57
388, 8.66
389, 28.78
390, 6.24
391, 26.28
392, 4.29
393, 23.88
394, 30.87
395, 13.96
396, 26.72
397, 21.64
398, 23.37
399, 30.78
400, 1.89
401, 21.32
402, 22.00
403, 28.54
404, 5.67
405, 25.45
406, 27.71
407, 27.97
408, 28.61
409, 23.54
410, 23.49
411, 29.60
412, 24.12
413, 30.58
414, 13.93
415, 28.14
416, 11.48
417, 25.48
418, 25.74
419, 25.99
420, 15.45
421, 21.31
422, 4.33
423, 23.95
424, 24.14
425, 24.64
426, 8.29
427, 27.84
428, 4.07
429, 24.32
430, 25.85
431, 26.17
432, 12.17
433, 25.64
434, 19.70
435, 26.99
436, 16.11
437, 22.92
438, 5.84
439, 26.14
440, 2.72
441, 22.48
442, 22.55
443, 12.48
444, 32.11
445, 24.97
446, 25.61
447, 14.73
448, 28.53
449, 5.88
450, 25.83
451, 2.69
452, 22.74
453, 30.40
454, 13.44
455, 26.98
456, 21.32
457, 28.75
458, 17.95
459, 25.85
460, 15.45
461, 23.03
462, 24.09
463, 31.18
464, 24.97
465, 26.06
466, 26.69
467, 27.38
468, 21.55
469, 5.17
470, 25.66
471, 2.56
472, 22.77
473, 22.62
474, 13.15
475, 26.30
476, 27.53
477, 26.61
478, 0.62
479, 26.43
480, 3.58
481, 23.51
482, 30.70
483, 26.74
484, 21.44
485, 28.21
486, 18.38
487, 26.22
488, 15.90
489, 21.70
490, 28.23
491, 28.89
492, 24.06
493, 25.08
494, 26.08
495, 27.19
496, 20.90
497, 28.26
498, 29.23
499, 22.71
500, 28.54
501, 22.54
502, 5.16
503, 25.32
504, 25.37
505, 25.71
506, 8.72
507, 28.48
508, 28.54
509, 23.40
510, 31.35
511, 26.20
512, 26.54
513, 20.48
514, 27.12
515, 4.93
516, 25.16
517, 25.28
518, 14.70
519, 28.58
520, 12.60
521, 25.92
522, 20.15
523, 26.56
524, 16.36
525, 23.02
526, 11.95
527, 0.30
528, 29.88
529, 24.29
530, 25.43
531, 9.08
532, 28.51
533, 6.13
534, 25.98
535, 26.86
536, 27.93
537, 29.01
538, 23.00
539, 13.32
540, 20.23
541, 4.12
542, 24.42
543, 25.40
544, 26.60
545, 27.60
546, 28.99
547, 12.92
548, 26.66
549, 19.98
550, 26.48
551, 16.12
552, 24.14
553, 14.53
554, 21.13
555, 5.33
556, 24.77
557, 2.25
558, 22.40
559, 23.02
560, 29.06
561, 5.26
562, 25.17
563, 25.10
564, 14.67
565, 28.12
566, 11.91
567, 25.47
568, 20.09
569, 26.39
570, 15.74
571, 23.45
572, 13.14
573, 26.21
574, 3.94
575, 24.19
576, 1.68
577, 21.90
578, 22.26
579, 11.99
580, 31.66
581, 27.83
582, 22.73
583, 30.33
584, 13.74
585, 26.78
586, 2.81
587, 22.56
588, 29.64
589, 22.97
590, 5.60
591, 25.86
592, 2.93
593, 22.63
594, 23.64
595, 13.60
596, 21.33
597, 28.54
598, 29.55
599, 24.18
600, 30.72
601, 25.37
602, 26.12
603, 26.63
604, 28.09
605, 5.52
606, 25.90
607, 27.22
608, 28.18
609, 29.21
610, 23.54
611, 24.00
612, 30.90
613, 25.67
