read, delay
1, 2.28
2, 2.06
3, 12.06
4, 2.61
5, 2.29
6, 1.88
7, 3.86
8, 2.92
9, 2.47
10, 3.30
11, 2.56
12, 1.52
13, 2.19
14, 1.38
15, 3.00
16, 2.91
17, 2.06
18, 1.32
19, 2.68
20, 2.43
21, 1.66
22, 4.12
23, 1.92
24, 1.28
25, 3.08
26, 3.14
27, 2.63
28, 2.26
29, 1.68
30, 1.88
31, 4.08
32, 3.20
33, 2.13
34, 1.43
35, 1.59
36, 3.48
37, 2.76
38, 2.29
39, 1.85
40, 2.39
41, 1.66
42, 3.79
43, 3.18
44, 2.89
45, 2.31
46, 2.04
47, 1.76
48, 1.98
49, 4.20
50, 1.94
51, 1.74
52, 1.24
53, 3.71
54, 1.39
55, 1.20
56, 3.02
57, 3.24
58, 2.85
59, 2.27
60, 1.46
61, 1.67
62, 2.94
63, 3.73
64, 3.05
65, 1.96
66, 2.36
67, 2.16
68, 1.40
69, 3.73
70, 1.45
71, 1.21
72, 3.74
73, 1.42
74, 2.36
75, 3.05
76, 2.42
77, 1.68
78, 2.00
79, 1.60
80, 3.12
81, 1.50
82, 2.74
83, 2.51
84, 3.03
85, 2.79
86, 1.84
87, 2.36
88, 1.55
89, 2.74
90, 3.28
91, 3.12
92, 2.06
93, 2.43
94, 1.98
95, 2.11
96, 1.70
97, 2.78
98, 2.99
99, 2.20
100, 1.54
101, 1.70
102, 3.94
103, 3.02
104, 2.11
105, 1.27
106, 1.32
107, 2.36
108, 2.51
109, 1.44
110, 2.89
111, 3.70
112, 1.31
113, 2.99
114, 3.33
115, 3.00
116, 2.45
117, 2.02
118, 1.91
119, 1.67
120, 3.60
121, 1.30
122, 2.49
123, 2.28
124, 1.21
125, 1.67
126, 1.44
127, 4.20
128, 3.08
129, 2.61
130, 3.13
131, 2.60
132, 2.11
133, 2.23
134, 1.67
135, 4.07
136, 1.75
137, 2.91
138, 3.30
139, 2.58
140, 1.96
141, 1.61
142, 1.66
143, 3.90
144, 1.42
145, 1.30
146, 4.10
147, 1.61
148, 2.71
149, 1.87
150, 2.30
151, 1.28
152, 2.72
153, 3.19
154, 2.89
155, 2.06
156, 1.26
157, 1.47
158, 3.61
159, 2.67
160, 2.44
161, 1.40
162, 2.61
163, 2.69
164, 1.62
165, 3.08
166, 2.17
167, 2.04
168, 3.98
169, 3.08
170, 2.10
171, 1.36
172, 2.86
173, 2.73
174, 1.76
175, 1.66
176, 2.38
177, 1.63
178, 3.55
179, 3.20
180, 3.08
181, 3.17
182, 2.47
183, 2.32
184, 1.59
185, 1.82
186, 1.41
187, 1.59
188, 2.57
189, 1.93
190, 2.09
191, 4.06
