read, delay
1, 1.19
2, 0.46
3, 0.48
4, 1.17
5, 0.90
6, 0.66
7, 0.61
8, 1.16
9, 1.07
10, 0.91
11, 1.28
12, 1.20
13, 0.44
14, 0.93
15, 0.90
16, 1.07
17, 0.59
18, 1.10
19, 1.11
20, 0.94
21, 1.01
22, 0.59
23, 0.67
24, 1.20
25, 0.98
26, 0.98
27, 0.79
28, 1.10
29, 0.36
30, 0.36
31, 1.28
32, 0.68
33, 0.49
34, 0.42
35, 0.96
36, 0.45
37, 0.94
38, 1.24
39, 0.64
40, 0.72
41, 1.23
42, 0.69
43, 0.65
44, 0.82
45, 0.70
46, 0.82
47, 1.04
48, 0.82
49, 0.68
50, 1.10
51, 1.08
52, 0.30
53, 0.39
54, 0.71
55, 1.15
56, 1.16
57, 0.45
58, 0.69
59, 0.80
60, 0.78
61, 0.98
62, 1.16
63, 0.34
64, 0.43
65, 0.28
66, 0.86
67, 0.89
68, 1.08
69, 1.22
70, 0.99
71, 0.35
72, 0.61
73, 0.61
74, 0.59
75, 1.18
76, 0.75
77, 0.48
78, 0.37
79, 0.52
80, 0.34
81, 0.68
82, 1.26
83, 0.92
84, 1.04
85, 1.29
86, 0.45
87, 1.01
88, 0.34
89, 0.67
90, 1.09
91, 1.24
92, 1.02
93, 0.68
94, 0.92
95, 1.10
96, 1.11
97, 0.79
98, 0.67
99, 0.45
100, 0.60
101, 0.83
102, 0.92
103, 0.75
104, 0.77
105, 0.74
106, 1.22
107, 0.99
108, 0.70
109, 0.34
110, 0.43
111, 0.58
112, 1.10
113, 0.53
114, 0.81
115, 0.69
116, 1.52
117, 0.52
118, 1.60
119, 0.73
120, 1.58
121, 0.54
122, 1.10
123, 0.29
124, 0.88
125, 0.46
126, 0.94
127, 2.14
128, 1.12
129, 1.58
130, 0.85
131, 1.31
132, 0.88
133, 1.32
134, 0.48
135, 1.73
136, 0.88
137, 1.54
138, 0.78
139, 1.16
140, 0.44
141, 1.14
142, 0.68
143, 1.53
144, 0.48
145, 0.43
146, 1.39
147, 0.52
148, 1.43
149, 1.19
150, 1.34
151, 0.80
152, 1.12
153, 0.60
154, 1.22
155, 0.67
156, 1.06
157, 2.06
158, 0.94
159, 1.31
160, 0.60
161, 1.36
162, 0.74
163, 2.07
164, 0.76
165, 1.36
166, 0.81
167, 1.53
168, 2.81
169, 3.20
170, 2.72
171, 3.05
172, 2.50
173, 3.11
174, 2.13
175, 2.30
176, 2.18
177, 2.00
178, 1.53
179, 1.98
180, 1.58
181, 1.47
182, 1.89
183, 3.09
184, 1.40
185, 3.04
186, 3.13
187, 2.98
188, 1.75
189, 2.97
190, 1.38
191, 2.72
192, 2.06
193, 1.42
194, 2.10
195, 1.87
196, 2.01
197, 2.18
198, 2.08
199, 2.06
200, 1.26
201, 1.30
202, 1.73
203, 1.34
204, 1.83
205, 2.02
206, 1.80
207, 2.02
208, 1.90
209, 1.42
210, 1.44
211, 1.58
212, 1.37
213, 1.62
214, 2.10
215, 1.43
216, 1.24
217, 1.45
218, 1.86
219, 1.95
220, 1.71
221, 1.70
222, 2.23
223, 1.60
224, 1.45
225, 1.63
226, 1.74
227, 1.80
228, 1.47
229, 2.12
230, 1.90
231, 1.34
232, 1.92
233, 2.16
234, 1.28
235, 2.19
236, 1.45
237, 1.32
238, 1.27
239, 1.62
240, 1.70
241, 1.41
242, 1.28
243, 1.61
244, 2.13
245, 1.25
246, 1.52
247, 1.49
248, 1.64
249, 1.67
250, 1.20
251, 1.60
252, 2.14
253, 1.29
254, 1.35
255, 2.19
256, 1.84
257, 1.26
258, 2.17
259, 2.17
260, 1.83
261, 1.46
262, 1.51
263, 2.15
264, 1.50
265, 1.27
266, 2.05
267, 1.55
268, 1.87
269, 1.92
270, 1.29
271, 2.15
272, 1.68
273, 2.10
274, 1.48
275, 2.06
276, 1.20
277, 1.24
278, 1.59
279, 1.72
280, 1.38
281, 1.66
282, 1.98
283, 1.40
284, 1.58
285, 1.95
286, 1.29
287, 2.04
288, 1.99
289, 1.64
290, 1.47
291, 1.96
292, 1.89
293, 1.55
294, 1.56
295, 1.88
296, 1.23
297, 1.87
298, 1.46
299, 1.82
300, 1.90
301, 1.86
302, 1.29
303, 1.65
304, 1.25
305, 2.03
306, 1.70
307, 1.21
308, 1.50
309, 1.31
310, 1.51
311, 2.04
312, 1.98
313, 2.12
314, 1.56
315, 1.43
316, 1.76
317, 1.71
318, 1.65
319, 1.67
320, 2.15
321, 1.71
322, 2.04
323, 1.36
324, 1.67
325, 1.74
326, 1.29
327, 1.98
328, 1.62
329, 1.98
330, 1.24
331, 1.55
332, 1.33
333, 1.68
334, 2.15
335, 1.26
336, 1.56
337, 1.81
338, 1.32
339, 2.12
340, 1.40
341, 1.25
342, 2.00
343, 1.58
344, 1.85
345, 1.51
346, 1.46
347, 2.01
348, 1.26
349, 1.36
350, 1.97
351, 1.68
352, 1.65
353, 2.10
354, 1.44
355, 1.53
356, 2.16
357, 1.62
358, 2.16
359, 1.95
360, 1.40
361, 1.72
362, 1.95
363, 2.16
364, 2.11
365, 1.84
366, 1.24
367, 1.97
368, 1.71
369, 1.48
370, 1.40
371, 1.89
372, 1.39
373, 1.96
374, 1.90
375, 1.19
376, 1.72
377, 1.69
378, 2.05
379, 1.73
380, 1.34
381, 1.88
382, 1.50
383, 1.72
384, 1.38
385, 1.69
386, 1.70
387, 1.78
388, 1.63
389, 1.78
390, 1.20
391, 1.27
392, 1.43
393, 2.05
394, 1.60
395, 1.26
396, 1.92
397, 1.34
398, 1.58
399, 1.41
400, 2.02
401, 1.64
402, 2.04
403, 1.20
404, 1.60
405, 2.03
406, 1.37
407, 1.51
408, 1.80
409, 1.88
410, 1.87
411, 1.34
412, 1.96
413, 1.45
414, 1.42
415, 2.09
416, 1.23
417, 1.26
418, 1.42
419, 1.37
420, 1.75
421, 1.62
422, 1.85
423, 1.38
424, 1.82
425, 1.95
426, 1.64
427, 1.46
428, 1.35
429, 1.34
430, 1.54
431, 1.15
432, 1.40
433, 1.24
434, 1.25
435, 1.55
436, 1.33
437, 1.24
438, 1.88
439, 1.57
440, 1.60
441, 1.78
442, 2.12
443, 2.01
444, 1.39
445, 2.10
446, 1.71
447, 2.00
448, 1.74
449, 2.13
450, 1.22
451, 1.67
452, 2.00
453, 1.68
454, 1.88
455, 1.84
456, 1.46
457, 2.00
458, 1.92
459, 1.56
460, 1.21
461, 2.00
462, 1.60
463, 1.86
464, 1.95
465, 1.70
466, 1.42
467, 1.44
468, 1.61
469, 1.30
470, 2.07
471, 1.64
472, 2.00
473, 1.56
474, 1.93
475, 1.84
476, 1.72
477, 1.16
478, 1.22
479, 2.07
480, 1.78
481, 1.24
482, 1.51
483, 1.93
484, 1.68
485, 1.59
486, 1.71
487, 1.92
488, 1.76
489, 1.74
490, 1.68
491, 1.95
492, 1.74
493, 1.91
494, 1.24
495, 2.10
496, 1.68
497, 1.48
498, 1.80
499, 2.02
500, 1.50
501, 1.40
502, 1.22
503, 1.45
504, 1.57
505, 1.80
506, 1.33
507, 1.26
508, 1.87
509, 1.75
510, 1.62
511, 1.28
512, 1.18
513, 1.62
514, 1.24
515, 1.84
516, 1.80
517, 1.18
518, 2.10
519, 1.64
520, 1.64
521, 1.63
522, 1.41
523, 1.95
524, 1.15
525, 1.45
526, 1.16
527, 1.28
528, 2.06
529, 2.08
530, 1.92
531, 1.71
532, 1.18
533, 1.80
534, 1.68
535, 1.83
536, 1.74
537, 1.40
538, 1.61
539, 1.31
540, 1.86
541, 1.87
542, 1.71
543, 1.78
544, 1.99
545, 1.87
546, 2.09
547, 1.43
548, 1.57
549, 1.64
550, 2.04
551, 1.66
552, 2.06
553, 1.63
554, 1.23
555, 1.42
556, 1.62
557, 1.53
558, 1.74
559, 1.39
560, 1.28
561, 2.04
562, 2.06
563, 1.88
564, 1.14
565, 1.25
566, 1.35
567, 1.18
568, 1.92
569, 1.98
570, 1.34
571, 1.50
572, 1.32
573, 1.14
574, 1.39
575, 1.65
576, 1.93
577, 1.96
578, 1.97
579, 1.12
580, 1.67
581, 1.32
582, 1.58
583, 1.89
584, 1.45
585, 1.59
586, 1.89
587, 2.06
588, 1.21
589, 1.34
590, 1.22
591, 1.88
592, 1.30
593, 1.56
594, 1.19
595, 2.05
596, 1.84
597, 1.47
598, 1.15
599, 1.60
600, 2.03
601, 1.87
602, 1.70
603, 1.50
604, 1.80
605, 1.38
606, 1.76
607, 1.24
608, 1.52
609, 1.62
610, 1.91
611, 1.09
612, 1.71
613, 1.40
614, 1.88
615, 1.88
616, 1.66
617, 1.71
618, 1.18
619, 1.44
620, 1.47
621, 1.42
622, 1.68
623, 1.67
624, 1.58
625, 1.83
626, 1.31
627, 2.06
628, 1.94
629, 1.62
630, 1.92
631, 1.49
632, 1.26
633, 1.37
634, 1.15
635, 1.30
636, 1.10
637, 1.66
638, 1.83
639, 2.00
640, 1.75
641, 1.96
642, 1.42
643, 1.92
644, 1.98
645, 1.94
646, 1.76
647, 1.98
648, 1.72
649, 1.44
650, 1.74
651, 1.47
652, 1.15
653, 1.81
654, 1.40
655, 1.69
656, 1.62
657, 2.05
658, 1.14
659, 1.54
660, 1.71
661, 1.40
662, 1.82
663, 1.82
664, 1.20
665, 1.64
666, 2.02
667, 1.53
668, 1.18
669, 1.07
670, 1.15
671, 1.08
672, 1.97
673, 1.25
674, 1.75
675, 2.04
676, 1.51
677, 1.60
678, 1.61
679, 1.52
680, 1.55
681, 1.49
682, 1.37
683, 1.98
684, 1.71
685, 1.64
686, 2.05
687, 1.86
688, 1.81
689, 1.59
690, 1.15
691, 1.39
692, 1.79
693, 1.64
694, 1.72
695, 1.08
696, 1.80
697, 1.40
698, 1.72
699, 1.94
700, 1.30
701, 1.68
702, 1.51
703, 1.85
704, 1.33
705, 1.40
706, 1.88
707, 1.41
708, 1.11
709, 1.37
710, 1.44
711, 1.52
712, 1.64
713, 1.26
714, 1.83
715, 1.81
716, 1.78
717, 2.02
718, 1.10
719, 1.55
720, 1.50
721, 1.09
722, 1.44
723, 1.72
724, 1.74
725, 2.01
726, 1.64
727, 1.99
728, 1.83
729, 1.12
730, 1.93
731, 1.82
732, 1.08
733, 1.68
734, 1.60
735, 1.06
736, 1.96
737, 1.08
738, 1.95
739, 1.38
740, 2.01
741, 1.70
742, 1.95
743, 1.95
744, 1.70
745, 1.45
746, 1.88
747, 1.94
748, 1.10
749, 1.94
750, 1.45
751, 1.16
752, 1.68
753, 1.72
754, 1.79
755, 1.28
756, 1.12
757, 1.76
758, 1.92
759, 1.34
760, 1.17
761, 1.58
762, 1.66
763, 1.87
764, 1.53
765, 1.60
766, 1.24
767, 1.21
768, 1.10
769, 1.42
770, 1.15
771, 1.25
772, 1.10
773, 1.38
774, 1.00
775, 1.22
776, 1.16
777, 1.60
778, 1.30
779, 1.32
780, 1.92
781, 1.96
782, 2.01
783, 1.98
784, 1.20
785, 1.86
786, 1.91
787, 1.05
788, 1.54
789, 1.55
790, 1.65
791, 1.95
792, 1.13
793, 1.71
794, 1.75
795, 1.10
796, 1.04
797, 1.66
798, 1.03
799, 1.41
800, 1.15
801, 1.18
802, 1.47
803, 1.93
804, 1.86
805, 1.14
806, 1.78
807, 1.87
808, 1.00
809, 1.58
810, 1.89
811, 1.34
812, 1.38
813, 1.77
814, 1.74
815, 1.37
816, 1.32
817, 1.56
818, 1.31
819, 1.94
820, 1.81
821, 1.24
822, 1.92
823, 1.11
824, 1.66
