read, delay
1, 8.69
2, 1.89
3, 1.65
4, 1.74
5, 1.70
6, 1.22
7, 1.32
8, 1.76
9, 1.28
10, 2.01
11, 1.48
12, 1.39
13, 1.23
14, 1.58
15, 1.17
16, 2.02
17, 1.12
18, 1.53
19, 1.60
20, 1.49
21, 1.17
22, 1.85
23, 1.40
24, 1.13
25, 1.54
26, 1.64
27, 1.34
28, 1.50
29, 1.66
30, 1.55
31, 1.31
32, 1.28
33, 1.17
34, 1.12
35, 1.59
36, 1.47
37, 1.58
38, 1.26
39, 1.81
40, 1.32
41, 1.58
42, 1.62
43, 1.45
44, 1.22
45, 1.60
46, 1.84
47, 1.47
48, 1.93
49, 1.92
50, 1.45
51, 1.83
52, 1.05
53, 1.66
54, 1.42
55, 1.80
56, 1.88
57, 1.66
58, 1.32
59, 1.26
60, 1.24
61, 1.20
62, 1.87
63, 1.68
64, 1.83
65, 1.30
66, 1.51
67, 1.05
68, 1.19
69, 1.88
70, 1.98
71, 1.10
72, 1.38
73, 1.85
74, 1.29
75, 1.32
76, 1.41
77, 1.70
78, 1.85
79, 1.80
80, 1.55
81, 1.13
82, 1.46
83, 1.39
84, 1.80
85, 1.56
86, 1.26
87, 1.38
88, 1.57
89, 1.80
90, 1.76
91, 1.72
92, 1.48
93, 1.54
94, 1.41
95, 1.68
96, 1.28
97, 1.28
98, 1.68
99, 1.76
100, 1.58
101, 1.30
102, 1.05
103, 1.40
104, 1.73
105, 1.26
106, 1.34
107, 1.64
108, 1.98
109, 1.77
110, 1.07
111, 1.47
112, 1.92
113, 1.43
114, 1.10
115, 1.18
116, 1.96
117, 1.97
118, 1.60
119, 1.99
120, 1.23
121, 1.82
122, 1.71
123, 1.67
124, 1.78
125, 1.28
126, 1.38
127, 1.94
128, 1.14
129, 1.79
130, 1.67
131, 1.63
132, 1.04
133, 1.49
134, 1.18
135, 1.55
136, 1.10
137, 1.34
138, 1.81
139, 1.60
140, 1.45
141, 1.77
142, 1.62
143, 1.88
144, 1.31
145, 1.08
146, 1.27
147, 1.75
148, 1.67
149, 1.05
150, 1.78
151, 1.56
152, 1.26
153, 1.05
154, 1.06
155, 1.03
156, 1.24
157, 1.38
158, 1.66
159, 1.12
160, 1.31
161, 1.92
162, 1.91
163, 1.88
164, 1.03
165, 1.36
166, 1.78
167, 1.59
168, 1.49
169, 1.92
170, 1.48
171, 1.19
172, 1.34
173, 1.53
174, 1.43
175, 1.45
176, 1.65
177, 1.74
178, 1.29
179, 1.66
180, 1.10
181, 1.81
182, 1.35
183, 1.05
184, 1.94
185, 1.84
186, 1.50
187, 1.89
188, 1.08
189, 1.80
190, 0.99
191, 1.80
192, 1.54
193, 1.89
194, 1.68
195, 1.62
196, 1.42
197, 1.78
198, 1.73
199, 1.36
200, 1.40
201, 1.66
202, 1.71
203, 1.66
204, 0.96
205, 1.25
206, 1.93
207, 1.14
208, 1.83
209, 1.68
210, 1.48
211, 1.10
212, 1.68
213, 1.44
214, 1.92
215, 1.89
216, 1.57
217, 1.76
