read, delay
1, 1.72
2, 1.82
3, 1.87
4, 1.59
5, 1.22
6, 1.39
7, 1.64
8, 1.70
9, 1.64
10, 1.39
11, 1.13
12, 1.11
13, 1.77
14, 1.61
15, 1.24
16, 1.61
17, 1.74
18, 0.99
19, 1.62
20, 1.62
21, 1.44
22, 1.11
23, 1.39
24, 1.10
25, 1.60
26, 1.29
27, 1.54
28, 1.41
29, 0.91
30, 1.59
31, 1.86
32, 1.30
33, 1.68
34, 1.07
35, 0.99
36, 1.20
37, 1.33
38, 1.39
39, 1.56
40, 0.98
41, 0.98
42, 1.78
43, 1.34
44, 0.96
45, 1.32
46, 0.93
47, 1.50
48, 1.52
49, 1.00
50, 1.39
51, 1.30
52, 1.25
53, 0.87
54, 1.54
55, 1.52
56, 1.25
57, 1.18
58, 0.90
59, 1.28
60, 1.54
61, 1.64
62, 1.11
63, 1.00
64, 1.30
65, 1.70
66, 1.52
67, 1.54
68, 1.60
69, 0.92
70, 1.46
71, 1.60
72, 0.88
73, 1.27
74, 1.21
75, 0.98
76, 1.03
77, 1.74
78, 1.87
79, 1.11
80, 1.35
81, 1.60
82, 1.42
83, 1.56
84, 1.26
85, 1.08
86, 1.06
87, 1.77
88, 1.14
89, 1.24
90, 1.57
91, 1.08
92, 1.08
93, 1.07
94, 1.76
95, 1.42
96, 1.12
97, 1.40
98, 1.69
99, 1.30
100, 1.14
101, 0.87
102, 1.73
103, 1.08
104, 1.80
105, 0.91
106, 0.86
107, 1.78
108, 1.74
109, 1.80
110, 1.81
111, 1.28
112, 1.33
113, 1.55
114, 1.74
115, 1.78
116, 1.03
117, 0.96
118, 1.19
119, 1.67
120, 1.67
121, 0.94
122, 1.11
123, 0.89
124, 1.75
125, 1.04
126, 1.73
127, 1.24
128, 1.08
129, 1.43
130, 1.65
131, 1.71
132, 1.34
133, 1.03
134, 1.21
135, 1.74
136, 1.32
137, 1.20
138, 1.28
139, 1.75
140, 0.89
141, 0.97
142, 1.35
143, 1.58
144, 0.83
145, 1.78
146, 1.34
147, 1.14
148, 1.02
149, 1.54
150, 1.66
151, 0.86
152, 1.83
153, 1.20
154, 1.23
155, 1.35
156, 0.96
157, 1.78
158, 1.62
159, 1.52
160, 1.36
161, 1.38
162, 1.26
163, 1.06
164, 1.82
165, 1.67
166, 1.12
167, 1.06
168, 1.55
169, 1.42
170, 1.19
171, 1.11
172, 1.68
173, 0.93
174, 1.82
175, 1.23
176, 1.74
177, 0.85
178, 1.12
179, 1.09
180, 1.23
181, 1.41
182, 1.36
183, 1.37
184, 1.38
185, 1.48
186, 1.02
187, 1.66
188, 1.38
189, 1.22
190, 1.69
191, 1.74
192, 1.54
193, 1.22
194, 1.66
195, 1.42
196, 1.14
197, 1.60
198, 1.05
199, 1.24
200, 1.05
201, 1.50
202, 1.67
203, 1.26
204, 1.04
205, 1.68
206, 0.92
207, 1.24
208, 1.76
209, 1.60
210, 1.09
211, 1.36
212, 1.65
213, 1.69
214, 0.88
215, 1.35
216, 1.45
217, 0.97
218, 1.77
219, 1.45
220, 0.98
221, 1.01
222, 0.96
223, 0.92
224, 0.96
225, 1.35
226, 1.06
227, 1.74
228, 1.80
229, 1.40
230, 1.72
231, 1.11
232, 1.06
233, 1.15
234, 0.82
235, 1.41
236, 1.14
237, 1.22
238, 1.26
239, 0.87
240, 1.53
241, 0.90
242, 1.23
243, 0.83
244, 1.15
245, 1.44
246, 1.14
247, 1.41
248, 1.50
249, 1.01
250, 1.00
251, 1.29
252, 1.40
253, 1.17
254, 1.18
255, 1.01
256, 1.40
257, 1.05
258, 1.02
259, 1.52
260, 1.40
261, 1.72
262, 1.24
263, 1.71
264, 1.00
265, 1.36
266, 1.33
267, 1.04
268, 1.12
269, 1.56
270, 1.13
271, 1.42
272, 1.25
273, 1.52
274, 0.99
275, 1.06
276, 0.94
277, 0.88
278, 1.40
279, 1.50
280, 1.42
281, 1.04
282, 1.20
283, 0.98
284, 1.68
285, 1.16
286, 1.46
287, 1.53
288, 1.10
289, 0.91
290, 1.61
291, 0.88
292, 1.25
293, 1.04
294, 1.24
295, 1.01
296, 1.38
297, 1.61
298, 1.08
299, 1.40
300, 1.28
301, 0.98
302, 1.62
303, 1.02
304, 1.04
305, 0.98
306, 1.18
307, 0.98
308, 1.09
309, 1.06
310, 0.96
311, 0.80
312, 1.79
313, 1.71
314, 1.44
315, 1.15
316, 1.40
317, 0.83
318, 1.35
319, 0.91
320, 1.21
321, 1.80
322, 1.40
323, 1.29
324, 1.09
325, 1.48
326, 1.72
327, 1.56
328, 1.44
329, 0.92
330, 1.22
331, 1.19
332, 1.38
333, 1.24
334, 0.78
335, 0.96
336, 1.26
337, 1.70
338, 1.34
339, 1.60
340, 1.64
341, 1.54
342, 0.82
343, 0.83
344, 0.94
345, 1.28
346, 1.46
347, 1.33
348, 1.18
349, 1.13
350, 1.20
351, 0.82
352, 1.51
353, 1.17
354, 1.56
355, 1.75
356, 1.24
357, 1.73
358, 1.37
359, 1.47
360, 1.09
361, 1.59
362, 1.46
363, 1.24
364, 1.19
365, 1.64
366, 1.49
367, 1.48
368, 1.09
369, 1.42
370, 1.71
371, 1.24
372, 0.86
373, 1.11
374, 0.82
375, 1.41
376, 1.32
377, 1.61
378, 1.60
379, 1.59
380, 1.71
381, 1.72
382, 1.29
383, 1.36
384, 1.07
385, 1.57
386, 0.92
387, 0.96
388, 0.82
389, 0.98
390, 0.99
391, 1.30
392, 1.22
393, 1.44
394, 1.54
395, 1.50
396, 1.61
397, 0.94
398, 1.63
399, 1.08
400, 1.58
401, 1.41
402, 1.08
403, 0.89
404, 1.19
405, 1.16
406, 1.31
407, 1.12
408, 0.79
409, 0.84
410, 1.33
411, 1.50
412, 0.96
413, 1.48
414, 1.12
415, 1.42
416, 1.62
417, 1.27
418, 1.09
419, 1.37
420, 1.08
421, 1.18
422, 0.92
423, 1.24
424, 1.49
425, 1.43
426, 1.46
427, 1.18
428, 1.06
429, 1.60
430, 1.16
431, 1.17
432, 1.41
433, 1.47
434, 1.12
435, 1.32
436, 1.31
437, 1.28
438, 1.69
439, 1.75
440, 1.13
441, 0.92
442, 1.07
443, 0.96
444, 1.07
445, 0.94
446, 1.40
447, 0.94
448, 1.38
449, 1.21
450, 0.88
451, 1.25
452, 1.58
453, 1.25
454, 1.29
455, 1.75
456, 1.43
457, 1.26
458, 1.28
459, 1.27
460, 0.89
461, 0.84
462, 1.72
463, 1.28
464, 1.28
465, 1.00
466, 1.18
467, 1.45
468, 1.19
469, 1.33
470, 1.44
471, 1.45
472, 1.29
473, 1.40
474, 0.90
475, 1.55
476, 0.96
477, 1.67
478, 1.61
479, 1.53
480, 1.25
481, 0.88
482, 1.52
483, 0.86
484, 1.67
485, 1.36
486, 1.08
487, 0.76
488, 0.83
489, 0.87
490, 1.19
491, 1.71
492, 1.15
493, 1.01
494, 1.18
495, 0.85
496, 1.55
497, 1.43
498, 1.58
499, 0.76
500, 1.00
501, 1.06
502, 1.13
503, 1.23
504, 1.52
505, 1.17
506, 0.96
507, 0.79
508, 1.08
509, 1.41
510, 1.06
511, 0.86
512, 0.84
513, 1.63
514, 0.84
515, 0.89
516, 1.23
517, 0.84
518, 0.78
519, 1.53
520, 1.54
521, 1.70
522, 1.61
523, 1.62
524, 1.12
525, 1.35
526, 1.12
527, 0.81
528, 1.13
529, 1.22
530, 1.45
