read, delay
1, 1.14
2, 1.04
3, 1.56
4, 1.09
5, 1.80
6, 1.23
7, 1.54
8, 1.17
9, 1.20
10, 1.37
11, 1.77
12, 1.33
13, 1.35
14, 1.12
15, 1.62
16, 1.16
17, 1.41
18, 0.94
19, 1.46
20, 1.14
21, 1.32
22, 1.26
23, 1.33
24, 1.51
25, 1.43
26, 1.40
27, 1.53
28, 1.76
29, 1.74
30, 1.33
31, 1.09
32, 0.96
33, 1.73
34, 1.63
35, 1.60
36, 0.92
37, 1.92
38, 1.74
39, 1.59
40, 1.24
41, 1.01
42, 0.95
43, 1.19
44, 1.16
45, 1.54
46, 0.99
47, 1.30
48, 1.88
49, 1.17
50, 1.60
51, 1.76
52, 1.04
53, 1.88
54, 1.54
55, 1.25
56, 1.08
57, 1.42
58, 1.62
59, 1.21
60, 1.26
61, 1.08
62, 1.28
63, 1.69
64, 1.25
65, 1.31
66, 1.19
67, 1.34
68, 1.80
69, 1.21
70, 1.26
71, 1.55
72, 1.88
73, 0.97
74, 1.64
75, 1.38
76, 1.06
77, 0.92
78, 1.20
79, 1.10
80, 1.67
81, 1.50
82, 1.67
83, 1.77
84, 1.09
85, 1.84
86, 1.67
87, 1.53
88, 1.41
89, 1.85
90, 1.82
91, 1.49
92, 1.17
93, 1.41
94, 1.58
95, 1.02
96, 1.85
97, 1.19
98, 1.56
99, 1.29
100, 1.39
101, 1.06
102, 1.48
103, 1.21
104, 1.75
105, 1.48
106, 1.76
107, 1.68
108, 1.68
109, 1.43
110, 0.88
111, 1.79
112, 1.44
113, 1.45
114, 1.50
115, 0.99
116, 1.08
117, 1.69
118, 1.69
119, 0.94
120, 1.69
121, 0.89
122, 1.46
123, 1.30
124, 1.17
125, 1.55
126, 1.21
127, 1.22
128, 1.46
129, 1.83
130, 1.78
131, 1.15
132, 0.90
133, 0.99
134, 1.12
135, 1.09
136, 1.76
137, 1.10
138, 1.68
139, 0.95
140, 1.16
141, 1.06
142, 1.85
143, 1.05
144, 1.38
145, 1.40
146, 1.05
147, 1.59
148, 0.95
149, 1.20
150, 1.01
151, 1.38
152, 1.87
153, 1.24
154, 1.08
155, 1.76
156, 1.56
157, 1.67
158, 1.73
159, 1.46
160, 1.52
161, 1.12
162, 1.32
163, 0.98
164, 1.72
165, 1.15
166, 1.55
167, 1.76
168, 1.31
169, 1.77
170, 1.81
171, 1.20
172, 1.82
173, 1.42
174, 1.50
175, 1.18
176, 1.32
177, 1.02
178, 1.28
179, 1.15
180, 1.32
181, 1.62
182, 1.82
183, 1.53
184, 1.82
185, 0.88
186, 1.00
187, 1.76
188, 0.84
189, 1.14
190, 0.94
191, 1.62
192, 1.50
193, 0.88
194, 1.20
195, 1.19
196, 0.95
197, 1.66
198, 1.39
199, 0.92
200, 1.38
201, 1.08
202, 1.06
203, 1.72
204, 1.28
205, 1.80
206, 0.88
207, 1.07
208, 1.11
209, 1.54
210, 1.01
211, 0.93
212, 1.45
213, 1.22
214, 1.39
215, 1.68
216, 1.83
217, 0.96
218, 1.22
219, 1.72
220, 1.44
221, 1.64
222, 1.50
223, 0.92
224, 1.35
225, 1.08
226, 1.44
227, 1.04
228, 1.21
229, 1.10
230, 1.05
231, 1.34
232, 0.93
233, 1.34
234, 0.89
235, 1.78
236, 1.80
237, 1.53
238, 0.94
239, 1.63
240, 1.04
241, 1.28
242, 1.34
243, 1.39
244, 1.23
245, 0.84
246, 1.48
247, 1.31
248, 0.96
249, 1.34
250, 1.43
251, 1.49
252, 0.94
253, 1.40
254, 0.86
255, 0.93
256, 1.64
257, 1.05
258, 1.66
259, 1.43
260, 1.12
261, 1.34
262, 0.85
263, 0.82
264, 0.96
265, 1.52
266, 1.80
267, 1.54
268, 1.53
269, 1.46
270, 0.95
271, 1.19
272, 1.78
273, 1.30
274, 0.86
275, 1.67
276, 1.68
277, 1.08
278, 1.67
279, 1.51
280, 1.21
281, 1.72
282, 1.27
283, 1.85
284, 1.44
285, 1.54
286, 1.10
287, 1.42
288, 1.61
289, 0.85
290, 1.18
291, 1.45
292, 0.92
293, 1.66
294, 1.29
295, 1.13
296, 1.13
297, 1.03
298, 1.65
299, 1.62
300, 1.46
301, 1.10
302, 1.73
303, 0.82
304, 1.13
305, 1.31
306, 1.02
307, 1.66
308, 1.18
309, 1.39
310, 1.34
311, 1.03
312, 1.72
313, 1.30
314, 0.83
315, 0.99
316, 1.32
317, 0.86
318, 1.79
319, 1.47
320, 1.40
321, 1.11
322, 1.39
323, 1.64
324, 1.14
325, 0.83
326, 0.83
327, 1.72
328, 1.10
329, 1.38
330, 1.10
331, 1.34
332, 1.26
333, 0.98
334, 0.97
335, 1.27
336, 1.20
337, 1.32
338, 1.05
339, 1.27
340, 1.18
341, 1.18
342, 1.25
343, 1.36
344, 1.45
345, 0.91
346, 1.78
347, 1.06
348, 1.60
349, 1.42
350, 1.64
351, 1.44
352, 0.92
353, 0.92
354, 1.06
355, 1.30
356, 1.58
357, 0.94
358, 1.32
359, 1.54
360, 1.54
361, 1.62
362, 1.41
363, 1.49
364, 1.13
365, 0.93
366, 1.77
367, 0.83
368, 1.53
369, 1.11
370, 1.16
371, 1.28
372, 1.11
373, 1.38
374, 1.67
375, 1.22
376, 1.26
377, 1.14
378, 1.62
379, 0.81
380, 1.42
381, 0.98
382, 1.63
383, 0.82
384, 1.05
385, 1.62
386, 1.67
387, 1.78
388, 1.42
389, 0.96
390, 0.96
391, 1.07
392, 1.22
393, 1.23
394, 1.21
395, 1.36
396, 1.64
397, 1.08
398, 1.14
399, 1.47
400, 0.84
401, 1.12
402, 0.88
403, 0.82
404, 1.52
405, 1.02
406, 1.61
407, 1.73
408, 1.30
409, 1.75
410, 1.76
411, 1.44
412, 1.39
413, 1.04
414, 1.14
415, 1.70
416, 1.25
417, 1.46
418, 1.71
419, 1.56
420, 1.45
421, 0.79
422, 1.16
423, 1.32
424, 0.99
425, 1.35
426, 1.30
427, 1.76
428, 1.35
429, 1.63
430, 0.80
431, 1.00
432, 1.44
433, 1.43
434, 1.61
435, 0.78
436, 1.02
437, 0.81
438, 0.90
439, 1.65
440, 1.48
441, 1.54
442, 1.25
443, 1.12
444, 1.32
445, 0.75
446, 0.98
447, 1.24
448, 1.33
449, 1.15
450, 0.89
451, 1.43
452, 0.94
453, 0.90
454, 1.01
455, 0.83
456, 1.45
457, 1.20
458, 1.30
459, 0.81
460, 0.87
461, 0.82
462, 0.76
463, 1.60
464, 0.86
465, 0.99
466, 0.94
467, 1.00
468, 1.20
469, 0.96
470, 1.24
471, 1.29
472, 1.25
473, 1.05
474, 0.92
475, 0.96
476, 1.55
477, 1.32
478, 1.18
479, 1.01
480, 1.08
481, 0.85
482, 1.05
483, 1.68
484, 1.58
485, 1.42
486, 1.68
487, 0.84
488, 1.10
489, 1.04
490, 1.22
491, 1.37
492, 1.42
493, 0.95
494, 1.30
495, 1.21
496, 1.19
497, 1.50
498, 1.73
499, 1.51
500, 1.70
501, 0.86
502, 1.18
503, 1.01
504, 1.20
505, 1.06
506, 0.87
507, 1.30
508, 1.34
509, 1.55
510, 0.88
511, 0.86
512, 1.10
513, 1.70
514, 1.10
515, 0.83
516, 0.81
517, 1.52
518, 1.32
519, 1.19
520, 1.12
521, 0.74
522, 1.21
523, 0.97
524, 1.31
525, 0.92
526, 1.41
527, 1.32
528, 1.70
529, 1.68
530, 1.04
531, 1.24
532, 1.02
533, 0.76
534, 1.26
535, 1.15
536, 1.09
537, 0.82
538, 1.62
539, 1.22
540, 1.34
541, 0.82
542, 0.85
543, 1.17
544, 0.74
545, 1.45
546, 1.41
547, 1.67
548, 0.90
549, 1.64
550, 0.70
551, 1.28
552, 1.16
553, 1.69
554, 1.50
555, 1.50
556, 1.40
557, 1.63
558, 1.01
559, 1.59
560, 1.53
561, 1.16
562, 0.74
563, 1.59
564, 1.38
565, 1.17
566, 1.63
567, 1.26
568, 0.84
569, 0.92
570, 1.48
571, 1.48
572, 1.01
573, 1.40
574, 1.03
575, 0.90
576, 1.43
577, 1.28
578, 1.22
579, 0.84
580, 1.12
581, 1.66
582, 1.34
583, 1.64
584, 0.89
585, 1.53
586, 1.32
587, 0.90
588, 1.44
589, 0.94
590, 0.75
591, 1.04
592, 0.80
593, 0.72
594, 0.92
595, 1.10
596, 0.74
597, 1.38
598, 1.52
599, 1.38
600, 0.93
601, 1.56
602, 1.63
603, 0.73
604, 1.54
605, 0.87
606, 0.84
607, 1.17
608, 1.07
609, 1.52
610, 0.81
611, 0.91
612, 1.58
613, 1.51
614, 1.11
615, 0.76
616, 1.36
617, 1.49
618, 1.44
619, 0.73
620, 1.66
621, 1.10
622, 0.82
623, 1.48
624, 1.04
625, 0.88
626, 1.08
627, 0.99
628, 1.39
629, 1.09
630, 1.00
631, 0.83
632, 1.13
633, 1.06
634, 1.32
635, 1.04
636, 0.94
637, 1.62
638, 1.49
639, 0.86
640, 1.24
641, 1.08
642, 1.61
643, 1.40
644, 1.56
645, 1.21
646, 0.77
647, 1.65
648, 1.59
649, 1.41
650, 0.80
651, 1.26
652, 0.75
653, 1.16
654, 0.94
655, 0.83
656, 0.92
657, 0.89
658, 0.77
659, 1.59
660, 1.10
661, 0.82
662, 1.08
663, 1.42
664, 1.30
665, 0.78
666, 1.21
667, 0.69
668, 0.89
669, 0.69
670, 1.46
671, 1.01
672, 1.23
673, 0.73
674, 0.69
675, 1.58
676, 1.16
677, 0.81
678, 0.79
679, 0.77
680, 1.64
681, 0.85
682, 1.10
683, 0.69
684, 1.39
685, 1.21
686, 0.92
687, 0.72
688, 1.39
689, 1.38
690, 1.50
691, 0.75
692, 1.08
693, 1.43
694, 0.90
695, 1.44
696, 1.54
697, 1.38
698, 1.34
699, 0.97
