read, delay
1, 1.88
2, 1.38
3, 1.58
4, 2.00
5, 1.54
6, 1.89
7, 1.44
8, 1.51
9, 1.34
10, 1.75
11, 1.32
12, 1.97
13, 3.18
14, 1.49
15, 2.51
16, 2.79
17, 2.53
18, 1.25
19, 2.38
20, 2.60
21, 2.36
22, 2.58
23, 2.11
24, 2.50
25, 2.02
26, 2.54
27, 2.20
28, 2.42
29, 2.04
30, 2.75
31, 1.87
32, 1.77
33, 1.80
34, 2.88
35, 2.97
36, 2.12
37, 2.66
38, 1.90
39, 2.17
40, 2.05
41, 2.20
42, 1.63
43, 2.17
44, 2.06
45, 1.48
46, 1.41
47, 1.62
48, 1.32
49, 1.31
50, 1.47
51, 1.50
52, 1.33
53, 1.52
54, 1.42
55, 1.66
56, 2.21
57, 1.30
58, 2.00
59, 1.72
60, 1.73
61, 1.39
62, 1.74
63, 1.29
64, 1.31
65, 2.24
66, 1.85
67, 2.09
68, 1.98
69, 1.34
70, 2.01
71, 1.60
72, 1.88
73, 1.65
74, 1.54
75, 1.59
76, 1.82
77, 2.02
78, 1.89
79, 2.18
80, 1.79
81, 1.47
82, 2.20
83, 2.04
84, 1.26
85, 2.11
86, 1.23
87, 2.16
88, 2.19
89, 1.56
90, 2.15
91, 1.66
92, 1.62
93, 1.51
94, 1.27
95, 1.34
96, 2.06
97, 1.73
98, 1.59
99, 2.15
100, 1.24
101, 2.09
102, 1.47
103, 1.31
104, 1.84
105, 1.54
106, 1.66
107, 2.12
108, 2.12
109, 1.59
110, 1.93
111, 1.80
112, 2.09
113, 2.13
114, 1.73
115, 1.64
116, 1.72
117, 1.69
118, 1.22
119, 1.73
120, 1.86
121, 2.00
122, 1.94
123, 1.82
124, 1.45
125, 1.59
126, 1.80
127, 2.02
128, 1.95
129, 2.11
130, 1.42
131, 1.70
132, 1.56
133, 1.35
134, 1.80
135, 1.63
136, 1.83
137, 1.38
138, 2.00
139, 1.79
140, 2.00
141, 1.76
142, 1.72
143, 2.03
144, 2.07
145, 1.79
146, 2.16
147, 1.79
148, 1.32
149, 1.64
150, 2.05
151, 1.86
152, 1.49
153, 1.62
154, 1.72
155, 1.70
156, 1.82
157, 1.61
158, 1.26
159, 1.46
160, 1.79
161, 1.76
162, 2.06
163, 1.26
164, 1.80
165, 2.04
166, 1.24
167, 2.18
168, 1.33
169, 2.00
170, 1.21
171, 1.42
172, 1.72
173, 1.80
174, 1.41
175, 1.93
176, 1.54
177, 1.66
178, 1.42
179, 1.54
180, 1.34
181, 2.12
182, 2.19
183, 1.47
184, 2.02
185, 2.03
186, 1.56
187, 1.43
188, 1.28
189, 1.45
190, 1.46
191, 1.40
192, 2.02
193, 1.58
194, 1.50
195, 1.90
196, 1.80
197, 1.26
198, 1.40
199, 1.46
200, 1.99
201, 1.69
202, 1.58
203, 1.95
204, 1.88
205, 1.74
206, 1.91
207, 1.90
208, 1.53
209, 1.76
210, 1.89
211, 1.34
212, 1.24
213, 1.62
214, 1.94
215, 1.85
216, 2.08
217, 1.36
218, 1.36
219, 2.14
220, 1.64
221, 1.92
222, 1.74
223, 2.09
224, 1.32
225, 1.90
226, 1.92
227, 1.72
228, 2.14
229, 1.72
230, 1.44
231, 1.50
232, 1.42
233, 1.26
234, 2.08
235, 1.97
236, 1.66
237, 1.58
238, 1.53
239, 1.20
240, 1.64
241, 1.78
242, 1.86
243, 1.60
244, 1.41
245, 1.25
246, 1.90
247, 1.52
248, 1.37
249, 2.04
250, 2.02
251, 2.07
252, 2.00
253, 2.07
254, 1.74
255, 1.95
256, 2.04
257, 1.94
258, 1.22
259, 2.08
260, 1.88
261, 2.10
262, 1.96
263, 1.42
264, 2.02
265, 1.76
266, 1.48
267, 1.22
268, 2.10
269, 1.30
270, 1.78
271, 1.64
272, 1.34
273, 1.38
274, 1.16
275, 1.92
276, 2.12
277, 1.45
278, 1.84
279, 1.77
280, 1.23
281, 2.14
282, 1.51
283, 1.88
284, 1.83
285, 1.44
286, 1.83
287, 1.35
288, 1.51
289, 2.06
290, 1.24
291, 2.10
292, 1.65
293, 2.11
294, 1.74
295, 2.09
296, 2.02
297, 1.87
298, 1.76
299, 1.76
300, 1.91
301, 1.36
302, 1.25
303, 1.47
304, 1.18
305, 1.35
306, 1.85
307, 1.15
308, 2.01
309, 1.87
310, 1.98
311, 2.05
312, 1.34
313, 1.25
314, 1.30
315, 1.28
316, 1.16
317, 1.65
318, 1.36
319, 2.03
320, 1.29
321, 1.64
322, 1.90
323, 1.18
324, 1.48
325, 1.32
326, 1.42
327, 1.90
328, 1.61
329, 1.98
330, 1.58
331, 2.13
332, 1.58
333, 1.53
334, 1.97
335, 1.71
336, 1.54
337, 1.68
338, 1.76
339, 1.38
340, 1.42
341, 1.62
342, 1.24
343, 1.64
344, 1.88
345, 1.88
346, 1.35
347, 1.82
348, 1.23
349, 1.48
350, 1.53
351, 1.77
352, 2.08
353, 2.07
354, 1.83
355, 1.61
356, 1.33
357, 1.74
358, 2.01
359, 1.81
360, 1.19
361, 1.70
362, 1.42
363, 2.06
364, 2.10
365, 2.07
366, 1.39
367, 1.80
368, 1.61
369, 1.31
370, 1.19
371, 1.28
372, 2.02
