read, delay
1, 6.28
2, 1.19
3, 1.26
4, 1.32
5, 2.75
6, 1.62
7, 1.49
8, 1.42
9, 0.72
10, 1.34
11, 1.42
12, 1.05
13, 1.18
14, 1.36
15, 1.67
16, 1.05
17, 1.15
18, 1.16
19, 1.55
20, 1.54
21, 1.53
22, 1.60
23, 0.53
24, 0.84
25, 1.30
26, 0.84
27, 1.56
28, 1.26
29, 1.84
30, 2.05
31, 1.85
32, 1.66
33, 2.31
34, 1.21
35, 1.46
36, 1.35
37, 0.81
38, 1.26
39, 1.29
40, 1.25
41, 1.57
42, 0.86
43, 0.68
44, 0.82
45, 0.85
46, 1.61
47, 1.98
48, 1.39
49, 1.57
50, 2.20
51, 1.20
52, 1.47
53, 1.72
54, 1.16
55, 1.19
56, 2.03
57, 2.04
58, 2.02
59, 1.44
60, 1.42
61, 1.40
62, 1.66
63, 1.35
64, 1.07
65, 1.42
66, 2.05
67, 0.95
68, 1.09
69, 1.23
70, 1.54
71, 1.86
72, 1.24
73, 1.70
74, 2.04
75, 1.02
76, 1.38
77, 0.70
78, 1.61
79, 1.83
80, 2.07
81, 1.38
82, 1.42
83, 0.98
84, 0.84
85, 1.42
86, 1.39
87, 1.18
88, 1.48
89, 1.45
90, 1.93
91, 1.70
92, 1.33
93, 1.91
94, 1.34
95, 1.13
96, 1.01
97, 0.94
98, 1.68
99, 1.32
100, 1.52
101, 1.40
102, 1.79
103, 0.88
104, 1.52
105, 1.42
106, 0.99
107, 1.95
108, 1.38
109, 1.52
110, 1.60
111, 1.35
112, 0.63
113, 1.45
114, 1.71
115, 0.92
116, 2.01
117, 1.41
118, 1.24
119, 1.43
120, 2.12
121, 0.59
122, 0.98
123, 0.77
124, 1.13
125, 1.00
126, 1.90
127, 2.02
128, 1.92
129, 1.28
130, 0.82
131, 1.24
132, 1.17
133, 1.10
134, 1.16
135, 2.02
136, 2.09
137, 1.82
138, 0.69
139, 1.14
140, 1.26
141, 1.14
142, 1.40
143, 1.86
144, 1.53
145, 1.89
146, 2.31
147, 1.46
148, 0.86
149, 1.62
150, 1.05
151, 1.67
152, 1.28
153, 1.29
154, 1.44
155, 1.83
156, 0.75
157, 1.50
158, 0.95
159, 1.84
160, 1.79
161, 2.14
162, 1.42
163, 1.77
164, 1.32
165, 0.93
166, 0.94
167, 1.45
168, 1.45
169, 1.78
170, 1.64
171, 1.39
172, 1.55
173, 1.19
174, 1.28
175, 1.42
176, 1.69
177, 1.76
178, 2.04
179, 1.89
180, 1.34
181, 1.39
182, 2.05
183, 1.41
184, 1.66
185, 1.87
186, 1.42
187, 1.55
188, 1.45
189, 1.38
190, 1.27
191, 1.11
192, 1.12
193, 1.60
194, 1.47
195, 2.07
196, 2.26
197, 0.75
198, 2.42
199, 1.24
200, 0.71
201, 1.23
202, 1.82
203, 1.00
204, 1.54
205, 1.85
206, 1.78
207, 2.38
208, 0.73
209, 1.22
210, 1.12
211, 1.09
212, 1.33
213, 2.07
214, 1.54
215, 1.46
216, 0.76
217, 1.70
218, 1.39
219, 1.64
220, 1.66
221, 1.95
222, 2.04
223, 2.26
224, 0.59
225, 1.08
