read, delay
1, 4.54
2, 0.87
3, 1.61
4, 1.21
5, 1.51
6, 1.81
7, 0.81
8, 1.33
9, 0.90
10, 1.12
11, 1.11
12, 1.71
13, 1.62
14, 1.44
15, 2.16
16, 1.72
17, 1.20
18, 0.83
19, 1.01
20, 1.49
21, 1.40
22, 1.26
23, 1.60
24, 1.82
25, 1.00
26, 1.16
27, 1.06
28, 1.70
29, 1.34
30, 1.05
31, 1.44
32, 1.54
33, 0.58
34, 1.04
35, 0.98
36, 1.34
37, 1.21
38, 1.82
39, 1.22
40, 1.16
41, 1.85
42, 1.87
43, 0.94
44, 0.81
45, 1.58
46, 1.17
47, 1.48
48, 1.28
49, 2.07
50, 1.61
51, 1.73
52, 1.26
53, 1.52
54, 0.79
55, 1.43
56, 1.74
57, 1.94
58, 1.96
59, 1.50
60, 2.03
61, 0.94
62, 1.24
63, 0.73
64, 1.54
65, 1.17
66, 1.47
67, 2.03
68, 1.40
69, 1.33
70, 0.82
71, 0.73
72, 1.11
73, 1.49
74, 1.67
75, 1.94
76, 2.16
77, 1.89
78, 1.34
79, 1.02
80, 1.21
81, 0.76
82, 0.98
83, 1.04
84, 2.00
85, 1.68
86, 1.34
87, 0.69
88, 0.76
89, 1.41
90, 1.72
91, 1.85
92, 1.93
93, 1.86
94, 1.55
95, 0.44
96, 0.91
97, 1.13
98, 0.90
99, 1.37
100, 1.65
101, 1.83
102, 1.28
103, 1.45
104, 0.87
105, 1.24
106, 1.04
107, 0.92
108, 1.64
109, 1.88
110, 1.50
111, 1.66
112, 1.22
113, 0.86
114, 1.30
115, 1.06
116, 0.98
117, 1.09
118, 1.30
119, 2.03
120, 2.06
121, 1.20
122, 1.22
123, 1.00
124, 1.46
125, 1.76
126, 1.59
127, 1.06
128, 1.41
129, 1.97
130, 0.87
131, 0.90
132, 1.25
133, 1.21
134, 0.97
135, 1.32
136, 1.20
137, 2.14
138, 1.31
139, 1.01
140, 1.06
141, 1.59
142, 1.59
143, 1.45
144, 1.74
145, 2.00
146, 1.11
147, 1.21
148, 1.23
149, 1.50
150, 1.80
151, 1.56
152, 1.60
153, 2.09
154, 1.24
155, 1.70
156, 1.28
157, 1.34
158, 1.63
159, 1.26
160, 1.34
161, 1.17
162, 1.58
163, 1.38
164, 1.80
165, 1.15
166, 1.05
167, 0.90
168, 1.57
169, 1.14
170, 0.82
171, 1.78
172, 1.55
173, 1.68
174, 1.42
175, 0.94
176, 1.12
177, 1.13
178, 1.47
179, 1.37
180, 1.05
181, 2.10
182, 1.26
183, 1.36
184, 0.77
185, 1.14
186, 1.52
187, 1.32
188, 1.65
189, 1.56
190, 1.79
191, 0.92
192, 1.19
193, 1.00
194, 0.87
195, 1.31
196, 1.22
197, 2.11
198, 2.14
199, 1.37
200, 1.35
201, 1.29
202, 1.08
203, 1.58
204, 1.34
205, 1.29
206, 1.60
207, 0.50
208, 0.96
209, 0.76
210, 1.17
211, 1.43
212, 1.20
213, 1.25
214, 1.63
215, 2.14
216, 1.13
217, 0.80
218, 1.46
219, 0.80
220, 1.26
221, 0.94
222, 1.97
223, 1.31
224, 1.40
225, 1.30
226, 0.91
227, 1.48
228, 1.28
229, 1.51
230, 1.58
231, 1.60
232, 1.36
233, 2.10
234, 1.27
235, 1.08
236, 1.19
237, 1.46
238, 0.93
239, 1.46
240, 1.96
241, 1.20
242, 1.28
243, 0.63
244, 1.37
245, 0.92
246, 0.68
247, 0.84
248, 1.04
249, 2.00
250, 2.14
251, 1.16
252, 1.89
253, 1.41
254, 0.80
255, 0.88
256, 1.55
257, 1.64
258, 1.10
259, 1.97
260, 1.28
261, 1.46
262, 1.09
263, 1.24
264, 1.65
265, 1.40
266, 1.25
267, 1.21
268, 1.42
