read, delay
1, 1.22
2, 1.01
3, 1.69
4, 1.38
5, 1.05
6, 2.04
7, 1.73
8, 1.88
9, 1.10
10, 1.35
11, 0.78
12, 1.05
13, 1.13
14, 1.72
15, 1.91
16, 1.26
17, 1.12
18, 1.11
19, 1.38
20, 1.63
21, 1.24
22, 1.45
23, 1.72
24, 1.29
25, 1.90
26, 1.26
27, 1.48
28, 1.20
29, 1.67
30, 0.97
31, 1.48
32, 1.62
33, 1.31
34, 2.28
35, 0.98
36, 1.43
37, 1.12
38, 1.45
39, 1.43
40, 1.57
41, 1.28
42, 2.05
43, 1.84
44, 1.50
45, 1.19
46, 1.11
47, 0.65
48, 1.08
49, 1.71
50, 1.08
51, 1.26
52, 2.00
53, 1.49
54, 2.12
55, 0.43
56, 0.82
57, 1.41
58, 1.72
59, 1.19
60, 1.19
61, 1.64
62, 1.22
63, 1.96
64, 2.09
65, 1.41
66, 1.35
67, 1.40
68, 1.71
69, 1.54
70, 1.21
71, 2.02
72, 2.00
73, 1.82
74, 1.42
75, 0.77
76, 1.38
77, 1.62
78, 0.98
79, 1.89
80, 1.16
81, 1.33
82, 1.60
83, 1.27
84, 0.68
85, 1.01
86, 1.13
87, 1.51
88, 1.85
89, 1.27
90, 1.91
91, 1.56
92, 1.46
93, 1.04
94, 0.68
95, 1.61
96, 1.06
97, 1.54
98, 1.86
99, 2.22
100, 0.55
101, 0.61
102, 0.73
103, 1.16
104, 1.08
105, 1.33
106, 1.35
107, 1.68
108, 1.04
109, 1.51
110, 1.06
111, 1.49
112, 1.37
113, 1.10
114, 1.34
115, 1.42
116, 1.56
117, 1.41
118, 1.48
119, 1.46
120, 0.80
121, 1.30
122, 1.28
123, 1.63
124, 1.62
125, 1.46
126, 0.59
127, 1.65
128, 0.90
129, 1.81
130, 1.56
131, 1.63
132, 1.94
133, 0.95
134, 0.84
135, 1.54
136, 1.18
137, 1.44
138, 1.39
139, 1.26
140, 1.06
141, 1.28
142, 1.37
143, 1.16
144, 1.00
145, 0.68
146, 0.91
147, 1.66
148, 1.62
149, 1.46
150, 1.42
151, 1.64
152, 1.12
153, 1.40
154, 1.13
155, 1.14
156, 1.55
157, 1.41
158, 1.85
159, 1.04
160, 2.03
161, 2.10
162, 1.71
163, 0.91
164, 0.78
165, 1.13
166, 1.88
167, 2.03
168, 1.40
169, 2.16
170, 1.94
171, 1.42
172, 0.65
173, 0.76
174, 0.86
175, 1.28
176, 1.69
177, 1.73
178, 2.05
179, 1.83
180, 1.21
181, 1.10
182, 1.00
183, 1.34
184, 1.04
185, 1.30
186, 1.96
187, 1.57
188, 0.86
189, 1.28
190, 0.66
191, 1.36
192, 1.10
193, 1.19
194, 1.64
195, 2.07
196, 2.02
197, 0.86
198, 0.53
199, 0.92
200, 0.84
201, 1.64
202, 1.72
203, 1.78
204, 1.94
205, 0.84
206, 1.23
207, 1.07
208, 0.79
209, 0.65
210, 1.04
211, 1.12
212, 1.63
213, 1.15
214, 1.47
215, 2.19
216, 0.68
217, 0.76
218, 1.52
219, 1.01
220, 1.38
221, 0.97
222, 1.02
223, 1.60
224, 1.68
225, 1.52
226, 0.94
227, 1.01
228, 1.52
229, 0.82
230, 1.15
231, 1.63
232, 1.90
233, 1.68
234, 1.82
235, 1.30
236, 0.58
237, 0.74
238, 1.81
239, 1.40
240, 1.67
241, 1.90
242, 2.10
243, 1.65
244, 0.82
245, 1.22
246, 0.87
247, 1.31
248, 1.04
249, 1.81
250, 1.32
251, 1.61
252, 1.77
253, 1.20
254, 1.15
255, 0.94
256, 1.03
257, 1.55
258, 1.14
259, 1.68
260, 1.51
261, 1.81
262, 1.00
263, 1.41
264, 1.04
265, 1.32
266, 1.12
267, 0.86
268, 1.34
269, 1.23
270, 2.17
271, 1.78
272, 0.50
273, 0.76
274, 0.58
275, 1.21
276, 1.62
277, 1.37
278, 1.58
279, 1.90
280, 1.93
281, 1.84
282, 0.91
283, 0.90
284, 1.57
285, 1.73
286, 1.21
287, 1.37
288, 1.90
289, 2.35
290, 0.53
291, 1.42
292, 1.61
293, 0.97
294, 1.89
295, 2.04
296, 2.10
297, 1.07
298, 1.41
299, 1.46
300, 1.65
301, 1.15
302, 1.03
303, 1.98
304, 1.74
305, 1.69
306, 1.11
307, 0.72
308, 0.78
309, 0.99
310, 1.18
311, 1.00
312, 1.37
313, 1.46
314, 2.19
315, 1.34
316, 1.51
317, 0.83
318, 0.96
