read, delay
1, 6.43
2, 1.49
3, 2.04
4, 1.68
5, 0.77
6, 1.56
7, 1.28
8, 1.13
9, 1.64
10, 1.01
11, 2.06
12, 1.26
13, 1.26
14, 1.47
15, 0.99
16, 1.52
17, 1.84
18, 1.31
19, 1.19
20, 1.61
21, 1.56
22, 2.05
23, 1.74
24, 1.11
25, 1.27
26, 1.00
27, 1.13
28, 1.29
29, 1.60
30, 1.50
31, 1.58
32, 1.21
33, 1.48
34, 1.30
35, 1.71
36, 1.06
37, 1.21
38, 1.65
39, 1.79
40, 1.36
41, 1.55
42, 1.62
43, 0.83
44, 1.01
45, 2.00
46, 1.54
47, 2.04
48, 1.84
49, 0.93
50, 1.02
51, 1.23
52, 0.97
53, 1.10
54, 1.77
55, 1.76
56, 2.06
57, 1.38
58, 1.26
59, 1.73
60, 1.51
61, 0.96
62, 2.01
63, 1.50
64, 2.00
65, 1.09
66, 1.30
67, 1.24
68, 1.27
69, 1.70
70, 1.63
71, 2.15
72, 1.64
73, 1.48
74, 1.40
75, 0.77
76, 0.94
77, 1.72
78, 1.70
79, 1.82
80, 1.65
81, 1.53
82, 0.73
83, 2.34
84, 1.20
85, 1.06
86, 0.70
87, 1.06
88, 1.68
89, 1.48
90, 1.87
91, 1.72
92, 1.64
93, 1.60
94, 0.80
95, 1.23
96, 1.37
97, 1.79
98, 1.04
99, 1.71
100, 2.93
101, 1.57
102, 1.86
103, 1.46
104, 1.27
105, 1.62
106, 1.57
107, 1.57
108, 1.82
109, 1.65
110, 1.69
111, 1.35
112, 0.66
113, 1.00
114, 0.76
115, 1.58
116, 1.24
117, 1.40
118, 1.90
119, 2.17
120, 1.96
121, 0.92
122, 1.23
123, 0.93
124, 1.24
125, 0.99
126, 1.00
127, 1.83
128, 1.16
129, 1.68
130, 1.91
131, 2.00
132, 1.52
133, 0.98
134, 1.66
135, 1.64
136, 1.48
137, 1.39
138, 1.30
139, 1.67
140, 1.24
141, 0.72
142, 1.49
143, 1.80
144, 1.47
145, 1.24
146, 1.27
147, 1.58
148, 1.85
149, 1.42
150, 1.19
151, 0.98
152, 1.50
153, 1.04
154, 1.65
155, 1.34
156, 1.46
157, 1.65
158, 2.18
159, 2.02
160, 1.12
161, 0.62
162, 1.34
163, 1.59
164, 1.75
165, 1.30
166, 1.08
167, 2.04
168, 1.85
169, 1.14
170, 2.06
171, 1.50
172, 1.14
173, 1.05
174, 1.72
175, 1.99
176, 1.44
177, 2.05
178, 1.11
179, 1.22
180, 1.43
181, 1.66
182, 1.63
183, 1.74
184, 1.79
185, 1.48
186, 0.84
187, 0.84
188, 0.86
189, 1.92
190, 1.14
191, 1.46
192, 1.87
193, 1.65
194, 1.38
195, 1.47
196, 1.40
197, 1.07
198, 0.98
199, 2.04
200, 2.06
201, 1.73
202, 1.23
203, 1.47
204, 0.85
205, 1.82
206, 1.91
207, 2.06
208, 1.48
209, 1.75
210, 0.78
211, 1.52
212, 1.33
213, 1.43
214, 1.62
215, 1.39
216, 1.18
217, 1.94
218, 1.45
219, 3.00
220, 1.79
221, 0.73
222, 0.87
223, 1.63
224, 1.16
225, 1.08
226, 2.06
227, 2.06
228, 1.50
229, 0.89
230, 1.55
231, 1.72
232, 0.96
233, 1.94
234, 2.09
235, 1.55
236, 1.62
237, 1.24
238, 0.77
239, 1.64
240, 1.32
241, 1.46
242, 1.66
243, 1.59
244, 2.52
245, 1.84
246, 1.37
247, 1.21
248, 1.46
249, 1.15
250, 1.34
251, 1.12
252, 1.67
253, 1.62
254, 1.72
255, 1.32
256, 1.50
257, 1.34
258, 1.20
259, 1.38
260, 1.20
261, 1.94
262, 1.68
263, 1.16
264, 2.03
265, 2.00
266, 0.47
267, 2.09
268, 0.91
269, 0.98
270, 1.18
271, 1.84
272, 1.68
273, 1.66
274, 1.68
275, 2.24
276, 1.81
277, 1.10
278, 1.56
279, 1.12
280, 0.87
281, 1.91
282, 1.32
283, 2.05
284, 1.52
285, 2.23
286, 1.35
287, 1.27
288, 1.66
289, 1.46
290, 1.88
291, 1.30
292, 1.65
293, 2.00
294, 1.57
295, 1.12
296, 1.46
297, 0.83
298, 1.17
299, 1.82
300, 1.04
301, 1.28
302, 2.26
303, 1.46
304, 1.06
305, 0.68
306, 1.45
307, 0.86
308, 1.39
309, 1.20
310, 1.78
311, 1.63
312, 1.21
313, 2.19
314, 2.00
315, 1.46
316, 0.97
317, 1.46
318, 1.11
319, 1.52
320, 0.93
321, 1.61
322, 1.42
323, 1.67
324, 1.30
325, 1.88
326, 1.31
327, 1.28
328, 1.51
329, 0.93
330, 1.51
331, 1.76
332, 1.42
333, 1.28
334, 2.18
335, 1.43
336, 1.17
337, 1.26
338, 1.37
339, 1.59
340, 1.50
341, 2.08
342, 1.84
343, 2.31
344, 0.74
345, 0.80
346, 1.72
347, 1.30
348, 1.68
349, 1.22
350, 1.44
351, 1.56
352, 0.60
353, 1.26
354, 0.99
355, 0.79
356, 1.63
357, 1.45
358, 1.65
359, 1.93
360, 2.02
361, 1.53
362, 2.42
363, 1.68
364, 0.99
365, 1.19
366, 1.72
367, 1.16
368, 1.26
369, 1.80
370, 2.17
371, 1.75
372, 1.57
373, 1.31
374, 1.28
375, 0.76
376, 1.78
377, 1.49
378, 1.76
379, 3.14
380, 1.98
381, 2.05
382, 0.65
383, 1.10
384, 0.91
385, 1.21
386, 1.40
387, 1.91
388, 1.33
389, 1.64
390, 1.89
391, 1.74
392, 0.88
393, 0.63
394, 1.20
395, 1.41
396, 1.38
397, 2.00
398, 1.44
399, 1.28
400, 1.53
401, 0.94
402, 1.02
403, 0.98
404, 1.00
405, 1.87
406, 2.13
407, 2.05
408, 1.38
409, 0.86
410, 1.72
411, 1.58
412, 1.74
413, 0.96
414, 1.08
415, 1.31
416, 1.78
417, 0.73
418, 2.30
419, 0.75
420, 1.16
421, 0.90
422, 1.82
423, 2.02
424, 1.43
425, 2.17
426, 2.09
427, 1.46
428, 1.10
429, 1.56
430, 1.03
431, 1.07
432, 1.60
433, 1.19
434, 1.39
435, 1.92
436, 1.65
437, 0.68
438, 1.38
439, 1.46
440, 1.58
441, 1.85
442, 1.96
443, 2.57
444, 2.13
445, 1.22
446, 1.39
447, 1.36
448, 1.88
449, 1.32
450, 1.41
451, 3.04
452, 2.26
453, 0.59
454, 1.22
455, 1.15
456, 1.83
457, 1.34
