read, delay
1, 5.12
2, 0.93
3, 0.74
4, 0.96
5, 0.92
6, 1.54
7, 1.86
8, 1.88
9, 1.81
10, 1.03
11, 1.44
12, 1.16
13, 1.52
14, 1.38
15, 1.26
16, 1.63
17, 1.18
18, 1.36
19, 1.38
20, 0.64
21, 1.23
22, 0.92
23, 1.10
24, 1.83
25, 1.17
26, 2.12
27, 1.89
28, 1.48
29, 0.55
30, 1.09
31, 0.87
32, 0.94
33, 1.29
34, 1.90
35, 1.98
36, 2.21
37, 1.09
38, 0.82
39, 1.12
40, 1.17
41, 1.08
42, 1.30
43, 1.78
44, 1.32
45, 1.69
46, 0.86
47, 1.51
48, 1.29
49, 0.98
50, 1.50
51, 1.38
52, 1.13
53, 1.28
54, 1.22
55, 1.41
56, 1.81
57, 0.57
58, 1.27
59, 1.59
60, 1.57
61, 1.71
62, 1.93
63, 1.26
64, 2.10
65, 1.18
66, 1.22
67, 1.11
68, 1.58
69, 1.24
70, 1.16
71, 1.75
72, 1.65
73, 0.88
74, 0.75
75, 0.77
76, 1.81
77, 1.64
78, 1.99
79, 1.43
80, 1.64
81, 1.44
82, 1.21
83, 1.45
84, 0.82
85, 1.20
86, 0.89
87, 1.66
88, 1.14
89, 1.56
90, 1.14
91, 1.85
92, 1.60
93, 0.96
94, 0.96
95, 1.08
96, 1.40
97, 1.56
98, 1.08
99, 1.54
100, 1.28
101, 1.65
102, 0.64
103, 1.62
104, 1.68
105, 1.42
106, 1.95
107, 1.64
108, 1.14
109, 1.72
110, 0.70
111, 0.95
112, 0.61
113, 0.76
114, 1.44
115, 1.68
116, 1.27
117, 2.01
118, 1.49
119, 1.38
120, 1.85
121, 1.48
122, 0.80
123, 1.10
124, 0.98
125, 1.45
126, 1.37
127, 2.11
128, 1.47
129, 1.34
130, 1.28
131, 1.20
132, 1.70
133, 1.50
134, 1.54
135, 1.66
136, 1.69
137, 1.88
138, 1.03
139, 1.23
140, 1.20
141, 1.51
142, 1.54
143, 1.68
144, 1.51
145, 1.77
146, 0.87
147, 1.08
148, 1.30
149, 1.82
150, 1.72
151, 1.62
152, 1.40
153, 2.18
154, 1.76
155, 1.17
156, 0.81
157, 1.44
158, 1.53
159, 1.52
160, 1.28
161, 1.04
162, 1.40
163, 1.45
164, 0.58
165, 1.22
166, 0.99
167, 0.66
168, 1.69
169, 1.20
170, 1.56
171, 1.21
172, 1.68
173, 2.23
174, 1.37
175, 1.39
176, 1.67
177, 0.98
178, 1.74
179, 1.97
180, 1.92
181, 1.40
182, 1.08
183, 1.66
184, 1.00
185, 0.62
186, 1.14
187, 1.52
188, 1.53
189, 1.78
190, 1.23
191, 1.98
192, 0.88
193, 1.02
194, 0.98
195, 1.24
196, 1.58
197, 1.44
198, 1.31
199, 1.50
200, 2.24
201, 1.87
202, 0.48
203, 1.52
204, 1.01
205, 1.17
206, 1.25
207, 2.12
208, 1.96
209, 2.19
210, 0.66
211, 0.97
212, 1.34
213, 1.36
214, 1.06
215, 1.28
216, 1.92
217, 1.98
218, 1.50
219, 0.61
220, 0.87
221, 1.42
222, 1.42
223, 1.30
224, 1.39
225, 1.51
226, 0.95
227, 0.94
228, 1.51
229, 0.82
230, 1.39
231, 1.39
232, 1.72
233, 1.50
234, 1.40
235, 1.51
236, 1.60
237, 1.06
238, 0.94
239, 1.62
240, 1.72
241, 1.92
242, 1.36
243, 1.38
244, 0.76
245, 1.67
246, 1.04
247, 1.22
248, 2.02
249, 1.63
250, 2.19
251, 1.22
252, 1.47
253, 1.52
254, 1.42
255, 1.63
256, 1.65
257, 1.34
258, 1.48
259, 0.82
260, 0.69
261, 1.17
262, 1.27
263, 1.12
264, 1.82
265, 1.78
266, 1.45
267, 1.28
268, 1.89
269, 1.04
270, 1.36
271, 0.92
272, 1.28
273, 0.96
274, 1.57
275, 1.88
276, 1.18
277, 1.40
278, 1.57
279, 0.88
280, 0.62
281, 1.54
282, 1.00
283, 1.31
284, 1.40
285, 1.76
286, 1.27
287, 1.41
288, 1.22
289, 0.72
290, 0.89
291, 1.58
292, 1.32
293, 1.65
294, 2.05
295, 1.47
296, 1.73
297, 0.86
298, 1.40
299, 1.00
300, 0.70
301, 1.52
302, 1.20
303, 1.42
304, 1.95
305, 1.43
306, 1.86
307, 1.36
308, 0.97
309, 0.85
310, 0.81
311, 1.53
312, 1.29
313, 1.61
314, 1.91
315, 1.60
316, 1.24
317, 1.74
318, 0.92
319, 0.89
320, 1.15
321, 1.21
322, 1.36
323, 1.12
324, 1.41
325, 1.56
326, 0.67
327, 0.91
328, 1.58
329, 1.44
330, 1.74
331, 1.03
332, 2.00
333, 2.02
334, 1.61
335, 1.12
336, 0.81
337, 1.44
338, 1.36
339, 1.33
340, 1.24
341, 1.63
342, 1.78
343, 0.70
