read, delay
1, 1.10
2, 1.33
3, 1.85
4, 1.51
5, 1.94
6, 1.64
7, 0.61
8, 1.32
9, 0.82
10, 1.54
11, 1.40
12, 1.40
13, 1.80
14, 1.91
15, 1.34
16, 1.00
17, 0.56
18, 1.41
19, 1.63
20, 0.96
21, 1.69
22, 1.72
23, 1.82
24, 1.87
25, 1.03
26, 1.14
27, 0.92
28, 1.56
29, 1.74
30, 1.90
31, 1.90
32, 1.30
33, 0.54
34, 0.68
35, 1.45
36, 1.50
37, 1.12
38, 1.47
39, 1.47
40, 1.20
41, 2.08
42, 1.34
43, 1.43
44, 0.74
45, 1.32
46, 1.24
47, 1.42
48, 2.02
49, 2.01
50, 1.40
51, 0.51
52, 1.12
53, 1.56
54, 1.36
55, 1.66
56, 1.48
57, 1.78
58, 1.50
59, 2.08
60, 2.15
61, 1.32
62, 1.53
63, 1.38
64, 1.65
65, 1.60
66, 1.28
67, 1.28
68, 1.86
69, 1.68
70, 1.43
71, 1.48
72, 1.44
73, 1.11
74, 1.75
75, 1.81
76, 1.46
77, 2.04
78, 1.30
79, 1.20
80, 1.18
81, 1.48
82, 1.71
83, 1.43
84, 1.17
85, 1.59
86, 1.40
87, 1.70
88, 1.02
89, 0.72
90, 1.21
91, 0.82
92, 1.15
93, 1.03
94, 1.58
95, 1.48
96, 1.97
97, 1.34
98, 1.61
99, 1.00
100, 0.88
101, 0.98
102, 1.46
103, 1.50
104, 1.38
105, 2.02
106, 1.97
107, 1.11
108, 0.88
109, 1.40
110, 1.49
111, 0.95
112, 1.80
113, 1.04
114, 1.32
115, 1.44
116, 1.46
117, 0.84
118, 0.58
119, 1.40
120, 1.64
121, 1.40
122, 1.92
123, 1.45
124, 1.44
125, 1.94
126, 1.68
127, 0.42
128, 0.58
129, 0.92
130, 1.65
131, 1.83
132, 1.93
133, 1.47
134, 1.74
135, 1.35
136, 0.80
137, 1.12
138, 1.48
139, 1.68
140, 1.79
141, 2.01
142, 1.66
143, 1.96
144, 1.68
145, 0.76
146, 1.28
147, 1.25
148, 0.88
149, 1.42
150, 1.32
151, 1.64
152, 1.27
153, 1.38
154, 1.02
155, 1.29
156, 1.30
157, 0.94
