read, delay
1, 17.98
2, 9.38
3, 8.83
4, 8.46
5, 8.07
6, 15.40
7, 14.81
8, 13.78
9, 13.58
10, 12.67
11, 11.92
12, 11.40
13, 11.05
14, 10.70
15, 10.23
16, 9.42
17, 8.80
18, 8.14
19, 15.99
20, 14.55
21, 13.58
22, 12.70
23, 11.63
24, 10.55
25, 10.38
26, 9.52
27, 9.27
28, 8.17
29, 15.66
30, 14.62
31, 14.28
32, 14.06
33, 13.45
34, 12.67
35, 11.61
36, 11.26
37, 10.39
38, 10.06
39, 9.40
40, 9.06
41, 8.91
42, 8.08
43, 15.83
44, 14.94
45, 14.06
46, 13.48
47, 12.40
48, 11.59
49, 11.25
50, 10.15
51, 9.88
52, 9.17
53, 8.19
54, 15.60
55, 14.89
56, 14.55
57, 13.62
58, 12.94
59, 12.10
60, 11.92
61, 11.03
62, 10.08
63, 9.82
64, 8.77
65, 15.86
66, 14.78
67, 14.12
68, 13.41
69, 12.73
70, 11.86
71, 10.76
72, 10.28
73, 9.60
74, 8.68
75, 16.00
76, 14.74
77, 13.70
78, 13.34
79, 12.95
80, 12.24
81, 11.23
82, 10.79
83, 10.56
84, 9.74
85, 9.22
86, 9.08
87, 15.94
88, 15.33
89, 14.76
90, 14.10
91, 13.58
92, 13.09
93, 12.64
94, 11.78
95, 10.72
96, 10.17
97, 9.14
98, 8.94
99, 8.48
100, 15.80
101, 14.96
102, 14.30
103, 13.48
104, 12.39
105, 11.84
106, 11.52
107, 10.82
108, 10.28
109, 9.60
110, 8.52
111, 15.56
112, 14.80
113, 13.92
114, 13.44
115, 13.20
116, 12.57
117, 12.18
118, 11.80
119, 11.10
120, 10.95
121, 9.98
122, 8.99
123, 15.90
124, 14.70
125, 13.78
126, 12.96
127, 12.76
128, 11.68
129, 10.88
130, 9.96
131, 9.10
132, 8.87
133, 8.28
134, 15.98
135, 15.27
136, 14.71
137, 14.05
138, 13.65
139, 13.04
140, 12.08
141, 11.28
142, 10.70
143, 10.34
144, 9.87
145, 9.44
146, 8.82
147, 8.39
148, 15.44
149, 14.81
150, 13.77
151, 12.88
152, 11.93
153, 11.06
154, 10.69
155, 10.11
156, 9.20
157, 8.82
158, 15.81
159, 15.36
160, 14.96
161, 14.02
162, 13.14
163, 12.83
164, 12.42
165, 12.20
166, 11.08
167, 10.64
168, 10.46
169, 9.68
170, 9.21
171, 8.31
172, 15.21
173, 14.48
174, 13.33
175, 13.02
176, 12.26
177, 11.48
178, 11.22
179, 10.24
180, 10.06
181, 9.80
182, 8.83
183, 8.45
184, 15.88
185, 14.78
186, 13.96
187, 13.71
188, 13.33
189, 13.17
190, 12.72
191, 12.02
192, 11.68
193, 11.26
194, 10.56
195, 10.26
196, 9.58
197, 8.68
198, 15.68
199, 15.16
200, 14.55
201, 13.47
202, 12.70
203, 12.30
204, 11.73
205, 10.96
206, 10.30
207, 10.20
208, 9.68
209, 8.67
210, 8.47
211, 15.64
212, 15.03
213, 14.52
214, 14.31
215, 13.69
216, 13.51
217, 12.66
218, 12.29
219, 11.80
220, 11.68
221, 10.72
222, 10.27
223, 9.46
224, 9.17
225, 8.20
226, 15.24
227, 14.88
228, 14.62
229, 13.73
230, 12.62
231, 11.83
232, 11.60
233, 10.60
234, 10.36
235, 9.58
236, 9.24
237, 9.13
238, 8.48
239, 15.72
240, 14.58
241, 14.37
242, 13.33
243, 12.85
244, 12.52
245, 11.91
246, 11.40
247, 11.02
248, 10.39
249, 9.98
250, 9.80
251, 9.10
252, 8.34
253, 15.36
254, 14.46
255, 13.36
256, 13.20
257, 12.20
258, 11.63
259, 11.14
260, 10.44
261, 9.65
262, 8.94
263, 8.74
264, 8.42
265, 8.18
266, 15.51
267, 14.74
268, 14.04
269, 13.61
270, 12.66
271, 12.44
272, 11.68
273, 11.22
274, 10.44
275, 10.20
276, 9.75
277, 8.81
278, 8.60
279, 15.76
280, 15.25
281, 14.99
282, 14.67
283, 13.62
284, 12.51
285, 11.73
286, 11.01
287, 10.54
288, 10.30
289, 9.69
290, 8.81
291, 8.39
292, 15.82
293, 14.72
294, 13.96
295, 13.24
296, 12.48
297, 11.64
298, 10.90
299, 10.22
300, 9.19
301, 9.01
302, 8.51
303, 15.92
304, 14.72
305, 13.70
306, 13.28
307, 13.05
308, 11.98
309, 11.21
310, 10.38
311, 9.82
312, 9.63
313, 9.39
314, 8.95
315, 8.30
316, 15.79
317, 15.16
318, 14.45
319, 13.52
320, 12.40
321, 11.85
322, 11.23
323, 10.39
324, 9.72
325, 8.85
326, 15.80
327, 15.28
328, 14.65
329, 14.50
330, 13.56
331, 12.90
332, 12.74
333, 12.00
334, 11.78
335, 10.73
336, 10.37
337, 9.93
338, 9.15
339, 16.08
340, 15.85
341, 15.26
342, 14.38
343, 13.92
344, 13.70
345, 13.28
346, 12.67
347, 12.23
348, 11.66
349, 10.76
350, 10.23
351, 9.66
352, 9.22
353, 8.22
354, 15.92
355, 14.83
356, 14.16
357, 13.86
358, 13.41
359, 12.36
360, 11.90
361, 11.71
362, 11.28
363, 10.78
364, 9.96
365, 9.53
366, 8.70
367, 8.36
368, 15.38
369, 14.78
370, 14.43
371, 14.00
372, 12.94
373, 12.28
374, 11.72
375, 11.36
376, 11.08
377, 10.70
378, 9.83
379, 9.52
380, 8.93
381, 8.18
382, 15.08
383, 14.15
384, 13.98
385, 13.54
386, 12.47
387, 11.72
388, 11.39
389, 10.89
390, 10.70
391, 9.59
392, 8.83
393, 8.37
394, 8.21
395, 15.52
396, 14.64
397, 13.66
398, 12.57
399, 12.22
400, 11.80
401, 11.22
402, 10.14
403, 10.02
404, 9.80
405, 9.53
406, 9.24
407, 9.03
408, 8.75
409, 15.68
410, 14.51
411, 14.10
412, 13.58
413, 12.75
414, 12.12
415, 11.14
416, 10.05
417, 9.13
418, 8.94
419, 8.49
420, 8.28
421, 15.20
422, 14.22
423, 13.29
424, 12.18
425, 11.43
426, 11.07
427, 10.48
428, 9.92
429, 9.54
430, 8.92
431, 15.79
432, 14.66
433, 14.14
434, 13.98
435, 13.25
436, 12.54
437, 11.89
438, 11.78
439, 11.00
440, 10.55
441, 10.19
442, 9.94
443, 9.39
444, 8.89
445, 8.47
446, 15.77
447, 14.79
448, 14.35
449, 13.68
450, 13.17
451, 12.11
452, 11.28
453, 10.98
454, 10.13
455, 9.22
456, 8.35
457, 15.44
458, 15.02
459, 14.83
460, 14.67
461, 13.72
462, 13.23
463, 13.10
464, 12.75
465, 12.17
466, 11.54
467, 11.38
468, 10.81
469, 9.79
470, 9.05
471, 8.16
472, 15.45
473, 14.40
474, 14.13
475, 13.16
476, 12.80
477, 11.92
478, 10.98
479, 9.98
480, 9.45
481, 9.02
482, 8.15
483, 15.65
484, 14.84
485, 13.78
486, 13.32
487, 12.61
488, 11.63
489, 11.36
490, 10.96
491, 10.25
492, 9.43
493, 9.11
494, 8.16
495, 15.22
496, 14.90
497, 13.97
498, 13.09
499, 12.04
500, 11.16
501, 10.39
502, 10.04
503, 9.61
504, 8.88
505, 8.68
506, 15.77
507, 15.12
508, 14.62
509, 13.88
510, 13.40
511, 12.43
512, 12.06
513, 11.92
514, 10.85
515, 10.70
516, 9.56
517, 8.57
518, 15.86
519, 14.94
520, 14.65
521, 14.42
522, 13.61
523, 12.62
524, 11.54
525, 10.86
526, 10.26
527, 9.58
528, 8.56
529, 16.00
530, 15.12
531, 14.33
532, 13.20
533, 12.47
534, 11.39
535, 10.54
536, 9.74
537, 8.65
538, 15.62
539, 14.94
540, 14.00
541, 13.74
542, 13.40
543, 12.95
544, 12.25
545, 11.57
546, 10.79
547, 10.44
548, 9.99
549, 8.84
550, 8.21
551, 15.48
552, 14.40
553, 13.43
554, 12.34
555, 11.70
556, 11.42
557, 10.43
558, 9.68
559, 8.73
560, 8.11
561, 15.15
562, 14.74
563, 14.04
564, 13.65
565, 12.57
566, 11.82
567, 11.25
568, 10.72
569, 9.86
570, 8.76
571, 8.33
572, 15.94
573, 14.69
574, 13.79
575, 13.10
576, 12.78
577, 11.72
578, 11.02
579, 10.82
580, 10.46
581, 9.37
582, 9.08
583, 8.80
584, 8.43
585, 8.18
586, 15.65
587, 14.76
588, 14.55
589, 14.29
590, 14.15
591, 13.34
592, 12.49
593, 12.27
594, 11.13
595, 10.62
596, 9.77
597, 9.38
598, 9.18
599, 8.51
600, 15.52
601, 15.37
602, 14.52
603, 13.69
604, 13.34
605, 12.42
606, 11.71
607, 11.06
608, 10.77
609, 9.68
610, 9.06
611, 8.18
612, 15.39
613, 14.35
614, 13.54
615, 12.50
616, 11.49
617, 11.13
618, 10.64
619, 9.94
620, 9.14
621, 8.13
622, 15.22
623, 14.13
624, 13.64
625, 12.75
626, 12.39
627, 11.94
628, 11.29
629, 11.09
630, 10.10
631, 8.99
632, 8.20
633, 15.85
634, 14.47
635, 13.36
636, 12.50
637, 11.79
638, 11.12
639, 10.72
640, 10.58
641, 9.54
642, 9.06
643, 8.96
644, 8.38
645, 15.69
646, 14.64
647, 14.39
648, 14.01
649, 13.18
650, 12.16
651, 11.58
652, 10.78
653, 10.10
654, 9.31
655, 9.05
656, 8.22
657, 16.03
658, 15.04
659, 14.58
660, 13.94
661, 13.34
662, 12.88
663, 12.33
664, 11.36
665, 11.02
666, 10.34
667, 9.49
