read, delay
1, 10.34
2, 5.14
3, 7.60
4, 4.48
5, 6.43
6, 4.30
7, 6.26
8, 3.52
9, 5.92
10, 3.78
11, 5.69
12, 3.24
13, 6.11
14, 3.66
15, 6.28
16, 3.62
17, 5.86
18, 4.42
19, 6.54
20, 4.39
21, 7.07
22, 4.14
23, 6.07
24, 3.85
25, 6.20
26, 3.72
27, 5.92
28, 3.52
29, 6.08
30, 3.05
31, 5.70
32, 3.40
33, 5.96
34, 3.59
35, 5.66
36, 2.94
37, 5.31
38, 2.95
39, 5.24
40, 7.60
41, 5.42
42, 2.63
43, 5.33
44, 2.89
45, 5.36
46, 3.20
47, 5.55
48, 3.08
49, 5.76
50, 3.60
51, 6.00
52, 3.02
53, 6.19
54, 8.11
55, 5.02
56, 7.66
57, 5.39
58, 3.18
59, 5.73
60, 3.07
61, 5.18
62, 7.59
63, 5.29
64, 7.50
65, 4.38
66, 6.83
67, 4.20
68, 6.13
69, 3.39
70, 5.47
71, 3.06
72, 5.51
73, 7.45
74, 4.70
75, 7.42
76, 4.59
77, 6.76
78, 4.09
79, 6.70
80, 3.80
81, 5.83
82, 2.91
83, 5.24
84, 2.92
85, 5.64
86, 3.40
87, 5.86
88, 4.44
89, 6.73
90, 4.45
91, 7.32
92, 4.24
93, 6.16
94, 3.68
95, 6.04
96, 3.46
97, 5.82
98, 3.11
99, 5.63
100, 2.95
101, 5.72
102, 3.60
103, 5.76
104, 3.26
105, 5.68
106, 2.85
107, 4.95
108, 7.31
109, 4.85
110, 7.59
111, 4.99
112, 7.16
113, 4.82
114, 2.78
115, 4.84
116, 2.54
117, 4.83
118, 7.29
119, 4.62
120, 7.13
121, 4.52
122, 6.91
123, 5.24
124, 7.75
125, 5.43
126, 8.00
127, 5.47
128, 7.90
129, 4.94
130, 7.49
131, 4.99
132, 7.76
133, 4.78
134, 6.94
135, 4.41
136, 7.02
137, 4.28
138, 7.01
139, 4.00
140, 6.49
141, 3.69
142, 6.21
143, 3.19
144, 5.41
145, 2.88
146, 5.57
147, 3.00
148, 5.50
149, 3.28
150, 5.70
151, 3.06
152, 5.86
153, 3.12
154, 5.49
155, 2.82
156, 5.69
157, 3.27
158, 6.93
159, 4.24
160, 6.53
161, 4.23
162, 6.60
163, 3.54
164, 6.39
165, 3.51
166, 6.35
167, 3.74
168, 5.87
169, 7.85
170, 4.78
171, 6.67
172, 3.72
173, 6.19
174, 3.44
175, 6.24
176, 4.07
177, 6.30
178, 3.90
179, 6.34
180, 3.88
181, 6.25
182, 3.54
183, 6.20
184, 4.01
185, 6.03
186, 3.49
187, 6.30
188, 3.83
189, 6.54
190, 4.04
191, 6.88
192, 4.15
193, 7.33
194, 4.26
195, 6.71
196, 4.22
197, 6.40
198, 4.02
199, 6.46
200, 3.93
201, 5.88
202, 3.72
203, 5.96
204, 3.01
205, 5.39
206, 3.22
207, 6.07
208, 3.77
209, 5.80
210, 3.26
211, 5.76
212, 3.57
213, 5.75
214, 3.59
215, 6.27
216, 3.34
217, 5.26
218, 7.46
219, 4.65
220, 7.14
221, 4.26
222, 7.13
223, 4.09
224, 6.14
225, 3.56
226, 5.52
227, 4.16
228, 6.33
229, 3.28
230, 5.68
231, 7.68
232, 4.65
233, 7.36
234, 4.49
235, 6.64
236, 3.55
237, 5.58
238, 3.27
239, 5.31
240, 7.69
241, 5.09
242, 2.95
243, 5.09
244, 7.32
245, 4.45
246, 6.50
247, 3.81
248, 5.89
249, 3.34
250, 5.32
251, 2.93
252, 5.27
253, 2.81
254, 5.02
255, 7.00
256, 4.62
257, 7.16
258, 4.83
259, 6.75
260, 4.56
261, 7.86
262, 4.82
263, 7.27
264, 4.86
265, 7.09
266, 4.30
267, 6.66
268, 4.10
269, 6.03
270, 3.33
271, 6.14
272, 3.76
273, 6.36
274, 4.18
275, 6.62
276, 4.31
277, 6.61
278, 3.55
279, 5.77
280, 2.94
281, 5.78
282, 3.64
283, 6.22
284, 3.53
285, 6.24
286, 3.15
287, 5.54
288, 3.16
289, 5.32
290, 2.70
291, 5.33
292, 2.32
293, 4.65
294, 8.18
295, 5.90
296, 3.18
297, 5.18
298, 8.05
299, 5.38
300, 7.29
301, 4.87
302, 7.04
303, 4.03
304, 6.79
305, 3.86
306, 6.22
307, 3.58
308, 5.90
309, 7.80
310, 4.72
311, 6.78
312, 4.63
313, 6.73
314, 4.16
315, 6.40
316, 3.68
317, 5.89
318, 2.75
319, 5.04
320, 7.22
321, 4.43
322, 6.49
323, 4.14
324, 6.54
325, 4.33
326, 6.84
327, 5.70
328, 8.20
329, 5.76
330, 8.10
331, 5.65
332, 3.25
333, 5.19
334, 7.29
335, 4.53
336, 6.66
337, 4.51
338, 6.74
339, 4.48
340, 6.85
341, 4.03
342, 6.52
343, 4.28
344, 6.71
345, 4.03
346, 6.04
347, 3.32
348, 5.78
349, 2.68
350, 5.20
351, 7.36
352, 5.04
353, 6.92
354, 4.74
355, 2.60
356, 4.80
357, 2.34
358, 4.36
359, 6.86
360, 5.66
361, 7.80
362, 4.71
363, 7.52
364, 4.45
365, 6.46
366, 3.86
367, 6.54
368, 3.86
369, 5.86
370, 3.19
371, 5.36
372, 7.26
373, 4.41
374, 6.31
375, 3.32
376, 6.10
377, 3.27
378, 5.80
379, 3.12
380, 5.30
381, 2.59
382, 4.99
383, 2.76
384, 5.24
385, 2.62
386, 5.14
387, 7.34
388, 4.59
389, 6.69
390, 4.30
391, 6.48
392, 5.28
393, 8.12
