read, delay
1, 36.49
2, 7.72
3, 6.92
4, 6.03
5, 5.64
6, 4.94
7, 4.73
8, 4.51
9, 3.92
10, 3.42
11, 3.22
12, 2.46
13, 1.65
14, 8.63
15, 7.90
16, 7.22
17, 6.23
18, 5.66
19, 5.21
20, 5.04
21, 4.22
22, 3.43
23, 3.32
24, 2.48
25, 2.22
26, 1.60
27, 8.16
28, 7.26
29, 7.04
30, 6.56
31, 5.50
32, 4.63
33, 3.89
34, 3.72
35, 2.78
36, 1.87
37, 1.46
38, 0.80
39, 7.87
40, 6.88
41, 6.77
42, 5.68
43, 5.12
44, 4.88
45, 4.67
46, 3.68
47, 3.30
48, 3.04
49, 2.88
50, 1.78
51, 1.36
52, 8.64
53, 7.66
54, 6.97
55, 6.22
56, 5.65
57, 5.33
58, 4.37
59, 3.89
60, 3.20
61, 2.11
62, 1.35
63, 0.90
64, 8.46
65, 7.47
66, 6.49
67, 6.12
68, 5.48
69, 4.75
70, 4.42
71, 3.43
72, 2.50
73, 1.43
74, 8.33
75, 7.68
76, 6.70
77, 6.36
78, 5.48
79, 4.56
80, 3.55
81, 3.14
82, 2.70
83, 1.78
84, 1.17
85, 8.10
86, 7.49
87, 7.10
88, 6.44
89, 5.53
90, 4.77
91, 4.11
92, 3.54
93, 2.44
94, 1.46
95, 8.72
96, 8.42
97, 8.28
98, 7.44
99, 6.55
100, 5.72
101, 5.22
102, 4.18
103, 3.53
104, 2.64
105, 2.50
106, 1.66
107, 8.75
108, 7.83
109, 6.23
110, 5.98
111, 5.84
112, 5.01
113, 4.29
114, 3.27
115, 3.07
116, 2.30
117, 1.79
118, 0.91
119, 8.13
120, 7.58
121, 7.27
122, 7.16
123, 6.55
124, 5.68
125, 4.64
126, 3.81
127, 2.94
128, 2.09
129, 1.82
130, 1.60
131, 1.32
132, 8.29
133, 7.48
134, 6.51
135, 5.62
136, 4.89
137, 4.43
138, 4.08
139, 3.13
140, 2.80
141, 2.05
142, 1.11
143, 8.16
144, 7.80
145, 7.13
146, 6.32
147, 6.01
148, 5.81
149, 5.42
150, 4.90
151, 4.60
152, 4.02
153, 3.86
154, 2.82
155, 2.50
156, 1.94
157, 1.33
158, 8.52
159, 7.63
160, 6.78
161, 6.09
162, 5.06
163, 4.00
164, 3.18
165, 2.89
166, 2.73
167, 2.08
168, 1.62
169, 8.61
170, 8.23
171, 7.24
172, 6.92
173, 6.07
174, 5.67
175, 5.05
176, 4.86
177, 3.79
178, 3.22
179, 2.66
180, 2.46
181, 2.07
182, 1.48
183, 1.34
184, 8.73
185, 7.72
186, 7.26
187, 6.58
188, 5.94
189, 5.34
190, 5.19
191, 3.36
192, 2.66
193, 1.74
194, 1.06
195, 8.26
196, 7.22
197, 6.58
198, 5.60
199, 5.18
200, 4.68
201, 3.74
202, 3.51
203, 2.83
204, 2.26
205, 1.70
206, 0.94
207, 8.28
208, 7.31
209, 6.52
210, 6.23
211, 5.73
212, 4.81
213, 3.92
214, 3.70
215, 3.47
216, 2.62
217, 1.62
218, 1.43
219, 0.77
220, 8.44
221, 7.62
222, 6.64
223, 6.06
224, 5.69
225, 5.04
226, 4.25
227, 3.80
228, 3.23
229, 2.39
230, 1.61
231, 8.62
232, 7.50
233, 6.96
234, 6.04
235, 5.70
236, 5.06
237, 4.23
238, 3.38
239, 3.04
240, 2.23
241, 2.01
242, 1.22
243, 8.54
244, 8.39
245, 7.86
246, 7.32
247, 6.40
248, 5.79
249, 5.12
250, 4.89
251, 4.61
252, 3.96
253, 3.15
254, 2.72
255, 1.72
256, 8.97
257, 8.62
258, 7.50
259, 7.33
260, 6.98
261, 6.50
262, 5.96
263, 5.59
264, 5.06
265, 4.33
266, 3.48
267, 2.66
268, 2.06
269, 1.82
270, 8.91
271, 8.13
272, 7.52
273, 5.49
274, 5.31
275, 4.55
276, 4.36
277, 3.36
278, 2.82
279, 1.91
280, 1.47
281, 0.58
282, 7.53
283, 7.04
284, 6.42
285, 5.98
286, 5.05
287, 4.63
288, 4.07
289, 3.69
290, 2.98
291, 2.18
292, 1.82
293, 1.06
294, 8.24
295, 7.36
296, 6.62
297, 6.00
298, 4.98
299, 3.93
300, 3.45
301, 2.83
302, 2.68
303, 2.02
304, 1.03
305, 8.22
306, 7.24
307, 6.24
308, 5.72
309, 4.95
310, 4.54
311, 3.70
312, 3.56
313, 3.01
314, 2.02
315, 1.42
316, 8.74
317, 8.46
318, 7.64
319, 7.37
320, 7.14
321, 6.58
322, 6.06
323, 5.96
324, 4.96
325, 4.50
326, 3.73
327, 2.89
328, 1.88
329, 1.53
330, 8.59
331, 7.71
332, 6.80
333, 5.84
334, 5.21
335, 4.96
336, 4.68
337, 3.71
338, 2.64
339, 1.90
340, 1.56
341, 8.63
342, 7.49
343, 6.48
344, 6.02
345, 5.42
346, 4.86
347, 4.47
348, 3.68
349, 3.00
350, 2.65
351, 2.37
352, 1.93
353, 1.48
354, 8.46
355, 6.49
356, 6.16
357, 5.49
358, 4.76
359, 4.16
360, 3.58
361, 2.72
362, 2.27
363, 1.46
364, 8.45
365, 8.16
366, 7.26
367, 7.12
368, 6.24
369, 5.84
370, 4.83
371, 4.72
372, 3.96
373, 3.03
374, 2.59
375, 1.56
376, 0.81
377, 8.62
378, 7.88
379, 7.14
380, 6.62
381, 5.83
382, 5.70
383, 5.33
384, 5.14
385, 4.54
386, 4.11
387, 3.24
388, 2.75
389, 2.50
390, 1.68
391, 8.64
392, 8.36
393, 7.72
394, 7.25
395, 6.32
396, 5.81
397, 5.48
398, 4.90
399, 4.61
400, 3.99
401, 3.02
402, 2.48
403, 1.67
404, 1.30
405, 8.90
406, 8.38
407, 7.85
408, 7.20
409, 6.58
410, 5.72
411, 4.69
412, 4.59
413, 4.41
414, 3.48
415, 2.70
416, 2.30
417, 1.99
418, 1.81
419, 8.72
420, 7.63
421, 6.81
422, 5.93
423, 4.86
424, 4.15
425, 3.41
426, 2.86
427, 2.09
428, 1.47
429, 9.01
430, 7.91
431, 7.06
432, 6.10
433, 5.10
434, 4.34
435, 4.06
436, 3.25
437, 1.76
438, 1.59
439, 0.48
440, 8.05
441, 7.52
442, 6.64
443, 6.02
444, 5.02
445, 4.92
446, 4.22
447, 3.83
448, 3.59
449, 3.31
450, 2.48
451, 1.84
452, 1.62
453, 1.28
454, 8.27
455, 8.03
456, 7.00
457, 6.18
458, 5.41
459, 5.18
460, 4.78
461, 4.22
462, 3.68
463, 2.84
464, 2.72
465, 2.58
466, 1.94
467, 1.31
468, 1.09
469, 0.87
470, 8.74
471, 7.93
472, 7.57
473, 7.29
474, 6.82
475, 5.75
476, 5.27
477, 4.42
478, 3.67
479, 2.93
480, 2.46
481, 1.38
482, 1.02
483, 8.33
484, 7.25
485, 6.89
486, 6.63
487, 6.14
488, 5.44
489, 4.65
490, 3.88
491, 3.08
492, 2.92
493, 2.68
494, 2.53
495, 1.61
496, 8.80
497, 8.54
498, 8.03
499, 7.32
500, 6.70
501, 6.00
502, 5.17
503, 4.26
504, 3.54
505, 3.32
506, 3.18
507, 2.65
508, 2.25
509, 1.38
510, 8.83
511, 7.91
512, 7.65
513, 7.26
514, 6.30
515, 5.91
516, 5.44
517, 4.48
518, 3.49
519, 2.08
520, 1.16
521, 8.15
522, 7.31
523, 6.28
524, 5.28
525, 4.25
526, 4.09
527, 3.94
528, 2.98
529, 2.57
530, 2.30
531, 2.11
532, 1.42
533, 1.10
534, 8.12
535, 7.19
536, 6.69
537, 5.70
538, 5.52
539, 4.92
540, 4.65
541, 4.33
542, 4.11
543, 3.72
544, 3.14
545, 2.74
546, 2.30
547, 1.99
548, 1.45
549, 1.16
550, 8.46
551, 7.89
552, 6.95
553, 6.58
554, 6.44
555, 5.48
556, 4.61
557, 4.46
558, 4.35
559, 4.20
560, 3.61
561, 2.54
562, 2.33
563, 1.49
564, 8.50
565, 7.83
566, 7.65
567, 6.64
568, 6.54
569, 5.73
570, 5.43
571, 4.65
572, 3.96
573, 3.17
