read, delay
1, 15.98
2, 12.69
3, 16.38
4, 14.14
5, 14.26
6, 10.84
7, 7.31
8, 9.04
9, 8.04
10, 7.07
11, 7.41
12, 5.76
13, 4.32
14, 2.76
15, 5.18
16, 18.67
17, 17.55
18, 15.69
19, 13.68
20, 14.68
21, 13.96
22, 12.31
23, 10.32
24, 9.35
25, 7.56
26, 9.08
27, 6.28
28, 5.71
29, 6.90
30, 4.90
31, 5.07
32, 18.16
33, 18.25
34, 17.79
35, 14.43
36, 16.34
37, 14.39
38, 13.39
39, 11.22
40, 9.65
41, 9.95
42, 8.17
43, 7.62
44, 9.22
45, 8.47
46, 7.60
47, 4.51
48, 6.20
49, 19.86
50, 22.56
51, 17.42
52, 18.92
53, 17.26
54, 16.90
55, 14.95
56, 14.29
57, 13.61
58, 12.31
59, 10.95
60, 10.60
61, 11.24
62, 11.62
63, 9.72
64, 8.46
65, 9.76
66, 7.20
67, 7.04
68, 6.31
69, 7.69
70, 4.11
71, 18.99
72, 17.79
73, 18.35
74, 21.06
75, 16.92
76, 18.60
77, 17.12
78, 14.77
79, 16.20
80, 15.24
81, 13.81
82, 13.15
83, 10.50
84, 18.32
85, 9.41
86, 8.00
87, 8.64
88, 8.17
89, 9.00
90, 6.28
91, 5.47
92, 7.49
93, 4.25
94, 19.96
95, 16.14
96, 16.93
97, 17.47
98, 15.30
99, 14.92
100, 12.90
101, 14.42
102, 12.76
103, 11.18
104, 10.45
105, 12.07
106, 9.34
107, 9.73
108, 7.58
109, 8.32
110, 6.96
111, 7.10
112, 5.81
113, 7.72
114, 4.48
115, 3.81
116, 3.34
117, 20.32
118, 17.16
119, 17.24
120, 15.98
121, 15.77
122, 13.15
123, 15.18
124, 12.61
125, 12.46
126, 10.73
127, 9.16
128, 7.76
129, 6.66
130, 7.90
131, 6.04
132, 5.76
133, 6.37
134, 3.54
135, 3.04
136, 19.13
137, 19.33
138, 15.43
139, 14.22
140, 14.00
141, 15.90
142, 13.61
143, 13.50
144, 11.49
145, 9.37
146, 7.70
147, 5.64
148, 8.35
149, 9.13
150, 3.20
151, 4.93
152, 5.48
153, 19.65
154, 17.94
155, 16.38
156, 16.23
157, 15.70
158, 16.26
159, 16.01
160, 15.94
161, 14.76
162, 12.62
163, 13.60
164, 8.95
165, 9.78
166, 7.82
167, 8.78
168, 7.14
169, 3.17
170, 4.16
171, 18.19
172, 20.88
173, 18.72
174, 16.63
175, 15.66
176, 15.83
177, 14.11
178, 12.30
179, 11.42
180, 13.28
181, 9.22
182, 8.30
183, 5.22
184, 6.36
185, 5.74
186, 5.85
187, 19.20
188, 17.76
189, 16.68
190, 18.00
191, 13.89
192, 15.24
193, 15.02
194, 12.88
195, 13.61
196, 13.94
197, 10.15
198, 10.90
199, 8.84
200, 8.29
201, 8.16
202, 8.83
203, 6.53
204, 7.47
205, 7.00
206, 5.45
207, 4.97
208, 5.44
209, 18.01
210, 16.90
211, 17.44
212, 13.47
213, 15.67
214, 12.69
215, 12.20
216, 14.25
217, 15.58
218, 10.61
219, 8.72
220, 7.15
221, 8.80
222, 7.78
223, 3.28
224, 4.83
225, 17.97
226, 18.68
227, 16.64
228, 15.23
229, 14.83
230, 16.39
231, 15.21
232, 13.94
233, 14.39
234, 11.12
235, 11.72
236, 11.11
237, 10.73
238, 10.88
239, 8.81
240, 6.97
241, 3.88
242, 3.96
243, 4.22
244, 20.20
245, 16.98
246, 18.73
247, 17.42
248, 18.32
249, 16.70
250, 14.86
251, 11.28
252, 12.14
253, 12.85
254, 9.45
255, 9.08
256, 10.74
257, 9.12
258, 6.65
259, 9.03
260, 8.17
261, 6.74
262, 6.41
263, 3.18
264, 21.00
265, 19.62
266, 20.14
267, 15.18
268, 15.02
269, 16.04
270, 12.89
271, 15.78
272, 13.65
273, 10.78
274, 9.91
275, 8.17
276, 7.90
277, 6.99
278, 4.16
279, 5.73
280, 3.62
281, 4.54
282, 18.34
283, 17.32
284, 18.15
285, 16.29
286, 14.65
287, 15.52
288, 14.12
289, 12.68
290, 11.99
291, 9.06
292, 12.27
293, 9.16
294, 8.47
295, 6.60
296, 10.24
297, 2.22
298, 4.37
299, 18.19
300, 16.67
301, 15.34
302, 14.28
303, 15.76
304, 11.48
305, 13.02
306, 10.46
307, 10.02
308, 10.48
309, 9.85
310, 8.22
311, 8.20
312, 5.70
313, 4.74
314, 5.30
315, 4.23
316, 18.81
317, 18.78
318, 16.36
319, 15.39
320, 17.81
321, 14.11
322, 12.67
323, 10.60
324, 11.00
325, 9.94
326, 8.85
327, 8.13
328, 7.07
329, 4.59
330, 1.61
331, 3.60
332, 4.23
333, 19.22
334, 16.25
335, 16.74
336, 14.43
337, 13.14
338, 15.44
339, 13.99
340, 12.60
341, 11.65
342, 10.93
343, 9.99
344, 9.04
345, 8.49
346, 5.19
347, 7.56
348, 5.45
349, 5.52
350, 4.78
351, 17.41
352, 16.80
353, 17.79
354, 18.12
355, 17.24
356, 14.45
357, 12.72
358, 16.20
359, 11.10
360, 9.36
361, 8.29
362, 9.03
363, 7.34
364, 7.92
365, 10.27
366, 6.10
367, 4.31
368, 5.26
369, 7.84
370, 18.89
371, 18.76
372, 18.47
373, 15.03
374, 15.66
375, 17.21
376, 16.18
377, 14.01
378, 14.32
379, 14.35
380, 12.63
381, 8.33
382, 9.73
383, 8.19
384, 10.42
385, 8.93
386, 5.85
387, 5.61
388, 4.83
389, 5.39
390, 2.73
391, 18.63
392, 16.82
393, 16.34
394, 17.10
395, 15.73
396, 12.96
397, 15.72
398, 11.76
399, 12.36
400, 10.42
401, 11.42
402, 8.96
403, 8.97
404, 7.20
405, 6.54
406, 5.77
407, 3.57
408, 3.79
409, 4.57
410, 18.82
411, 18.80
412, 17.39
413, 16.65
414, 14.96
415, 14.10
416, 16.77
417, 13.91
418, 12.28
419, 14.97
420, 11.00
421, 9.26
422, 8.50
423, 7.84
424, 9.06
425, 5.07
426, 4.22
427, 18.89
428, 17.76
429, 15.04
430, 15.90
431, 16.30
432, 14.86
433, 13.47
434, 14.30
435, 12.65
436, 12.97
437, 11.43
438, 10.63
439, 12.00
440, 9.35
441, 7.73
442, 10.18
443, 7.79
444, 7.49
445, 5.51
446, 6.33
447, 5.48
448, 19.81
449, 15.82
450, 13.65
451, 14.62
452, 13.62
453, 12.82
454, 14.73
455, 9.01
456, 8.06
457, 7.41
458, 6.74
459, 4.74
460, 3.19
461, 3.45
462, 19.32
463, 18.67
464, 16.05
465, 16.81
466, 15.84
467, 11.44
468, 14.87
469, 13.88
470, 10.93
471, 10.33
472, 8.61
473, 6.61
474, 8.63
475, 4.64
476, 5.73
477, 19.69
478, 15.93
479, 17.02
480, 16.52
481, 14.71
482, 13.92
483, 13.71
484, 12.68
485, 14.92
486, 10.44
487, 9.13
488, 11.40
489, 10.34
490, 6.33
491, 4.07
492, 5.67
493, 4.16
494, 4.64
495, 4.50
496, 17.68
497, 15.98
498, 16.63
499, 17.01
500, 16.07
501, 13.60
502, 12.21
503, 13.30
504, 11.00
505, 10.80
506, 10.63
507, 8.89
508, 7.88
509, 9.41
510, 6.58
511, 8.22
512, 6.89
513, 4.12
514, 6.83
515, 19.03
516, 16.09
517, 16.26
518, 16.39
519, 15.04
520, 12.94
521, 13.99
522, 11.68
523, 11.00
524, 10.46
525, 10.49
526, 10.78
527, 7.88
528, 5.71
529, 7.06
530, 4.93
531, 4.12
532, 20.08
533, 18.91
534, 16.88
535, 18.55
536, 20.11
537, 15.38
538, 14.60
539, 13.28
540, 12.64
541, 12.91
542, 11.17
543, 9.64
544, 10.74
545, 8.94
546, 10.37
547, 6.82
548, 9.19
549, 8.40
550, 3.97
551, 17.20
552, 18.46
553, 18.08
554, 16.82
555, 16.80
556, 15.29
557, 16.78
558, 18.10
559, 14.01
560, 13.12
561, 11.16
562, 10.20
563, 8.55
564, 9.80
565, 8.61
566, 7.48
567, 5.09
568, 4.35
569, 7.21
570, 19.04
571, 17.96
572, 17.15
573, 15.56
574, 18.61
575, 13.48
576, 16.08
577, 13.29
578, 12.46
579, 11.16
580, 12.89
581, 8.95
582, 8.23
583, 8.92
584, 8.02
585, 6.01
586, 4.66
587, 4.26
588, 4.12
589, 6.45
590, 18.42
591, 19.04
592, 16.08
593, 15.49
594, 15.75
595, 14.34
596, 13.99
597, 13.46
598, 13.21
599, 11.23
600, 9.38
601, 8.26
602, 8.62
603, 6.97
604, 8.76
605, 6.73
606, 6.71
607, 6.31
608, 4.04
609, 17.22
610, 16.27
611, 16.41
612, 14.33
613, 14.96
614, 11.77
615, 15.82
616, 11.17
617, 11.18
618, 8.14
619, 7.47
620, 6.60
621, 9.10
622, 6.53
623, 6.32
624, 6.41
625, 17.51
626, 19.40
627, 17.86
628, 15.57
629, 13.37
630, 13.21
631, 13.95
632, 12.45
633, 11.70
634, 10.19
635, 9.82
636, 11.24
637, 9.50
638, 12.28
639, 7.86
640, 10.41
641, 6.62
642, 4.10
643, 5.01
644, 18.54
645, 17.02
646, 15.63
647, 18.02
648, 16.23
649, 12.82
650, 13.31
651, 13.84
652, 12.48
653, 10.88
654, 11.58
655, 12.75
656, 9.99
657, 9.10
658, 6.19
659, 4.48
660, 4.49
661, 17.53
662, 16.64
663, 18.53
664, 15.74
665, 15.29
666, 17.63
667, 15.08
668, 14.95
669, 13.79
670, 13.12
671, 12.02
672, 10.64
673, 9.60
674, 7.92
675, 7.24
676, 6.94
677, 7.26
678, 6.92
679, 4.06
680, 4.13
681, 3.48
682, 16.34
683, 17.10
684, 18.12
685, 15.64
686, 12.09
687, 14.72
688, 11.82
689, 10.76
690, 8.73
691, 7.83
692, 6.85
693, 6.11
694, 6.92
695, 5.84
696, 4.17
697, 4.93
698, 3.50
699, 5.02
700, 18.65
701, 17.90
