read, delay
1, 42.19
2, 42.31
3, 42.33
4, 41.31
5, 41.68
6, 42.56
7, 42.77
8, 38.57
9, 38.61
10, 39.02
11, 39.79
12, 38.97
13, 39.47
14, 39.58
15, 40.00
16, 39.02
17, 39.08
18, 39.44
19, 39.87
20, 38.97
21, 38.99
22, 39.67
23, 39.94
24, 40.04
25, 39.72
26, 39.94
27, 40.04
28, 40.38
29, 39.86
30, 40.33
31, 40.92
32, 41.00
33, 40.62
34, 40.77
35, 40.67
36, 41.56
37, 41.12
38, 41.43
39, 42.30
40, 39.09
41, 38.34
42, 39.17
43, 39.11
44, 39.37
45, 38.80
46, 38.78
47, 39.68
48, 40.24
49, 39.42
50, 40.30
51, 40.47
52, 41.16
53, 41.86
54, 41.48
55, 42.36
56, 38.98
57, 42.91
58, 41.88
59, 41.88
60, 42.28
61, 39.13
62, 42.10
63, 38.90
64, 39.47
65, 40.09
66, 39.93
67, 40.34
68, 40.88
69, 41.10
70, 40.61
71, 41.39
72, 41.50
73, 42.16
74, 41.83
75, 41.90
76, 41.81
77, 41.79
78, 41.04
79, 41.68
80, 42.30
81, 39.04
82, 43.04
83, 41.96
84, 38.74
85, 39.56
86, 38.44
87, 42.44
88, 42.51
89, 39.02
90, 39.45
91, 39.24
92, 39.56
93, 39.90
94, 40.13
95, 39.11
96, 39.56
97, 39.93
98, 40.06
99, 39.19
100, 39.65
101, 39.82
102, 40.44
103, 39.78
104, 40.39
105, 41.11
106, 41.63
107, 41.77
108, 41.58
109, 41.57
110, 42.35
111, 42.54
112, 41.56
113, 41.87
114, 41.94
115, 42.56
116, 42.26
117, 42.56
118, 39.21
119, 39.50
120, 38.81
121, 39.16
122, 39.63
123, 39.55
124, 38.90
125, 39.33
126, 39.74
127, 39.70
128, 39.50
129, 39.70
130, 39.92
131, 40.55
132, 40.04
133, 40.46
134, 41.31
135, 42.11
136, 42.45
137, 41.86
138, 41.94
139, 42.73
140, 38.29
141, 38.61
142, 42.67
143, 39.10
144, 39.50
145, 38.65
146, 38.72
147, 39.45
148, 39.48
149, 38.90
150, 38.98
151, 39.26
152, 40.17
153, 39.39
154, 39.60
155, 39.64
156, 39.79
157, 39.10
158, 39.98
159, 40.29
160, 40.21
161, 39.26
162, 39.20
163, 39.80
164, 40.10
165, 40.79
166, 40.17
167, 40.34
168, 40.51
169, 40.83
170, 40.33
171, 40.28
172, 40.38
173, 40.58
174, 39.79
175, 39.81
176, 40.60
177, 41.42
178, 40.89
179, 41.36
180, 41.35
181, 41.98
182, 42.58
183, 42.34
184, 42.33
185, 42.70
186, 38.35
187, 39.14
188, 39.08
189, 39.83
190, 40.62
191, 40.14
192, 40.39
193, 41.01
194, 41.16
195, 40.81
196, 41.00
197, 40.96
198, 41.62
199, 41.47
200, 42.23
201, 42.78
202, 42.88
203, 42.19
204, 38.86
205, 38.92
206, 42.84
207, 42.14
208, 38.90
209, 39.56
210, 39.62
211, 39.29
212, 40.02
213, 40.60
214, 41.07
215, 40.19
216, 40.32
217, 40.40
218, 40.44
219, 40.22
220, 40.52
221, 41.03
222, 41.70
223, 41.76
224, 41.62
225, 42.22
226, 42.78
227, 39.52
228, 38.48
229, 42.54
230, 39.11
231, 43.05
232, 41.98
233, 38.80
234, 39.06
235, 39.68
236, 39.02
237, 39.62
238, 40.13
239, 40.16
240, 39.60
241, 40.35
242, 40.82
243, 41.68
244, 41.63
245, 41.27
246, 41.86
247, 42.30
248, 42.68
249, 42.02
250, 38.86
251, 39.49
252, 38.82
253, 39.54
254, 39.65
255, 40.37
256, 40.32
257, 39.86
258, 40.60
259, 41.45
260, 41.61
261, 40.94
262, 40.87
263, 41.56
264, 42.38
265, 41.32
266, 41.66
267, 42.32
268, 42.64
269, 41.94
270, 42.48
271, 38.87
272, 42.93
273, 42.17
274, 38.56
275, 42.68
276, 39.18
277, 38.87
278, 38.75
279, 39.12
280, 39.71
281, 38.77
282, 38.81
283, 39.41
284, 40.17
285, 40.70
286, 39.86
287, 40.58
288, 41.29
289, 41.98
290, 41.63
291, 41.81
292, 42.68
293, 42.71
294, 41.95
295, 41.98
296, 42.47
297, 42.72
298, 38.51
299, 38.60
300, 39.15
301, 39.90
302, 39.65
303, 40.35
304, 41.14
305, 41.06
306, 40.61
307, 40.72
308, 41.19
309, 41.24
310, 40.40
311, 41.20
312, 41.33
313, 41.85
314, 41.84
315, 41.72
316, 42.34
317, 39.17
318, 43.22
319, 42.28
320, 38.90
321, 39.51
322, 38.96
323, 39.78
324, 39.70
325, 40.24
326, 40.43
327, 40.00
328, 40.80
329, 41.24
330, 41.32
331, 40.69
332, 41.45
333, 42.34
334, 42.85
335, 41.75
336, 41.81
337, 41.90
338, 42.30
339, 42.67
340, 42.46
341, 39.24
342, 39.51
343, 38.93
344, 39.21
345, 39.58
346, 40.30
347, 40.95
348, 40.06
349, 40.92
350, 41.39
351, 41.75
352, 41.00
353, 41.42
354, 41.40
355, 41.43
356, 40.64
357, 40.61
358, 40.62
359, 40.81
360, 39.78
361, 39.98
362, 39.92
363, 40.13
364, 39.24
365, 39.24
366, 39.18
367, 39.89
368, 39.06
369, 39.18
370, 39.83
371, 39.99
372, 39.72
373, 40.12
374, 40.16
375, 40.70
376, 40.90
377, 40.26
378, 40.92
379, 41.19
380, 41.81
381, 41.62
382, 41.54
383, 41.50
384, 41.75
385, 40.95
386, 41.48
387, 41.60
388, 42.43
389, 41.43
390, 41.37
391, 41.64
392, 41.74
393, 42.42
394, 41.49
395, 42.36
396, 42.34
397, 43.04
398, 38.84
399, 38.77
400, 42.82
401, 39.55
402, 38.53
403, 38.90
404, 39.65
405, 40.36
406, 40.19
407, 40.44
408, 40.51
409, 41.12
410, 40.26
411, 41.07
412, 41.28
413, 42.00
414, 41.43
415, 42.08
416, 42.31
417, 42.96
418, 38.52
419, 38.72
420, 39.26
421, 39.58
422, 40.14
423, 39.13
424, 39.75
425, 40.57
426, 40.54
427, 40.20
428, 40.32
429, 40.74
430, 40.63
431, 40.44
432, 40.92
433, 40.82
434, 41.29
435, 40.85
436, 41.43
437, 41.42
438, 41.42
439, 42.00
440, 41.31
441, 41.97
442, 42.74
443, 43.00
444, 42.22
445, 42.67
446, 39.43
447, 39.00
448, 39.04
449, 39.48
450, 39.83
451, 40.19
452, 39.14
453, 39.84
454, 40.36
455, 40.70
456, 40.02
457, 40.76
458, 40.80
459, 41.37
460, 40.42
461, 41.20
462, 41.79
463, 42.28
464, 41.67
465, 42.12
466, 42.72
467, 39.38
468, 38.58
469, 38.67
470, 39.15
471, 39.55
472, 38.60
473, 38.86
474, 39.69
475, 39.82
476, 40.35
477, 40.20
478, 40.70
479, 40.81
480, 41.17
481, 40.71
482, 41.40
483, 42.27
484, 42.24
485, 41.86
486, 42.51
487, 39.03
488, 39.37
489, 38.38
490, 38.61
491, 42.51
492, 42.45
493, 42.76
494, 38.61
495, 39.29
496, 39.85
497, 39.30
498, 39.28
499, 39.92
500, 40.79
501, 40.92
502, 40.36
503, 40.92
504, 41.35
505, 42.02
506, 41.52
507, 41.52
508, 41.62
509, 42.23
510, 42.08
511, 38.76
512, 39.24
513, 40.01
514, 39.42
515, 39.86
516, 40.32
517, 41.08
518, 40.31
519, 40.41
520, 40.27
521, 40.98
522, 40.14
523, 40.82
524, 40.80
525, 40.99
526, 41.67
527, 41.54
528, 41.74
529, 41.74
530, 42.22
531, 41.32
532, 41.48
533, 41.80
534, 41.98
535, 41.10
536, 41.12
537, 41.06
538, 41.78
539, 41.56
540, 42.16
541, 42.50
542, 39.29
543, 38.31
544, 38.84
545, 38.71
546, 39.32
547, 38.82
548, 39.35
549, 39.69
550, 40.13
551, 40.94
552, 40.12
553, 40.05
554, 39.92
555, 40.17
556, 39.19
557, 39.65
558, 40.07
559, 40.56
560, 39.89
561, 39.88
562, 40.44
563, 40.58
564, 39.89
565, 40.47
566, 40.84
567, 41.47
568, 40.44
569, 40.50
570, 40.64
571, 40.80
572, 41.62
573, 41.31
574, 41.38
575, 42.09
576, 41.98
577, 41.58
578, 42.27
579, 42.28
580, 39.12
581, 38.39
582, 38.60
583, 39.16
584, 39.32
585, 38.62
586, 39.50
587, 40.02
588, 40.52
589, 40.35
590, 40.92
591, 41.41
592, 41.62
593, 41.34
594, 41.25
595, 41.64
596, 42.36
597, 42.74
598, 41.87
599, 42.00
600, 42.47
601, 42.42
602, 41.61
603, 42.44
604, 42.58
605, 38.31
606, 38.95
607, 39.08
608, 39.25
609, 39.87
610, 39.05
611, 39.80
612, 40.15
613, 40.28
614, 39.27
615, 39.36
616, 39.56
617, 40.44
618, 39.62
619, 40.24
620, 40.92
621, 41.63
622, 41.50
623, 42.10
624, 42.34
625, 42.44
626, 42.78
627, 38.52
628, 42.41
629, 42.46
630, 42.87
631, 42.40
632, 39.06
633, 39.86
634, 40.56
635, 39.83
636, 40.18
637, 40.32
638, 41.06
639, 40.37
640, 40.80
641, 41.62
642, 42.20
643, 41.44
644, 41.82
645, 42.07
646, 42.58
647, 42.70
648, 41.80
649, 42.49
650, 39.07
651, 38.93
652, 39.17
653, 40.06
654, 40.59
655, 40.54
656, 39.83
657, 40.16
658, 40.84
659, 40.94
660, 39.98
661, 40.80
662, 41.00
663, 41.21
664, 40.42
665, 41.00
666, 41.14
667, 41.80
668, 41.98
669, 41.81
670, 42.59
671, 39.32
672, 40.06
673, 39.20
674, 39.81
675, 39.87
676, 40.02
677, 39.63
678, 39.97
679, 40.50
680, 40.91
681, 39.86
682, 40.46
683, 41.11
684, 41.94
685, 42.27
686, 41.73
687, 42.14
688, 42.46
689, 42.92
690, 42.31
691, 42.38
692, 42.62
693, 39.37
694, 38.91
695, 38.91
696, 39.22
697, 39.30
698, 39.81
699, 39.42
700, 39.98
701, 40.36
702, 40.29
703, 40.00
704, 40.64
705, 41.14
706, 41.68
707, 41.10
708, 41.40
709, 42.28
710, 42.18
711, 42.49
712, 41.63
713, 42.16
714, 42.42
715, 42.82
716, 38.50
717, 38.68
718, 39.46
719, 39.54
720, 38.77
721, 38.82
722, 39.10
723, 39.18
724, 38.61
725, 39.16
726, 39.06
727, 39.28
728, 39.27
729, 38.54
730, 38.91
731, 38.86
732, 39.70
733, 39.54
734, 39.80
735, 40.47
736, 41.32
737, 40.24
738, 40.56
739, 41.42
740, 41.91
741, 42.25
742, 42.00
743, 42.67
744, 39.10
745, 38.37
746, 38.45
747, 42.55
748, 42.55
749, 39.30
750, 42.36
751, 42.48
752, 42.77
753, 39.64
754, 38.57
755, 38.66
756, 39.28
757, 39.44
758, 38.89
759, 38.88
760, 38.76
761, 42.92
762, 38.32
763, 42.25
764, 42.58
765, 39.22
766, 38.77
767, 39.01
768, 39.77
769, 40.03
770, 40.19
771, 39.88
772, 40.25
773, 40.98
774, 41.86
775, 40.90
776, 41.10
777, 41.42
778, 41.39
779, 41.19
780, 41.95
781, 38.84
782, 39.42
783, 38.85
784, 39.73
785, 40.06
786, 40.82
787, 40.58
788, 40.46
789, 41.19
790, 41.83
791, 41.83
792, 41.22
793, 41.87
794, 42.24
795, 42.41
796, 41.90
797, 42.12
798, 42.70
799, 43.06
800, 38.64
801, 38.68
802, 38.94
803, 39.66
804, 39.48
805, 39.38
806, 39.87
807, 40.74
808, 40.32
809, 41.14
810, 41.26
811, 41.34
812, 40.90
813, 40.87
814, 41.55
815, 41.52
816, 41.77
817, 40.74
818, 40.72
819, 41.05
820, 41.49
821, 41.23
822, 41.18
823, 41.51
824, 41.72
825, 41.08
826, 41.52
827, 42.18
828, 42.78
829, 42.18
830, 42.07
831, 38.76
832, 39.58
833, 39.33
834, 39.96
835, 40.14
836, 40.72
837, 39.85
838, 40.25
839, 40.42
840, 40.66
841, 40.74
842, 40.37
843, 40.80
844, 40.97
845, 40.85
846, 40.47
847, 40.68
848, 40.74
849, 41.36
850, 40.49
851, 40.74
852, 41.50
853, 42.30
854, 41.27
855, 41.43
