read, delay
1, 9.20
2, 8.64
3, 7.76
4, 6.97
5, 6.05
6, 5.45
7, 5.10
8, 4.20
9, 3.69
10, 3.30
11, 2.49
12, 1.93
13, 9.06
14, 8.77
15, 8.49
16, 7.63
17, 6.57
18, 5.68
19, 4.61
20, 4.24
21, 3.36
22, 3.14
23, 2.86
24, 2.20
25, 1.80
26, 8.95
27, 8.34
28, 7.45
29, 7.18
30, 7.01
31, 6.62
32, 6.28
33, 5.92
34, 5.35
35, 4.47
36, 4.29
37, 3.44
38, 2.78
39, 1.87
40, 9.51
41, 8.52
42, 7.86
43, 6.76
44, 6.00
45, 5.51
46, 5.02
47, 3.95
48, 3.27
49, 2.79
50, 1.74
51, 8.80
52, 8.60
53, 7.88
54, 7.38
55, 6.60
56, 5.74
57, 5.43
58, 4.64
59, 4.09
60, 3.39
61, 3.27
62, 2.34
63, 1.98
64, 9.48
65, 5.42
66, 5.23
67, 4.16
68, 3.64
69, 2.92
70, 2.69
71, 2.49
72, 2.10
73, 9.23
74, 8.51
75, 7.61
76, 6.86
77, 6.27
78, 6.05
79, 5.14
80, 4.74
81, 4.39
82, 4.11
83, 3.06
84, 2.74
85, 1.86
86, 9.02
87, 8.41
88, 7.83
89, 6.85
90, 5.83
91, 5.63
92, 4.92
93, 4.20
94, 3.30
95, 2.30
96, 9.24
97, 9.12
98, 8.18
99, 7.80
100, 6.68
101, 6.45
102, 5.99
103, 5.28
104, 4.51
105, 3.86
106, 3.26
107, 2.83
108, 2.04
109, 1.70
110, 8.92
111, 8.20
112, 7.53
113, 6.72
114, 6.69
115, 5.61
116, 4.96
117, 4.75
118, 3.68
119, 4.04
120, 3.49
121, 2.48
122, 1.61
123, 9.16
124, 8.80
125, 8.44
126, 7.44
127, 7.28
128, 6.74
129, 6.16
130, 5.52
131, 5.20
132, 4.84
133, 4.55
134, 3.71
135, 3.51
136, 2.54
137, 2.42
138, 1.60
139, 8.70
140, 8.55
141, 8.00
142, 7.44
143, 6.82
144, 6.03
145, 5.52
146, 5.30
147, 4.77
148, 4.65
149, 3.58
150, 2.50
151, 1.78
152, 9.24
153, 9.07
154, 8.04
155, 7.76
156, 6.77
157, 6.29
158, 5.75
159, 5.30
160, 4.44
161, 3.58
162, 3.16
163, 2.52
164, 2.12
165, 9.14
166, 8.91
167, 8.66
168, 7.57
169, 6.95
170, 6.48
171, 5.38
172, 4.78
173, 4.19
174, 3.91
175, 3.08
176, 2.50
177, 2.34
178, 1.75
179, 8.66
180, 8.29
181, 8.04
182, 7.53
183, 6.84
184, 6.16
185, 5.12
186, 4.17
187, 3.62
188, 2.77
189, 2.17
190, 1.93
191, 8.86
192, 7.92
193, 7.54
194, 7.39
195, 7.23
196, 6.53
197, 5.64
198, 4.86
199, 4.76
200, 3.97
201, 3.43
202, 2.89
203, 2.47
204, 2.25
205, 1.78
206, 9.57
207, 9.24
208, 8.77
209, 8.32
210, 7.31
211, 6.72
212, 6.44
213, 5.93
214, 4.98
215, 3.91
216, 3.36
217, 2.78
218, 2.64
219, 2.27
220, 2.19
221, 1.79
222, 9.17
223, 9.00
224, 8.57
225, 7.83
226, 6.89
227, 5.99
228, 4.94
229, 4.12
230, 3.46
231, 2.89
232, 2.18
233, 9.12
234, 8.46
235, 7.68
236, 7.52
237, 6.64
238, 5.57
239, 5.42
240, 5.18
241, 4.38
242, 3.26
243, 3.00
244, 2.72
245, 2.24
246, 9.38
247, 8.40
248, 8.16
249, 7.76
250, 7.65
251, 7.35
252, 6.69
253, 5.82
254, 4.94
255, 4.52
256, 3.80
257, 3.57
258, 2.52
259, 2.13
260, 9.35
261, 8.72
262, 7.74
263, 7.01
264, 7.88
265, 7.70
266, 7.00
267, 5.98
268, 5.67
269, 4.61
270, 4.28
271, 3.34
272, 2.91
273, 2.34
274, 2.06
275, 9.41
276, 8.55
277, 8.26
278, 7.85
279, 7.30
280, 7.12
281, 6.37
