read, delay
1, 2.63
2, 9.76
3, 8.82
4, 7.74
5, 7.19
6, 6.90
7, 6.22
8, 6.01
9, 5.06
10, 4.53
11, 4.20
12, 3.48
13, 2.92
14, 10.08
15, 9.42
16, 8.46
17, 7.54
18, 6.87
19, 6.33
20, 5.35
21, 4.34
22, 3.98
23, 3.32
24, 2.50
25, 2.06
26, 9.31
27, 8.50
28, 7.74
29, 7.23
30, 6.74
31, 6.31
32, 5.40
33, 5.03
34, 4.03
35, 3.09
36, 2.83
37, 2.55
38, 9.86
39, 9.57
40, 9.48
41, 8.70
42, 8.51
43, 7.40
44, 6.73
45, 6.10
46, 5.15
47, 5.02
48, 4.56
49, 3.76
50, 3.56
51, 2.81
52, 2.53
53, 2.16
54, 9.77
55, 9.77
56, 9.31
57, 8.26
58, 7.21
59, 6.24
60, 5.70
61, 5.54
62, 4.45
63, 4.23
64, 3.84
65, 3.32
66, 3.35
67, 2.64
68, 2.23
69, 9.43
70, 8.91
71, 8.74
72, 7.82
73, 7.49
74, 7.12
75, 6.24
76, 5.12
77, 4.01
78, 3.38
79, 2.89
80, 2.59
81, 2.39
82, 9.29
83, 8.24
84, 8.02
85, 7.88
86, 6.64
87, 5.75
88, 4.74
89, 4.28
90, 3.79
91, 3.55
92, 2.79
93, 2.18
94, 9.28
95, 8.45
96, 7.82
97, 7.22
98, 6.24
99, 5.45
100, 4.85
101, 4.03
102, 3.68
103, 2.92
104, 2.64
105, 2.38
106, 9.90
107, 8.94
108, 8.81
109, 7.89
110, 7.49
111, 6.77
112, 5.74
113, 4.95
114, 4.12
115, 3.73
116, 3.43
117, 2.74
118, 2.47
119, 9.79
120, 8.89
121, 8.30
122, 7.75
123, 6.71
124, 6.11
125, 5.55
126, 4.90
127, 3.88
128, 3.64
129, 2.88
130, 10.00
131, 9.62
132, 9.28
133, 8.66
134, 8.47
135, 8.25
136, 7.54
137, 7.06
138, 6.08
139, 5.90
140, 5.48
141, 4.86
142, 3.70
143, 3.33
144, 2.61
145, 9.76
146, 8.91
147, 8.51
148, 7.63
149, 7.03
150, 6.10
151, 5.44
152, 5.27
153, 4.46
154, 3.79
155, 2.80
156, 9.85
157, 9.21
158, 9.11
159, 8.38
160, 7.24
161, 6.41
162, 5.29
163, 4.86
164, 4.17
165, 3.86
166, 3.23
167, 2.39
168, 9.60
169, 8.92
170, 8.32
171, 7.37
172, 6.49
173, 5.62
174, 4.85
175, 3.94
176, 3.59
177, 3.38
178, 2.98
179, 2.36
180, 9.46
181, 8.98
182, 8.68
183, 8.38
184, 7.41
185, 6.70
186, 6.37
187, 6.17
188, 5.12
189, 4.82
190, 4.63
191, 4.23
192, 3.45
193, 3.07
194, 2.14
195, 9.92
196, 9.15
197, 8.04
198, 7.69
199, 7.51
200, 7.28
201, 6.89
202, 5.98
203, 5.31
204, 4.99
205, 3.92
206, 2.85
207, 2.22
208, 10.04
209, 9.65
210, 8.68
211, 8.42
212, 8.04
213, 7.74
214, 7.13
215, 6.30
216, 5.33
217, 4.44
218, 3.51
219, 3.30
220, 2.56
221, 2.04
222, 9.60
223, 8.80
224, 8.71
225, 8.22
226, 7.82
227, 7.52
228, 6.46
229, 5.56
230, 5.10
231, 4.09
232, 3.02
233, 2.71
234, 10.07
235, 9.76
236, 9.02
237, 8.62
238, 8.15
239, 7.23
240, 6.57
241, 6.30
242, 5.78
243, 5.64
244, 4.66
245, 4.21
246, 3.88
247, 3.29
248, 2.69
249, 9.99
250, 9.80
251, 9.54
252, 8.81
253, 8.54
254, 7.59
255, 7.35
256, 6.33
257, 5.89
258, 5.63
259, 5.50
260, 4.63
261, 3.92
262, 2.93
263, 2.56
264, 2.46
265, 9.33
266, 8.68
267, 8.38
268, 7.73
269, 6.94
270, 6.46
271, 5.83
272, 5.01
273, 4.21
274, 3.61
275, 2.67
276, 10.08
277, 9.90
278, 8.69
279, 7.97
280, 7.64
281, 6.63
282, 5.74
283, 5.28
284, 5.12
285, 4.69
286, 3.84
287, 3.53
288, 3.20
289, 2.88
290, 2.63
291, 9.72
292, 9.67
293, 8.55
294, 7.90
295, 6.95
296, 6.39
297, 5.63
298, 5.42
299, 4.49
300, 4.24
301, 3.84
302, 3.58
303, 3.27
304, 3.10
305, 10.07
306, 9.40
307, 8.64
308, 8.04
309, 7.18
310, 6.34
311, 6.19
312, 5.18
313, 4.67
314, 3.75
315, 3.58
316, 3.24
317, 3.04
318, 10.17
319, 9.15
320, 8.76
321, 8.31
322, 7.79
323, 7.64
324, 6.62
325, 6.08
326, 5.44
327, 4.78
328, 4.64
329, 4.13
330, 3.25
331, 3.80
332, 2.44
333, 2.31
334, 9.72
335, 8.67
336, 7.72
