read, delay
1, 19.07
2, 13.63
3, 7.67
4, 16.95
5, 11.69
6, 6.19
7, 15.59
8, 9.75
9, 19.42
10, 14.06
11, 8.82
12, 18.21
13, 12.56
14, 7.05
15, 16.03
16, 10.31
17, 20.12
18, 14.39
19, 8.38
20, 17.21
21, 11.79
22, 5.96
23, 15.12
24, 9.57
25, 19.16
26, 13.60
27, 8.23
28, 17.24
29, 11.46
30, 5.83
31, 15.62
32, 9.86
33, 19.28
34, 13.98
35, 8.02
36, 17.73
37, 12.25
38, 6.24
39, 15.16
40, 9.95
41, 19.34
42, 13.78
43, 8.26
44, 18.00
45, 12.31
46, 6.39
47, 15.41
48, 9.62
49, 19.14
50, 13.44
51, 7.56
52, 17.33
53, 11.43
54, 6.09
55, 15.70
56, 10.25
57, 20.06
58, 14.83
59, 9.73
60, 19.60
61, 14.11
62, 8.70
63, 18.19
64, 13.02
65, 7.05
66, 16.75
67, 9.98
68, 19.53
69, 29.07
70, 8.55
71, 32.94
72, 28.09
73, 6.65
74, 16.45
75, 11.26
76, 5.36
77, 14.89
78, 8.96
79, 18.51
80, 12.76
81, 7.16
82, 16.96
83, 11.74
84, 6.01
85, 15.04
86, 9.26
87, 18.18
88, 12.70
89, 7.33
90, 16.77
91, 11.39
92, 6.28
93, 15.82
94, 10.21
95, 19.82
96, 14.06
97, 8.08
98, 17.90
99, 12.56
100, 7.23
101, 16.20
102, 10.40
103, 19.30
104, 14.15
105, 8.48
106, 17.46
107, 11.42
108, 6.19
109, 15.34
110, 9.58
111, 18.74
112, 12.70
113, 7.58
114, 17.29
115, 11.34
116, 20.26
117, 14.43
118, 9.30
119, 18.51
120, 12.92
121, 7.41
122, 16.57
123, 10.83
124, 20.11
125, 14.88
126, 9.30
127, 18.22
128, 12.57
129, 6.56
130, 15.63
131, 10.52
132, 20.23
133, 14.16
134, 8.18
135, 17.86
136, 12.61
137, 7.18
138, 16.16
139, 10.70
140, 19.82
141, 14.56
142, 24.38
143, 18.70
144, 12.60
145, 21.56
146, 16.72
147, 9.95
148, 19.78
149, 15.70
150, 8.48
151, 18.05
152, 11.97
153, 6.66
154, 16.05
155, 10.83
156, 20.10
157, 14.56
158, 9.26
159, 19.06
160, 12.72
161, 7.46
162, 16.65
163, 11.43
164, 5.69
165, 15.42
166, 9.33
167, 19.01
168, 13.50
169, 7.87
170, 16.90
171, 11.34
172, 6.14
173, 15.70
174, 9.99
175, 19.56
176, 13.60
177, 8.42
178, 17.41
179, 11.38
180, 5.68
181, 15.41
182, 10.08
183, 19.74
184, 13.93
185, 7.92
186, 17.45
187, 12.00
188, 6.81
189, 16.31
190, 10.91
191, 5.68
192, 14.66
193, 8.84
194, 17.73
195, 12.47
196, 6.60
197, 15.99
198, 10.08
199, 19.17
200, 13.73
201, 7.96
202, 17.60
203, 11.71
204, 5.78
205, 14.72
206, 9.09
207, 18.04
208, 12.83
209, 6.91
210, 16.10
211, 10.18
212, 19.27
213, 13.68
214, 8.50
215, 17.37
216, 11.95
217, 6.04
218, 31.35
219, 10.47
220, 19.36
221, 29.24
222, 23.26
223, 18.23
224, 27.12
225, 6.52
226, 15.72
227, 9.77
228, 19.09
229, 13.64
230, 8.13
231, 17.30
232, 11.91
233, 6.28
234, 15.95
235, 10.05
236, 19.85
237, 14.62
238, 9.21
239, 18.54
240, 13.30
241, 7.15
242, 16.36
243, 10.27
244, 19.50
245, 13.76
246, 7.48
247, 16.70
248, 10.68
249, 5.52
250, 14.57
251, 8.74
252, 17.70
253, 11.77
254, 6.55
