read, delay
1, 2.44
2, 2.02
3, 9.75
4, 9.43
5, 8.92
6, 7.98
7, 7.31
8, 6.96
9, 6.78
10, 6.55
11, 5.48
12, 5.21
13, 5.09
14, 4.38
15, 3.60
16, 2.91
17, 9.86
18, 8.75
19, 7.96
20, 7.09
21, 6.32
22, 5.55
23, 5.40
24, 4.54
25, 4.32
26, 3.96
27, 3.40
28, 2.71
29, 2.13
30, 1.94
31, 9.40
32, 8.92
33, 8.01
34, 7.78
35, 6.99
36, 6.49
37, 5.40
38, 4.95
39, 4.75
40, 4.57
41, 3.70
42, 2.84
43, 2.62
44, 1.90
45, 9.74
46, 9.48
47, 8.81
48, 8.43
49, 8.27
50, 7.86
51, 7.28
52, 6.33
53, 5.36
54, 5.21
55, 4.09
56, 2.98
57, 2.60
58, 1.90
59, 9.35
60, 9.20
61, 8.23
62, 7.17
63, 6.99
64, 6.30
65, 5.71
66, 5.13
67, 4.21
68, 3.42
69, 2.92
70, 2.18
71, 9.45
72, 1.30
73, 8.94
74, 8.33
75, 8.15
76, 7.98
77, 7.08
78, 6.69
79, 6.54
80, 5.88
81, 5.46
82, 4.77
83, 4.20
84, 3.34
85, 2.44
86, 1.85
87, 9.34
88, 8.28
89, 7.74
90, 7.32
91, 7.07
92, 6.52
93, 5.43
94, 4.40
95, 3.90
96, 3.67
97, 3.16
98, 2.42
99, 1.93
100, 1.19
101, 8.26
102, 7.93
103, 7.44
104, 6.86
105, 6.16
106, 5.10
107, 4.30
108, 3.85
109, 2.84
110, 2.10
111, 1.34
112, 8.34
113, 7.28
114, 6.58
115, 6.25
116, 5.51
117, 4.79
118, 4.11
119, 3.37
120, 2.85
121, 1.77
122, 8.98
123, 8.70
124, 8.36
125, 7.35
126, 6.82
127, 6.56
128, 5.98
129, 5.56
130, 4.58
131, 3.54
132, 3.34
133, 2.72
134, 2.56
135, 2.01
136, 1.56
137, 8.47
138, 7.66
139, 7.22
140, 7.00
141, 6.57
142, 5.72
143, 5.05
144, 4.85
145, 4.23
146, 3.98
147, 3.48
148, 3.22
149, 2.78
150, 9.73
151, 8.97
152, 8.52
153, 7.88
154, 6.81
155, 6.04
156, 5.28
157, 4.90
158, 4.48
159, 3.66
160, 3.33
161, 2.92
162, 2.43
163, 2.29
164, 2.17
165, 9.27
166, 8.57
167, 8.26
168, 7.57
169, 6.69
